	What determines the value of a life? A Meta Analysis,	What determines the value of a life? A Meta Analysis,	IX-17 $6.1 million. The range of this factor also shifts rightwards from 1 to 10 million to $1.6 to $10.6 million. Figure IX-4 Normal Distribution for Cost Per Fatalities (M)	Hyundai Accent 4-door Car	Sentra 4-door Car	Hyundai Azera 4-door Car	Versa 5-door Car	Volkswagen Jetta 4-door Car	Dodge Caliber 4-door Car	Hyundai Sonata 4-door Car	Carlo 2-door Car	Volkswagen New GTI 3-door Car	Five Hundred 4-door Car	Fit 5-door Car	Volkswagen New Beetle 3-door Car	Volvo S80 4-door Car	Toyota Prius 5-door Car	Pontiac G6 4-door Car	Focus 4-door Car	Accord 4-door Car	Mazda Mazda3 4-door Car	BMW 3-Series 4-door Car	Acura RL 4-door Car	Dodge Charger 4-door Car	Kia Spectra 4-door Car	Saturn Ion 4-door Car	BMW 5-Series 4-door Car	Chrysler 300 4-door Car	Buick Lucerne 4-door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4-door Car	Volkswagen Jetta 4-door Car	Chevrolet Aveo 4-door Car	Subaru Legacy 4-door Car	Volkswagen Passat 4-door Car	Toyota Avalon 4-door Car	Cadillac STS 4-door Car	Fusion 4-door Car	Lexus ES 4-door Car	Matrix 5-door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX-9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E-250 Cargo Van
A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options	0.4545454545454546	0.4545454545454546	0.5434782608695652	0.6470588235294117	0.7941176470588236	0.7142857142857143	0.8235294117647058	0.7297297297297297	0.7352941176470589	0.7428571428571429	0.8484848484848485	0.7105263157894737	0.7428571428571429	0.8235294117647058	0.7027027027027026	0.8378378378378378	0.7058823529411764	0.7428571428571429	0.7941176470588236	0.8181818181818181	0.8571428571428572	0.7837837837837838	0.7647058823529411	0.7575757575757576	0.7428571428571429	0.7647058823529411	0.7837837837837838	0.7428571428571429	0.75	0.6857142857142857	0.6764705882352942	0.7297297297297297	0.696969696969697	0.75	0.6944444444444444	0.7058823529411764	0.8	0.7647058823529411	0.7777777777777778	0.7941176470588236	0.7714285714285715	0.7272727272727273	0.7941176470588236	0.7058823529411764	0.8666666666666667	0.78125	0.75	0.7027027027027026	0.7941176470588236	0.9210526315789473	0.7647058823529411	0.7272727272727273	0.6923076923076923	0.8108108108108107
Monte Carlo Statistical Methods	0.48	0.48	0.6153846153846154	0.5	0.4444444444444444	0.6086956521739131	0.5789473684210527	0.5217391304347826	0.5714285714285714	0.5238095238095238	0.6111111111111112	0.6153846153846154	0.5909090909090908	0.5789473684210527	0.5416666666666667	0.6363636363636364	0.5909090909090908	0.5238095238095238	0.6	0.631578947368421	0.65	0.47619047619047616	0.6818181818181819	0.6	0.44999999999999996	0.55	0.47619047619047616	0.5238095238095238	0.5454545454545454	0.625	0.5454545454545454	0.5217391304347826	0.5	0.6086956521739131	0.5217391304347826	0.5909090909090908	0.4736842105263158	0.55	0.5909090909090908	0.5263157894736843	0.6363636363636364	0.6190476190476191	0.782608695652174	0.6521739130434783	0.7647058823529411	0.631578947368421	0.65	0.5416666666666667	0.6666666666666667	0.7272727272727273	0.4736842105263158	0.6190476190476191	0.5384615384615384	0.7083333333333333
Monte Carlo Strategies in Scientific Computing	0.4814814814814815	0.4814814814814815	0.575	0.56	0.5909090909090908	0.6538461538461539	0.6956521739130435	0.5769230769230769	0.625	0.5833333333333333	0.7272727272727273	0.6551724137931034	0.64	0.6956521739130435	0.5925925925925926	0.7307692307692308	0.64	0.64	0.6521739130434783	0.7391304347826086	0.75	0.6	0.72	0.7083333333333333	0.5217391304347826	0.6086956521739131	0.6	0.6923076923076923	0.6	0.56	0.6	0.5769230769230769	0.6799999999999999	0.6	0.5769230769230769	0.6923076923076923	0.6086956521739131	0.6086956521739131	0.64	0.6521739130434783	0.6799999999999999	0.5454545454545454	0.8076923076923077	0.64	0.8	0.6190476190476191	0.6956521739130435	0.5925925925925926	0.6521739130434783	0.8076923076923077	0.6086956521739131	0.6086956521739131	0.6333333333333333	0.7407407407407407
Wards 2008 Automotive Yearbook	0.5	0.5	0.7111111111111111	0.6296296296296297	0.72	0.6666666666666667	0.7083333333333333	0.6896551724137931	0.6923076923076923	0.7037037037037037	0.7391304347826086	0.75	0.6538461538461539	0.7083333333333333	0.7	0.6923076923076923	0.6538461538461539	0.75	0.72	0.75	0.8076923076923077	0.6666666666666667	0.7307692307692308	0.7692307692307692	0.7037037037037037	0.7307692307692308	0.6666666666666667	0.7037037037037037	0.6666666666666667	0.8064516129032258	0.7142857142857143	0.6896551724137931	0.64	0.7142857142857143	0.6896551724137931	0.7037037037037037	0.7777777777777778	0.6799999999999999	0.7037037037037037	0.72	0.7407407407407407	0.7307692307692308	0.8148148148148149	0.75	0.8095238095238095	0.75	0.76	0.6551724137931034	0.72	0.896551724137931	0.7777777777777778	0.7307692307692308	0.6875	0.75
Fatality Analysis Reporting System Encyclopedia	0.5172413793103448	0.5172413793103448	0.6590909090909092	0.5384615384615384	0.625	0.6296296296296297	0.72	0.6071428571428572	0.6538461538461539	0.6153846153846154	0.75	0.6774193548387097	0.6666666666666667	0.6666666666666667	0.6206896551724138	0.75	0.6666666666666667	0.6666666666666667	0.6799999999999999	0.7083333333333333	0.8148148148148149	0.6785714285714286	0.6923076923076923	0.7307692307692308	0.56	0.6923076923076923	0.6785714285714286	0.6666666666666667	0.6785714285714286	0.6428571428571428	0.5769230769230769	0.6071428571428572	0.6538461538461539	0.6296296296296297	0.6071428571428572	0.6153846153846154	0.64	0.64	0.6666666666666667	0.7307692307692308	0.6	0.5833333333333333	0.6799999999999999	0.6153846153846154	0.8181818181818181	0.7083333333333333	0.6086956521739131	0.7096774193548387	0.7307692307692308	0.8620689655172413	0.5833333333333333	0.6923076923076923	0.65625	0.6666666666666667
National Automotive Sampling System General Estimates Systems	0.4642857142857143	0.4642857142857143	0.6888888888888889	0.5925925925925926	0.6799999999999999	0.6296296296296297	0.7692307692307692	0.6551724137931034	0.7037037037037037	0.6153846153846154	0.8	0.6333333333333333	0.6666666666666667	0.7692307692307692	0.6206896551724138	0.75	0.6666666666666667	0.7142857142857143	0.7777777777777778	0.8076923076923077	0.8571428571428572	0.7241379310344828	0.7857142857142857	0.7777777777777778	0.6666666666666667	0.6923076923076923	0.7241379310344828	0.7142857142857143	0.7241379310344828	0.6428571428571428	0.5769230769230769	0.6551724137931034	0.6538461538461539	0.6785714285714286	0.6551724137931034	0.6153846153846154	0.7407407407407407	0.6923076923076923	0.6666666666666667	0.7777777777777778	0.6538461538461539	0.5833333333333333	0.7307692307692308	0.6153846153846154	0.8181818181818181	0.6521739130434783	0.6666666666666667	0.6206896551724138	0.7307692307692308	0.9	0.6923076923076923	0.64	0.65625	0.7586206896551724
Fatalaties and Injuries in Motor Vehicle Backing Crashes	0.5483870967741935	0.5483870967741935	0.5476190476190477	0.5714285714285714	0.6538461538461539	0.6551724137931034	0.64	0.4814814814814815	0.6296296296296297	0.6428571428571428	0.72	0.5172413793103448	0.5925925925925926	0.64	0.4444444444444444	0.7241379310344828	0.6428571428571428	0.6428571428571428	0.6	0.7307692307692308	0.7407407407407407	0.6071428571428572	0.7142857142857143	0.6538461538461539	0.6428571428571428	0.6153846153846154	0.6071428571428572	0.6428571428571428	0.5	0.6666666666666667	0.6071428571428572	0.4814814814814815	0.6296296296296297	0.6551724137931034	0.4814814814814815	0.6896551724137931	0.6666666666666667	0.56	0.6896551724137931	0.6538461538461539	0.6296296296296297	0.6666666666666667	0.8333333333333334	0.6896551724137931	0.782608695652174	0.6799999999999999	0.7407407407407407	0.6	0.7037037037037037	0.7931034482758621	0.6153846153846154	0.6153846153846154	0.6363636363636364	0.6428571428571428
"On-Road Study of Drivers_ Use of Rearview Video Systems"""	0.53125	0.53125	0.6595744680851063	0.6	0.6296296296296297	0.6333333333333333	0.6666666666666667	0.6129032258064516	0.7	0.5714285714285714	0.7857142857142857	0.6764705882352942	0.6206896551724138	0.7142857142857143	0.625	0.7	0.6206896551724138	0.7096774193548387	0.7241379310344828	0.7931034482758621	0.8	0.6774193548387097	0.7333333333333334	0.7241379310344828	0.6666666666666667	0.6428571428571428	0.6774193548387097	0.7096774193548387	0.6774193548387097	0.6875	0.6333333333333333	0.6129032258064516	0.7	0.6774193548387097	0.6129032258064516	0.6666666666666667	0.7333333333333334	0.6428571428571428	0.6666666666666667	0.7241379310344828	0.5555555555555556	0.6428571428571428	0.6785714285714286	0.5185185185185186	0.8	0.6	0.7586206896551724	0.625	0.6785714285714286	0.7666666666666666	0.6896551724137931	0.5925925925925926	0.6944444444444444	0.75
Rear Visbility and Backing Risks in Crashes	0.6	0.6	0.6511627906976745	0.5769230769230769	0.6666666666666667	0.6666666666666667	0.6521739130434783	0.48	0.5833333333333333	0.6538461538461539	0.7391304347826086	0.5714285714285714	0.7037037037037037	0.7083333333333333	0.43999999999999995	0.7407407407407407	0.6538461538461539	0.6538461538461539	0.72	0.75	0.8076923076923077	0.6666666666666667	0.7307692307692308	0.6666666666666667	0.6538461538461539	0.7307692307692308	0.6666666666666667	0.6	0.56	0.7241379310344828	0.6153846153846154	0.48	0.64	0.6153846153846154	0.48	0.6538461538461539	0.6799999999999999	0.6799999999999999	0.75	0.72	0.64	0.6799999999999999	0.7692307692307692	0.6538461538461539	0.75	0.6956521739130435	0.76	0.6071428571428572	0.6666666666666667	0.8148148148148149	0.5652173913043479	0.6799999999999999	0.6451612903225806	0.7037037037037037
The ability of rear-mounted convex mirrors to improve rear visbility	0.3928571428571429	0.3928571428571429	0.5476190476190477	0.5185185185185186	0.6538461538461539	0.6071428571428572	0.6923076923076923	0.6333333333333333	0.6296296296296297	0.5925925925925926	0.72	0.65625	0.5925925925925926	0.6923076923076923	0.6451612903225806	0.7241379310344828	0.5384615384615384	0.6428571428571428	0.6538461538461539	0.7307692307692308	0.7857142857142857	0.7	0.7142857142857143	0.7037037037037037	0.5925925925925926	0.6666666666666667	0.7	0.5925925925925926	0.6071428571428572	0.75	0.5555555555555556	0.6333333333333333	0.5769230769230769	0.6071428571428572	0.6333333333333333	0.5384615384615384	0.6153846153846154	0.6153846153846154	0.6428571428571428	0.6538461538461539	0.6785714285714286	0.7142857142857143	0.7931034482758621	0.6428571428571428	0.8333333333333334	0.7307692307692308	0.64	0.6	0.6538461538461539	0.8709677419354839	0.7142857142857143	0.7142857142857143	0.6764705882352942	0.7741935483870968
