	What determines the value of a life? A Meta Analysis,	What determines the value of a life? A Meta Analysis,	IX-17 $6.1 million. The range of this factor also shifts rightwards from 1 to 10 million to $1.6 to $10.6 million. Figure IX-4 Normal Distribution for Cost Per Fatalities (M)	Hyundai Accent 4-door Car	Sentra 4-door Car	Hyundai Azera 4-door Car	Versa 5-door Car	Volkswagen Jetta 4-door Car	Dodge Caliber 4-door Car	Hyundai Sonata 4-door Car	Carlo 2-door Car	Volkswagen New GTI 3-door Car	Five Hundred 4-door Car	Fit 5-door Car	Volkswagen New Beetle 3-door Car	Volvo S80 4-door Car	Toyota Prius 5-door Car	Pontiac G6 4-door Car	Focus 4-door Car	Accord 4-door Car	Mazda Mazda3 4-door Car	BMW 3-Series 4-door Car	Acura RL 4-door Car	Dodge Charger 4-door Car	Kia Spectra 4-door Car	Saturn Ion 4-door Car	BMW 5-Series 4-door Car	Chrysler 300 4-door Car	Buick Lucerne 4-door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4-door Car	Volkswagen Jetta 4-door Car	Chevrolet Aveo 4-door Car	Subaru Legacy 4-door Car	Volkswagen Passat 4-door Car	Toyota Avalon 4-door Car	Cadillac STS 4-door Car	Fusion 4-door Car	Lexus ES 4-door Car	Matrix 5-door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX-9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E-250 Cargo Van
A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options	0.7422680412371134	0.7422680412371134	0.7413793103448276	0.865979381443299	0.8762886597938144	0.8762886597938144	0.8865979381443299	0.8556701030927835	0.865979381443299	0.865979381443299	0.8865979381443299	0.865979381443299	0.8762886597938144	0.9072164948453608	0.845360824742268	0.8865979381443299	0.865979381443299	0.865979381443299	0.8969072164948454	0.8969072164948454	0.8865979381443299	0.8762886597938144	0.8762886597938144	0.865979381443299	0.8762886597938144	0.8762886597938144	0.8762886597938144	0.8762886597938144	0.865979381443299	0.8350515463917526	0.8556701030927835	0.8556701030927835	0.8556701030927835	0.865979381443299	0.8556701030927835	0.865979381443299	0.8865979381443299	0.8865979381443299	0.8865979381443299	0.8865979381443299	0.8865979381443299	0.9072164948453608	0.9381443298969072	0.8865979381443299	0.9484536082474226	0.9175257731958762	0.9175257731958762	0.8762886597938144	0.9072164948453608	0.9484536082474226	0.8865979381443299	0.9072164948453608	0.845360824742268	0.8969072164948454
Monte Carlo Statistical Methods	0.7735849056603774	0.7735849056603774	0.8793103448275862	0.9032258064516129	0.8387096774193549	0.9032258064516129	0.8709677419354839	0.8387096774193549	0.7741935483870968	0.8709677419354839	0.7741935483870968	0.9032258064516129	0.9032258064516129	0.8709677419354839	0.90625	0.8387096774193549	0.8709677419354839	0.8064516129032258	0.8709677419354839	0.9032258064516129	0.8387096774193549	0.9032258064516129	0.9032258064516129	0.8064516129032258	0.8709677419354839	0.8709677419354839	0.9032258064516129	0.9032258064516129	0.9354838709677419	0.7741935483870968	0.8709677419354839	0.8387096774193549	0.8709677419354839	0.9032258064516129	0.8387096774193549	0.8387096774193549	0.8709677419354839	0.9354838709677419	0.9032258064516129	0.8387096774193549	0.7419354838709677	0.8064516129032258	0.8387096774193549	0.8387096774193549	0.8709677419354839	0.8709677419354839	0.8387096774193549	0.9032258064516129	0.7741935483870968	0.8387096774193549	0.7741935483870968	0.8387096774193549	0.8918918918918919	0.8387096774193549
Monte Carlo Strategies in Scientific Computing	0.8301886792452831	0.8301886792452831	0.8448275862068966	0.8260869565217391	0.8478260869565217	0.8695652173913043	0.8695652173913043	0.782608695652174	0.782608695652174	0.8260869565217391	0.8260869565217391	0.8260869565217391	0.8478260869565217	0.8695652173913043	0.8043478260869565	0.8478260869565217	0.8043478260869565	0.8260869565217391	0.8695652173913043	0.8913043478260869	0.8478260869565217	0.8043478260869565	0.8695652173913043	0.782608695652174	0.8478260869565217	0.8478260869565217	0.8043478260869565	0.8695652173913043	0.8695652173913043	0.782608695652174	0.8478260869565217	0.782608695652174	0.8260869565217391	0.8260869565217391	0.8043478260869565	0.8260869565217391	0.8478260869565217	0.8913043478260869	0.8695652173913043	0.8260869565217391	0.8478260869565217	0.8260869565217391	0.8695652173913043	0.8478260869565217	0.9130434782608695	0.8478260869565217	0.8913043478260869	0.8478260869565217	0.8478260869565217	0.8913043478260869	0.8695652173913043	0.8478260869565217	0.8478260869565217	0.8478260869565217
Wards 2008 Automotive Yearbook	0.7735849056603774	0.7735849056603774	0.8908045977011494	0.8666666666666667	0.8	0.8333333333333334	0.7333333333333333	0.8333333333333334	0.8666666666666667	0.8666666666666667	0.7	0.9	0.8666666666666667	0.8	0.84375	0.7333333333333333	0.8333333333333334	0.8	0.7666666666666667	0.8	0.7666666666666667	0.8333333333333334	0.7666666666666667	0.8666666666666667	0.8	0.7666666666666667	0.8333333333333334	0.7333333333333333	0.8666666666666667	0.9333333333333333	0.9	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.8666666666666667	0.8666666666666667	0.8	0.7666666666666667	0.7333333333333333	0.7666666666666667	0.8666666666666667	0.8333333333333334	0.8666666666666667	0.9	0.9	0.8333333333333334	0.9	0.9333333333333333	0.8666666666666667	0.8666666666666667	0.8333333333333334	0.8	0.8378378378378378	0.7666666666666667
Fatality Analysis Reporting System Encyclopedia	0.8301886792452831	0.8301886792452831	0.867816091954023	0.8297872340425532	0.8936170212765957	0.851063829787234	0.8936170212765957	0.8297872340425532	0.8297872340425532	0.8085106382978723	0.8723404255319149	0.851063829787234	0.851063829787234	0.851063829787234	0.8297872340425532	0.8723404255319149	0.8297872340425532	0.8723404255319149	0.8936170212765957	0.8936170212765957	0.8723404255319149	0.851063829787234	0.8936170212765957	0.851063829787234	0.851063829787234	0.8297872340425532	0.851063829787234	0.851063829787234	0.8297872340425532	0.8085106382978723	0.8297872340425532	0.8297872340425532	0.851063829787234	0.851063829787234	0.8297872340425532	0.8085106382978723	0.851063829787234	0.851063829787234	0.8936170212765957	0.851063829787234	0.8297872340425532	0.7872340425531915	0.8723404255319149	0.8723404255319149	0.8936170212765957	0.851063829787234	0.851063829787234	0.8723404255319149	0.8723404255319149	0.8936170212765957	0.851063829787234	0.851063829787234	0.8936170212765957	0.8723404255319149
National Automotive Sampling System General Estimates Systems	0.7704918032786885	0.7704918032786885	0.8103448275862069	0.8524590163934426	0.8852459016393442	0.8524590163934426	0.8852459016393442	0.8360655737704918	0.8360655737704918	0.8524590163934426	0.8688524590163934	0.8360655737704918	0.8524590163934426	0.8852459016393442	0.819672131147541	0.8524590163934426	0.8524590163934426	0.8524590163934426	0.8852459016393442	0.8852459016393442	0.8688524590163934	0.8852459016393442	0.9016393442622951	0.8688524590163934	0.8360655737704918	0.8360655737704918	0.8852459016393442	0.9016393442622951	0.8524590163934426	0.819672131147541	0.8360655737704918	0.8360655737704918	0.8688524590163934	0.8688524590163934	0.8524590163934426	0.8032786885245902	0.8524590163934426	0.8524590163934426	0.9016393442622951	0.8688524590163934	0.8032786885245902	0.819672131147541	0.8852459016393442	0.8360655737704918	0.9180327868852459	0.8688524590163934	0.9016393442622951	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8032786885245902	0.8524590163934426	0.8524590163934426	0.8852459016393442
Fatalaties and Injuries in Motor Vehicle Backing Crashes	0.8035714285714286	0.8035714285714286	0.8275862068965517	0.8035714285714286	0.8214285714285714	0.8035714285714286	0.8392857142857143	0.8035714285714286	0.8214285714285714	0.8035714285714286	0.8214285714285714	0.8035714285714286	0.7678571428571429	0.8214285714285714	0.75	0.8392857142857143	0.7678571428571429	0.8035714285714286	0.8214285714285714	0.8571428571428571	0.8035714285714286	0.7857142857142857	0.8392857142857143	0.8035714285714286	0.8214285714285714	0.7857142857142857	0.7857142857142857	0.8392857142857143	0.8035714285714286	0.8035714285714286	0.7857142857142857	0.8035714285714286	0.8214285714285714	0.8214285714285714	0.8214285714285714	0.8214285714285714	0.8035714285714286	0.8214285714285714	0.8392857142857143	0.8035714285714286	0.8571428571428571	0.875	0.9107142857142857	0.875	0.9107142857142857	0.8392857142857143	0.875	0.875	0.8571428571428571	0.9107142857142857	0.8571428571428571	0.8214285714285714	0.8928571428571429	0.8392857142857143
"On-Road Study of Drivers_ Use of Rearview Video Systems"""	0.7857142857142857	0.7857142857142857	0.8505747126436781	0.8571428571428571	0.8571428571428571	0.8392857142857143	0.8571428571428571	0.8571428571428571	0.8035714285714286	0.8392857142857143	0.8571428571428571	0.8571428571428571	0.8392857142857143	0.875	0.8214285714285714	0.8571428571428571	0.8035714285714286	0.8571428571428571	0.8571428571428571	0.8392857142857143	0.8571428571428571	0.8214285714285714	0.875	0.8035714285714286	0.8392857142857143	0.8392857142857143	0.8214285714285714	0.875	0.8392857142857143	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8392857142857143	0.8392857142857143	0.8571428571428571	0.8392857142857143	0.8571428571428571	0.8571428571428571	0.875	0.8392857142857143	0.8571428571428571	0.8392857142857143	0.8571428571428571	0.8571428571428571	0.9464285714285714	0.8392857142857143	0.9107142857142857	0.8928571428571429	0.8392857142857143	0.8928571428571429	0.8214285714285714	0.8571428571428571	0.875	0.8571428571428571
Rear Visbility and Backing Risks in Crashes	0.7735849056603774	0.7735849056603774	0.8505747126436781	0.813953488372093	0.8372093023255814	0.8372093023255814	0.813953488372093	0.8372093023255814	0.8604651162790697	0.8372093023255814	0.813953488372093	0.8372093023255814	0.8372093023255814	0.8372093023255814	0.813953488372093	0.8372093023255814	0.813953488372093	0.8372093023255814	0.8604651162790697	0.8837209302325582	0.813953488372093	0.8372093023255814	0.8372093023255814	0.8604651162790697	0.813953488372093	0.7906976744186046	0.8372093023255814	0.813953488372093	0.813953488372093	0.7906976744186046	0.7906976744186046	0.8372093023255814	0.813953488372093	0.813953488372093	0.813953488372093	0.813953488372093	0.7906976744186046	0.8372093023255814	0.8372093023255814	0.8372093023255814	0.813953488372093	0.8604651162790697	0.8837209302325582	0.8604651162790697	0.8604651162790697	0.8837209302325582	0.8837209302325582	0.8372093023255814	0.8837209302325582	0.8837209302325582	0.8372093023255814	0.8604651162790697	0.8604651162790697	0.8604651162790697
The ability of rear-mounted convex mirrors to improve rear visbility	0.75	0.75	0.7873563218390804	0.8235294117647058	0.8382352941176471	0.8382352941176471	0.8529411764705882	0.8382352941176471	0.8382352941176471	0.8088235294117647	0.8235294117647058	0.8382352941176471	0.8088235294117647	0.8382352941176471	0.8382352941176471	0.8529411764705882	0.8235294117647058	0.8382352941176471	0.8676470588235294	0.8529411764705882	0.8382352941176471	0.8382352941176471	0.8382352941176471	0.8382352941176471	0.8382352941176471	0.7941176470588235	0.8382352941176471	0.8235294117647058	0.8088235294117647	0.8382352941176471	0.8235294117647058	0.8382352941176471	0.7794117647058824	0.8088235294117647	0.8235294117647058	0.8088235294117647	0.8235294117647058	0.8382352941176471	0.8382352941176471	0.8382352941176471	0.8676470588235294	0.8823529411764706	0.9117647058823529	0.8529411764705882	0.9264705882352942	0.8970588235294118	0.8970588235294118	0.8529411764705882	0.8529411764705882	0.9411764705882353	0.8676470588235294	0.8823529411764706	0.8382352941176471	0.8676470588235294
