	Traffic and Motor Vehicle Safety Act to NHTSA61. NHTSA is adopting this rule under the	105 and 322; delegation of authority at 49 CFR 1.50. VIII-3 Furthermore, this final rule satisfies the congressional mandate in Section 10301 of the Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users of 2005 (SAFETEA-LU).62 Under that provision, the Secretary of Transportation must conduct a rulemaking to “establish performance criteria to reduce the occurrence of rollovers consistent with stability enhancing technologies” and issue “a final rule by April 1,	Description and estimate of the number of small entities to which the proposal or final rule will apply The proposal applies to truck tractor and large bus manufacturers who produce these types of vehicles with a GVWR greater than 11,793 kg (26,000 pounds). The proposal also will impact manufacturers of ESC systems. Business entities are defined as small businesses using the North American Industry Classification System (NAICS	is the number of employees in the firm. Affected business categories include: (a) To qualify as a small business in Heavy Duty Truck Manufacturing (NAICS	the firm must have fewer than 1000 employees, (b) In Truck Trailer Manufacturing (NAICS 336212), the firm must have fewer than 500 employees, (c)	The latest version modified by the Office of Management and Budget in	They are Advanced Bus Industries, Ebus Inc., Enova Systems,
The Economic Impacts and Social Benefits of the U.S. Motorcoach	0.4242424242424242	0.6	0.5510204081632653	0.46153846153846156	0.5581395348837209	0.4	0.3666666666666667
"""A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options"""	0.4736842105263158	0.6166666666666667	0.5192307692307692	0.4285714285714286	0.48888888888888893	0.4117647058823529	0.5135135135135135
2002 Census	0.8387096774193549	0.8490566037735849	0.8297872340425532	0.8421052631578947	0.7894736842105263	0.8148148148148149	0.8214285714285714
Annual Production Estimate	0.5483870967741935	0.7037037037037037	0.6666666666666667	0.6052631578947368	0.6585365853658536	0.4814814814814815	0.4444444444444444
Class 8 Truck Tractor Slaes Volumes between 2005 and 2009	0.6052631578947368	0.5555555555555556	0.5306122448979591	0.5813953488372092	0.5	0.5588235294117647	0.5714285714285714
Initial Target Crashes, KABCO injuries, and PDOVS Table	0.5526315789473684	0.6440677966101696	0.5490196078431373	0.5348837209302326	0.5869565217391304	0.5	0.47058823529411764
KABCO to MAIS Conversion Table	0.6	0.7017543859649122	0.64	0.5384615384615384	0.5609756097560976	0.4482758620689655	0.4666666666666667
National Bus Trader 	0.5172413793103448	0.7636363636363637	0.6808510638297872	0.6216216216216216	0.675	0.43999999999999995	0.5185185185185186
Retrofitting Trailer-RSC Information	0.6060606060606061	0.6603773584905661	0.6458333333333333	0.5789473684210527	0.6	0.5517241379310345	0.6129032258064516
Proposed Defintion in NPRM	0.5806451612903225	0.7894736842105263	0.7142857142857143	0.631578947368421	0.7142857142857143	0.6206896551724138	0.71875
