	Traffic and Motor Vehicle Safety Act to NHTSA61. NHTSA is adopting this rule under the	105 and 322; delegation of authority at 49 CFR 1.50. VIII-3 Furthermore, this final rule satisfies the congressional mandate in Section 10301 of the Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users of 2005 (SAFETEA-LU).62 Under that provision, the Secretary of Transportation must conduct a rulemaking to “establish performance criteria to reduce the occurrence of rollovers consistent with stability enhancing technologies” and issue “a final rule by April 1,	Description and estimate of the number of small entities to which the proposal or final rule will apply The proposal applies to truck tractor and large bus manufacturers who produce these types of vehicles with a GVWR greater than 11,793 kg (26,000 pounds). The proposal also will impact manufacturers of ESC systems. Business entities are defined as small businesses using the North American Industry Classification System (NAICS	is the number of employees in the firm. Affected business categories include: (a) To qualify as a small business in Heavy Duty Truck Manufacturing (NAICS	the firm must have fewer than 1000 employees, (b) In Truck Trailer Manufacturing (NAICS 336212), the firm must have fewer than 500 employees, (c)	The latest version modified by the Office of Management and Budget in	They are Advanced Bus Industries, Ebus Inc., Enova Systems,
The Economic Impacts and Social Benefits of the U.S. Motorcoach	0.7674418604651163	0.903420523138833	0.8976744186046511	0.803921568627451	0.8068965517241379	0.7971014492753623	0.8253968253968254
"""A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options"""	0.7373737373737373	0.8631790744466801	0.8395348837209302	0.7647058823529411	0.7862068965517242	0.7373737373737373	0.7676767676767676
2002 Census	0.9418604651162791	0.9798792756539235	0.9767441860465116	0.9607843137254902	0.9517241379310345	0.9420289855072463	0.8983050847457628
Annual Production Estimate	0.8604651162790697	0.9517102615694165	0.9441860465116279	0.8954248366013072	0.8896551724137931	0.8260869565217391	0.7796610169491526
Class 8 Truck Tractor Slaes Volumes between 2005 and 2009	0.7906976744186046	0.9175050301810865	0.9023255813953488	0.8235294117647058	0.8	0.7971014492753623	0.8813559322033898
Initial Target Crashes, KABCO injuries, and PDOVS Table	0.813953488372093	0.9235412474849095	0.9116279069767442	0.8431372549019608	0.8275862068965517	0.8115942028985508	0.7796610169491526
KABCO to MAIS Conversion Table	0.8488372093023255	0.9577464788732394	0.9558139534883721	0.9019607843137255	0.8896551724137931	0.855072463768116	0.847457627118644
National Bus Trader 	0.8604651162790697	0.9637826961770624	0.958139534883721	0.9019607843137255	0.903448275862069	0.8405797101449275	0.8305084745762712
Retrofitting Trailer-RSC Information	0.8488372093023255	0.9396378269617707	0.9255813953488372	0.8627450980392157	0.8551724137931035	0.7971014492753623	0.8305084745762712
Proposed Defintion in NPRM	0.8488372093023255	0.959758551307847	0.9511627906976744	0.8758169934640523	0.903448275862069	0.7971014492753623	0.8135593220338984
"""Concept of Operation and Voluntary Operational Requrements for Vehicle Stability Systems On-Board Commercial Motor Vehicles "	0.76	0.8430583501006036	0.8162790697674419	0.7712418300653595	0.8275862068965517	0.776	0.816
"""Vehicle Survivability and Travel Mileage Schedules"""	0.7790697674418605	0.9175050301810865	0.9116279069767442	0.8431372549019608	0.8206896551724138	0.7391304347826086	0.8135593220338984
An In-Service Analysis of Maintenance and Repair Expenses for the Anti-Lock Brake System and Underride Guard for Tractors and Trailers 	0.7703703703703704	0.8189134808853119	0.8162790697674419	0.7908496732026143	0.8413793103448276	0.762962962962963	0.8148148148148148
Analysis of Benefits and Costs of Roll Stability Control Systems	0.7790697674418605	0.8993963782696177	0.8767441860465116	0.7973856209150327	0.8275862068965517	0.8260869565217391	0.734375
Class 8 Truck-Tractor Stability Control Test Track Effectiveness ESV No. 09-0552	0.8488372093023255	0.8933601609657947	0.8837209302325582	0.8431372549019608	0.8137931034482758	0.8	0.825
GDP	1.0	1.0	0.9976744186046511	0.9934640522875817	1.0	1.0	1.0
Heavy Truck ESC Effectiveness Study Using NADS	0.8255813953488372	0.9336016096579477	0.9186046511627907	0.8169934640522876	0.8482758620689655	0.8260869565217391	0.7966101694915254
