	Traffic and Motor Vehicle Safety Act to NHTSA61. NHTSA is adopting this rule under the	105 and 322; delegation of authority at 49 CFR 1.50. VIII-3 Furthermore, this final rule satisfies the congressional mandate in Section 10301 of the Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users of 2005 (SAFETEA-LU).62 Under that provision, the Secretary of Transportation must conduct a rulemaking to “establish performance criteria to reduce the occurrence of rollovers consistent with stability enhancing technologies” and issue “a final rule by April 1,	Description and estimate of the number of small entities to which the proposal or final rule will apply The proposal applies to truck tractor and large bus manufacturers who produce these types of vehicles with a GVWR greater than 11,793 kg (26,000 pounds). The proposal also will impact manufacturers of ESC systems. Business entities are defined as small businesses using the North American Industry Classification System (NAICS	is the number of employees in the firm. Affected business categories include: (a) To qualify as a small business in Heavy Duty Truck Manufacturing (NAICS	the firm must have fewer than 1000 employees, (b) In Truck Trailer Manufacturing (NAICS 336212), the firm must have fewer than 500 employees, (c)	The latest version modified by the Office of Management and Budget in	They are Advanced Bus Industries, Ebus Inc., Enova Systems,
The Economic Impacts and Social Benefits of the U.S. Motorcoach	0.2692307692307693	0.4285714285714286	0.3802816901408451	0.30000000000000004	0.3870967741935484	0.25	0.22448979591836737
"""A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options"""	0.31034482758620685	0.4457831325301205	0.35064935064935066	0.2727272727272727	0.32352941176470584	0.2592592592592593	0.34545454545454546
2002 Census	0.7222222222222222	0.7377049180327868	0.7090909090909091	0.7272727272727273	0.6521739130434783	0.6875	0.696969696969697
Annual Production Estimate	0.37777777777777777	0.5428571428571429	0.5	0.4339622641509434	0.49090909090909096	0.31707317073170727	0.2857142857142857
Class 8 Truck Tractor Slaes Volumes between 2005 and 2009	0.4339622641509434	0.3846153846153846	0.36111111111111116	0.4098360655737705	0.33333333333333337	0.3877551020408163	0.4
Initial Target Crashes, KABCO injuries, and PDOVS Table	0.38181818181818183	0.475	0.3783783783783784	0.3650793650793651	0.41538461538461535	0.33333333333333337	0.3076923076923077
KABCO to MAIS Conversion Table	0.4285714285714286	0.5405405405405406	0.47058823529411764	0.368421052631579	0.38983050847457623	0.28888888888888886	0.30434782608695654
National Bus Trader 	0.34883720930232553	0.6176470588235294	0.5161290322580645	0.4509803921568627	0.5094339622641509	0.28205128205128205	0.35
Retrofitting Trailer-RSC Information	0.4347826086956522	0.49295774647887325	0.4769230769230769	0.40740740740740744	0.4285714285714286	0.38095238095238093	0.4418604651162791
Proposed Defintion in NPRM	0.40909090909090906	0.6521739130434783	0.5555555555555556	0.46153846153846156	0.5555555555555556	0.44999999999999996	0.5609756097560976
"""Concept of Operation and Voluntary Operational Requrements for Vehicle Stability Systems On-Board Commercial Motor Vehicles "	0.29824561403508776	0.3902439024390244	0.368421052631579	0.29230769230769227	0.3731343283582089	0.2075471698113207	0.33333333333333337
"""Vehicle Survivability and Travel Mileage Schedules"""	0.24	0.4666666666666667	0.42028985507246375	0.31034482758620685	0.3666666666666667	0.17391304347826086	0.276595744680851
An In-Service Analysis of Maintenance and Repair Expenses for the Anti-Lock Brake System and Underride Guard for Tractors and Trailers 	0.3114754098360656	0.3023255813953488	0.30000000000000004	0.2753623188405797	0.323943661971831	0.26315789473684215	0.24137931034482762
Analysis of Benefits and Costs of Roll Stability Control Systems	0.375	0.4794520547945206	0.4029850746268657	0.3571428571428571	0.4137931034482759	0.2727272727272727	0.28888888888888886
Class 8 Truck-Tractor Stability Control Test Track Effectiveness ESV No. 09-0552	0.3448275862068966	0.32530120481927716	0.2987012987012987	0.33333333333333337	0.2941176470588235	0.37037037037037035	0.34545454545454546
GDP	1.0	1.0	0.92	0.9487179487179487	1.0	1.0	1.0
Heavy Truck ESC Effectiveness Study Using NADS	0.28301886792452835	0.4358974358974359	0.36111111111111116	0.24590163934426235	0.3650793650793651	0.34693877551020413	0.31999999999999995
Safety Benefits of Stability Control Systems for Tractor Semitrailers 	0.36170212765957444	0.5	0.4242424242424242	0.34545454545454546	0.368421052631579	0.2093023255813954	0.2727272727272727
Table 2 : The Economic Impact of Motor Vehicle Crashes 2000	0.3584905660377359	0.3846153846153846	0.36111111111111116	0.3114754098360656	0.3015873015873016	0.30612244897959184	0.36
Tractor-Semitrailer Stability Objective Performance Test Research-Roll Stability	0.3846153846153846	0.4545454545454546	0.43661971830985913	0.3666666666666667	0.3870967741935484	0.20833333333333337	0.30612244897959184
Double Integration Technique for Calculating Lateral Displacement	0.34615384615384615	0.4025974025974026	0.3802816901408451	0.23333333333333328	0.32258064516129037	0.25	0.34693877551020413
ABA Motorcoach Census	0.39534883720930236	0.6176470588235294	0.5483870967741935	0.4509803921568627	0.4716981132075472	0.33333333333333337	0.35
Motorcoach Facts 2009	0.5609756097560976	0.6363636363636364	0.6333333333333333	0.6326530612244898	0.5686274509803921	0.5135135135135135	0.5789473684210527
An Analysis of the Operational Costs of Trucking	0.24	0.43999999999999995	0.3913043478260869	0.27586206896551724	0.30000000000000004	0.21739130434782605	0.36170212765957444
A Survey of the Freight Transportation Demand Literature and Comparison of Elasticity Estimates	0.25	0.33333333333333337	0.30666666666666664	0.21875	0.303030303030303	0.23076923076923073	0.24528301886792447
Unit Costs of Medium and Heavy Truck Crashes	0.2941176470588235	0.4473684210526315	0.4285714285714286	0.2542372881355932	0.34426229508196726	0.19148936170212771	0.29166666666666663
"""A Sugested Approach for Discounting the Benefits and Costs of Environmental Regulations"""	0.3090909090909091	0.4	0.29729729729729726	0.2698412698412699	0.3538461538461538	0.2549019607843137	0.2692307692307693
Regulatory Flexibility Act of 1980	0.4	0.43999999999999995	0.4492753623188406	0.48275862068965514	0.43333333333333335	0.3913043478260869	0.4893617021276596
Traffic and Motor Vehicle Safety Act	0.19148936170212771	0.5	0.4545454545454546	0.34545454545454546	0.4035087719298246	0.2558139534883721	0.31818181818181823
"""Effectiveness of Stability Systems for Truck Tractors"""	0.36	0.43999999999999995	0.3913043478260869	0.31034482758620685	0.33333333333333337	0.21739130434782605	0.23404255319148937
Crash Problem Definition and Safety Benefits methodology for Stability Control for Single-Unit Medium and Heavy Trucks and Large Platform Buses 	0.30000000000000004	0.3647058823529412	0.3417721518987342	0.20588235294117652	0.3142857142857143	0.1785714285714286	0.29824561403508776
Benefits of Stability Control Systems for Tractor-Semitrailers 	0.375	0.4794520547945206	0.4328358208955224	0.3571428571428571	0.3793103448275862	0.2272727272727273	0.28888888888888886
Final Regulatory Impact Analysis: Airbrake Systems, Amending Stopping Distance	0.34545454545454546	0.35	0.32432432432432434	0.23809523809523814	0.32307692307692304	0.33333333333333337	0.2692307692307693
Discounting Environmental Health Risks: New Evidence and Policy Implications	0.33333333333333337	0.3902439024390244	0.3157894736842105	0.23076923076923073	0.34328358208955223	0.3207547169811321	0.33333333333333337
