	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Family Oks Derailment Settlement	0.65625	0.6666666666666667	0.6	0.7083333333333333	0.6	0.52	0.7058823529411764	0.6486486486486487	0.7333333333333334	0.6052631578947368	0.6470588235294117
Highway Business Report Fewer Customers	0.5882352941176471	0.5476190476190477	0.6666666666666667	0.574468085106383	0.1923076923076923	0.5517241379310345	0.5588235294117647	0.5897435897435898	0.6521739130434783	0.5128205128205128	0.5
Judge Approves Preliminary Settlement in Graniteville Train Wreck	0.48571428571428577	0.5652173913043479	0.3928571428571429	0.5882352941176471	0.5142857142857142	0.53125	0.4117647058823529	0.42105263157894735	0.5434782608695652	0.3846153846153846	0.4864864864864865
The Incidence and Economic Costs of Major Health Impairments	0.5294117647058824	0.5681818181818181	0.5517241379310345	0.5918367346938775	0.5151515151515151	0.5333333333333333	0.5	0.5	0.5116279069767442	0.5365853658536586	0.34375
American Factfinder	0.5714285714285714	0.675	0.5454545454545454	0.7173913043478262	0.6071428571428572	0.64	0.6774193548387097	0.6571428571428571	0.7142857142857143	0.6486486486486487	0.65625
Anhydrous Ammonia Safety	0.48275862068965514	0.575	0.5	0.6304347826086957	0.5172413793103448	0.5384615384615384	0.59375	0.5428571428571429	0.5853658536585367	0.5405405405405406	0.4838709677419355
A National Risk Assessment for Selected Hazardous Materials in Transportation	0.375	0.5227272727272727	0.5333333333333333	0.5800000000000001	0.5	0.5625	0.48571428571428577	0.4054054054054054	0.5652173913043479	0.44999999999999996	0.4285714285714286
Alternative Approaches to Accident Cost Concepts	0.48275862068965514	0.6428571428571428	0.56	0.6304347826086957	0.4642857142857143	0.48	0.3928571428571429	0.6216216216216216	0.6190476190476191	0.5405405405405406	0.53125
Cost of Injury in the United States, A Report to Congress	0.4545454545454546	0.5116279069767442	0.5172413793103448	0.5106382978723405	0.4375	0.5483870967741935	0.4242424242424242	0.4736842105263158	0.5555555555555556	0.475	0.36363636363636365
Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near Minot, North Dakota	0.5555555555555556	0.09756097560975607	0.5384615384615384	0.3846153846153846	0.47619047619047616	0.4871794871794872	0.5	0.36363636363636365	0.4807692307692307	0.33333333333333337	0.4545454545454546
NTSB Breif Accident Report, RAB/98-07	0.5833333333333333	0.5777777777777777	0.5666666666666667	0.6	0.6486486486486487	0.6764705882352942	0.631578947368421	0.55	0.6734693877551021	0.6444444444444444	0.6153846153846154
Report of Railroad Accident Collision of Norfolk Southern Frieght Train 192 with Standing Norfolk Southern Local Train P22 with Subsequent Hazardous Materials Release	0.5348837209302326	0.3111111111111111	0.5897435897435898	0.4814814814814815	0.4878048780487805	0.575	0.47619047619047616	0.4782608695652174	0.4901960784313726	0.37777777777777777	0.5
Report on the Graniteville, SC derailment	0.4666666666666667	0.627906976744186	0.5384615384615384	0.6170212765957447	0.5	0.4	0.4838709677419355	0.6052631578947368	0.6666666666666667	0.5641025641025641	0.46875
Report on the Minot, ND derailment	0.5483870967741935	0.5853658536585367	0.5769230769230769	0.6382978723404256	0.5333333333333333	0.43999999999999995	0.5625	0.5945945945945945	0.6888888888888889	0.5897435897435898	0.5
FRA Public Hearing	0.5666666666666667	0.6341463414634146	0.6	0.7083333333333333	0.5	0.7241379310344828	0.5806451612903225	0.6486486486486487	0.7333333333333334	0.6052631578947368	0.7222222222222222
Public meeting statement by Manager Fleet Engineer, American Railcar Industries	0.5	0.4390243902439024	0.5172413793103448	0.5106382978723405	0.4375	0.59375	0.47058823529411764	0.38888888888888884	0.5555555555555556	0.5121951219512195	0.5
Public meeting statement by Manager Technical Research	0.5757575757575757	0.5	0.5	0.625	0.4666666666666667	0.5862068965517242	0.5	0.5	0.5813953488372092	0.5384615384615384	0.48484848484848486
Statement of Edward Hamberger, President and CEO, Association of American Railroads, before U.S. House of Representatives Subcommittee on Railroads	0.24242424242424243	0.4893617021276596	0.5294117647058824	0.39583333333333337	0.41666666666666663	0.5142857142857142	0.4054054054054054	0.45238095238095233	0.5	0.3414634146341463	0.475
Statement to the docket by the Dow Chemical Company	0.5757575757575757	0.5714285714285714	0.5555555555555556	0.653061224489796	0.5161290322580645	0.04761904761904767	0.5882352941176471	0.6153846153846154	0.6136363636363636	0.45945945945945943	0.48484848484848486
Testimony of Fred Morscheck from the McGregor Company	0.6111111111111112	0.5348837209302326	0.5	0.5918367346938775	0.46875	0.48275862068965514	0.5	0.5	0.5777777777777777	0.46153846153846156	0.4411764705882353
Testimony of Joe Giesler from Terra Industries 	0.5625	0.5952380952380952	0.48	0.6734693877551021	0.59375	0.6206896551724138	0.5757575757575757	0.48571428571428577	0.6046511627906976	0.5641025641025641	0.4193548387096774
Testimony of Wolf Anderson	0.5666666666666667	0.6341463414634146	0.40909090909090906	0.7083333333333333	0.6	0.6296296296296297	0.625	0.5714285714285714	0.6428571428571428	0.6052631578947368	0.5625
Transcript of May 31 - June 1, 2006 public meeting in docket no. FRA 25169	0.5	0.3829787234042553	0.5897435897435898	0.4814814814814815	0.5238095238095238	0.6097560975609756	0.5116279069767442	0.4444444444444444	0.5192307692307692	0.47916666666666663	0.5
Benefit-Cost Analysis of Using Type 105 Tank Cars Instead of Type 111 Tank Cars to Ship Environmentally-Sensitive Chemicals	0.525	0.46808510638297873	0.5428571428571429	0.43999999999999995	0.5128205128205128	0.5277777777777778	0.46153846153846156	0.3902439024390244	0.47916666666666663	0.43181818181818177	0.4878048780487805
Interests of Amici Curiae: American Trucking Association, Inc. et al, v. Carol Browner, Administrator of the Environmental Protection Agency, et al	0.5128205128205128	0.4222222222222223	0.48484848484848486	0.39583333333333337	0.41666666666666663	0.5142857142857142	0.3142857142857143	0.2894736842105263	0.46808510638297873	0.38095238095238093	0.39473684210526316
Norfolk Southern Railway Annual Report	0.53125	0.5714285714285714	0.5555555555555556	0.5957446808510638	0.4666666666666667	0.4814814814814815	0.5454545454545454	0.5405405405405406	0.6136363636363636	0.5	0.48484848484848486
Norfolk Southern Railway Quarterly Financial Review, Fourth Quarter	0.5294117647058824	0.5348837209302326	0.5	0.5625	0.46875	0.48275862068965514	0.5428571428571429	0.5384615384615384	0.6382978723404256	0.46153846153846156	0.48571428571428577
Alternative Technologies to Railroad Tank Car Placarding	0.5454545454545454	0.5476190476190477	0.46153846153846156	0.6041666666666667	0.4838709677419355	0.5517241379310345	0.25	0.4722222222222222	0.6222222222222222	0.4736842105263158	0.5428571428571429
Ammonia- the Story Behind the Gas	0.59375	0.5853658536585367	0.5769230769230769	0.6382978723404256	0.5333333333333333	0.5555555555555556	0.6470588235294117	0.5555555555555556	0.6590909090909092	0.625	0.5882352941176471
Anhydrous Ammonia Safety	0.48275862068965514	0.575	0.5	0.6304347826086957	0.5172413793103448	0.5384615384615384	0.59375	0.5428571428571429	0.5853658536585367	0.5405405405405406	0.4838709677419355
Chlorine	0.7931034482758621	0.8	0.7142857142857143	0.8260869565217391	0.6923076923076923	0.6818181818181819	0.7142857142857143	0.8	0.8333333333333334	0.7837837837837838	0.7333333333333334
Chlorine's Casualties and Counsel: Nation's worst chlorine gas leak wreaked havoc, but research reveals lessons learned	0.5428571428571429	0.5454545454545454	0.5666666666666667	0.5714285714285714	0.48484848484848486	0.4482758620689655	0.4242424242424242	0.5128205128205128	0.6170212765957447	0.4358974358974359	0.5
Circular A-4: Regulatory Analysis	0.5757575757575757	0.5714285714285714	0.5555555555555556	0.5957446808510638	0.4137931034482759	0.6333333333333333	0.5	0.4571428571428572	0.6739130434782609	0.6097560975609756	0.5294117647058824
Data from Earl Hunter	0.5862068965517242	0.7142857142857143	0.625	0.75	0.6206896551724138	0.6538461538461539	0.7272727272727273	0.6666666666666667	0.7209302325581395	0.6578947368421053	0.6666666666666667
Element properties of chlorine	0.5517241379310345	0.6904761904761905	0.5833333333333333	0.6739130434782609	0.5357142857142857	0.56	0.6129032258064516	0.6388888888888888	0.6341463414634146	0.631578947368421	0.5483870967741935
Information extracted from the RSI-AAR Railroad Tank Car Saftey Research Test Project	0.5405405405405406	0.4418604651162791	0.4666666666666667	0.5102040816326531	0.5277777777777778	0.5	0.38235294117647056	0.3513513513513513	0.5531914893617021	0.47619047619047616	0.37142857142857144
PIH Risk Analysis Presentation	0.5806451612903225	0.6428571428571428	0.56	0.6875	0.5172413793103448	0.6428571428571428	0.5	0.5428571428571429	0.7111111111111111	0.6153846153846154	0.6176470588235294
Propulsion Resistance	0.5	0.6585365853658536	0.5217391304347826	0.6739130434782609	0.4814814814814815	0.6153846153846154	0.4642857142857143	0.6	0.6976744186046512	0.631578947368421	0.5483870967741935
Risk Analysis of Rail Transport of Chlorine & Ammonia on U.S. railroad Mainlines	0.4411764705882353	0.5333333333333333	0.5483870967741935	0.5306122448979591	0.5142857142857142	0.4838709677419355	0.4571428571428572	0.46153846153846156	0.5111111111111111	0.46341463414634143	0.4
The Abbreviated Injury Scale as Measurement of Bicyclists Minor Injuries	0.4411764705882353	0.4285714285714286	0.5	0.5306122448979591	0.5142857142857142	0.53125	0.5	0.42105263157894735	0.40476190476190477	0.46341463414634143	0.3529411764705882
The Chlorine Institute	0.6774193548387097	0.65	0.625	0.7234042553191489	0.5714285714285714	0.6538461538461539	0.5	0.6285714285714286	0.6904761904761905	0.6578947368421053	0.5333333333333333
UP, Down Sign Safety Pact	0.625	0.6097560975609756	0.36363636363636365	0.6595744680851063	0.6129032258064516	0.48	0.6764705882352942	0.6216216216216216	0.7111111111111111	0.5405405405405406	0.6176470588235294
Using Agricultural Anhydrous Ammonia Safely 	0.4	0.5121951219512195	0.4	0.5434782608695652	0.43333333333333335	0.5	0.5151515151515151	0.4722222222222222	0.5238095238095238	0.43243243243243246	0.4545454545454546
