	NO PARSCIT CITATIONS
Times Are Changing for Gas Storage	0.8
"""Lessons Learned form Natural Gas STAR Partners: Composite Wrap for Non-Leaking Pipeline Defects"""	0.75
"""Reconsideration of Maximum Allowable Operating Pressure for Natural Gas Pipelines"""	0.8
Distribution & Transmission Annual Mileage Totals (1984-2005)	0.8
Final Regulatory Evaluation: Pipeline Integrity Management in High Consequence Areas	0.8
PHMSA-2005-23387	0.8200000000000001
PHMSA-2005-23448	0.8200000000000001
PHMSA-2006-23998	0.8200000000000001
"""Impact of 80% SMYS Operation on Time Dependent Threats"""	0.8
"""Increasing MAOP on U.S. Gas Transmission Pipelines"""	0.75
"""Reconsideration of Maximum Allowable Operating Pressure: Costs and Benefits - A Macroeconomic View"""	0.8
"""Special Permit Analysis and Findings"""	0.8
Data Submission	0.87
Data Submission	0.87
"""Composite Wrap for Non-Leaking Pipeline Defects"""	0.85
Dialogue 	0.89
Response 	0.78
