"Journal Data Filtered By:  Selected JCR Year: 2008 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,Citable Items,Eigenfactor Score,
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,"7,522",74.575,19,0.036500,
2,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,"205,750",50.017,356,0.680290,
3,ANNUAL REVIEW OF IMMUNOLOGY,0732-0582,"15,519",41.059,24,0.073820,
4,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,"19,628",35.423,84,0.178360,
5,PHYSIOLOGICAL REVIEWS,0031-9333,"17,865",35.000,40,0.056140,
6,REVIEWS OF MODERN PHYSICS,0034-6861,"24,577",33.985,36,0.089320,
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,"114,250",31.718,225,0.380980,
8,NATURE,0028-0836,"443,967",31.434,899,1.763450,
9,CELL,0092-8674,"142,064",31.253,348,0.671690,
10,NATURE REVIEWS CANCER,1474-175X,"18,908",30.762,80,0.135250,
11,NATURE GENETICS,1061-4036,"61,812",30.259,215,0.321780,
12,ANNUAL REVIEW OF BIOCHEMISTRY,0066-4154,"16,889",30.016,31,0.068520,
13,NATURE REVIEWS IMMUNOLOGY,1474-1733,"15,775",30.006,83,0.134470,
14,NATURE REVIEWS DRUG DISCOVERY,1474-1776,"10,062",28.690,62,0.068120,
15,LANCET,0140-6736,"148,106",28.409,289,0.411770,
16,SCIENCE,0036-8075,"409,290",28.103,862,1.583090,
17,NATURE MEDICINE,1078-8956,"48,632",27.553,141,0.226870,
18,ANNUAL REVIEW OF NEUROSCIENCE,0147-006X,"10,132",26.405,23,0.046110,
19,NATURE REVIEWS NEUROSCIENCE,1471-0048,"15,642",25.940,71,0.113990,
20,ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,0066-4146,"6,280",25.826,13,0.023370,
21,NATURE IMMUNOLOGY,1529-2908,"25,245",25.113,133,0.207190,
22,Nature Photonics,1749-4885,"1,745",24.982,74,0.014870,
23,CANCER CELL,1535-6108,"12,985",24.962,78,0.119020,
24,NATURE REVIEWS GENETICS,1471-0056,"12,732",24.185,77,0.107600,
25,CHEMICAL REVIEWS,0009-2665,"69,560",23.592,159,0.202880,
26,NATURE MATERIALS,1476-1122,"18,902",23.132,129,0.185540,
27,ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,1081-0706,"8,063",22.731,24,0.049610,
28,NATURE BIOTECHNOLOGY,1087-0156,"28,188",22.297,100,0.147050,
29,ANNUAL REVIEW OF PLANT BIOLOGY,1040-2519,"9,487",22.192,30,0.025700,
30,PHARMACOLOGICAL REVIEWS,0031-6997,"9,184",21.936,18,0.020770,
31,ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,0362-1642,"6,510",21.561,23,0.020290,
32,IMMUNITY,1074-7613,"25,824",20.579,147,0.152920,
33,Nature Nanotechnology,1748-3387,"2,927",20.571,93,0.029360,
34,ANNUAL REVIEW OF PHYSIOLOGY,0066-4278,"7,039",19.740,23,0.025260,
35,ENDOCRINE REVIEWS,0163-769X,"12,548",18.562,36,0.031230,
36,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,"17,347",18.522,49,0.057700,
37,PROGRESS IN MATERIALS SCIENCE,0079-6425,"3,425",18.132,14,0.012830,
38,NATURE CELL BIOLOGY,1465-7392,"22,676",17.774,145,0.169860,
39,ANNALS OF INTERNAL MEDICINE,0003-4819,"44,785",17.457,162,0.126040,
40,CHEMICAL SOCIETY REVIEWS,0306-0012,"12,305",17.419,187,0.054030,
41,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,"97,639",17.157,766,0.347540,
42,ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,1056-8700,"4,500",17.049,0,0.020120,
43,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,"7,106",16.950,29,0.028240,
44,Cell Stem Cell,1934-5909,"1,232",16.826,96,0.012540,
