"Journal Data Filtered By:  Selected JCR Year: 2010 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,5-Year Impact Factor,Citable Items,,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,"9,804",94.333,70.245,18,,0.048930
2,ACTA CRYSTALLOGRAPHICA SECTION A,0108-7673,"13,946",54.333,24.717,70,,0.046350
3,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,"227,679",53.486,52.363,345,,0.688350
4,REVIEWS OF MODERN PHYSICS,0034-6861,"29,872",51.695,48.621,73,,0.107060
5,Annual Review of Immunology,0732-0582,"16,100",49.271,46.688,22,,0.062410
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,"26,838",38.650,41.578,70,,0.185760
7,NATURE REVIEWS CANCER,1474-175X,"26,729",37.184,37.881,71,,0.129790
8,NATURE GENETICS,1061-4036,"76,301",36.377,32.701,178,,0.357450
9,NATURE,0028-0836,"511,248",36.104,35.248,862,,1.735200
10,NATURE REVIEWS IMMUNOLOGY,1474-1733,"21,080",35.196,33.644,70,,0.123810
11,LANCET,0140-6736,"155,736",33.633,32.498,271,,0.378640
12,CHEMICAL REVIEWS,0009-2665,"88,391",33.036,36.438,188,,0.199010
13,NATURE REVIEWS GENETICS,1471-0056,"18,519",32.745,28.993,71,,0.122070
14,CELL,0092-8674,"167,591",32.406,34.931,319,,0.700270
15,SCIENCE,0036-8075,"469,815",31.377,31.777,862,,1.455460
16,NATURE BIOTECHNOLOGY,1087-0156,"34,523",31.090,29.065,117,,0.131590
17,Nature Nanotechnology,1748-3387,"11,425",30.324,31.305,130,,0.094590
18,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,"117,497",30.011,29.310,233,,0.308390
19,NATURE MATERIALS,1476-1122,"32,037",29.920,33.444,137,,0.210440
20,Annual Review of Biochemistry,0066-4154,"18,621",29.742,34.471,28,,0.061030
21,NATURE REVIEWS NEUROSCIENCE,1471-0048,"21,755",29.510,32.753,65,,0.111970
22,NATURE REVIEWS DRUG DISCOVERY,1474-1776,"14,742",28.712,30.918,67,,0.067040
23,PHYSIOLOGICAL REVIEWS,0031-9333,"20,265",28.417,37.047,35,,0.048470
24,Annual Review of Plant Biology,1543-5008,"11,673",28.415,27.648,29,,0.026060
25,Annual Review of Astronomy and Astrophysics,0066-4146,"6,856",27.444,27.814,17,,0.021400
26,CANCER CELL,1535-6108,"17,941",26.925,28.438,93,,0.108880
27,Annual Review of Neuroscience,0147-006X,"11,465",26.756,30.559,20,,0.033280
28,CHEMICAL SOCIETY REVIEWS,0306-0012,"24,951",26.585,24.643,297,,0.108040
29,Nature Photonics,1749-4885,"6,966",26.506,29.708,105,,0.063500
30,Cell Stem Cell,1934-5909,"6,982",25.943,26.967,104,,0.066410
31,NATURE IMMUNOLOGY,1529-2908,"30,335",25.668,25.934,129,,0.182670
32,NATURE MEDICINE,1078-8956,"53,666",25.430,27.887,151,,0.180600
33,IMMUNITY,1074-7613,"31,635",24.221,22.133,139,,0.168700
34,PROGRESS IN POLYMER SCIENCE,0079-6700,"10,825",22.870,25.197,47,,0.027290
35,ENDOCRINE REVIEWS,0163-769X,"13,093",22.469,21.696,28,,0.025630
36,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"5,902",21.952,24.509,6,,0.012610
36,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"5,902",21.952,24.509,6,,0.012610
38,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,"33,869",21.852,20.330,149,,0.096920
39,Annual Review of Genetics,0066-4197,"6,116",21.774,21.661,19,,0.029650
40,LANCET NEUROLOGY,1474-4422,"11,076",21.659,18.277,94,,0.061780
41,ADVANCES IN PHYSICS,0001-8732,"4,193",21.214,19.065,8,,0.012240
42,NATURE METHODS,1548-7091,"12,094",20.721,19.286,127,,0.110960
43,NATURE REVIEWS MICROBIOLOGY,1740-1526,"10,352",20.686,20.170,77,,0.070080
44,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,"4,167",19.750,22.750,29,,0.009510
45,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,"19,243",19.438,22.760,35,,0.057420
46,NATURE CELL BIOLOGY,1465-7392,"28,409",19.407,19.578,130,,0.166080
47,ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,0362-1642,"6,842",19.238,21.277,17,,0.017360
48,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,"114,318",18.970,16.429,784,,0.397960
49,PHARMACOLOGICAL REVIEWS,0031-6997,"9,382",18.861,23.857,22,,0.017920
50,Annual Review of Pathology-Mechanisms of Disease,1553-4006,"1,527",18.778,17.835,13,,0.012560
51,SURFACE SCIENCE REPORTS,0167-5729,"3,618",18.593,17.954,10,,0.009970
52,Nature Physics,1745-2473,"11,344",18.430,18.799,158,,0.152080
53,ANNUAL REVIEW OF PSYCHOLOGY,0066-4308,"8,666",18.288,21.727,26,,0.024000
53,ANNUAL REVIEW OF PSYCHOLOGY,0066-4308,"8,666",18.288,21.727,26,,0.024000
55,Cell Metabolism,1550-4131,"8,682",18.207,20.130,106,,0.075590
56,Nature Chemistry,1755-4330,"2,041",17.927,17.927,143,,0.012990
57,LANCET ONCOLOGY,1470-2045,"10,853",17.764,16.082,108,,0.055320
58,Annual Review of Biophysics,1936-122X,811,17.524,17.524,28,,0.008290
59,Annual Review of Genomics and Human Genetics,1527-8204,"2,112",17.182,14.448,18,,0.015380
60,ANNALS OF INTERNAL MEDICINE,0003-4819,"45,766",16.729,16.760,167,,0.120780
