cite,jac,jac_match,lev,lev_match,partial,partial_match,ria,sor,sor_match,source,type,citeulike
Counsel 202 452–2036 Legal Division For the hearing impaired only Telecommunication Device for the Deaf TDD,0.4871794871794872,Analysis of the Third Trading Book Impact Study ,0.7706422018348624,Analysis of the Third Trading Book Impact Study ,0.53,Analysis of the Third Trading Book Impact Study ,1557-AC99,0.3220338983050848,Analysis of the Third Trading Book Impact Study ,pc,,no match
Adoption of Proposed Common Rule 1 The authority citation for part 3 continues to read as follows Authority 12 USC 93a 161 1818 3907 and 3909 1921 Federal Register ,0.4358974358974359,Analysis of the Third Trading Book Impact Study ,0.8475609756097561,Analysis of the Third Trading Book Impact Study ,0.30000000000000004,5 USC 603a,1557-AC99,0.2786885245901639,Analysis of the Third Trading Book Impact Study ,pc,,no match
Governors of the Federal 4 The authority citation for part 208 continues to read as follows Authority,0.4242424242424242,Analysis of the Third Trading Book Impact Study ,0.7524752475247525,Analysis of the Third Trading Book Impact Study ,0.55,12 CFR part 208 Appendix F and 12 CFR part 225,1557-AC99,0.2692307692307693,Analysis of the Third Trading Book Impact Study ,pc,,no match
The authority citation for part 225 continues to read as follows Authority,0.3214285714285714,Analysis of the Third Trading Book Impact Study ,0.7567567567567568,12 CFR part 225 Appendix A section IIB Board,0.5700000000000001,12 CFR part 225 Appendix A section IIB Board,1557-AC99,0.1914893617021277,Analysis of the Third Trading Book Impact Study ,pc,,no match
Federal Deposit Insurance Corporation 12 CFR Chapter III Authority and Issuance For the reasons set forth in the common preamble part 325 of chapter III of title 12 of the Code of Federal Regulations is proposed to be amended as follows PART 325—CAPITAL MAINTENANCE 10 The authority citation for part 325 continues to read as follows,0.5,Analysis of the Third Trading Book Impact Study ,0.8955223880597015,12 CFR part 208 Appendix F and 12 CFR part 225,0.53,12 CFR part 208 Appendix F and 12 CFR part 225,1557-AC99,0.33333333333333337,Analysis of the Third Trading Book Impact Study ,pc,,no match
to Part 325—RiskBased Capital for State Nonmember Banks Market Risk 12 Appendix C is further amended by a Removing ‘‘Agency’’ wherever it appears and adding in its place ‘‘FDIC’’ b Removing ‘‘Agency’s’’ wherever it appears and adding in its place ‘‘FDIC’s’’ c Removing ‘‘banking organization’’ wherever it appears and adding in its place ‘‘bank’’ d Removing ‘‘banking organizations’’ wherever it appears and adding in its place ‘‘banks’’ e Removing Call Report or FR Y–9C wherever it appears and adding in its place ‘‘Call Report’’ f Removing ‘‘the advanced capital adequacy framework’’ wherever it appears and adding in its place ‘‘Appendix D to this part’’ g Removing ‘‘regulatory report’’ wherever it appears and adding in its place ‘‘Consolidated Reports of Condition and Income Call Report’’ h Removing ‘‘the general riskbased capital rules’’ wherever it appears and adding in its place ‘‘Appendix A to this part’’,0.52,Analysis of the Third Trading Book Impact Study ,0.9608404966571156,Analysis of the Third Trading Book Impact Study ,0.5,12 CFR part 3 Appendix C OCC,1557-AC99,0.3513513513513513,Analysis of the Third Trading Book Impact Study ,pc,,no match
By order of the Board of Governors of the Federal Reserve System,0.4482758620689655,Analysis of the Third Trading Book Impact Study ,0.734375,Analysis of the Third Trading Book Impact Study ,0.5900000000000001,Analysis of the Third Trading Book Impact Study ,1557-AC99,0.2888888888888889,Analysis of the Third Trading Book Impact Study ,pc,,no match
this 14th of December 2010 By order of the Board of Directors Federal Deposit Insurance Corporation Robert E Feldman Executive Secretary,0.4285714285714286,12 CFR part 225 Appendix A section IIB Board,0.8088235294117647,Analysis of the Third Trading Book Impact Study ,0.61,Analysis of the Third Trading Book Impact Study ,1557-AC99,0.2727272727272727,12 CFR part 225 Appendix A section IIB Board,pc,,no match
Breakdown of Monetized PM25 Health Benefits using Mortality Function from,0.3529411764705882,National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry,0.6849315068493149,SAB Advisory on EPA�s Issues in Valuing Mortality Risk Reduction,0.48,The influence of location source and emission type in estimates of the human health benefits of reducing a ton of air pollution,2060-AP90,0.2142857142857143,National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry,pc,,no match
Intake of mercury from fish lipid peroxidation and the risk of myocardial infarction and coronary cardiovascular and any death in Eastern Finnish men”,0.14814814814814814,Intake of mercury from fish lipidperoxidation and the risk of myocardialinfarction and coronary cardiovascular and any death in eastern Finnish men,0.03947368421052632,Intake of mercury from fish lipidperoxidation and the risk of myocardialinfarction and coronary cardiovascular and any death in eastern Finnish men,0.030000000000000027,Intake of mercury from fish lipidperoxidation and the risk of myocardialinfarction and coronary cardiovascular and any death in eastern Finnish men,2060-AP90,0.07999999999999996,Intake of mercury from fish lipidperoxidation and the risk of myocardialinfarction and coronary cardiovascular and any death in eastern Finnish men,pc,,10.1161/01.cir.91.3.64
Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age” Epidemiology,0.2857142857142857,Extended followup and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality,0.2673267326732673,Prenatal methylmercury exposure as a cardiovascular risk factor at seven years of age,0.13,Prenatal methylmercury exposure as a cardiovascular risk factor at seven years of age,2060-AP90,0.16666666666666666,Extended followup and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality,pc,,10.1093/aje/kwu28
Toxicological Effects of Methylmercury,0.0,Toxicological Effects of Methylmercury,0.0,Toxicological Effects of Methylmercury,0.0,Toxicological Effects of Methylmercury,2060-AP90,0.0,Toxicological Effects of Methylmercury,pc,Book,no match
Environmental Protection Agency,0.3043478260869565,Average Industrial Retail Price of Electricity,0.6842105263157895,Toxicological Effects of Methylmercury,0.42,Revised Secondary Environmental and Energy Impacts for New HMIWI EPA Contract No EPD06118 Work Assignment No 309 SPPD No 0230 RTI Project No 0210426003009,2060-AP90,0.17948717948717952,Average Industrial Retail Price of Electricity,pc,,no match
Co‑Chair NACWA Biosolids Management Committee email to,0.3448275862068966,Sewage Sludge Incinerator Informational Meeting with the National Association of Clean Water Agencies,0.7321428571428571,Biosolids Frequently Asked Questions,0.48,Biosolids Frequently Asked Questions,2060-AP90,0.20833333333333334,Sewage Sludge Incinerator Informational Meeting with the National Association of Clean Water Agencies,pc,,no match
Memorandum from Eastern Research Group to Amy Hambrick US Environmental Protection Agency,0.2285714285714285,Consultation of EPAs Particulate Matter National Ambient Air Quality Standards Scope and Methods Plan for Health Risk and Exposure Assesment,0.7164179104477612,An empirical Bayes approach to combining and comparing estimates of the value of a statistical life for environmental policy analysis ,0.53,An empirical Bayes approach to combining and comparing estimates of the value of a statistical life for environmental policy analysis ,2060-AP90,0.12903225806451613,Consultation of EPAs Particulate Matter National Ambient Air Quality Standards Scope and Methods Plan for Health Risk and Exposure Assesment,pc,,no match
and Emissions Test Database for the Sewage Sludge Incineration Source Category Memorandum from Eastern Research Group to Amy Hambrick US Environmental Protection Agency,0.23684210526315785,Cost and Emissions Reduction of Complying with the MACT Floor for Existing SSI Units,0.6190476190476191,Facility Unit and Emissions Test Database for the Sewage Sludge Incineration Source Category,0.16000000000000006,Facility Unit and Emissions Test Database for the Sewage Sludge Incineration Source Category,2060-AP90,0.13432835820895528,Cost and Emissions Reduction of Complying with the MACT Floor for Existing SSI Units,pc,,no match
The influence of location source and emission type in estimates of the human health benefits of reducing a ton of air pollution Air Qual Atmos Health,0.125,The influence of location source and emission type in estimates of the human health benefits of reducing a ton of air pollution,0.1476510067114094,The influence of location source and emission type in estimates of the human health benefits of reducing a ton of air pollution,0.0,The influence of location source and emission type in estimates of the human health benefits of reducing a ton of air pollution,2060-AP90,0.06666666666666665,The influence of location source and emission type in estimates of the human health benefits of reducing a ton of air pollution,pc,,10.1007/s11869-009-0044-
Revised Compliance Costs and Economic Inputs for Existing HMIWI,0.0,Revised Compliance Costs and Economic Inputs for Existing HMIWI,0.0,Revised Compliance Costs and Economic Inputs for Existing HMIWI,0.0,Revised Compliance Costs and Economic Inputs for Existing HMIWI,2060-AP90,0.0,Revised Compliance Costs and Economic Inputs for Existing HMIWI,pc,Other,no match
What Determines the Value of Life,0.31818181818181823,What determines the value of life A metaanalysis,0.375,What determines the value of life A metaanalysis,0.09999999999999998,What determines the value of life A metaanalysis,2060-AP90,0.18918918918918914,What determines the value of life A metaanalysis,pc,,no match
AP 42 Chapter 2 Solid Waste Disposal,0.4137931034482759,OAQPS Control Cost Manual Section 6 Particulate Matter Controls Chapter 2 Wet Scrubbers for Particulate Matter,0.7222222222222222,Air Compliance Advisor,0.5,OAQPS Control cost manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction,2060-AP90,0.2608695652173913,OAQPS Control Cost Manual Section 6 Particulate Matter Controls Chapter 2 Wet Scrubbers for Particulate Matter,pc,,no match
Environmental Protection Agency Office of Air Quality Planning and Standards,0.23076923076923075,Average Industrial Retail Price of Electricity,0.7102803738317757,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead,0.49,Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards,2060-AP90,0.13043478260869568,Average Industrial Retail Price of Electricity,pc,,no match
Guidelines for Preparing Economic Analyses,0.0, Guidelines for Preparing Economic Analyses,0.02325581395348837, Guidelines for Preparing Economic Analyses,0.0, Guidelines for Preparing Economic Analyses,2060-AP90,0.0, Guidelines for Preparing Economic Analyses,pc,,no match
OAQPS Control Cost Manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction Publication US,0.06060606060606055,OAQPS Control cost manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction,0.14912280701754385,OAQPS Control cost manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction,0.030000000000000027,OAQPS Control cost manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction,2060-AP90,0.03125,OAQPS Control cost manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction,pc,,no match
Park NC EPA600R09019F,0.6744186046511628,Revised Secondary Environmental and Energy Impacts for New HMIWI EPA Contract No EPD06118 Work Assignment No 309 SPPD No 0230 RTI Project No 0210426003009,0.8095238095238095,Pocket Ref,0.53,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,2060-AP90,0.5087719298245614,Revised Secondary Environmental and Energy Impacts for New HMIWI EPA Contract No EPD06118 Work Assignment No 309 SPPD No 0230 RTI Project No 0210426003009,pc,,no match
Final Regulatory Impact Analysis RIA for the NO2 National Ambient Air Quality Standards NAAQS,0.0,Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards,0.10752688172043012,Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards,0.05000000000000005,Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards,2060-AP90,0.0,Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards,pc,,no match
Summary of Expert Opinions on the Existence of a Threshold in the ConcentrationResponse Function for PM25related Mortality Technical Support Document Compiled by Office of Air Quality Planning and Standards Research Triangle Park,0.13888888888888884,Summary of Expert Opinions on the Existence of a Threshold in the ConcentrationResponse Function for PM25related Mortality Technical Support Document,0.34934497816593885,Summary of Expert Opinions on the Existence of a Threshold in the ConcentrationResponse Function for PM25related Mortality Technical Support Document,0.0,Summary of Expert Opinions on the Existence of a Threshold in the ConcentrationResponse Function for PM25related Mortality Technical Support Document,2060-AP90,0.07462686567164177,Summary of Expert Opinions on the Existence of a Threshold in the ConcentrationResponse Function for PM25related Mortality Technical Support Document,pc,,no match
Lowest Measured Level LML Assessment for Rules without PolicySpecific Air Quality Data Available Technical Support Document Office of Air Quality Planning and Standards Research Triangle Park,0.09090909090909094,owest Measured Level LML Assessment for Rules without PolicySpecific Air Quality Data AvailableTechnical Support Document,0.3664921465968585,owest Measured Level LML Assessment for Rules without PolicySpecific Air Quality Data AvailableTechnical Support Document,0.010000000000000007,owest Measured Level LML Assessment for Rules without PolicySpecific Air Quality Data AvailableTechnical Support Document,2060-AP90,0.04761904761904767,owest Measured Level LML Assessment for Rules without PolicySpecific Air Quality Data AvailableTechnical Support Document,pc,,no match
Regulatory Impact Analysis for the Transport Rule Office of Air Quality Planning and Standards Research Triangle Park,0.2142857142857143,Regulatory Impact Analysis for the Transport Rule,0.4957264957264957,Final Regulatory Impact Analysis for SO2 National Ambient Air Quality Standards for Lead,0.0,Regulatory Impact Analysis for the Transport Rule,2060-AP90,0.12,Regulatory Impact Analysis for the Transport Rule,pc,,no match
Lindsay Wichers Stanek PM Team Leader—National Center for Environmental Assessment NCEA US Environmental Protection Agency,0.3421052631578947,Analysis of beyond the Maximum Achievable Control Technology MACT Floor Controls for Existing SSI Units,0.717741935483871,Final Regulatory Impact Analysis for SO2 National Ambient Air Quality Standards for Lead,0.51,Integrated Science Assessment for Sulfur Oxides�Health Criteria,2060-AP90,0.2063492063492064,Analysis of beyond the Maximum Achievable Control Technology MACT Floor Controls for Existing SSI Units,pc,,no match
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,0.0,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,0.0,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,0.0,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,2060-AP90,0.0,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,pc,Scholarly Journal,10.1001/jama.287.9.113
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US” Environ Sci Technol,0.16666666666666666,Analysis of beyond the Maximum Achievable Control Technology MACT Floor Controls for Existing SSI Units,0.2558139534883721,Expert judgement assessment of the mortality impact of changes in ambient fine particulate matter in the US,0.09999999999999998,Expert judgement assessment of the mortality impact of changes in ambient fine particulate matter in the US,2060-AP90,0.09090909090909094,Analysis of beyond the Maximum Achievable Control Technology MACT Floor Controls for Existing SSI Units,pc,,no match
Regulatory Impact Analysis,0.13636363636363635,Regulatory Impact Analysis for the Transport Rule,0.4693877551020408,Regulatory Impact Analysis for the Transport Rule,0.0,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,2060-AP90,0.07317073170731703,Regulatory Impact Analysis for the Transport Rule,pc,,no match
Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead Office of Air Quality Planning and Standards Research Triangle Park,0.09375,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead,0.38857142857142857,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead,0.0,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead,2060-AP90,0.049180327868852514,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead,pc,,no match
Final Regulatory Impact Analysis RIA for the SO2 National Ambient Air Quality Standards NAAQS Office of Air Quality Planning and Standards Research Triangle Park,0.09375,Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards,0.4658385093167702,Final Regulatory Impact Analysis for SO2 National Ambient Air Quality Standards for Lead,0.06999999999999995,Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards,2060-AP90,0.049180327868852514,Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards,pc,,no match
Regulatory Impact Analysis for the Transport Rule Office of Air Quality Planning,0.12,Regulatory Impact Analysis for the Transport Rule,0.3875,Regulatory Impact Analysis for the Transport Rule,0.0,Regulatory Impact Analysis for the Transport Rule,2060-AP90,0.06382978723404252,Regulatory Impact Analysis for the Transport Rule,pc,,no match
Costs to be replaced include a bag leak detector replacing opacity test b CO CEMS replacing CO test and secondary chamber temperature monitorc HCl CEMS replacing HCl test HCl sorbent monitor dry scrubbers and scrubber liquor pH monitor wet Sources 1 HospitalMedicalInfectious Waste Incinerators HMIWI EPAHQOAR20060534 Testing and Monitoring Options and Costs Memo,0.24,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,0.7713498622589532,Medical Waste IncineratorsBackground Information for Proposed Standards and Guidelines Model Plant Description and Cost Report for New and Existing Facilities,0.31999999999999995,Costs of CO CEMS,2060-AP90,0.13636363636363635,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,pc,,no match
Email and attachment from Peter Westlin EPA to Mary Johnson,0.29166666666666663,What determines the value of life A metaanalysis,0.6949152542372882,Monitoring Options for SNCR  Test Cost Questions,0.5,Public Health Statement for Lead,2060-AP90,0.1707317073170732,What determines the value of life A metaanalysis,pc,,no match
Some Preliminary Thoughts on the HWI Monitoring,0.0,Some Preliminary Thoughts on HWI Monitoring,0.0851063829787234,Some Preliminary Thoughts on HWI Monitoring,0.09999999999999998,Some Preliminary Thoughts on HWI Monitoring,2060-AP90,0.0,Some Preliminary Thoughts on HWI Monitoring,pc,,no match
