	Ahold announced the pending purchase of Supermarket General-II Holdings Corporation, parent of the Pathmark chain. Similarly, SUPERVALUE acquired Richfood, Food Lion bought out Hannaford Brothers and Scarborough, and Albertson’s purchased American Stores. (Sean Mehegan, ‘‘Consolidation Changes the Face of the North American Supermarket Sector,’’ Meat & Poultry	Agricultural Handbook No.	King Marketing Services,	Safety Commission (Miller et al., ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model,’’ Peer Review Draft Prepared for the U.S. Consumer Product Safety Commission,	Food Safety Efforts Accelerate in the 1990’s,’’ Food Review,	The Economic Benefits of Nutrition Labeling: A Case Study for Fresh Meat and Poultry Products.’’	Re: Docket #98– 005F, Food Safety and Inspection Service Proposed Rule: ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products.’’ Comments submitted to the FSIS Docket Clerk,	Drug Administration (60 FR 65095,	Drug Administration (68 FR 41434–41504,	Read the Label: Reducing Risk by Providing Information	Information Advertising, and Health Choices:	Information, Advertising, and Health: A Study of the Cereal Market.’’ In Economics of Food Safety,	Information and Advertising: The Case of	The Effect of Food Label Use on Nutrient Intakes: An Endogenous Switching Regression Analysis’’,	Assigning Value to Life: Comparing Methods for Valuing Health Risks, Agricultural Economic	A New Approach to Consumer Theory.’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes.’’	Food companies spread nutrition information through advertising and labels. Food Review.	Personnal communication with Mary Muth, RTI International, Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act,’’	FDA Labeling Cost Model.’’ Prepared for the U.S. Food and Drug Administration, Center for Food Safety and Applied Nutrition. Research Triangle Park, NC.	National Cattlemen’s Beef Association.	The Journey towards Retail Meat Case Nutrition Labeling, A white paper,	Uniform Retail Meat Identity Standards.	The NMI Health and Wellness Trends Database.	As reported in Food Technology. ‘‘What, When and Where Americans Eat:	Use of food nutrition labels is associated with lower fat intake’’.	The Imperative to Warn: Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Information Disseminated by Federal Agencies.	Cost Analysis for Nutrition Labeling of Ground, Chopped, and Single-Ingredient Meat and Poultry VerDate	Personal communication with Mary Muth, RTI International, Research	Does Nutrition Labeling Lead to Healthier Eating?’’	Measuring the welfare effects of nutrition information.	Hedonic Prices and Implicit Markets: Product Differentiation in	Department of Agriculture, 1994–1996. Continuing survey of food intake by individuals (CSFII), and companion diet and health knowledge survey (DHKS).	Survey years 1994–1996.	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Department of Agriculture, Agricultural Research Service,	Do Nutrition Labels Improve Dietary Outcomes?	Diet-Health Information and Nutrition: The Intake of Dietary Fats	Fatal Tradeoffs—Public & Private Responsibilities for Risk.	Estimated Benefits of Nutrition Label Changes: Final Report,	Potential Health Benefits of Nutrition Label Changes,’’	Section 381.400 is revised to read as follows:
A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities The Case of the Nutrition Labeling and Education Act	0.7617728531855956	0.9069767441860465	0.9127906976744186	0.7717391304347826	0.8255813953488372	0.7267441860465116	0.7873303167420814	0.8895348837209303	0.8895348837209303	0.813953488372093	0.8255813953488372	0.7906976744186046	0.8023255813953488	0.7674418604651163	0.75	0.8662790697674418	0.8081395348837209	0.7790697674418605	0.7325581395348837	0.7906976744186046	0.033707865168539325	0.7325581395348837	0.8430232558139535	0.7325581395348837	0.8488372093023255	0.8604651162790697	0.7848837209302325	0.7848837209302325	0.8023255813953488	0.75	0.7616279069767442	0.7906976744186046	0.813953488372093	0.7616279069767442	0.7848837209302325	0.7790697674418605	0.9476744186046512	0.7325581395348837	0.8255813953488372	0.8430232558139535	0.7267441860465116	0.8255813953488372	0.7616279069767442	0.7732558139534884	0.8604651162790697
Food companies spread nutrition information through advertising and labels	0.850415512465374	0.8783783783783784	0.8108108108108109	0.8043478260869565	0.7702702702702703	0.7448979591836735	0.7828054298642534	0.7972972972972973	0.8108108108108109	0.7432432432432432	0.7297297297297297	0.7731958762886598	0.6621621621621622	0.7755102040816326	0.8181818181818182	0.8243243243243243	0.7837837837837838	0.75	0.13953488372093023	0.7702702702702703	0.7247191011235955	0.7449664429530202	0.8243243243243243	0.7837837837837838	0.7432432432432432	0.8108108108108109	0.8243243243243243	0.7702702702702703	0.7956204379562044	0.7575757575757576	0.69	0.7702702702702703	0.7567567567567568	0.7702702702702703	0.7432432432432432	0.7972027972027972	0.918918918918919	0.7475728155339806	0.8108108108108109	0.7297297297297297	0.7432432432432432	0.8243243243243243	0.7162162162162162	0.7837837837837838	0.7837837837837838
Food Safety Efforts Accelerate in the 1990�s	0.9030470914127424	0.8863636363636364	0.7954545454545454	0.842391304347826	0.328125	0.7857142857142857	0.8642533936651584	0.8409090909090909	0.9090909090909091	0.8301886792452831	0.8181818181818182	0.8144329896907216	0.75	0.7857142857142857	0.7840909090909091	0.8636363636363636	0.8409090909090909	0.8303571428571429	0.7558139534883721	0.8307692307692308	0.8426966292134831	0.825503355704698	0.8863636363636364	0.782608695652174	0.8181818181818182	0.8863636363636364	0.7714285714285715	0.7571428571428571	0.8613138686131386	0.8257575757575758	0.8	0.828125	0.8333333333333334	0.7962962962962963	0.8225806451612904	0.8461538461538461	0.7954545454545454	0.7864077669902912	0.7818181818181819	0.8636363636363636	0.7619047619047619	0.7627118644067796	0.7413793103448276	0.7586206896551724	0.8863636363636364
Offsetting Behavior in Reducing High Cholesterol Substitution of Medication for Diet and Lifestyle Changes	0.8310249307479224	0.8679245283018868	0.839622641509434	0.7771739130434783	0.8490566037735849	0.8207547169811321	0.7828054298642534	0.839622641509434	0.839622641509434	0.7358490566037735	0.7641509433962265	0.8018867924528302	0.8113207547169812	0.8584905660377359	0.7735849056603774	0.8490566037735849	0.8301886792452831	0.05357142857142857	0.7830188679245284	0.7547169811320755	0.7528089887640449	0.7583892617449665	0.839622641509434	0.7075471698113207	0.8018867924528302	0.8113207547169812	0.7641509433962265	0.7641509433962265	0.8175182481751825	0.7272727272727273	0.7830188679245284	0.7547169811320755	0.8113207547169812	0.7358490566037735	0.7830188679245284	0.7622377622377622	0.9339622641509434	0.7830188679245284	0.8113207547169812	0.7924528301886793	0.7075471698113207	0.7830188679245284	0.7641509433962265	0.7452830188679245	0.7735849056603774
The Imperative to Warn Disentangling the ��Right to Know�� from the ��Need to Know�� about Consumer Product Hazards	0.817174515235457	0.8782608695652174	0.8782608695652174	0.7391304347826086	0.8173913043478261	0.7217391304347827	0.7782805429864253	0.8869565217391304	0.8869565217391304	0.8	0.808695652173913	0.7304347826086957	0.8173913043478261	0.808695652173913	0.8	0.8347826086956521	0.8173913043478261	0.8608695652173913	0.7739130434782608	0.782608695652174	0.7584269662921348	0.7785234899328859	0.8347826086956521	0.7391304347826086	0.8	0.808695652173913	0.782608695652174	0.808695652173913	0.21897810218978103	0.7803030303030303	0.7913043478260869	0.782608695652174	0.782608695652174	0.7913043478260869	0.8	0.8111888111888111	0.9217391304347826	0.808695652173913	0.8	0.8	0.7652173913043478	0.8173913043478261	0.782608695652174	0.7913043478260869	0.8
Information Advertising and Health A Study of the Cereal Market In Economics of Food Safety ed Julie Caswell	0.8282548476454293	0.8518518518518519	0.8518518518518519	0.7771739130434783	0.7685185185185185	0.8240740740740741	0.7873303167420814	0.8518518518518519	0.8518518518518519	0.8148148148148148	0.6203703703703703	0.21296296296296297	0.7314814814814815	0.8148148148148148	0.8425925925925926	0.8611111111111112	0.7592592592592593	0.7767857142857143	0.7777777777777778	0.7870370370370371	0.7471910112359551	0.738255033557047	0.8240740740740741	0.7870370370370371	0.7962962962962963	0.7685185185185185	0.7870370370370371	0.8055555555555556	0.7737226277372263	0.75	0.8148148148148148	0.7870370370370371	0.7962962962962963	0.7685185185185185	0.75	0.7692307692307693	0.9074074074074074	0.75	0.8055555555555556	0.8055555555555556	0.75	0.7962962962962963	0.7870370370370371	0.7592592592592593	0.7870370370370371
Informational Approaches to Regulation	0.9113573407202216	0.8157894736842105	0.8157894736842105	0.8586956521739131	0.828125	0.8061224489795918	0.8868778280542986	0.8421052631578947	0.9230769230769231	0.7924528301886793	0.6190476190476191	0.7525773195876289	0.5897435897435898	0.7959183673469388	0.7840909090909091	0.8717948717948718	0.0	0.8392857142857143	0.8023255813953488	0.7538461538461538	0.8146067415730337	0.8523489932885906	0.717948717948718	0.7971014492753623	0.7631578947368421	0.8372093023255814	0.7857142857142857	0.7428571428571429	0.8467153284671532	0.8484848484848485	0.78	0.75	0.7592592592592593	0.7592592592592593	0.7258064516129032	0.8601398601398601	0.868421052631579	0.7766990291262136	0.8	0.7272727272727273	0.6666666666666666	0.8135593220338984	0.8103448275862069	0.8275862068965517	0.7727272727272727
Read the Label Reducing Risk by Providing Information	0.8947368421052632	0.8490566037735849	0.8113207547169812	0.8152173913043478	0.84375	0.8061224489795918	0.8461538461538461	0.8113207547169812	0.9056603773584906	0.0	0.8679245283018868	0.8144329896907216	0.7924528301886793	0.7346938775510204	0.7840909090909091	0.8490566037735849	0.7924528301886793	0.75	0.7558139534883721	0.7692307692307693	0.8202247191011236	0.8322147651006712	0.7358490566037735	0.782608695652174	0.8301886792452831	0.8113207547169812	0.8285714285714286	0.7857142857142857	0.8321167883211679	0.7727272727272727	0.79	0.765625	0.8148148148148148	0.6111111111111112	0.6935483870967742	0.8041958041958042	0.9056603773584906	0.7766990291262136	0.8727272727272727	0.8301886792452831	0.8253968253968254	0.7966101694915254	0.8448275862068966	0.8275862068965517	0.8113207547169812
What When and Where American Eat	0.9224376731301939	0.90625	0.8125	0.8858695652173914	0.84375	0.8367346938775511	0.9049773755656109	0.9375	0.8717948717948718	0.7547169811320755	0.8095238095238095	0.7835051546391752	0.7435897435897436	0.826530612244898	0.8068181818181818	0.8461538461538461	0.8421052631578947	0.8303571428571429	0.813953488372093	0.7846153846153846	0.8595505617977528	0.8456375838926175	0.7948717948717948	0.782608695652174	0.8157894736842105	0.6976744186046512	0.5428571428571428	0.8285714285714286	0.8540145985401459	0.8560606060606061	0.8	0.78125	0.7777777777777778	0.7407407407407407	0.7741935483870968	0.8741258741258742	0.875	0.8252427184466019	0.7818181818181819	0.7727272727272727	0.7142857142857143	0.864406779661017	0.7758620689655172	0.8103448275862069	0.8181818181818182
Assigning Value to Life Comparing Methods for Valuing Health Risks	0.8753462603878116	0.8333333333333334	0.7575757575757576	0.7934782608695652	0.8787878787878788	0.7448979591836735	0.8371040723981901	0.8333333333333334	0.8787878787878788	0.7575757575757576	0.7121212121212122	0.7835051546391752	0.7878787878787878	0.7755102040816326	0.25	0.803030303030303	0.7727272727272727	0.7321428571428571	0.7558139534883721	0.803030303030303	0.797752808988764	0.7718120805369127	0.7727272727272727	0.7971014492753623	0.7878787878787878	0.7878787878787878	0.8714285714285714	0.8285714285714286	0.8321167883211679	0.7727272727272727	0.75	0.803030303030303	0.7575757575757576	0.7575757575757576	0.7878787878787878	0.7902097902097902	0.8939393939393939	0.7378640776699029	0.8181818181818182	0.803030303030303	0.8333333333333334	0.8181818181818182	0.7727272727272727	0.8181818181818182	0.7878787878787878
