	Ahold announced the pending purchase of Supermarket General-II Holdings Corporation, parent of the Pathmark chain. Similarly, SUPERVALUE acquired Richfood, Food Lion bought out Hannaford Brothers and Scarborough, and Albertson’s purchased American Stores. (Sean Mehegan, ‘‘Consolidation Changes the Face of the North American Supermarket Sector,’’ Meat & Poultry	Agricultural Handbook No.	King Marketing Services,	Safety Commission (Miller et al., ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model,’’ Peer Review Draft Prepared for the U.S. Consumer Product Safety Commission,	Food Safety Efforts Accelerate in the 1990’s,’’ Food Review,	The Economic Benefits of Nutrition Labeling: A Case Study for Fresh Meat and Poultry Products.’’	Re: Docket #98– 005F, Food Safety and Inspection Service Proposed Rule: ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products.’’ Comments submitted to the FSIS Docket Clerk,	Drug Administration (60 FR 65095,	Drug Administration (68 FR 41434–41504,	Drug Administration (69 FR 56824–56906,	Read the Label: Reducing Risk by Providing Information	Information Advertising, and Health Choices:	Information, Advertising, and Health: A Study of the Cereal Market.’’ In Economics of Food Safety,	Information and Advertising: The Case of	The Effect of Food Label Use on Nutrient Intakes: An Endogenous Switching Regression Analysis’’,	Assigning Value to Life: Comparing Methods for Valuing Health Risks, Agricultural Economic	A New Approach to Consumer Theory.’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes.’’	Food companies spread nutrition information through advertising and labels. Food Review.	Personnal communication with Mary Muth, RTI International, Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act,’’	FDA Labeling Cost Model.’’ Prepared for the U.S. Food and Drug Administration, Center for Food Safety and Applied Nutrition. Research Triangle Park, NC.	National Cattlemen’s Beef Association.	The Journey towards Retail Meat Case Nutrition Labeling, A white paper,	Uniform Retail Meat Identity Standards.	The NMI Health and Wellness Trends Database.	As reported in Food Technology. ‘‘What, When and Where Americans Eat:	Use of food nutrition labels is associated with lower fat intake’’.	The Imperative to Warn: Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Information Disseminated by Federal Agencies.	Cost Analysis for Nutrition Labeling of Ground, Chopped, and Single-Ingredient Meat and Poultry VerDate	Does Nutrition Labeling Lead to Healthier Eating?’’	Measuring the welfare effects of nutrition information.	Hedonic Prices and Implicit Markets: Product Differentiation in	Department of Agriculture, 1994–1996. Continuing survey of food intake by individuals (CSFII), and companion diet and health knowledge survey (DHKS).	Survey years 1994–1996.	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Department of Agriculture, Agricultural Research Service,	Do Nutrition Labels Improve Dietary Outcomes?	Diet-Health Information and Nutrition: The Intake of Dietary Fats	Fatal Tradeoffs—Public & Private Responsibilities for Risk.	Estimated Benefits of Nutrition Label Changes: Final Report,	Potential Health Benefits of Nutrition Label Changes,’’	Section 381.400 is revised to read as follows:
A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities The Case of the Nutrition Labeling and Education Act	0.28767123287671237	0.375	0.5217391304347826	0.29230769230769227	0.423728813559322	0.21875	0.28767123287671237	0.4509803921568627	0.5087719298245614	0.5087719298245614	0.2142857142857143	0.23076923076923073	0.29032258064516125	0.24	0.28125	0.24137931034482762	0.3584905660377359	0.2549019607843137	0.32258064516129037	0.2592592592592593	0.34615384615384615	0.0461538461538461	0.22388059701492535	0.4	0.26315789473684215	0.43999999999999995	0.3877551020408163	0.3214285714285714	0.39622641509433965	0.22388059701492535	0.21875	0.19999999999999996	0.2962962962962963	0.34693877551020413	0.28301886792452835	0.30434782608695654	0.7021276595744681	0.2698412698412699	0.24528301886792447	0.24528301886792447	0.2962962962962963	0.3214285714285714	0.2142857142857143	0.3090909090909091	0.46153846153846156
Food companies spread nutrition information through advertising and labels	0.3650793650793651	0.3157894736842105	0.38888888888888884	0.34545454545454546	0.34693877551020413	0.2962962962962963	0.33333333333333337	0.36585365853658536	0.44680851063829785	0.44680851063829785	0.17391304347826086	0.19047619047619047	0.2692307692307693	0.25	0.33333333333333337	0.25	0.39534883720930236	0.1707317073170732	0.3076923076923077	0.045454545454545414	0.33333333333333337	0.2727272727272727	0.29824561403508776	0.4	0.3191489361702128	0.35	0.4358974358974359	0.26086956521739135	0.2558139534883721	0.29824561403508776	0.2592592592592593	0.31999999999999995	0.31818181818181823	0.17948717948717952	0.2558139534883721	0.288135593220339	0.6216216216216216	0.3207547169811321	0.16279069767441856	0.2558139534883721	0.2727272727272727	0.21739130434782605	0.17391304347826086	0.33333333333333337	0.33333333333333337
Food Safety Efforts Accelerate in the 1990�s	0.41538461538461535	0.44999999999999996	0.4736842105263158	0.4385964912280702	0.13725490196078427	0.3214285714285714	0.41538461538461535	0.39534883720930236	0.4693877551020408	0.4693877551020408	0.375	0.31818181818181823	0.2962962962962963	0.38095238095238093	0.3214285714285714	0.36	0.4666666666666667	0.34883720930232553	0.40740740740740744	0.34782608695652173	0.40909090909090906	0.4385964912280702	0.38983050847457623	0.4285714285714286	0.4285714285714286	0.33333333333333337	0.5121951219512195	0.29166666666666663	0.37777777777777777	0.5254237288135593	0.3571428571428571	0.3846153846153846	0.4347826086956522	0.36585365853658536	0.4222222222222223	0.34426229508196726	0.5384615384615384	0.4545454545454546	0.33333333333333337	0.4666666666666667	0.34782608695652173	0.41666666666666663	0.375	0.4893617021276596	0.2727272727272727
Offsetting Behavior in Reducing High Cholesterol Substitution of Medication for Diet and Lifestyle Changes	0.2857142857142857	0.37777777777777777	0.39534883720930236	0.29032258064516125	0.3571428571428571	0.24590163934426235	0.2857142857142857	0.45833333333333337	0.5185185185185186	0.5185185185185186	0.2075471698113207	0.26530612244897955	0.2542372881355932	0.36170212765957444	0.3114754098360656	0.23636363636363633	0.48	0.33333333333333337	0.05084745762711862	0.2549019607843137	0.34693877551020413	0.32258064516129037	0.25	0.44680851063829785	0.2592592592592593	0.3191489361702128	0.3913043478260869	0.4339622641509434	0.36	0.3125	0.2786885245901639	0.22807017543859653	0.2941176470588235	0.30434782608695654	0.31999999999999995	0.303030303030303	0.5909090909090908	0.23333333333333328	0.24	0.28	0.33333333333333337	0.3584905660377359	0.24528301886792447	0.2692307692307693	0.3877551020408163
The Imperative to Warn Disentangling the ��Right to Know�� from the ��Need to Know�� about Consumer Product Hazards	0.3421052631578947	0.4117647058823529	0.5102040816326531	0.2647058823529411	0.4516129032258065	0.34328358208955223	0.3157894736842105	0.4814814814814815	0.5333333333333333	0.5333333333333333	0.2542372881355932	0.2727272727272727	0.3538461538461538	0.3207547169811321	0.34328358208955223	0.3114754098360656	0.3928571428571429	0.2962962962962963	0.32307692307692304	0.22807017543859653	0.3090909090909091	0.23529411764705888	0.2857142857142857	0.4716981132075472	0.30000000000000004	0.4339622641509434	0.34615384615384615	0.38983050847457623	0.3928571428571429	0.08571428571428574	0.34328358208955223	0.3015873015873016	0.368421052631579	0.34615384615384615	0.2857142857142857	0.2777777777777778	0.72	0.24242424242424243	0.2857142857142857	0.3214285714285714	0.29824561403508776	0.3220338983050848	0.288135593220339	0.3448275862068966	0.4545454545454546
Information Advertising and Health A Study of the Cereal Market In Economics of Food Safety ed Julie Caswell	0.25	0.36170212765957444	0.37777777777777777	0.28125	0.27586206896551724	0.23809523809523814	0.3055555555555556	0.43999999999999995	0.5	0.5	0.23636363636363633	0.17647058823529416	0.08196721311475408	0.26530612244897955	0.23809523809523814	0.19298245614035092	0.3846153846153846	0.28	0.2786885245901639	0.24528301886792447	0.2941176470588235	0.3125	0.2727272727272727	0.4285714285714286	0.2857142857142857	0.30612244897959184	0.45833333333333337	0.3090909090909091	0.34615384615384615	0.33333333333333337	0.23809523809523814	0.288135593220339	0.39622641509433965	0.25	0.2692307692307693	0.20588235294117652	0.6086956521739131	0.29032258064516125	0.2692307692307693	0.3846153846153846	0.24528301886792447	0.38181818181818183	0.3090909090909091	0.40740740740740744	0.37254901960784315
Informational Approaches to Regulation	0.3548387096774194	0.3513513513513513	0.4285714285714286	0.33333333333333337	0.375	0.3584905660377359	0.3870967741935484	0.35	0.4347826086956522	0.4347826086956522	0.19999999999999996	0.1707317073170732	0.2941176470588235	0.23076923076923073	0.3207547169811321	0.19148936170212771	0.33333333333333337	0.0	0.37254901960784315	0.16279069767441856	0.2195121951219512	0.2962962962962963	0.3214285714285714	0.33333333333333337	0.30434782608695654	0.28205128205128205	0.4736842105263158	0.28888888888888886	0.33333333333333337	0.3214285714285714	0.3207547169811321	0.30612244897959184	0.39534883720930236	0.1578947368421053	0.23809523809523814	0.3448275862068966	0.6666666666666667	0.3076923076923077	0.09523809523809523	0.2857142857142857	0.3023255813953488	0.33333333333333337	0.24444444444444446	0.36363636363636365	0.41463414634146345
Read the Label Reducing Risk by Providing Information	0.28358208955223885	0.33333333333333337	0.4	0.288135593220339	0.3584905660377359	0.27586206896551724	0.25373134328358204	0.4222222222222223	0.4901960784313726	0.4901960784313726	0.0	0.21739130434782605	0.25	0.2727272727272727	0.24137931034482762	0.23076923076923073	0.44680851063829785	0.19999999999999996	0.25	0.16666666666666663	0.21739130434782605	0.2542372881355932	0.24590163934426235	0.4545454545454546	0.2941176470588235	0.2727272727272727	0.4418604651162791	0.36	0.276595744680851	0.2786885245901639	0.27586206896551724	0.2592592592592593	0.33333333333333337	0.2558139534883721	0.23404255319148937	0.3015873015873016	0.6097560975609756	0.22807017543859653	0.23404255319148937	0.23404255319148937	0.25	0.24	0.24	0.30612244897959184	0.3913043478260869
What When and Where American Eat	0.5357142857142857	0.4193548387096774	0.4482758620689655	0.5416666666666667	0.4285714285714286	0.44680851063829785	0.6071428571428572	0.47058823529411764	0.55	0.55	0.4358974358974359	0.3142857142857143	0.4222222222222223	0.33333333333333337	0.4893617021276596	0.36585365853658536	0.4444444444444444	0.3529411764705882	0.5555555555555556	0.4054054054054054	0.4285714285714286	0.45833333333333337	0.52	0.4545454545454546	0.5	0.4545454545454546	0.4375	0.28205128205128205	0.4444444444444444	0.52	0.44680851063829785	0.5348837209302326	0.45945945945945943	0.375	0.4444444444444444	0.5384615384615384	0.7333333333333334	0.5652173913043479	0.38888888888888884	0.5	0.45945945945945943	0.5384615384615384	0.4358974358974359	0.5789473684210527	0.48571428571428577
Assigning Value to Life Comparing Methods for Valuing Health Risks	0.25373134328358204	0.33333333333333337	0.44999999999999996	0.35593220338983056	0.4339622641509434	0.31034482758620685	0.34328358208955223	0.37777777777777777	0.4509803921568627	0.4509803921568627	0.24	0.21739130434782605	0.25	0.2727272727272727	0.3448275862068966	0.038461538461538436	0.4042553191489362	0.19999999999999996	0.2857142857142857	0.25	0.34782608695652173	0.3220338983050848	0.24590163934426235	0.40909090909090906	0.21568627450980393	0.31818181818181823	0.4418604651162791	0.36	0.36170212765957444	0.34426229508196726	0.3793103448275862	0.2222222222222222	0.33333333333333337	0.2558139534883721	0.23404255319148937	0.33333333333333337	0.7073170731707317	0.29824561403508776	0.23404255319148937	0.4042553191489362	0.29166666666666663	0.36	0.19999999999999996	0.30612244897959184	0.4782608695652174
