	Managing for Safer Food The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status Evidence from the United States and Canada” Resources for the Future Discussion Paper	Economic News Release Employment Cost Index” httpwwwblsgovnewsreleaseecitochtm	Health Status Index in Cost Effectiveness Analysis of PKO Program”	Disease Control and Prevention httpwwwcdcgovmmwrpreviewmmwrhtmlmm5414a2htm Consumer Price Index – All Urban Consumers Medical Care Services Bureau of Labor Statistics	Measuring the Health of the United States Population” Microeconomics Brookings Paper	Health Care Contingent Valuation Studies A Review and	Foodborne Illness Cost Calculator for Salmonella	Per Capita Consumption of Selected Food Products httpwwwersusdagov	Foodborne Diseases Active Surveillance Network	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping” Market News	Data US trade data US Imports Trade data	Reddy and the FoodNet Working Group	USDAFSIS Technical Center	Willingness to Pay for a Qualityadjusted Life Year In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation” Arch Intern Med	Foodborne Disease Handbook 2 nd edition vol1 Bacterial Pathogens	The Quality of WellBeing Scale Rationale for a Single Quality of Life Index” From Quality of Life Assessment Key Issues in the 1990s	The economic impact of the catfish industry on Chicot County	FoodRelated Illness and Death in the United States” Emerging Infectious Diseases	FDA Labeling Cost Model” Prepared for the US Department of Health and Human Services Research Triangle Park	Physician Characteristics and Distribution in the United States” 20022003 Edition	Food Poisoning Economic Implications” Encyclopedia of Food Sciences	Processing Channel Catfish South Regional Aquaculture Center	PostSalmonella Reactive Arthritis	Department of Agriculture Food Safety and Inspection Service Office of Public Health Science	Department of Agriculture National Agricultural Statistics Service USDANASS	Federal Register 21 CFR Parts 123 and 1240 Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	Trade Commission USITC	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry”	Tauxe and the Food Networking Group	Physician Socioeconomic Statistics” 20002002 Edition Profiles for Detailed Specialties Selected States and Practice Arrangements	Occurrence and Control of Salmonella in Freshwater Catfish	The Costs of Visits to Emergency Departments” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis” 63FR 24254	means 500 or less fulltime equivalent FTE employees Small Business Administration SBA definition  North American Industry Classification System NAICS code
From Quality of  Life Assessment Key Issues in the 1990s	0.5806451612903225	0.5714285714285714	0.641025641025641	0.5263157894736843	0.6	0.631578947368421	0.6060606060606061	0.5172413793103448	0.5454545454545454	0.6060606060606061	0.6052631578947368	0.7	0.625	0.6	0.4666666666666667	0.5428571428571429	0.6285714285714286	0.33333333333333337	0.5172413793103448	0.5428571428571429	0.6046511627906976	0.6578947368421053	0.5882352941176471	0.5483870967741935	0.5517241379310345	0.48571428571428577	0.5625	0.4571428571428572	0.6551724137931034	0.5135135135135135	0.6666666666666667	0.5555555555555556	0.5	0.631578947368421	0.6136363636363636	0.4722222222222222
Measuring the Health of the United  States Population	0.42307692307692313	0.45945945945945943	0.6111111111111112	0.48571428571428577	0.5	0.25	0.40740740740740744	0.5185185185185186	0.33333333333333337	0.5666666666666667	0.5294117647058824	0.56	0.5357142857142857	0.6071428571428572	0.4642857142857143	0.5454545454545454	0.5	0.6097560975609756	0.46153846153846156	0.4516129032258065	0.41666666666666663	0.5454545454545454	0.5	0.3846153846153846	0.5	0.3870967741935484	0.40740740740740744	0.4545454545454546	0.56	0.375	0.5357142857142857	0.46875	0.4444444444444444	0.5588235294117647	0.6190476190476191	0.5555555555555556
�Managing for Safer Food The Economics  of Sanitation and Process Controls in Meat and Poultry Establishments	0.2592592592592593	0.42500000000000004	0.4864864864864865	0.4054054054054054	0.5	0.4285714285714286	0.5151515151515151	0.3571428571428571	0.30000000000000004	0.5151515151515151	0.5263157894736843	0.6451612903225806	0.5757575757575757	0.5483870967741935	0.5151515151515151	0.5405405405405406	0.5	0.5	0.3571428571428571	0.4117647058823529	0.3846153846153846	0.4571428571428572	0.40625	0.4	0.5	0.3529411764705882	0.5151515151515151	0.37142857142857144	0.5517241379310345	0.38888888888888884	0.5757575757575757	0.4285714285714286	0.3448275862068966	0.4285714285714286	0.5116279069767442	0.38888888888888884
�Per Capita Consumption of Selected Food  Products	0.42307692307692313	0.45945945945945943	0.5714285714285714	0.48571428571428577	0.5365853658536586	0.4193548387096774	0.5172413793103448	0.26086956521739135	0.19999999999999996	0.4642857142857143	0.5294117647058824	0.56	0.5862068965517242	0.5555555555555556	0.5172413793103448	0.5882352941176471	0.5483870967741935	0.575	0.33333333333333337	0.4516129032258065	0.45945945945945943	0.5454545454545454	0.3928571428571429	0.3846153846153846	0.43999999999999995	0.3870967741935484	0.40740740740740744	0.3548387096774194	0.5	0.4242424242424242	0.5862068965517242	0.46875	0.25	0.5151515151515151	0.55	0.4242424242424242
21 CFR Parts 123 and  1240 Procedures for the Safe and Sanitary Processing and Importing of Fish  and Fishery Products Final Rule	0.48484848484848486	0.4285714285714286	0.4871794871794872	0.44999999999999996	0.43181818181818177	0.4736842105263158	0.5142857142857142	0.4193548387096774	0.3125	0.5945945945945945	0.525	0.6363636363636364	0.5294117647058824	0.5882352941176471	0.5142857142857142	0.5384615384615384	0.5	0.4285714285714286	0.4193548387096774	0.41666666666666663	0.4651162790697675	0.45945945945945943	0.4117647058823529	0.40625	0.5	0.36111111111111116	0.5142857142857142	0.0	0.59375	0.3513513513513513	0.6111111111111112	0.38888888888888884	0.40625	0.5128205128205128	0.4418604651162791	0.39473684210526316
Catfish 2007 Summary	0.6153846153846154	0.6666666666666667	0.7142857142857143	0.6285714285714286	0.6904761904761905	0.6666666666666667	0.6428571428571428	0.6	0.5714285714285714	0.7333333333333334	0.6764705882352942	0.7083333333333333	0.7142857142857143	0.6923076923076923	0.6896551724137931	0.7352941176470589	0.75	0.6666666666666667	0.4782608695652174	0.65625	0.7	0.5666666666666667	0.7096774193548387	0.5769230769230769	0.64	0.6363636363636364	0.6428571428571428	0.5161290322580645	0.6521739130434783	0.6176470588235294	0.7586206896551724	0.5806451612903225	0.52	0.6666666666666667	0.7073170731707317	0.5757575757575757
Catfish and Basa Imports Continue to  Increase Despite Confirmed Antidumping	0.4444444444444444	0.4736842105263158	0.5	0.4571428571428572	0.4358974358974359	0.4375	0.48275862068965514	0.42307692307692313	0.3571428571428571	0.5333333333333333	0.24137931034482762	0.52	0.5517241379310345	0.5185185185185186	0.5333333333333333	0.5151515151515151	0.5161290322580645	0.5128205128205128	0.29166666666666663	0.4193548387096774	0.4736842105263158	0.5588235294117647	0.5161290322580645	0.40740740740740744	0.5185185185185186	0.3548387096774194	0.37037037037037035	0.4242424242424242	0.52	0.4411764705882353	0.5517241379310345	0.4375	0.40740740740740744	0.4375	0.525	0.3939393939393939
Catfish January 2009 Reports	0.6206896551724138	0.6	0.6	0.631578947368421	0.6590909090909092	0.6285714285714286	0.5517241379310345	0.6071428571428572	0.5333333333333333	0.6875	0.6	0.7037037037037037	0.5185185185185186	0.6896551724137931	0.6	0.6176470588235294	0.6666666666666667	0.6	0.375	0.6176470588235294	0.6341463414634146	0.53125	0.6666666666666667	0.4814814814814815	0.5925925925925926	0.6	0.6	0.4375	0.6538461538461539	0.5428571428571429	0.6206896551724138	0.5454545454545454	0.5357142857142857	0.5882352941176471	0.6097560975609756	0.5428571428571429
Consumer Price Index � All Urban Consumers	0.6333333333333333	0.575	0.5294117647058824	0.48571428571428577	0.5	0.5588235294117647	0.5666666666666667	0.4	0.5	0.5172413793103448	0.5714285714285714	0.6153846153846154	0.71875	0.5555555555555556	0.5666666666666667	0.5882352941176471	0.59375	0.6097560975609756	0.5185185185185186	0.5454545454545454	0.5384615384615384	0.5454545454545454	0.59375	0.5	0.5	0.48484848484848486	0.5172413793103448	0.5428571428571429	0.4347826086956522	0.5555555555555556	0.6774193548387097	0.6	0.5	0.6388888888888888	0.5853658536585367	0.5555555555555556
Cost  Calculator for Salmonella	0.4782608695652174	0.5833333333333333	0.625	0.53125	0.6153846153846154	0.5172413793103448	0.52	0.21052631578947367	0.375	0.52	0.5806451612903225	0.5714285714285714	0.7037037037037037	0.5652173913043479	0.5769230769230769	0.6451612903225806	0.6551724137931034	0.6216216216216216	0.38095238095238093	0.5	0.5833333333333333	0.6	0.5555555555555556	0.36363636363636365	0.4285714285714286	0.5333333333333333	0.3913043478260869	0.5	0.5	0.5625	0.7037037037037037	0.5666666666666667	0.2857142857142857	0.5666666666666667	0.631578947368421	0.5161290322580645
