	Managing for Safer Food The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status Evidence from the United States and Canada” Resources for the Future Discussion Paper	Economic News Release Employment Cost Index” httpwwwblsgovnewsreleaseecitochtm	Health Status Index in Cost Effectiveness Analysis of PKO Program”	Disease Control and Prevention httpwwwcdcgovmmwrpreviewmmwrhtmlmm5414a2htm Consumer Price Index – All Urban Consumers Medical Care Services Bureau of Labor Statistics	Measuring the Health of the United States Population” Microeconomics Brookings Paper	Health Care Contingent Valuation Studies A Review and	Foodborne Illness Cost Calculator for Salmonella	Per Capita Consumption of Selected Food Products httpwwwersusdagov	Foodborne Diseases Active Surveillance Network	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping” Market News	Data US trade data US Imports Trade data	Reddy and the FoodNet Working Group	USDAFSIS Technical Center	Willingness to Pay for a Qualityadjusted Life Year In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation” Arch Intern Med	Foodborne Disease Handbook 2 nd edition vol1 Bacterial Pathogens	The Quality of WellBeing Scale Rationale for a Single Quality of Life Index” From Quality of Life Assessment Key Issues in the 1990s	The economic impact of the catfish industry on Chicot County	FoodRelated Illness and Death in the United States” Emerging Infectious Diseases	FDA Labeling Cost Model” Prepared for the US Department of Health and Human Services Research Triangle Park	Physician Characteristics and Distribution in the United States” 20022003 Edition	Food Poisoning Economic Implications” Encyclopedia of Food Sciences	Processing Channel Catfish South Regional Aquaculture Center	PostSalmonella Reactive Arthritis	Department of Agriculture Food Safety and Inspection Service Office of Public Health Science	Department of Agriculture National Agricultural Statistics Service USDANASS	Federal Register 21 CFR Parts 123 and 1240 Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	Trade Commission USITC	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry”	Tauxe and the Food Networking Group	Physician Socioeconomic Statistics” 20002002 Edition Profiles for Detailed Specialties Selected States and Practice Arrangements	Occurrence and Control of Salmonella in Freshwater Catfish	The Costs of Visits to Emergency Departments” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis” 63FR 24254	means 500 or less fulltime equivalent FTE employees Small Business Administration SBA definition  North American Industry Classification System NAICS code
From Quality of  Life Assessment Key Issues in the 1990s	0.8392857142857143	0.7884615384615384	0.825	0.8088235294117647	0.8511904761904762	0.7674418604651163	0.875	0.8571428571428571	0.803030303030303	0.7857142857142857	0.7888888888888889	0.7857142857142857	0.8035714285714286	0.8571428571428571	0.875	0.7676767676767676	0.828125	0.5970149253731343	0.8333333333333334	0.7804878048780488	0.7798165137614679	0.8072289156626506	0.8115942028985508	0.85	0.7857142857142857	0.75	0.8133333333333334	0.8194444444444444	0.8392857142857143	0.759493670886076	0.8214285714285714	0.7846153846153846	0.8793103448275862	0.7777777777777778	0.7849462365591398	0.8051948051948052
Measuring the Health of the United  States Population	0.7090909090909091	0.7435897435897436	0.8125	0.7647058823529411	0.8154761904761905	0.4069767441860465	0.7924528301886793	0.8301886792452831	0.7575757575757576	0.7924528301886793	0.7888888888888889	0.7358490566037735	0.7547169811320755	0.8490566037735849	0.7924528301886793	0.7474747474747475	0.734375	0.7835820895522388	0.7333333333333333	0.6341463414634146	0.7339449541284404	0.6385542168674698	0.782608695652174	0.7666666666666667	0.7735849056603774	0.75	0.7733333333333333	0.7986111111111112	0.8679245283018868	0.7974683544303798	0.7547169811320755	0.7692307692307693	0.7413793103448276	0.8253968253968254	0.7849462365591398	0.7922077922077922
�Managing for Safer Food The Economics  of Sanitation and Process Controls in Meat and Poultry Establishments	0.4954128440366973	0.7628205128205128	0.8073394495412844	0.7522935779816514	0.7857142857142857	0.7339449541284404	0.7614678899082569	0.7889908256880734	0.7798165137614679	0.8256880733944955	0.7614678899082569	0.7981651376146789	0.8256880733944955	0.8532110091743119	0.7981651376146789	0.7889908256880734	0.7431192660550459	0.7761194029850746	0.7431192660550459	0.7798165137614679	0.8256880733944955	0.7706422018348624	0.7155963302752294	0.7889908256880734	0.8440366972477065	0.7522935779816514	0.8073394495412844	0.7083333333333334	0.8715596330275229	0.7614678899082569	0.8165137614678899	0.7384615384615385	0.7431192660550459	0.7798165137614679	0.7981651376146789	0.7532467532467533
�Per Capita Consumption of Selected Food  Products	0.8545454545454545	0.8269230769230769	0.825	0.75	0.8214285714285714	0.7906976744186046	0.8113207547169812	0.86	0.30303030303030304	0.88	0.7555555555555555	0.78	0.78	0.86	0.8679245283018868	0.797979797979798	0.78125	0.7910447761194029	0.8	0.8170731707317073	0.8165137614678899	0.7590361445783133	0.6811594202898551	0.7833333333333333	0.78	0.7934782608695652	0.8266666666666667	0.7777777777777778	0.8	0.7468354430379747	0.78	0.7692307692307693	0.7413793103448276	0.8095238095238095	0.7634408602150538	0.8311688311688312
21 CFR Parts 123 and  1240 Procedures for the Safe and Sanitary Processing and Importing of Fish  and Fishery Products Final Rule	0.7906976744186046	0.7692307692307693	0.8372093023255814	0.7829457364341085	0.7976190476190477	0.751937984496124	0.8062015503875969	0.8294573643410853	0.7906976744186046	0.8449612403100775	0.7674418604651163	0.7751937984496124	0.8294573643410853	0.8992248062015504	0.8062015503875969	0.751937984496124	0.7829457364341085	0.7910447761194029	0.7984496124031008	0.7441860465116279	0.7054263565891473	0.7829457364341085	0.8062015503875969	0.8217054263565892	0.8604651162790697	0.7286821705426356	0.7984496124031008	0.13194444444444445	0.8992248062015504	0.7674418604651163	0.8294573643410853	0.8538461538461538	0.7751937984496124	0.7984496124031008	0.8062015503875969	0.7922077922077922
Catfish 2007 Summary	0.8727272727272727	0.9230769230769231	0.925	0.8823529411764706	0.9285714285714286	0.8837209302325582	0.8490566037735849	0.8958333333333334	0.8787878787878788	0.8260869565217391	0.8444444444444444	0.825	0.8571428571428571	0.92	0.8679245283018868	0.898989898989899	0.890625	0.917910447761194	0.85	0.8902439024390244	0.908256880733945	0.8674698795180723	0.9130434782608695	0.8166666666666667	0.9090909090909091	0.9021739130434783	0.88	0.9166666666666666	0.9545454545454546	0.8734177215189873	0.8571428571428571	0.9076923076923077	0.8793103448275862	0.8571428571428571	0.9139784946236559	0.922077922077922
Catfish and Basa Imports Continue to  Increase Despite Confirmed Antidumping	0.7631578947368421	0.7756410256410257	0.825	0.7763157894736842	0.7976190476190477	0.813953488372093	0.7236842105263158	0.8026315789473685	0.8421052631578947	0.7894736842105263	0.17777777777777778	0.7763157894736842	0.7763157894736842	0.868421052631579	0.8026315789473685	0.6868686868686869	0.8157894736842105	0.7611940298507462	0.7894736842105263	0.8170731707317073	0.7798165137614679	0.7951807228915663	0.8157894736842105	0.8157894736842105	0.7894736842105263	0.7717391304347826	0.868421052631579	0.7638888888888888	0.8421052631578947	0.7974683544303798	0.7631578947368421	0.7769230769230769	0.7894736842105263	0.7763157894736842	0.7741935483870968	0.8051948051948052
Catfish January 2009 Reports	0.8363636363636363	0.8846153846153846	0.8625	0.8382352941176471	0.8928571428571429	0.8488372093023255	0.7924528301886793	0.8541666666666666	0.8333333333333334	0.8478260869565217	0.7888888888888889	0.75	0.8571428571428571	0.9285714285714286	0.8113207547169812	0.8383838383838383	0.8125	0.8805970149253731	0.7833333333333333	0.8536585365853658	0.8807339449541285	0.8313253012048193	0.8695652173913043	0.8	0.8181818181818182	0.8695652173913043	0.84	0.875	0.9285714285714286	0.8354430379746836	0.8285714285714286	0.8923076923076924	0.8275862068965517	0.8095238095238095	0.8494623655913979	0.9090909090909091
Consumer Price Index � All Urban Consumers	0.8181818181818182	0.8397435897435898	0.775	0.8088235294117647	0.7559523809523809	0.7790697674418605	0.8679245283018868	0.8333333333333334	0.7727272727272727	0.8260869565217391	0.7777777777777778	0.8571428571428571	0.8571428571428571	0.7857142857142857	0.8490566037735849	0.797979797979798	0.75	0.8283582089552238	0.8	0.7682926829268293	0.8256880733944955	0.8313253012048193	0.7971014492753623	0.8	0.8333333333333334	0.8043478260869565	0.7866666666666666	0.8472222222222222	0.8571428571428571	0.7974683544303798	0.8333333333333334	0.8384615384615385	0.7758620689655172	0.8412698412698413	0.8279569892473119	0.8506493506493507
Cost  Calculator for Salmonella	0.8	0.8782051282051282	0.8125	0.8382352941176471	0.8869047619047619	0.813953488372093	0.7735849056603774	0.3958333333333333	0.7878787878787878	0.8043478260869565	0.8222222222222222	0.75	0.8857142857142857	0.9354838709677419	0.8113207547169812	0.8484848484848485	0.8125	0.8432835820895522	0.85	0.8292682926829268	0.8165137614678899	0.8554216867469879	0.8115942028985508	0.75	0.8484848484848485	0.8152173913043478	0.8	0.8472222222222222	0.8387096774193549	0.7848101265822784	0.8571428571428571	0.8538461538461538	0.7413793103448276	0.746031746031746	0.8494623655913979	0.8636363636363636
Draft Risk Assessment of the Potential  Human Health Effect of Applying Continuous Inspection to Catfish	0.7788461538461539	0.7435897435897436	0.7884615384615384	0.7692307692307693	0.7857142857142857	0.7403846153846154	0.7692307692307693	0.8173076923076923	0.7980769230769231	0.8269230769230769	0.75	0.7980769230769231	0.8173076923076923	0.8846153846153846	0.7980769230769231	0.7884615384615384	0.7980769230769231	0.7388059701492538	0.75	0.7403846153846154	0.7981651376146789	0.8365384615384616	0.7980769230769231	0.7788461538461539	0.8173076923076923	0.7692307692307693	0.75	0.75	0.875	0.7788461538461539	0.8076923076923077	0.8153846153846154	0.7403846153846154	0.7980769230769231	0.8269230769230769	0.7337662337662337
Economic News Release Employment Cost  Index	0.8181818181818182	0.8397435897435898	0.475	0.8235294117647058	0.8690476190476191	0.7906976744186046	0.8490566037735849	0.8333333333333334	0.8181818181818182	0.8478260869565217	0.8	0.8409090909090909	0.8181818181818182	0.8181818181818182	0.8301886792452831	0.8080808080808081	0.796875	0.8283582089552238	0.7	0.7926829268292683	0.8165137614678899	0.8313253012048193	0.7246376811594203	0.7666666666666667	0.8181818181818182	0.8152173913043478	0.84	0.8611111111111112	0.8409090909090909	0.7974683544303798	0.8636363636363636	0.8153846153846154	0.8275862068965517	0.7619047619047619	0.8172043010752689	0.8116883116883117
Estimate of the Burden of  Illness Caused by Nontyphoidal Salmonella Infections in the United States  from FoodNet	0.7807017543859649	0.7371794871794872	0.8070175438596491	0.7807017543859649	0.7916666666666666	0.7543859649122807	0.7631578947368421	0.7543859649122807	0.7894736842105263	0.7982456140350878	0.7807017543859649	0.8070175438596491	0.8421052631578947	0.8859649122807017	0.7982456140350878	0.7368421052631579	0.7807017543859649	0.7985074626865671	0.7982456140350878	0.7368421052631579	0.8333333333333334	0.7280701754385965	0.7982456140350878	0.7807017543859649	0.7982456140350878	0.7631578947368421	0.7807017543859649	0.7638888888888888	0.8859649122807017	0.7280701754385965	0.8245614035087719	0.7692307692307693	0.6929824561403509	0.7894736842105263	0.7631578947368421	0.7467532467532467
Foodborne Illness Cost Calculator for  Salmonella	0.8181818181818182	0.8525641025641025	0.775	0.8088235294117647	0.8452380952380952	0.7790697674418605	0.7924528301886793	0.02040816326530612	0.8333333333333334	0.673469387755102	0.8	0.8163265306122449	0.7959183673469388	0.8775510204081632	0.8301886792452831	0.797979797979798	0.65625	0.835820895522388	0.85	0.7073170731707317	0.8073394495412844	0.8554216867469879	0.7391304347826086	0.8	0.8367346938775511	0.7934782608695652	0.8133333333333334	0.8333333333333334	0.8367346938775511	0.8227848101265823	0.7959183673469388	0.8307692307692308	0.8103448275862069	0.7936507936507936	0.7956989247311828	0.8311688311688312
FoodNet Foodborne Diseases Active Surveillance Network	0.8909090909090909	0.8333333333333334	0.7875	0.8088235294117647	0.8214285714285714	0.7906976744186046	0.8333333333333334	0.7592592592592593	0.8484848484848485	0.14814814814814814	0.7666666666666667	0.7962962962962963	0.7592592592592593	0.8333333333333334	0.8518518518518519	0.8080808080808081	0.71875	0.835820895522388	0.85	0.7439024390243902	0.7614678899082569	0.8072289156626506	0.8115942028985508	0.8	0.7407407407407407	0.7608695652173914	0.7866666666666666	0.8333333333333334	0.8148148148148148	0.810126582278481	0.7777777777777778	0.8076923076923077	0.8275862068965517	0.8253968253968254	0.8064516129032258	0.8246753246753247
