	Managing for Safer Food The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status Evidence from the United States and Canada” Resources for the Future Discussion Paper	Economic News Release Employment Cost Index” httpwwwblsgovnewsreleaseecitochtm	Health Status Index in Cost Effectiveness Analysis of PKO Program”	Disease Control and Prevention httpwwwcdcgovmmwrpreviewmmwrhtmlmm5414a2htm Consumer Price Index – All Urban Consumers Medical Care Services Bureau of Labor Statistics	Measuring the Health of the United States Population” Microeconomics Brookings Paper	Health Care Contingent Valuation Studies A Review and	Foodborne Illness Cost Calculator for Salmonella	Per Capita Consumption of Selected Food Products httpwwwersusdagov	Foodborne Diseases Active Surveillance Network	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping” Market News	Data US trade data US Imports Trade data	Reddy and the FoodNet Working Group	USDAFSIS Technical Center	Willingness to Pay for a Qualityadjusted Life Year In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation” Arch Intern Med	Foodborne Disease Handbook 2 nd edition vol1 Bacterial Pathogens	The Quality of WellBeing Scale Rationale for a Single Quality of Life Index” From Quality of Life Assessment Key Issues in the 1990s	The economic impact of the catfish industry on Chicot County	FoodRelated Illness and Death in the United States” Emerging Infectious Diseases	FDA Labeling Cost Model” Prepared for the US Department of Health and Human Services Research Triangle Park	Physician Characteristics and Distribution in the United States” 20022003 Edition	Food Poisoning Economic Implications” Encyclopedia of Food Sciences	Processing Channel Catfish South Regional Aquaculture Center	PostSalmonella Reactive Arthritis	Department of Agriculture Food Safety and Inspection Service Office of Public Health Science	Department of Agriculture National Agricultural Statistics Service USDANASS	Federal Register 21 CFR Parts 123 and 1240 Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	Trade Commission USITC	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry”	Tauxe and the Food Networking Group	Physician Socioeconomic Statistics” 20002002 Edition Profiles for Detailed Specialties Selected States and Practice Arrangements	Occurrence and Control of Salmonella in Freshwater Catfish	The Costs of Visits to Emergency Departments” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis” 63FR 24254	means 500 or less fulltime equivalent FTE employees Small Business Administration SBA definition  North American Industry Classification System NAICS code
From Quality of  Life Assessment Key Issues in the 1990s	0.71	0.5800000000000001	0.6699999999999999	0.6699999999999999	0.6799999999999999	0.63	0.6599999999999999	0.71	0.65	0.65	0.63	0.6799999999999999	0.69	0.72	0.65	0.54	0.6699999999999999	0.010000000000000009	0.63	0.63	0.65	0.6699999999999999	0.7	0.6799999999999999	0.6699999999999999	0.63	0.6799999999999999	0.63	0.69	0.61	0.72	0.61	0.6699999999999999	0.65	0.63	0.61
Measuring the Health of the United  States Population	0.51	0.48	0.61	0.61	0.61	0.020000000000000018	0.5900000000000001	0.65	0.61	0.6599999999999999	0.61	0.6	0.6	0.6799999999999999	0.63	0.53	0.55	0.55	0.5900000000000001	0.43999999999999995	0.55	0.48	0.6799999999999999	0.55	0.64	0.55	0.5700000000000001	0.55	0.69	0.61	0.63	0.5	0.61	0.65	0.5900000000000001	0.61
�Managing for Safer Food The Economics  of Sanitation and Process Controls in Meat and Poultry Establishments	0.020000000000000018	0.6	0.63	0.61	0.65	0.56	0.5700000000000001	0.5900000000000001	0.6	0.64	0.63	0.6	0.6	0.64	0.5900000000000001	0.61	0.6	0.61	0.47	0.6	0.61	0.61	0.53	0.5700000000000001	0.61	0.61	0.63	0.5800000000000001	0.55	0.56	0.5800000000000001	0.56	0.54	0.54	0.65	0.61
�Per Capita Consumption of Selected Food  Products	0.62	0.62	0.6599999999999999	0.5800000000000001	0.6	0.5800000000000001	0.6	0.69	0.040000000000000036	0.6599999999999999	0.5800000000000001	0.6799999999999999	0.6	0.72	0.7	0.64	0.6	0.62	0.6	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.6	0.64	0.6	0.52	0.6599999999999999	0.5	0.55	0.56	0.5800000000000001	0.52	0.56	0.64	0.54	0.62
21 CFR Parts 123 and  1240 Procedures for the Safe and Sanitary Processing and Importing of Fish  and Fishery Products Final Rule	0.5700000000000001	0.5900000000000001	0.6799999999999999	0.62	0.6599999999999999	0.6	0.5900000000000001	0.63	0.5700000000000001	0.6599999999999999	0.6	0.5800000000000001	0.55	0.72	0.63	0.5900000000000001	0.61	0.62	0.5700000000000001	0.5900000000000001	0.56	0.62	0.6	0.54	0.64	0.5800000000000001	0.6599999999999999	0.010000000000000009	0.6	0.6	0.5800000000000001	0.63	0.56	0.6599999999999999	0.62	0.65
Catfish 2007 Summary	0.65	0.65	0.75	0.7	0.7	0.7	0.7	0.65	0.7	0.65	0.5	0.7	0.7	0.85	0.65	0.65	0.7	0.65	0.5	0.7	0.6	0.65	0.7	0.5	0.75	0.7	0.65	0.6	0.75	0.55	0.7	0.6	0.65	0.65	0.7	0.65
Catfish and Basa Imports Continue to  Increase Despite Confirmed Antidumping	0.62	0.6	0.5900000000000001	0.62	0.64	0.64	0.55	0.63	0.61	0.64	0.020000000000000018	0.5	0.6	0.64	0.64	0.52	0.6599999999999999	0.6	0.62	0.5900000000000001	0.61	0.5900000000000001	0.64	0.64	0.64	0.64	0.6799999999999999	0.5700000000000001	0.64	0.5700000000000001	0.63	0.64	0.5900000000000001	0.62	0.62	0.64
Catfish January 2009 Reports	0.6799999999999999	0.5800000000000001	0.72	0.65	0.65	0.6799999999999999	0.65	0.65	0.65	0.6799999999999999	0.4	0.5800000000000001	0.72	0.76	0.6799999999999999	0.65	0.65	0.6799999999999999	0.47	0.65	0.54	0.65	0.72	0.54	0.6799999999999999	0.6799999999999999	0.72	0.54	0.8200000000000001	0.5800000000000001	0.6799999999999999	0.65	0.65	0.61	0.61	0.65
Consumer Price Index � All Urban Consumers	0.7	0.62	0.62	0.62	0.07999999999999996	0.65	0.6699999999999999	0.6	0.62	0.62	0.6	0.73	0.6599999999999999	0.6799999999999999	0.72	0.6	0.65	0.6	0.6699999999999999	0.65	0.62	0.65	0.7	0.64	0.7	0.6	0.65	0.65	0.69	0.65	0.63	0.65	0.6	0.6699999999999999	0.5800000000000001	0.62
Cost  Calculator for Salmonella	0.62	0.5900000000000001	0.65	0.65	0.65	0.65	0.62	0.040000000000000036	0.62	0.65	0.62	0.65	0.71	0.8	0.62	0.65	0.64	0.55	0.65	0.6799999999999999	0.55	0.6799999999999999	0.65	0.62	0.5900000000000001	0.52	0.5900000000000001	0.55	0.73	0.52	0.71	0.65	0.42000000000000004	0.5900000000000001	0.62	0.62
Draft Risk Assessment of the Potential  Human Health Effect of Applying Continuous Inspection to Catfish	0.6	0.6	0.65	0.61	0.6699999999999999	0.5900000000000001	0.5700000000000001	0.6699999999999999	0.64	0.64	0.62	0.63	0.5800000000000001	0.64	0.63	0.5900000000000001	0.65	0.63	0.5700000000000001	0.6	0.63	0.6799999999999999	0.63	0.6	0.5800000000000001	0.5900000000000001	0.62	0.62	0.64	0.64	0.6	0.65	0.5700000000000001	0.62	0.63	0.62
Economic News Release Employment Cost  Index	0.62	0.64	0.030000000000000027	0.6599999999999999	0.6	0.6599999999999999	0.6599999999999999	0.62	0.64	0.69	0.6	0.6799999999999999	0.6799999999999999	0.72	0.69	0.62	0.64	0.5700000000000001	0.6	0.62	0.62	0.69	0.55	0.6599999999999999	0.7	0.6599999999999999	0.71	0.6	0.64	0.62	0.72	0.62	0.64	0.64	0.64	0.5700000000000001
Estimate of the Burden of  Illness Caused by Nontyphoidal Salmonella Infections in the United States  from FoodNet	0.62	0.54	0.65	0.62	0.64	0.56	0.5900000000000001	0.5	0.64	0.61	0.6	0.5800000000000001	0.5800000000000001	0.6799999999999999	0.63	0.55	0.6	0.64	0.5700000000000001	0.49	0.65	0.52	0.61	0.6	0.43000000000000005	0.5800000000000001	0.62	0.63	0.6	0.6	0.5800000000000001	0.61	0.5	0.6599999999999999	0.61	0.62
