	Managing for Safer Food: The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status? Evidence from the United States and Canada.” Resources for the Future, Discussion Paper,	Economic News Release: Employment Cost Index.” http://www.bls.gov/news.release/eci.toc.htm.	Health Status Index in Cost Effectiveness. Analysis of PKO Program.”	Disease Control and Prevention. http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5414a2.htm Consumer Price Index – All Urban Consumers, Medical Care Services, Bureau of Labor Statistics,	Measuring the Health of the United States Population.” Microeconomics, Brookings Paper,	Health Care Contingent Valuation Studies: A Review and	Foodborne Illness Cost Calculator for Salmonella.	Per Capita Consumption of Selected Food Products. http://www.ers.usda.gov/	Foodborne Diseases Active Surveillance Network,	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping”, Market News,	Data: U.S. trade data, U.S. Imports Trade data.	Reddy and the FoodNet Working Group.	USDA/FSIS Technical Center,	Willingness to Pay for a Quality-adjusted Life Year: In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation?” Arch Intern Med,	Foodborne Disease Handbook. 2 nd edition, vol.1 Bacterial Pathogens.	The Quality of WellBeing Scale: Rationale for a Single Quality of Life Index.” From Quality of Life Assessment: Key Issues in the 1990s.	The economic impact of the catfish industry on Chicot County,	Food-Related Illness and Death in the United States.” Emerging Infectious Diseases,	FDA Labeling Cost Model.” Prepared for the U.S. Department of Health and Human Services. Research Triangle Park,	Physician Characteristics and Distribution in the United States.” 2002-2003 Edition.	Food Poisoning, Economic Implications.” Encyclopedia of Food Sciences	Processing Channel Catfish. South Regional Aquaculture Center,	Post-Salmonella Reactive Arthritis:	Department of Agriculture. Food Safety and Inspection Service. Office of Public Health Science.	Department of Agriculture /National Agricultural Statistics Service (USDA/NASS).	Federal Register. 21 CFR Parts 123 and 1240: Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products; Final Rule.	Trade Commission (USITC).	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry.”	Tauxe and the Food Networking Group.	Physician Socioeconomic Statistics.” 2000-2002 Edition: Profiles for Detailed Specialties, Selected States and Practice Arrangements.	Occurrence and Control of Salmonella in Freshwater Catfish,	The Costs of Visits to Emergency Departments.” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis.” 63FR 24254,	means 500 or less full-time equivalent (FTE) employees (Small Business Administration (SBA) definition) ** North American Industry Classification System (NAICS) code,
From Quality of  Life Assessment Key Issues in the 1990s	0.40909090909090906	0.4	0.4716981132075472	0.3571428571428571	0.4285714285714286	0.46153846153846156	0.4347826086956522	0.34883720930232553	0.375	0.4347826086956522	0.4339622641509434	0.5384615384615384	0.4545454545454546	0.4285714285714286	0.30434782608695654	0.37254901960784315	0.45833333333333337	0.19999999999999996	0.34883720930232553	0.37254901960784315	0.43333333333333335	0.4901960784313726	0.41666666666666663	0.37777777777777777	0.38095238095238093	0.3207547169811321	0.3913043478260869	0.2962962962962963	0.4871794871794872	0.34545454545454546	0.5	0.3846153846153846	0.33333333333333337	0.46153846153846156	0.4426229508196722	0.3090909090909091
Measuring the Health of the United  States Population	0.2682926829268293	0.29824561403508776	0.43999999999999995	0.3207547169811321	0.33333333333333337	0.1428571428571429	0.2558139534883721	0.35	0.19999999999999996	0.39534883720930236	0.36	0.38888888888888884	0.36585365853658536	0.4358974358974359	0.3023255813953488	0.375	0.33333333333333337	0.4385964912280702	0.30000000000000004	0.29166666666666663	0.26315789473684215	0.375	0.33333333333333337	0.23809523809523814	0.33333333333333337	0.24	0.2558139534883721	0.2941176470588235	0.38888888888888884	0.23076923076923073	0.36585365853658536	0.30612244897959184	0.2857142857142857	0.3877551020408163	0.4482758620689655	0.3846153846153846
�Managing for Safer Food The Economics  of Sanitation and Process Controls in Meat and Poultry Establishments	0.14893617021276595	0.2698412698412699	0.3214285714285714	0.2542372881355932	0.33333333333333337	0.2727272727272727	0.34693877551020413	0.21739130434782605	0.17647058823529416	0.34693877551020413	0.3571428571428571	0.47619047619047616	0.4042553191489362	0.37777777777777777	0.34693877551020413	0.37037037037037035	0.33333333333333337	0.33333333333333337	0.21739130434782605	0.2592592592592593	0.23809523809523814	0.2962962962962963	0.2549019607843137	0.25	0.33333333333333337	0.2142857142857143	0.34693877551020413	0.22807017543859653	0.38095238095238093	0.24137931034482762	0.4042553191489362	0.2727272727272727	0.20833333333333337	0.2727272727272727	0.34375	0.24137931034482762
�Per Capita Consumption of Selected Food  Products	0.2682926829268293	0.29824561403508776	0.4	0.3207547169811321	0.3666666666666667	0.26530612244897955	0.34883720930232553	0.15000000000000002	0.11111111111111116	0.3023255813953488	0.36	0.38888888888888884	0.41463414634146345	0.3846153846153846	0.34883720930232553	0.41666666666666663	0.37777777777777777	0.4035087719298246	0.19999999999999996	0.29166666666666663	0.29824561403508776	0.375	0.24444444444444446	0.23809523809523814	0.28205128205128205	0.24	0.2558139534883721	0.21568627450980393	0.33333333333333337	0.2692307692307693	0.41463414634146345	0.30612244897959184	0.1428571428571429	0.34693877551020413	0.3793103448275862	0.2692307692307693
21 CFR Parts 123 and  1240 Procedures for the Safe and Sanitary Processing and Importing of Fish  and Fishery Products Final Rule	0.31999999999999995	0.2727272727272727	0.3220338983050848	0.29032258064516125	0.2753623188405797	0.31034482758620685	0.34615384615384615	0.26530612244897955	0.18518518518518523	0.42307692307692313	0.35593220338983056	0.4666666666666667	0.36	0.41666666666666663	0.34615384615384615	0.368421052631579	0.33333333333333337	0.2727272727272727	0.26530612244897955	0.26315789473684215	0.303030303030303	0.29824561403508776	0.2592592592592593	0.2549019607843137	0.33333333333333337	0.22033898305084743	0.34615384615384615	0.0	0.4222222222222223	0.21311475409836067	0.43999999999999995	0.24137931034482762	0.2549019607843137	0.3448275862068966	0.28358208955223885	0.24590163934426235
Catfish 2007 Summary	0.4444444444444444	0.5	0.5555555555555556	0.45833333333333337	0.5272727272727273	0.5	0.4736842105263158	0.4285714285714286	0.4	0.5789473684210527	0.5111111111111111	0.5483870967741935	0.5555555555555556	0.5294117647058824	0.5263157894736843	0.5813953488372092	0.6	0.5	0.3142857142857143	0.4883720930232558	0.5384615384615384	0.39534883720930236	0.55	0.4054054054054054	0.47058823529411764	0.4666666666666667	0.4736842105263158	0.34782608695652173	0.4838709677419355	0.44680851063829785	0.6111111111111112	0.40909090909090906	0.3513513513513513	0.5	0.5471698113207547	0.4042553191489362
Catfish and Basa Imports Continue to  Increase Despite Confirmed Antidumping	0.2857142857142857	0.31034482758620685	0.33333333333333337	0.2962962962962963	0.2786885245901639	0.28	0.31818181818181823	0.2682926829268293	0.21739130434782605	0.36363636363636365	0.13725490196078427	0.3513513513513513	0.38095238095238093	0.35	0.36363636363636365	0.34693877551020413	0.34782608695652173	0.3448275862068966	0.1707317073170732	0.26530612244897955	0.31034482758620685	0.3877551020408163	0.34782608695652173	0.2558139534883721	0.35	0.21568627450980393	0.2272727272727273	0.2692307692307693	0.3513513513513513	0.28301886792452835	0.38095238095238093	0.28	0.2558139534883721	0.28	0.35593220338983056	0.24528301886792447
Catfish January 2009 Reports	0.44999999999999996	0.4285714285714286	0.4285714285714286	0.46153846153846156	0.4915254237288136	0.45833333333333337	0.38095238095238093	0.4358974358974359	0.36363636363636365	0.5238095238095238	0.4285714285714286	0.5428571428571429	0.35	0.5263157894736843	0.4285714285714286	0.44680851063829785	0.5	0.4285714285714286	0.23076923076923073	0.44680851063829785	0.4642857142857143	0.36170212765957444	0.5	0.31707317073170727	0.42105263157894735	0.4285714285714286	0.4285714285714286	0.28	0.48571428571428577	0.37254901960784315	0.44999999999999996	0.375	0.36585365853658536	0.41666666666666663	0.4385964912280702	0.37254901960784315
Consumer Price Index � All Urban Consumers	0.46341463414634143	0.4035087719298246	0.36	0.3207547169811321	0.33333333333333337	0.3877551020408163	0.39534883720930236	0.25	0.33333333333333337	0.34883720930232553	0.4	0.4444444444444444	0.5609756097560976	0.3846153846153846	0.39534883720930236	0.41666666666666663	0.4222222222222223	0.4385964912280702	0.35	0.375	0.368421052631579	0.375	0.4222222222222223	0.33333333333333337	0.33333333333333337	0.31999999999999995	0.34883720930232553	0.37254901960784315	0.2777777777777778	0.3846153846153846	0.5121951219512195	0.4285714285714286	0.33333333333333337	0.4693877551020408	0.4137931034482759	0.3846153846153846
Cost  Calculator for Salmonella	0.3142857142857143	0.4117647058823529	0.4545454545454546	0.36170212765957444	0.4444444444444444	0.34883720930232553	0.3513513513513513	0.11764705882352944	0.23076923076923073	0.3513513513513513	0.40909090909090906	0.4	0.5428571428571429	0.3939393939393939	0.4054054054054054	0.47619047619047616	0.4871794871794872	0.4509803921568627	0.23529411764705888	0.33333333333333337	0.4117647058823529	0.4285714285714286	0.3846153846153846	0.2222222222222222	0.2727272727272727	0.36363636363636365	0.2432432432432432	0.33333333333333337	0.33333333333333337	0.3913043478260869	0.5428571428571429	0.39534883720930236	0.16666666666666663	0.39534883720930236	0.46153846153846156	0.34782608695652173
