	Availability of Nutrition Information from Chain Restaurants in	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Prevalence and Trends in Obesity Among U.S.	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Size Matters: The Influence of Adolescent’s Weight and	Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	Will all Americans become Overweight or Obese? Estimating the Progression and	Department of Health and Human Services and U.S. Department of Agriculture, “2010 Dietary Guidelines for Americans,” 7th ed., Washington DC: U.S. Government Printing Office,	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	"Nutrient Contribution of Food Away From Home."" In America&apos;s Eating Habits: Changes and Consequences,"	Separating what We Eat from where:	Foundation. “Menu Labeling: Does Providing Nutrition Information at the Point of Purchase Affect Consumer Behavior?” Healthy Eating Research,	Taxing Caloric Sweetened Beverages: Potential Effects on	FDA Labeling Cost Model, Final Report.” Prepared for Amber Jessup, DHHS/PHS/FDA/CFSAN. Prepared by	Silliker Information.” Memo to File,	Online Appendix for ‘Are Restaurants Really Supersizing America?’”	Testing Laboratory. “Quality Nutrition Analysis.”	Evaluation Of Recordkeeping Costs For Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin DHHS/PHS/FDA/CFSAN. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	FDA Report,” ReCount Restaurant Census.	Under the Radar: Top 50	Acquisition Pace Quickens in 2010, but Despite Consolidation, Top Chains Still Account for Nearly 40	Sector 72: Sub: Single Unit & Multiunit Firms for the U.S:	Insights “New menu items at restaurants” Memo to File.	Display Signs & Design “Order/Get Menu Pricing” website http://www.dsdsign.com/Pages/menus3.htm. accessed on October 6,	McDonald’s meeting	Sector 72: Sub: Seating Capacity for the U.S. and States:	Statistics. “Job Openings and Labor Turnover Survey: Accommodation and food services,	Paying Attention to Retention.”	KFC’s New Computer-Based Training Program Proves a Time Saver and Better Tool for	Statistics. “Occupational Employment Statistics Query System:	Consumer Awareness of Fast-Food Calorie Information in New York City After Implementation of a Menu Labeling Regulation.”	"Calorie Posting in Chain Restaurants."""	Purchasing Behavior and Calorie Information at Fast-Food Chains in	The Psychology of Food Consumption: Strategies for Promoting Healthier Food Choices”. American Economic Review:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Measuring the Health of the U.S. Population,” Brookings Paper, Microeconomics,	Obesity-Related Quality-Adjusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Modeling Weight-Loss Maintenance to Help Prevent Body Weight Regain,”	Sectors 44-45: Sub: Single Unit & Multiunit Firms for the U.S:	Sector 71: Sub: Single Unit & Multiunit Firms for the US:	Sector 51: Sub: Single Unit & Multiunit Firms for the US:	Association.	Association. When American Flies, it Works:	Global Airline Industry Program, “Total Operating Fleet,” Airline Data Project.	Global Airline Industry Program, “Average Seat Capacity of Total Operating Fleet,” Airline Data Project.	Transportation Statistics. “Appendix D – Modal Profiles, Rail Profile,” National Transportation Statistics.	The Partner of Choice: Annual Report FY	Transportation Statistics. National Census of Ferry Operators.
Acquisition Pace Quickens in 2010 but Despite Consolidation Top Chains Still Account for Nearly 40 Percent of Industrys Total Stores	0.4722222222222222	0.45945945945945943	0.5681818181818181	0.7714285714285715	0.5263157894736843	0.5121951219512195	0.4772727272727273	0.525	0.5675675675675675	0.5428571428571429	0.4722222222222222	0.6	0.4565217391304348	0.5348837209302326	0.5813953488372092	0.4358974358974359	0.6842105263157895	0.5106382978723405	0.5641025641025641	0.5	0.6666666666666667	0.5909090909090908	0.5641025641025641	0.4	0.6578947368421053	0.6666666666666667	0.030303030303030276	0.5897435897435898	0.6666666666666667	0.5555555555555556	0.6923076923076923	0.4444444444444444	0.5476190476190477	0.736842105263158	0.5581395348837209	0.5897435897435898	0.5227272727272727	0.6	0.5263157894736843	0.5	0.41463414634146345	0.6	0.5135135135135135	0.5897435897435898	0.4722222222222222	0.4736842105263158	0.5714285714285714	0.5217391304347826	0.5	0.5	0.6363636363636364	0.5897435897435898	0.5897435897435898	0.5897435897435898	0.7575757575757576	0.6111111111111112	0.5116279069767442	0.4545454545454546	0.5121951219512195	0.5	0.4571428571428572
KFCs New ComputerBased Training Program Proves a Time Saver and Better Tool for Learning	0.5151515151515151	0.6216216216216216	0.41666666666666663	0.6785714285714286	0.48484848484848486	0.4722222222222222	0.475	0.5675675675675675	0.4838709677419355	0.6363636363636364	0.5151515151515151	0.5294117647058824	0.5555555555555556	0.5384615384615384	0.5135135135135135	0.4722222222222222	0.5333333333333333	0.47619047619047616	0.33333333333333337	0.42105263157894735	0.6060606060606061	0.5641025641025641	0.5714285714285714	0.4897959183673469	0.6363636363636364	0.6875	0.525	0.5588235294117647	0.5294117647058824	0.5609756097560976	0.6363636363636364	0.5294117647058824	0.4722222222222222	0.7272727272727273	0.1333333333333333	0.6	0.4473684210526315	0.5172413793103448	0.33333333333333337	0.3783783783783784	0.4054054054054054	0.45945945945945943	0.5151515151515151	0.46875	0.46875	0.4242424242424242	0.5	0.6521739130434783	0.5	0.59375	0.5405405405405406	0.5588235294117647	0.5588235294117647	0.5588235294117647	0.7931034482758621	0.625	0.55	0.44999999999999996	0.5526315789473684	0.5	0.4
Online Appendix for Are Restaurants Really Supersizing America	0.4666666666666667	0.4516129032258065	0.4571428571428572	0.7407407407407407	0.3793103448275862	0.32258064516129037	0.43243243243243246	0.4375	0.4285714285714286	0.5	0.2962962962962963	0.4838709677419355	0.4878048780487805	0.4117647058823529	0.5142857142857142	0.47058823529411764	0.5357142857142857	0.5476190476190477	0.4838709677419355	0.45945945945945943	0.6129032258064516	0.1724137931034483	0.5757575757575757	0.5510204081632653	0.6	0.6551724137931034	0.5263157894736843	0.5161290322580645	0.6176470588235294	0.4864864864864865	0.5517241379310345	0.43333333333333335	0.375	0.6071428571428572	0.5277777777777778	0.4137931034482759	0.4864864864864865	0.5185185185185186	0.4838709677419355	0.41666666666666663	0.4864864864864865	0.4571428571428572	0.4666666666666667	0.5161290322580645	0.4666666666666667	0.46875	0.5	0.525	0.4571428571428572	0.4444444444444444	0.5428571428571429	0.5161290322580645	0.5161290322580645	0.5161290322580645	0.6666666666666667	0.5357142857142857	0.4722222222222222	0.4473684210526315	0.47058823529411764	0.5	0.3928571428571429
Paying Attention to Retention	0.5833333333333333	0.6666666666666667	0.6451612903225806	0.625	0.5416666666666667	0.6206896551724138	0.7222222222222222	0.6896551724137931	0.6086956521739131	0.6363636363636364	0.5217391304347826	0.6	0.717948717948718	0.6875	0.6666666666666667	0.6666666666666667	0.6190476190476191	0.6756756756756757	0.6538461538461539	0.6363636363636364	0.7083333333333333	0.6333333333333333	0.6	0.7446808510638299	0.6363636363636364	0.65	0.7058823529411764	0.7407407407407407	0.7037037037037037	0.7058823529411764	0.6363636363636364	0.6538461538461539	0.6666666666666667	0.19999999999999996	0.71875	0.6923076923076923	0.6666666666666667	0.4444444444444444	0.6538461538461539	0.6363636363636364	0.6666666666666667	0.6875	0.6923076923076923	0.64	0.64	0.5769230769230769	0.7	0.7297297297297297	0.6875	0.6363636363636364	0.6071428571428572	0.7407407407407407	0.7407407407407407	0.7407407407407407	0.5714285714285714	0.6190476190476191	0.65625	0.6944444444444444	0.6666666666666667	0.5652173913043479	0.6799999999999999
The Psychology of Food Consumption Strategies for Promoting Healthier Food Choices	0.4838709677419355	0.4193548387096774	0.33333333333333337	0.75	0.4	0.3939393939393939	0.36111111111111116	0.4545454545454546	0.2692307692307693	0.4642857142857143	0.3793103448275862	0.5	0.42500000000000004	0.4285714285714286	0.4411764705882353	0.34375	0.5	0.44999999999999996	0.4	0.38888888888888884	0.5806451612903225	0.4571428571428572	0.5882352941176471	0.46808510638297873	0.6129032258064516	0.6206896551724138	0.41666666666666663	0.43333333333333335	0.5454545454545454	0.45945945945945943	0.5666666666666667	0.3448275862068966	0.4411764705882353	0.6666666666666667	0.36363636363636365	0.4838709677419355	0.5	0.42307692307692313	0.2857142857142857	0.24242424242424243	0.37142857142857144	0.4722222222222222	0.53125	0.43333333333333335	0.3793103448275862	0.3870967741935484	0.375	0.6046511627906976	0.4722222222222222	0.4642857142857143	0.47058823529411764	0.43333333333333335	0.43333333333333335	0.43333333333333335	0.7307692307692308	0.5	0.4444444444444444	0.3783783783783784	0.5277777777777778	0.3571428571428571	0.2962962962962963
Under the Radar Top 50 Independents	0.6071428571428572	0.6333333333333333	0.6571428571428571	0.7727272727272727	0.6206896551724138	0.6764705882352942	0.6216216216216216	0.6129032258064516	0.6296296296296297	0.5416666666666667	0.6551724137931034	0.6666666666666667	0.6904761904761905	0.6571428571428571	0.6764705882352942	0.6363636363636364	0.64	0.7142857142857143	0.6666666666666667	0.717948717948718	0.7142857142857143	0.6857142857142857	0.7096774193548387	0.6938775510204082	0.6	0.11764705882352944	0.6388888888888888	0.7	0.6666666666666667	0.7105263157894737	0.7037037037037037	0.5714285714285714	0.6764705882352942	0.72	0.6857142857142857	0.7	0.6756756756756757	0.5652173913043479	0.6206896551724138	0.6486486486486487	0.6388888888888888	0.6571428571428571	0.6551724137931034	0.6551724137931034	0.6071428571428572	0.6451612903225806	0.6666666666666667	0.6666666666666667	0.7297297297297297	0.5416666666666667	0.625	0.6551724137931034	0.7	0.6551724137931034	0.75	0.64	0.6666666666666667	0.7	0.6363636363636364	0.5925925925925926	0.6428571428571428
Why Restaurants Fail	0.45833333333333337	0.6071428571428572	0.6363636363636364	0.75	0.6428571428571428	0.6129032258064516	0.6	0.5862068965517242	0.6538461538461539	0.625	0.5769230769230769	0.5925925925925926	0.675	0.6764705882352942	0.5172413793103448	0.6129032258064516	0.6086956521739131	0.631578947368421	0.6896551724137931	0.6285714285714286	0.64	0.625	0.5925925925925926	0.7083333333333333	0.5652173913043479	0.6363636363636364	0.6571428571428571	0.5769230769230769	0.5384615384615384	0.6571428571428571	0.6799999999999999	0.5925925925925926	0.696969696969697	0.6363636363636364	0.6666666666666667	0.5769230769230769	0.6176470588235294	0.368421052631579	0.5384615384615384	0.5882352941176471	0.6571428571428571	0.59375	0.5769230769230769	0.45833333333333337	0.52	0.5185185185185186	0.6451612903225806	0.6486486486486487	0.6764705882352942	0.5652173913043479	0.5517241379310345	0.5769230769230769	0.5769230769230769	0.5769230769230769	0.7222222222222222	0.4	0.6470588235294117	0.6842105263157895	0.696969696969697	0.5	0.5
New menu items at restaurants	0.5217391304347826	0.6666666666666667	0.6875	0.5333333333333333	0.6538461538461539	0.6206896551724138	0.7222222222222222	0.6896551724137931	0.6666666666666667	0.6363636363636364	0.64	0.6	0.75	0.6875	0.6666666666666667	0.5714285714285714	0.55	0.7105263157894737	0.6538461538461539	0.6764705882352942	0.6521739130434783	0.6774193548387097	0.6	0.7708333333333334	0.6363636363636364	0.7142857142857143	0.7058823529411764	0.64	0.4782608695652174	0.6666666666666667	0.6363636363636364	0.6538461538461539	0.6666666666666667	0.7142857142857143	0.5862068965517242	0.5833333333333333	0.625	0.5263157894736843	0.6	0.6764705882352942	0.6666666666666667	0.6451612903225806	0.5217391304347826	0.64	0.64	0.5769230769230769	0.6551724137931034	0.7297297297297297	0.6875	0.6363636363636364	0.7419354838709677	0.64	0.64	0.64	0.6666666666666667	0.55	0.696969696969697	0.7297297297297297	0.7096774193548387	0.6799999999999999	0.5652173913043479
2010 North American Food Retailers	0.4642857142857143	0.5483870967741935	0.5	0.7083333333333333	0.5333333333333333	0.5588235294117647	0.5897435897435898	0.5757575757575757	0.5357142857142857	0.6071428571428572	0.5666666666666667	0.48275862068965514	0.5609756097560976	0.5833333333333333	0.6	0.5151515151515151	0.6428571428571428	0.55	0.625	0.5789473684210527	0.6206896551724138	0.5714285714285714	0.625	0.5531914893617021	0.6071428571428572	0.56	0.48571428571428577	0.5172413793103448	0.5333333333333333	0.641025641025641	0.5555555555555556	0.5806451612903225	0.6388888888888888	0.6666666666666667	0.6111111111111112	0.6129032258064516	0.5675675675675675	0.52	0.48275862068965514	0.5405405405405406	0.5277777777777778	0.5	0.5666666666666667	0.5666666666666667	0.4642857142857143	0.5161290322580645	0.6285714285714286	0.5263157894736843	0.6578947368421053	0.43999999999999995	0.5882352941176471	0.5666666666666667	0.5172413793103448	0.5172413793103448	0.6190476190476191	0.34782608695652173	0.5945945945945945	0.6341463414634146	0.5588235294117647	0.5	0.5517241379310345
2007 North American Industry Classification System	0.3214285714285714	0.46875	0.5135135135135135	0.75	0.5	0.4411764705882353	0.525	0.4545454545454546	0.5	0.5172413793103448	0.4838709677419355	0.5454545454545454	0.42500000000000004	0.5135135135135135	0.5675675675675675	0.3939393939393939	0.6	0.4878048780487805	0.5454545454545454	0.5128205128205128	0.5806451612903225	0.5	0.5882352941176471	0.5306122448979591	0.65625	0.6666666666666667	0.37142857142857144	0.43333333333333335	0.5454545454545454	0.575	0.6129032258064516	0.3448275862068966	0.5277777777777778	0.7096774193548387	0.5405405405405406	0.53125	0.5	0.5357142857142857	0.4	0.4736842105263158	0.45945945945945943	0.4722222222222222	0.4838709677419355	0.53125	0.3793103448275862	0.4375	0.5555555555555556	0.5	0.5135135135135135	0.40740740740740744	0.631578947368421	0.53125	0.4838709677419355	0.53125	0.6799999999999999	0.5	0.5641025641025641	0.5	0.5675675675675675	0.5161290322580645	0.4137931034482759
