	Availability of Nutrition Information from Chain Restaurants in	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Prevalence and Trends in Obesity Among U.S.	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Size Matters: The Influence of Adolescent’s Weight and	Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	Will all Americans become Overweight or Obese? Estimating the Progression and	Department of Health and Human Services and U.S. Department of Agriculture, “2010 Dietary Guidelines for Americans,” 7th ed., Washington DC: U.S. Government Printing Office,	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	"Nutrient Contribution of Food Away From Home."" In America&apos;s Eating Habits: Changes and Consequences,"	Separating what We Eat from where:	Foundation. “Menu Labeling: Does Providing Nutrition Information at the Point of Purchase Affect Consumer Behavior?” Healthy Eating Research,	Taxing Caloric Sweetened Beverages: Potential Effects on	FDA Labeling Cost Model, Final Report.” Prepared for Amber Jessup, DHHS/PHS/FDA/CFSAN. Prepared by	Silliker Information.” Memo to File,	Online Appendix for ‘Are Restaurants Really Supersizing America?’”	Testing Laboratory. “Quality Nutrition Analysis.”	Evaluation Of Recordkeeping Costs For Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin DHHS/PHS/FDA/CFSAN. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	FDA Report,” ReCount Restaurant Census.	Under the Radar: Top 50	Acquisition Pace Quickens in 2010, but Despite Consolidation, Top Chains Still Account for Nearly 40	Sector 72: Sub: Single Unit & Multiunit Firms for the U.S:	Insights “New menu items at restaurants” Memo to File.	Display Signs & Design “Order/Get Menu Pricing” website http://www.dsdsign.com/Pages/menus3.htm. accessed on October 6,	McDonald’s meeting	Sector 72: Sub: Seating Capacity for the U.S. and States:	Statistics. “Job Openings and Labor Turnover Survey: Accommodation and food services,	Paying Attention to Retention.”	KFC’s New Computer-Based Training Program Proves a Time Saver and Better Tool for	Statistics. “Occupational Employment Statistics Query System:	Consumer Awareness of Fast-Food Calorie Information in New York City After Implementation of a Menu Labeling Regulation.”	"Calorie Posting in Chain Restaurants."""	Purchasing Behavior and Calorie Information at Fast-Food Chains in	The Psychology of Food Consumption: Strategies for Promoting Healthier Food Choices”. American Economic Review:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Measuring the Health of the U.S. Population,” Brookings Paper, Microeconomics,	Obesity-Related Quality-Adjusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Modeling Weight-Loss Maintenance to Help Prevent Body Weight Regain,”	Sectors 44-45: Sub: Single Unit & Multiunit Firms for the U.S:	Sector 71: Sub: Single Unit & Multiunit Firms for the US:	Sector 51: Sub: Single Unit & Multiunit Firms for the US:	Association.	Association. When American Flies, it Works:	Global Airline Industry Program, “Total Operating Fleet,” Airline Data Project.	Global Airline Industry Program, “Average Seat Capacity of Total Operating Fleet,” Airline Data Project.	Transportation Statistics. “Appendix D – Modal Profiles, Rail Profile,” National Transportation Statistics.	The Partner of Choice: Annual Report FY	Transportation Statistics. National Census of Ferry Operators.
Acquisition Pace Quickens in 2010 but Despite Consolidation Top Chains Still Account for Nearly 40 Percent of Industrys Total Stores	0.7575757575757576	0.7803030303030303	0.7878787878787878	0.9015151515151515	0.8333333333333334	0.75	0.8181818181818182	0.8106060606060606	0.8257575757575758	0.8939393939393939	0.7878787878787878	0.7727272727272727	0.7904191616766467	0.7954545454545454	0.7727272727272727	0.7878787878787878	0.8409090909090909	0.7659574468085106	0.803030303030303	0.8333333333333334	0.8484848484848485	0.7954545454545454	0.8257575757575758	0.7754237288135594	0.8484848484848485	0.8939393939393939	0.25757575757575757	0.803030303030303	0.7954545454545454	0.8106060606060606	0.9090909090909091	0.7575757575757576	0.75	0.8257575757575758	0.7727272727272727	0.7727272727272727	0.7954545454545454	0.8257575757575758	0.7803030303030303	0.7954545454545454	0.7727272727272727	0.7575757575757576	0.8106060606060606	0.7803030303030303	0.7424242424242424	0.7196969696969697	0.7727272727272727	0.7954545454545454	0.7803030303030303	0.7954545454545454	0.7803030303030303	0.803030303030303	0.803030303030303	0.803030303030303	0.9242424242424242	0.7954545454545454	0.7803030303030303	0.7878787878787878	0.7575757575757576	0.8333333333333334	0.7424242424242424
KFCs New ComputerBased Training Program Proves a Time Saver and Better Tool for Learning	0.7954545454545454	0.7840909090909091	0.7755102040816326	0.8636363636363636	0.8068181818181818	0.8295454545454546	0.8037383177570093	0.7840909090909091	0.7840909090909091	0.8295454545454546	0.8181818181818182	0.7727272727272727	0.7724550898203593	0.797752808988764	0.8068181818181818	0.7878787878787878	0.7727272727272727	0.75177304964539	0.7840909090909091	0.8064516129032258	0.8181818181818182	0.8295454545454546	0.8181818181818182	0.8050847457627118	0.7954545454545454	0.8636363636363636	0.7755102040816326	0.7954545454545454	0.7840909090909091	0.8108108108108109	0.8636363636363636	0.7727272727272727	0.8068181818181818	0.8409090909090909	0.13636363636363635	0.8522727272727273	0.743801652892562	0.7840909090909091	0.7727272727272727	0.8	0.8061224489795918	0.7105263157894737	0.75	0.8181818181818182	0.7613636363636364	0.8125	0.8295454545454546	0.7954545454545454	0.8522727272727273	0.8295454545454546	0.7727272727272727	0.7954545454545454	0.7954545454545454	0.7954545454545454	0.9090909090909091	0.7954545454545454	0.7840909090909091	0.780952380952381	0.7706422018348624	0.8068181818181818	0.8068181818181818
Online Appendix for Are Restaurants Really Supersizing America	0.9047619047619048	0.7903225806451613	0.7653061224489796	0.8709677419354839	0.7419354838709677	0.810126582278481	0.7850467289719626	0.8548387096774194	0.7258064516129032	0.8064516129032258	0.7903225806451613	0.8026315789473685	0.8023952095808383	0.8202247191011236	0.8714285714285714	0.7676767676767676	0.7903225806451613	0.7730496453900709	0.8225806451612904	0.7741935483870968	0.8064516129032258	0.1267605633802817	0.8064516129032258	0.8432203389830508	0.7096774193548387	0.8064516129032258	0.7653061224489796	0.8387096774193549	0.7741935483870968	0.7927927927927928	0.8548387096774194	0.8387096774193549	0.7857142857142857	0.7258064516129032	0.8048780487804879	0.9193548387096774	0.7768595041322314	0.7580645161290323	0.8769230769230769	0.7727272727272727	0.7857142857142857	0.7807017543859649	0.8225806451612904	0.8548387096774194	0.7837837837837838	0.65625	0.7466666666666667	0.8356164383561644	0.7564102564102564	0.8064516129032258	0.8260869565217391	0.8548387096774194	0.8387096774193549	0.8387096774193549	0.9032258064516129	0.7741935483870968	0.775	0.7333333333333333	0.7339449541284404	0.7741935483870968	0.8548387096774194
Paying Attention to Retention	0.6984126984126984	0.8571428571428571	0.8163265306122449	0.7241379310344828	0.7317073170731707	0.7848101265822784	0.8504672897196262	0.7636363636363637	0.7105263157894737	0.7586206896551724	0.7169811320754716	0.7894736842105263	0.874251497005988	0.8089887640449438	0.7714285714285715	0.8282828282828283	0.8181818181818182	0.8439716312056738	0.7090909090909091	0.8494623655913979	0.7222222222222222	0.7605633802816901	0.7450980392156863	0.9067796610169492	0.7692307692307693	0.8620689655172413	0.7857142857142857	0.8113207547169812	0.7894736842105263	0.8198198198198198	0.7931034482758621	0.7692307692307693	0.8214285714285714	0.09375	0.8414634146341463	0.7868852459016393	0.8264462809917356	0.7222222222222222	0.7230769230769231	0.8272727272727273	0.8163265306122449	0.8070175438596491	0.7954545454545454	0.7333333333333333	0.7972972972972973	0.8125	0.7466666666666667	0.8356164383561644	0.8333333333333334	0.6829268292682927	0.7391304347826086	0.8214285714285714	0.8113207547169812	0.8113207547169812	0.7931034482758621	0.775	0.8125	0.819047619047619	0.8165137614678899	0.7368421052631579	0.75
The Psychology of Food Consumption Strategies for Promoting Healthier Food Choices	0.7195121951219512	0.7439024390243902	0.7857142857142857	0.8658536585365854	0.8048780487804879	0.7682926829268293	0.7289719626168224	0.8292682926829268	0.7439024390243902	0.8292682926829268	0.8170731707317073	0.8292682926829268	0.7904191616766467	0.8089887640449438	0.7804878048780488	0.7070707070707071	0.7926829268292683	0.7588652482269503	0.7682926829268293	0.7849462365591398	0.7926829268292683	0.8536585365853658	0.7804878048780488	0.8177966101694916	0.8048780487804879	0.8658536585365854	0.8163265306122449	0.7926829268292683	0.7560975609756098	0.8198198198198198	0.8658536585365854	0.7195121951219512	0.7857142857142857	0.7804878048780488	0.8414634146341463	0.8170731707317073	0.71900826446281	0.7804878048780488	0.7073170731707317	0.2545454545454545	0.7346938775510204	0.7807017543859649	0.7682926829268293	0.7926829268292683	0.8048780487804879	0.8125	0.7682926829268293	0.8414634146341463	0.8292682926829268	0.7804878048780488	0.8414634146341463	0.7926829268292683	0.7926829268292683	0.7926829268292683	0.9024390243902439	0.7682926829268293	0.8414634146341463	0.7714285714285715	0.7798165137614679	0.7682926829268293	0.7682926829268293
Under the Radar Top 50 Independents	0.8095238095238095	0.8392857142857143	0.7959183673469388	0.8857142857142857	0.8292682926829268	0.7974683544303798	0.822429906542056	0.7636363636363637	0.868421052631579	0.8	0.8490566037735849	0.8421052631578947	0.874251497005988	0.8202247191011236	0.8142857142857143	0.797979797979798	0.8285714285714286	0.8652482269503546	0.7818181818181819	0.8387096774193549	0.8888888888888888	0.8028169014084507	0.8431372549019608	0.8898305084745762	0.8205128205128205	0.37142857142857144	0.8367346938775511	0.8679245283018868	0.8421052631578947	0.8558558558558559	0.8571428571428571	0.7692307692307693	0.8095238095238095	0.8285714285714286	0.8048780487804879	0.8524590163934426	0.8264462809917356	0.8055555555555556	0.8	0.8636363636363636	0.8061224489795918	0.8245614035087719	0.7954545454545454	0.7833333333333333	0.8108108108108109	0.8125	0.7733333333333333	0.8493150684931506	0.7948717948717948	0.7804878048780488	0.7681159420289855	0.875	0.8679245283018868	0.8679245283018868	0.9142857142857143	0.875	0.825	0.8380952380952381	0.8440366972477065	0.868421052631579	0.7833333333333333
Why Restaurants Fail	0.7936507936507936	0.8035714285714286	0.8979591836734694	0.9	0.8292682926829268	0.8481012658227848	0.8785046728971962	0.8363636363636363	0.8157894736842105	0.8333333333333334	0.8301886792452831	0.8552631578947368	0.9161676646706587	0.8651685393258427	0.8142857142857143	0.898989898989899	0.8484848484848485	0.900709219858156	0.8363636363636363	0.8817204301075269	0.7777777777777778	0.7887323943661971	0.8431372549019608	0.9279661016949152	0.717948717948718	0.8636363636363636	0.8877551020408163	0.8490566037735849	0.7368421052631579	0.8918918918918919	0.95	0.8461538461538461	0.8809523809523809	0.8125	0.8658536585365854	0.8852459016393442	0.8925619834710744	0.7777777777777778	0.8153846153846154	0.8818181818181818	0.9183673469387755	0.868421052631579	0.8636363636363636	0.85	0.8243243243243243	0.8333333333333334	0.8533333333333334	0.8767123287671232	0.8717948717948718	0.8048780487804879	0.8405797101449275	0.8571428571428571	0.8490566037735849	0.8490566037735849	0.85	0.825	0.8625	0.8857142857142857	0.8899082568807339	0.8421052631578947	0.8333333333333334
New menu items at restaurants	0.6984126984126984	0.7857142857142857	0.826530612244898	0.7931034482758621	0.7073170731707317	0.7721518987341772	0.8130841121495327	0.8	0.7105263157894737	0.7931034482758621	0.7547169811320755	0.7894736842105263	0.8682634730538922	0.8202247191011236	0.7857142857142857	0.8181818181818182	0.7878787878787878	0.8581560283687943	0.7818181818181819	0.8494623655913979	0.8611111111111112	0.7887323943661971	0.803921568627451	0.9067796610169492	0.6153846153846154	0.8275862068965517	0.826530612244898	0.7735849056603774	0.49122807017543857	0.8468468468468469	0.7931034482758621	0.7307692307692307	0.8333333333333334	0.8125	0.7682926829268293	0.819672131147541	0.8429752066115702	0.5833333333333334	0.7846153846153846	0.8454545454545455	0.8571428571428571	0.8421052631578947	0.75	0.7666666666666667	0.8243243243243243	0.7708333333333334	0.7866666666666666	0.8356164383561644	0.8076923076923077	0.8048780487804879	0.7971014492753623	0.7857142857142857	0.7735849056603774	0.7735849056603774	0.8620689655172413	0.775	0.8125	0.8476190476190476	0.8348623853211009	0.8157894736842105	0.7833333333333333
2010 North American Food Retailers	0.7619047619047619	0.7857142857142857	0.7653061224489796	0.7941176470588235	0.8780487804878049	0.810126582278481	0.8317757009345794	0.8181818181818182	0.868421052631579	0.8235294117647058	0.8113207547169812	0.75	0.8682634730538922	0.8089887640449438	0.7571428571428571	0.8080808080808081	0.8823529411764706	0.8581560283687943	0.7818181818181819	0.8494623655913979	0.8333333333333334	0.8169014084507042	0.8235294117647058	0.9067796610169492	0.8205128205128205	0.8235294117647058	0.8367346938775511	0.8301886792452831	0.8070175438596491	0.8738738738738738	0.8529411764705882	0.8269230769230769	0.7976190476190477	0.7941176470588235	0.8048780487804879	0.8032786885245902	0.8512396694214877	0.75	0.7692307692307693	0.8272727272727273	0.8367346938775511	0.8421052631578947	0.7727272727272727	0.7833333333333333	0.8108108108108109	0.8125	0.8	0.8493150684931506	0.8461538461538461	0.8048780487804879	0.7971014492753623	0.8392857142857143	0.8301886792452831	0.8301886792452831	0.8529411764705882	0.625	0.8125	0.8285714285714286	0.8348623853211009	0.7894736842105263	0.75
2007 North American Industry Classification System	0.7777777777777778	0.8392857142857143	0.8061224489795918	0.86	0.82	0.7721518987341772	0.8037383177570093	0.8363636363636363	0.8	0.82	0.8490566037735849	0.7631578947368421	0.8083832335329342	0.7865168539325843	0.7857142857142857	0.797979797979798	0.82	0.8368794326241135	0.8363636363636363	0.8494623655913979	0.82	0.8309859154929577	0.8823529411764706	0.8728813559322034	0.84	0.82	0.7857142857142857	0.8490566037735849	0.8421052631578947	0.8288288288288288	0.86	0.8076923076923077	0.7857142857142857	0.8	0.7926829268292683	0.7377049180327869	0.8264462809917356	0.78	0.8153846153846154	0.8181818181818182	0.8469387755102041	0.8157894736842105	0.84	0.75	0.8378378378378378	0.8125	0.84	0.821917808219178	0.8333333333333334	0.76	0.8260869565217391	0.8392857142857143	0.8490566037735849	0.8490566037735849	0.82	0.78	0.8	0.8285714285714286	0.7798165137614679	0.82	0.8
