	Availability of Nutrition Information from Chain Restaurants in	Is the Obesity Epidemic a Public Health Problem A Decade	Strategies for Promoting Healthier Food Choices” American Economic Review Papers and Proceedings	Doing it Now or	Prevalence and Trends in Obesity Among US	Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US” Obesity	Size Matters The Influence of Adolescent’s Weight and	SelfPerception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity Payer	Will all Americans become Overweight or Obese Estimating the Progression and	Department of Health and Human Services and US Department of Agriculture “2010 Dietary Guidelines for Americans” 7th ed Washington DC US Government Printing Office	The Growth of Obesity and Technological Change A Theoretical and Empirical Examination”	The LongRun Growth in Obesity as a Function of Technological Change”	Nutrient Contribution of Food Away From Home In Americaaposs Eating Habits Changes and Consequences	Separating what We Eat from where	Foundation “Menu Labeling Does Providing Nutrition Information at the Point of Purchase Affect Consumer Behavior” Healthy Eating Research	Taxing Caloric Sweetened Beverages Potential Effects on	FDA Labeling Cost Model Final Report” Prepared for Amber Jessup DHHSPHSFDACFSAN Prepared by	Silliker Information” Memo to File	Online Appendix for ‘Are Restaurants Really Supersizing America’”	Testing Laboratory “Quality Nutrition Analysis”	Evaluation Of Recordkeeping Costs For Food Manufacturers Final Report” Prepared for Andy Estrin and Cristina McLaughlin DHHSPHSFDACFSAN Prepared by Aylin Sertkaya Ayesha Berlind and Seda Erdem Contract No 223012461 Task Order Number 5	FDA Report” ReCount Restaurant Census	Under the Radar Top 50	Acquisition Pace Quickens in 2010 but Despite Consolidation Top Chains Still Account for Nearly 40	Sector 72 Sub Single Unit  Multiunit Firms for the US	Insights “New menu items at restaurants” Memo to File	Display Signs  Design “OrderGet Menu Pricing” website httpwwwdsdsigncomPagesmenus3htm accessed on October 6	McDonald’s meeting	Sector 72 Sub Seating Capacity for the US and States	Statistics “Job Openings and Labor Turnover Survey Accommodation and food services	Paying Attention to Retention”	KFC’s New ComputerBased Training Program Proves a Time Saver and Better Tool for	Statistics “Occupational Employment Statistics Query System	Consumer Awareness of FastFood Calorie Information in New York City After Implementation of a Menu Labeling Regulation”	Calorie Posting in Chain Restaurants	Purchasing Behavior and Calorie Information at FastFood Chains in	The Psychology of Food Consumption Strategies for Promoting Healthier Food Choices” American Economic Review	Calorie Labeling And Food Choices A First Look At The Effects On LowIncome People In New York City	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information”	Do Nutrition Labels Improve Dietary Outcomes	Mandatory Menu Labeling in One FastFood Chain in King County	Child and Adolescent FastFood Choice and the Influence of Calorie Labeling	Nutrition Menu Labeling May Lead to LowerCalorie Restaurant Meal Choices for Children Pediatrics	Measuring the Health of the US Population” Brookings Paper Microeconomics	ObesityRelated QualityAdjusted Life Years Lost in the US from 19932008”	Trends in QualityAdjusted LifeYears Lost Contributed by Smoking and Obesity”	Statistical Abstract of the United States	Modeling WeightLoss Maintenance to Help Prevent Body Weight Regain”	Sectors 4445 Sub Single Unit  Multiunit Firms for the US	Sector 71 Sub Single Unit  Multiunit Firms for the US	Sector 51 Sub Single Unit  Multiunit Firms for the US	Association	Association When American Flies it Works	Global Airline Industry Program “Total Operating Fleet” Airline Data Project	Global Airline Industry Program “Average Seat Capacity of Total Operating Fleet” Airline Data Project	Transportation Statistics “Appendix D – Modal Profiles Rail Profile” National Transportation Statistics	The Partner of Choice Annual Report FY	Transportation Statistics National Census of Ferry Operators
Acquisition Pace Quickens in 2010 but Despite Consolidation Top Chains Still Account for Nearly 40 Percent of Industrys Total Stores	0.3090909090909091	0.29824561403508776	0.39682539682539686	0.627906976744186	0.3571428571428571	0.34426229508196726	0.31343283582089554	0.35593220338983056	0.39622641509433965	0.37254901960784315	0.3090909090909091	0.4285714285714286	0.295774647887324	0.3650793650793651	0.4098360655737705	0.2786885245901639	0.52	0.34285714285714286	0.3928571428571429	0.33333333333333337	0.5	0.4193548387096774	0.3928571428571429	0.25	0.4901960784313726	0.5	0.01538461538461533	0.4181818181818182	0.5	0.3846153846153846	0.5294117647058824	0.2857142857142857	0.3770491803278688	0.5833333333333333	0.3870967741935484	0.4181818181818182	0.3538461538461538	0.4285714285714286	0.3571428571428571	0.33333333333333337	0.2615384615384615	0.4285714285714286	0.34545454545454546	0.4181818181818182	0.3090909090909091	0.31034482758620685	0.4	0.3529411764705882	0.33333333333333337	0.33333333333333337	0.4666666666666667	0.4181818181818182	0.4181818181818182	0.4181818181818182	0.6097560975609756	0.43999999999999995	0.34375	0.2941176470588235	0.34426229508196726	0.33333333333333337	0.2962962962962963
KFCs New ComputerBased Training Program Proves a Time Saver and Better Tool for Learning	0.34693877551020413	0.4509803921568627	0.26315789473684215	0.5135135135135135	0.31999999999999995	0.3090909090909091	0.3114754098360656	0.39622641509433965	0.3191489361702128	0.4666666666666667	0.34693877551020413	0.36	0.3846153846153846	0.368421052631579	0.34545454545454546	0.3090909090909091	0.36363636363636365	0.3125	0.19999999999999996	0.2666666666666667	0.4347826086956522	0.3928571428571429	0.4	0.32432432432432434	0.4666666666666667	0.5238095238095238	0.35593220338983056	0.3877551020408163	0.36	0.38983050847457623	0.4666666666666667	0.36	0.3090909090909091	0.5714285714285714	0.0714285714285714	0.4285714285714286	0.288135593220339	0.34883720930232553	0.19999999999999996	0.23333333333333328	0.2542372881355932	0.29824561403508776	0.34693877551020413	0.30612244897959184	0.30612244897959184	0.2692307692307693	0.33333333333333337	0.4838709677419355	0.33333333333333337	0.4222222222222223	0.37037037037037035	0.3877551020408163	0.3877551020408163	0.3877551020408163	0.6571428571428571	0.4545454545454546	0.3793103448275862	0.29032258064516125	0.38181818181818183	0.33333333333333337	0.25
Online Appendix for Are Restaurants Really Supersizing America	0.30434782608695654	0.29166666666666663	0.2962962962962963	0.5882352941176471	0.23404255319148937	0.1923076923076923	0.27586206896551724	0.28	0.2727272727272727	0.33333333333333337	0.17391304347826086	0.3191489361702128	0.32258064516129037	0.2592592592592593	0.34615384615384615	0.3076923076923077	0.36585365853658536	0.3770491803278688	0.3191489361702128	0.29824561403508776	0.4418604651162791	0.09433962264150941	0.4042553191489362	0.3802816901408451	0.4285714285714286	0.4871794871794872	0.3571428571428571	0.34782608695652173	0.44680851063829785	0.3214285714285714	0.38095238095238093	0.276595744680851	0.23076923076923073	0.4358974358974359	0.3584905660377359	0.26086956521739135	0.3214285714285714	0.35	0.3191489361702128	0.26315789473684215	0.3214285714285714	0.2962962962962963	0.30434782608695654	0.34782608695652173	0.30434782608695654	0.30612244897959184	0.33333333333333337	0.35593220338983056	0.2962962962962963	0.2857142857142857	0.37254901960784315	0.34782608695652173	0.34782608695652173	0.34782608695652173	0.5	0.36585365853658536	0.3090909090909091	0.288135593220339	0.3076923076923077	0.33333333333333337	0.24444444444444446
Paying Attention to Retention	0.4117647058823529	0.5	0.47619047619047616	0.4545454545454546	0.37142857142857144	0.44999999999999996	0.5652173913043479	0.5263157894736843	0.4375	0.4666666666666667	0.3529411764705882	0.4285714285714286	0.56	0.5238095238095238	0.5	0.5	0.4482758620689655	0.5102040816326531	0.48571428571428577	0.4666666666666667	0.5483870967741935	0.46341463414634143	0.4285714285714286	0.5932203389830508	0.4666666666666667	0.4814814814814815	0.5454545454545454	0.5882352941176471	0.5428571428571429	0.5454545454545454	0.4666666666666667	0.48571428571428577	0.5	0.11111111111111116	0.5609756097560976	0.5294117647058824	0.5	0.2857142857142857	0.48571428571428577	0.4666666666666667	0.5	0.5238095238095238	0.5294117647058824	0.47058823529411764	0.47058823529411764	0.4054054054054054	0.5384615384615384	0.574468085106383	0.5238095238095238	0.4666666666666667	0.4358974358974359	0.5882352941176471	0.5882352941176471	0.5882352941176471	0.4	0.4482758620689655	0.4883720930232558	0.5319148936170213	0.5	0.3939393939393939	0.5151515151515151
The Psychology of Food Consumption Strategies for Promoting Healthier Food Choices	0.3191489361702128	0.26530612244897955	0.19999999999999996	0.6	0.25	0.24528301886792447	0.22033898305084743	0.2941176470588235	0.15555555555555556	0.3023255813953488	0.23404255319148937	0.33333333333333337	0.2698412698412699	0.2727272727272727	0.28301886792452835	0.2075471698113207	0.33333333333333337	0.29032258064516125	0.25	0.24137931034482762	0.40909090909090906	0.2962962962962963	0.41666666666666663	0.3055555555555556	0.4418604651162791	0.44999999999999996	0.26315789473684215	0.276595744680851	0.375	0.29824561403508776	0.39534883720930236	0.20833333333333337	0.28301886792452835	0.5	0.2222222222222222	0.3191489361702128	0.33333333333333337	0.2682926829268293	0.16666666666666663	0.13793103448275867	0.22807017543859653	0.3090909090909091	0.36170212765957444	0.276595744680851	0.23404255319148937	0.24	0.23076923076923073	0.43333333333333335	0.3090909090909091	0.3023255813953488	0.3076923076923077	0.276595744680851	0.276595744680851	0.276595744680851	0.5757575757575757	0.33333333333333337	0.2857142857142857	0.23333333333333328	0.3584905660377359	0.21739130434782605	0.17391304347826086
Under the Radar Top 50 Independents	0.4358974358974359	0.46341463414634143	0.4893617021276596	0.6296296296296297	0.44999999999999996	0.5111111111111111	0.4509803921568627	0.4418604651162791	0.45945945945945943	0.37142857142857144	0.4871794871794872	0.5	0.5272727272727273	0.4893617021276596	0.5111111111111111	0.4666666666666667	0.47058823529411764	0.5555555555555556	0.5	0.56	0.5555555555555556	0.5217391304347826	0.55	0.53125	0.4285714285714286	0.0625	0.4693877551020408	0.5384615384615384	0.5	0.5510204081632653	0.5428571428571429	0.4	0.5111111111111111	0.5625	0.5217391304347826	0.5384615384615384	0.5102040816326531	0.3939393939393939	0.44999999999999996	0.48	0.4693877551020408	0.4893617021276596	0.4871794871794872	0.4871794871794872	0.4358974358974359	0.47619047619047616	0.5	0.5	0.574468085106383	0.37142857142857144	0.4545454545454546	0.4871794871794872	0.5384615384615384	0.4871794871794872	0.6	0.47058823529411764	0.5	0.5384615384615384	0.4666666666666667	0.42105263157894735	0.4736842105263158
Why Restaurants Fail	0.29729729729729726	0.4358974358974359	0.4666666666666667	0.6	0.4736842105263158	0.4418604651162791	0.4285714285714286	0.41463414634146345	0.48571428571428577	0.4545454545454546	0.4054054054054054	0.42105263157894735	0.5094339622641509	0.5111111111111111	0.34883720930232553	0.4418604651162791	0.4375	0.46153846153846156	0.5263157894736843	0.45833333333333337	0.47058823529411764	0.4545454545454546	0.42105263157894735	0.5483870967741935	0.3939393939393939	0.4666666666666667	0.4893617021276596	0.4054054054054054	0.368421052631579	0.4893617021276596	0.5151515151515151	0.42105263157894735	0.5348837209302326	0.4666666666666667	0.5	0.4054054054054054	0.44680851063829785	0.22580645161290325	0.368421052631579	0.41666666666666663	0.4893617021276596	0.4222222222222223	0.4054054054054054	0.29729729729729726	0.3513513513513513	0.35	0.47619047619047616	0.48	0.5111111111111111	0.3939393939393939	0.38095238095238093	0.4054054054054054	0.4054054054054054	0.4054054054054054	0.5652173913043479	0.25	0.4782608695652174	0.52	0.5348837209302326	0.33333333333333337	0.33333333333333337
New menu items at restaurants	0.3529411764705882	0.5	0.5238095238095238	0.36363636363636365	0.48571428571428577	0.44999999999999996	0.5652173913043479	0.5263157894736843	0.5	0.4666666666666667	0.47058823529411764	0.4285714285714286	0.6	0.5238095238095238	0.5	0.4	0.3793103448275862	0.5510204081632653	0.48571428571428577	0.5111111111111111	0.4838709677419355	0.5121951219512195	0.4285714285714286	0.6271186440677966	0.4666666666666667	0.5555555555555556	0.5454545454545454	0.47058823529411764	0.3142857142857143	0.5	0.4666666666666667	0.48571428571428577	0.5	0.5555555555555556	0.41463414634146345	0.4117647058823529	0.4545454545454546	0.3571428571428571	0.4285714285714286	0.5111111111111111	0.5	0.47619047619047616	0.3529411764705882	0.47058823529411764	0.47058823529411764	0.4054054054054054	0.4871794871794872	0.574468085106383	0.5238095238095238	0.4666666666666667	0.5897435897435898	0.47058823529411764	0.47058823529411764	0.47058823529411764	0.5	0.3793103448275862	0.5348837209302326	0.574468085106383	0.55	0.5151515151515151	0.3939393939393939
2010 North American Food Retailers	0.3023255813953488	0.37777777777777777	0.33333333333333337	0.5483870967741935	0.36363636363636365	0.3877551020408163	0.4181818181818182	0.4042553191489362	0.36585365853658536	0.4358974358974359	0.39534883720930236	0.31818181818181823	0.38983050847457623	0.4117647058823529	0.4285714285714286	0.34693877551020413	0.4736842105263158	0.3793103448275862	0.4545454545454546	0.40740740740740744	0.44999999999999996	0.4	0.4545454545454546	0.38235294117647056	0.4358974358974359	0.38888888888888884	0.3207547169811321	0.34883720930232553	0.36363636363636365	0.4716981132075472	0.3846153846153846	0.40909090909090906	0.4693877551020408	0.5	0.43999999999999995	0.4418604651162791	0.39622641509433965	0.3513513513513513	0.31818181818181823	0.37037037037037035	0.3584905660377359	0.33333333333333337	0.39534883720930236	0.39534883720930236	0.3023255813953488	0.34782608695652173	0.45833333333333337	0.3571428571428571	0.4901960784313726	0.28205128205128205	0.41666666666666663	0.39534883720930236	0.34883720930232553	0.34883720930232553	0.4482758620689655	0.21052631578947367	0.42307692307692313	0.4642857142857143	0.3877551020408163	0.33333333333333337	0.38095238095238093
2007 North American Industry Classification System	0.19148936170212771	0.30612244897959184	0.34545454545454546	0.6	0.33333333333333337	0.28301886792452835	0.35593220338983056	0.2941176470588235	0.33333333333333337	0.34883720930232553	0.3191489361702128	0.375	0.2698412698412699	0.34545454545454546	0.39622641509433965	0.24528301886792447	0.4285714285714286	0.32258064516129037	0.375	0.3448275862068966	0.40909090909090906	0.33333333333333337	0.41666666666666663	0.36111111111111116	0.4883720930232558	0.5	0.22807017543859653	0.276595744680851	0.375	0.4035087719298246	0.4418604651162791	0.20833333333333337	0.3584905660377359	0.55	0.37037037037037035	0.36170212765957444	0.33333333333333337	0.36585365853658536	0.25	0.31034482758620685	0.29824561403508776	0.3090909090909091	0.3191489361702128	0.36170212765957444	0.23404255319148937	0.28	0.3846153846153846	0.33333333333333337	0.34545454545454546	0.2558139534883721	0.46153846153846156	0.36170212765957444	0.3191489361702128	0.36170212765957444	0.5151515151515151	0.33333333333333337	0.3928571428571429	0.33333333333333337	0.39622641509433965	0.34782608695652173	0.26086956521739135
