	Total number of HIV-Positive cases due to 1.51% onward transmission connected with U.S.	prevalence estimatesâ€”United States,	Revised recommendations for HIV testing of adults, adolescents, and pregnant women in healthcare settings. MMWR Recomm Rep,	Appendix II: HIVEcon: Additional notes and data on model inputs and outputs.	Yearbook of Immigration Statistics:	Population Prospects: The	AIDS Epidemic Update. WHO Library Cataloguing-in-Publication Data: UNAIDS/07.27E/JC1322E,	Life expectancy of individuals on combination antiretroviral therapy in highincome countries: a collaborative analysis of 14 cohort studies. Lancet,	The New Americans: Economic, Demographic, and Fiscal Effects of Immigration.	Technical Appendix I: HIVEcon: A model to estimate the economic costs of immigrants who are HIV-positive.	The lifetime cost of current human immunodeficiency virus care in the United States. Med Care,	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents.	memorandum: Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits.	How many sexuallyacquired HIV infections in the USA are due to acute-phase HIV transmission?	Transmission Rates in the United States.	Health status, health insurance, and health care utilization patterns of immigrant Black men.	Effects of immigration on selected health risk behaviors of Black college students.	Acculturation, sexual risk taking, and HIV health promotion among Latinas.	Alcohol and AIDS-related sexual behavior among Hispanics: acculturation and gender differences. AIDS Educ Prev,	Initial acculturation and HIV risk among new Hispanic immigrants.	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks.	Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997â€“2003. J Adolesc Health,	The impact of migration on the health of voluntary migrants in western societies.	Immigration and HIV/AIDS in the New York Metropolitan Area. J Urban Health,	HIV prevalence among foreign- and US-born clients of public STD clinics.	Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults.	Available from: http:// www.cdc.gov/hiv/topics/surveillance/ incidence.htm. V. Regulatory Flexibility Analysis VI. Other Administrative Requirements A. The Unfunded Mandates Reform Act HHS/CDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act (UMRA) of 1995. This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State, local, or Tribal Governments, nor for the private sector. The ruleâ€™s provisions will not affect small Governments. B. Executive Order 13045: Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows:	34.2 by removing paragraph (b)(6) and redesignating paragraphs (b)(7) through (10) (b)(6) through (9), respectively.	34.3 by revising paragraphs (b)(1)(i), (e)(1) introductory text, (e)(2)(iii), (e)(2)(iv), (e)(5), and (e)(6) to read as follows: Â§ 34.3 Scope of examinations.
The New Americans  Economic Demographic and Fiscal Effects  of Immigration	0.8414634146341463	0.8243243243243243	0.7815126050420168	0.8513513513513513	0.7702702702702703	0.8513513513513513	0.8765432098765432	0.7517241379310344	0.02702702702702703	0.7227722772277227	0.7391304347826086	0.8395061728395061	0.7702702702702703	0.7837837837837838	0.8	0.7837837837837838	0.7222222222222222	0.8292682926829268	0.7972972972972973	0.7476635514018691	0.7972972972972973	0.7203389830508474	0.7933333333333333	0.775	0.8918918918918919	0.7702702702702703	0.7863247863247863	0.9071310116086235	0.7702702702702703	0.7938144329896907	0.725
2007 AIDS Epidemic Update	0.8780487804878049	0.7777777777777778	0.907563025210084	0.863013698630137	0.8529411764705882	0.92	0.8148148148148148	0.9172413793103448	0.8194444444444444	0.8712871287128713	0.8586956521739131	0.8888888888888888	0.8409090909090909	0.8360655737704918	0.8777777777777778	0.7948717948717948	0.8777777777777778	0.8902439024390244	0.8591549295774648	0.8598130841121495	0.859375	0.9067796610169492	0.9133333333333333	0.9	0.8194444444444444	0.8840579710144928	0.8974358974358975	0.9684908789386402	0.873015873015873	0.8865979381443299	0.9083333333333333
A quick guide to public charge  and receipt to public benefits	0.7804878048780488	0.8387096774193549	0.773109243697479	0.7534246575342466	0.8225806451612904	0.8225806451612904	0.7901234567901234	0.8137931034482758	0.8055555555555556	0.7920792079207921	0.7717391304347826	0.8024691358024691	0.7741935483870968	0.016129032258064516	0.7666666666666667	0.7903225806451613	0.7888888888888889	0.7560975609756098	0.7183098591549296	0.794392523364486	0.8125	0.7796610169491526	0.8066666666666666	0.7375	0.7638888888888888	0.7101449275362319	0.7435897435897436	0.9154228855721394	0.8412698412698413	0.7835051546391752	0.7583333333333333
Interoffice memorandum  Consolidation of Policy Regarding USCIS  Form IÐ864 Affidavit of Support AFM  Update AD06Ð20	0.8017241379310345	0.8362068965517241	0.8403361344537815	0.7672413793103449	0.8362068965517241	0.8620689655172413	0.8189655172413793	0.7517241379310344	0.7586206896551724	0.8189655172413793	0.8189655172413793	0.8017241379310345	0.6206896551724138	0.7931034482758621	0.8103448275862069	0.8103448275862069	0.8103448275862069	0.7586206896551724	0.7931034482758621	0.8362068965517241	0.7931034482758621	0.8389830508474576	0.7533333333333333	0.7672413793103449	0.7931034482758621	0.7672413793103449	0.8547008547008547	0.8839137645107794	0.7672413793103449	0.8275862068965517	0.875
Public Law 104Ð193	0.9146341463414634	0.8888888888888888	0.9411764705882353	0.9315068493150684	0.8823529411764706	0.8333333333333334	0.8641975308641975	0.9379310344827586	0.9305555555555556	0.9306930693069307	0.9347826086956522	0.9259259259259259	0.8863636363636364	0.8688524590163934	0.9222222222222223	0.8974358974358975	0.9222222222222223	0.9390243902439024	0.9154929577464789	0.9345794392523364	0.90625	0.9322033898305084	0.9333333333333333	0.925	0.9305555555555556	0.8985507246376812	0.9316239316239316	0.9800995024875622	0.9047619047619048	0.9175257731958762	0.9333333333333333
World Population Prospects The  2006 Revision	0.7804878048780488	0.8666666666666667	0.7899159663865546	0.7945205479452054	0.8444444444444444	0.4666666666666667	0.8641975308641975	0.8275862068965517	0.7777777777777778	0.8217821782178217	0.7934782608695652	0.8024691358024691	0.8	0.7868852459016393	0.7444444444444445	0.8	0.8	0.7439024390243902	0.8169014084507042	0.8037383177570093	0.75	0.8050847457627118	0.8333333333333334	0.8125	0.8194444444444444	0.782608695652174	0.8205128205128205	0.9419568822553898	0.7619047619047619	0.8144329896907216	0.8333333333333334
Yearbook of Immigration  Statistics 2007 Immigrants Table 3 Persons  Obtaining Legal Permanent Resident Status  by Region and Country of Birth Fiscal Years  1998 to 2007	0.7928994082840237	0.863905325443787	0.757396449704142	0.7810650887573964	0.7988165680473372	0.8994082840236687	0.8224852071005917	0.8106508875739645	0.8224852071005917	0.7928994082840237	0.7810650887573964	0.8047337278106509	0.8402366863905325	0.8224852071005917	0.7928994082840237	0.834319526627219	0.757396449704142	0.7396449704142012	0.7751479289940828	0.7751479289940828	0.8165680473372781	0.7869822485207101	0.7396449704142012	0.757396449704142	0.7751479289940828	0.8165680473372781	0.7810650887573964	0.8341625207296849	0.8047337278106509	0.7751479289940828	0.7692307692307693
Yearbook of Immigration  Statistics 2007 Immigrants Table 8 Persons  Obtaining Legal Permanent Resident Status  by Gender Age Marital Status and  Occupation Fiscal Year 2007	0.7976878612716763	0.861271676300578	0.7456647398843931	0.7803468208092486	0.8034682080924855	0.9075144508670521	0.8323699421965318	0.8034682080924855	0.815028901734104	0.791907514450867	0.7630057803468208	0.7861271676300579	0.8554913294797688	0.8265895953757225	0.791907514450867	0.838150289017341	0.7687861271676301	0.7687861271676301	0.7861271676300579	0.7687861271676301	0.8092485549132948	0.7687861271676301	0.7745664739884393	0.7687861271676301	0.7745664739884393	0.8092485549132948	0.7745664739884393	0.824212271973466	0.8092485549132948	0.7861271676300579	0.7630057803468208
Guidelines for the Use of  Antiretroviral Agents in HIVÐ1ÐInfected  Adults and Adolescents	0.8333333333333334	0.7888888888888889	0.7478991596638656	0.6777777777777778	0.8111111111111111	0.8555555555555555	0.8666666666666667	0.7034482758620689	0.8222222222222222	0.8415841584158416	0.8260869565217391	0.2111111111111111	0.8222222222222222	0.7777777777777778	0.8777777777777778	0.7666666666666667	0.8555555555555555	0.8	0.7777777777777778	0.8037383177570093	0.7777777777777778	0.7542372881355932	0.74	0.8111111111111111	0.8111111111111111	0.8	0.7777777777777778	0.8872305140961857	0.7555555555555555	0.8556701030927835	0.75
HIV Incidence	0.8902439024390244	0.8333333333333334	0.907563025210084	0.8904109589041096	0.8529411764705882	0.875	0.9135802469135802	0.9379310344827586	0.8888888888888888	0.9108910891089109	0.9130434782608695	0.8765432098765432	0.8409090909090909	0.9016393442622951	0.8777777777777778	0.8717948717948718	0.9	0.9146341463414634	0.9154929577464789	0.9065420560747663	0.875	0.8983050847457628	0.94	0.9125	0.875	0.8405797101449275	0.9230769230769231	0.9817578772802653	0.9047619047619048	0.9278350515463918	0.9333333333333333
