	Total number of HIV-Positive cases due to 1.51% onward transmission connected with U.S.	prevalence estimatesâ€”United States,	Revised recommendations for HIV testing of adults, adolescents, and pregnant women in healthcare settings. MMWR Recomm Rep,	Appendix II: HIVEcon: Additional notes and data on model inputs and outputs.	Yearbook of Immigration Statistics:	Population Prospects: The	AIDS Epidemic Update. WHO Library Cataloguing-in-Publication Data: UNAIDS/07.27E/JC1322E,	Life expectancy of individuals on combination antiretroviral therapy in highincome countries: a collaborative analysis of 14 cohort studies. Lancet,	The New Americans: Economic, Demographic, and Fiscal Effects of Immigration.	Technical Appendix I: HIVEcon: A model to estimate the economic costs of immigrants who are HIV-positive.	The lifetime cost of current human immunodeficiency virus care in the United States. Med Care,	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents.	memorandum: Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits.	How many sexuallyacquired HIV infections in the USA are due to acute-phase HIV transmission?	Transmission Rates in the United States.	Health status, health insurance, and health care utilization patterns of immigrant Black men.	Effects of immigration on selected health risk behaviors of Black college students.	Acculturation, sexual risk taking, and HIV health promotion among Latinas.	Alcohol and AIDS-related sexual behavior among Hispanics: acculturation and gender differences. AIDS Educ Prev,	Initial acculturation and HIV risk among new Hispanic immigrants.	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks.	Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997â€“2003. J Adolesc Health,	The impact of migration on the health of voluntary migrants in western societies.	Immigration and HIV/AIDS in the New York Metropolitan Area. J Urban Health,	HIV prevalence among foreign- and US-born clients of public STD clinics.	Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults.	Available from: http:// www.cdc.gov/hiv/topics/surveillance/ incidence.htm. V. Regulatory Flexibility Analysis VI. Other Administrative Requirements A. The Unfunded Mandates Reform Act HHS/CDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act (UMRA) of 1995. This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State, local, or Tribal Governments, nor for the private sector. The ruleâ€™s provisions will not affect small Governments. B. Executive Order 13045: Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows:	34.2 by removing paragraph (b)(6) and redesignating paragraphs (b)(7) through (10) (b)(6) through (9), respectively.	34.3 by revising paragraphs (b)(1)(i), (e)(1) introductory text, (e)(2)(iii), (e)(2)(iv), (e)(5), and (e)(6) to read as follows: Â§ 34.3 Scope of examinations.
The New Americans  Economic Demographic and Fiscal Effects  of Immigration	0.65	0.7	0.61	0.65	0.53	0.63	0.69	0.6	0.030000000000000027	0.53	0.5900000000000001	0.65	0.5700000000000001	0.64	0.65	0.65	0.5700000000000001	0.64	0.61	0.61	0.5800000000000001	0.56	0.6	0.5700000000000001	0.69	0.5900000000000001	0.64	0.5700000000000001	0.61	0.6699999999999999	0.5700000000000001
2007 AIDS Epidemic Update	0.72	0.6799999999999999	0.6799999999999999	0.64	0.72	0.75	0.19999999999999996	0.72	0.64	0.6799999999999999	0.6	0.72	0.76	0.64	0.64	0.64	0.64	0.6799999999999999	0.6799999999999999	0.56	0.6799999999999999	0.6799999999999999	0.56	0.72	0.6	0.72	0.6799999999999999	0.64	0.72	0.64	0.6799999999999999
A quick guide to public charge  and receipt to public benefits	0.63	0.62	0.5900000000000001	0.62	0.6799999999999999	0.5900000000000001	0.62	0.62	0.63	0.6	0.62	0.63	0.63	0.020000000000000018	0.5700000000000001	0.65	0.6	0.6	0.62	0.6	0.62	0.5700000000000001	0.62	0.65	0.65	0.54	0.6	0.6	0.65	0.6	0.62
Interoffice memorandum  Consolidation of Policy Regarding USCIS  Form IÐ864 Affidavit of Support AFM  Update AD06Ð20	0.6599999999999999	0.6699999999999999	0.65	0.65	0.5900000000000001	0.45999999999999996	0.71	0.65	0.63	0.6699999999999999	0.6599999999999999	0.6799999999999999	0.030000000000000027	0.64	0.6599999999999999	0.62	0.6699999999999999	0.63	0.65	0.6799999999999999	0.65	0.6599999999999999	0.64	0.64	0.64	0.61	0.7	0.62	0.64	0.6799999999999999	0.71
Public Law 104Ð193	0.73	0.78	0.73	0.78	0.84	0.73	0.5	0.6699999999999999	0.73	0.78	0.78	0.73	0.6699999999999999	0.56	0.78	0.78	0.6699999999999999	0.73	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.73	0.78	0.73	0.62	0.6699999999999999	0.6699999999999999	0.73	0.73	0.6699999999999999
World Population Prospects The  2006 Revision	0.6	0.7	0.63	0.63	0.65	0.0	0.69	0.6	0.63	0.63	0.65	0.6699999999999999	0.55	0.63	0.63	0.65	0.6	0.52	0.6699999999999999	0.63	0.63	0.6	0.63	0.6	0.6599999999999999	0.63	0.65	0.54	0.63	0.65	0.6
Yearbook of Immigration  Statistics 2007 Immigrants Table 3 Persons  Obtaining Legal Permanent Resident Status  by Region and Country of Birth Fiscal Years  1998 to 2007	0.63	0.48	0.5700000000000001	0.5800000000000001	0.030000000000000027	0.5900000000000001	0.6799999999999999	0.63	0.6	0.62	0.61	0.65	0.55	0.63	0.62	0.52	0.5800000000000001	0.5900000000000001	0.6	0.63	0.6	0.62	0.5800000000000001	0.52	0.52	0.5800000000000001	0.61	0.61	0.61	0.63	0.63
Yearbook of Immigration  Statistics 2007 Immigrants Table 8 Persons  Obtaining Legal Permanent Resident Status  by Gender Age Marital Status and  Occupation Fiscal Year 2007	0.63	0.48	0.5800000000000001	0.61	0.030000000000000027	0.55	0.63	0.63	0.63	0.64	0.6	0.63	0.5700000000000001	0.63	0.63	0.54	0.5900000000000001	0.5800000000000001	0.6	0.62	0.61	0.62	0.61	0.53	0.52	0.61	0.6	0.62	0.61	0.63	0.63
Guidelines for the Use of  Antiretroviral Agents in HIVÐ1ÐInfected  Adults and Adolescents	0.5900000000000001	0.64	0.5700000000000001	0.55	0.62	0.5900000000000001	0.7	0.53	0.64	0.6599999999999999	0.6	0.06999999999999995	0.6599999999999999	0.61	0.64	0.5900000000000001	0.64	0.5700000000000001	0.63	0.63	0.6	0.63	0.54	0.55	0.62	0.64	0.63	0.55	0.62	0.6799999999999999	0.62
HIV Incidence	0.54	0.7	0.54	0.62	0.77	0.77	0.54	0.62	0.62	0.62	0.54	0.54	0.7	0.54	0.39	0.62	0.62	0.7	0.62	0.54	0.54	0.47	0.62	0.62	0.54	0.47	0.54	0.7	0.62	0.62	0.7
