	Total number of HIVPositive cases due to 151 onward transmission connected with US	prevalence estimatesâ€”United States	Revised recommendations for HIV testing of adults adolescents and pregnant women in healthcare settings MMWR Recomm Rep	Appendix II HIVEcon Additional notes and data on model inputs and outputs	Yearbook of Immigration Statistics	Population Prospects The	AIDS Epidemic Update WHO Library CataloguinginPublication Data UNAIDS0727EJC1322E	Life expectancy of individuals on combination antiretroviral therapy in highincome countries a collaborative analysis of 14 cohort studies Lancet	The New Americans Economic Demographic and Fiscal Effects of Immigration	Technical Appendix I HIVEcon A model to estimate the economic costs of immigrants who are HIVpositive	The lifetime cost of current human immunodeficiency virus care in the United States Med Care	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents	memorandum Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits	How many sexuallyacquired HIV infections in the USA are due to acutephase HIV transmission	Transmission Rates in the United States	Health status health insurance and health care utilization patterns of immigrant Black men	Effects of immigration on selected health risk behaviors of Black college students	Acculturation sexual risk taking and HIV health promotion among Latinas	Alcohol and AIDSrelated sexual behavior among Hispanics acculturation and gender differences AIDS Educ Prev	Initial acculturation and HIV risk among new Hispanic immigrants	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and USborn Blacks	Immigration measures and reproductive health among Hispanic youth findings from the national longitudinal survey of youth 1997â€“2003 J Adolesc Health	The impact of migration on the health of voluntary migrants in western societies	Immigration and HIVAIDS in the New York Metropolitan Area J Urban Health	HIV prevalence among foreign and USborn clients of public STD clinics	Acculturation and gender differences in sexual attitudes and behaviors Hispanic vs nonHispanic white unmarried adults	Available from http wwwcdcgovhivtopicssurveillance incidencehtm V Regulatory Flexibility Analysis VI Other Administrative Requirements A The Unfunded Mandates Reform Act HHSCDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act UMRA of 1995 This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State local or Tribal Governments nor for the private sector The ruleâ€™s provisions will not affect small Governments B Executive Order 13045 Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows	342 by removing paragraph b6 and redesignating paragraphs b7 through 10 b6 through 9 respectively	343 by revising paragraphs b1i e1 introductory text e2iii e2iv e5 and e6 to read as follows Â§ 343 Scope of examinations
The New Americans  Economic Demographic and Fiscal Effects  of Immigration	0.3207547169811321	0.40909090909090906	0.2549019607843137	0.28888888888888886	0.34883720930232553	0.31707317073170727	0.3770491803278688	0.31999999999999995	0.0	0.13725490196078427	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.26086956521739135	0.2692307692307693	0.36585365853658536	0.276595744680851	0.276595744680851	0.26530612244897955	0.2075471698113207	0.26086956521739135	0.37037037037037035	0.3448275862068966	0.21739130434782605	0.28301886792452835	0.2549019607843137	0.22448979591836737	0.368421052631579	0.26086956521739135	0.39622641509433965	0.368421052631579
2007 AIDS Epidemic Update	0.5217391304347826	0.4054054054054054	0.5454545454545454	0.368421052631579	0.5	0.5882352941176471	0.33333333333333337	0.5813953488372092	0.39534883720930236	0.4545454545454546	0.5121951219512195	0.5454545454545454	0.5789473684210527	0.5384615384615384	0.4222222222222223	0.47058823529411764	0.55	0.55	0.47619047619047616	0.3913043478260869	0.4871794871794872	0.5319148936170213	0.4509803921568627	0.5897435897435898	0.4347826086956522	0.40909090909090906	0.5238095238095238	0.536231884057971	0.5897435897435898	0.4782608695652174	0.56
A quick guide to public charge  and receipt to public benefits	0.34693877551020413	0.4	0.276595744680851	0.31707317073170727	0.28205128205128205	0.2432432432432432	0.4385964912280702	0.21739130434782605	0.26086956521739135	0.276595744680851	0.31818181818181823	0.276595744680851	0.2682926829268293	0.0	0.25	0.4054054054054054	0.16279069767441856	0.16279069767441856	0.19999999999999996	0.22448979591836737	0.23809523809523814	0.28	0.33333333333333337	0.23809523809523814	0.34693877551020413	0.276595744680851	0.15555555555555556	0.41666666666666663	0.23809523809523814	0.30612244897959184	0.3207547169811321
Interoffice memorandum  Consolidation of Policy Regarding USCIS  Form IÐ864 Affidavit of Support AFM  Update AD06Ð20	0.3650793650793651	0.40740740740740744	0.3114754098360656	0.4181818181818182	0.4339622641509434	0.4509803921568627	0.295774647887324	0.33333333333333337	0.33333333333333337	0.3770491803278688	0.27586206896551724	0.3770491803278688	0.2727272727272727	0.3928571428571429	0.32258064516129037	0.4509803921568627	0.4035087719298246	0.4035087719298246	0.38983050847457623	0.2698412698412699	0.3928571428571429	0.34375	0.32352941176470584	0.3571428571428571	0.39682539682539686	0.2786885245901639	0.35593220338983056	0.2790697674418605	0.3928571428571429	0.3015873015873016	0.31343283582089554
Public Law 104Ð193	0.5454545454545454	0.7142857142857143	0.6666666666666667	0.6666666666666667	0.7058823529411764	0.5625	0.5384615384615384	0.5121951219512195	0.7073170731707317	0.7142857142857143	0.6923076923076923	0.6666666666666667	0.6111111111111112	0.6216216216216216	0.6744186046511628	0.8125	0.6842105263157895	0.631578947368421	0.65	0.6363636363636364	0.6216216216216216	0.6888888888888889	0.5918367346938775	0.6216216216216216	0.7272727272727273	0.6666666666666667	0.6	0.582089552238806	0.5135135135135135	0.4545454545454546	0.5416666666666667
World Population Prospects The  2006 Revision	0.33333333333333337	0.38095238095238093	0.26530612244897955	0.39534883720930236	0.5121951219512195	0.17948717948717952	0.423728813559322	0.33333333333333337	0.375	0.34693877551020413	0.30434782608695654	0.3877551020408163	0.3023255813953488	0.31818181818181823	0.4	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.36170212765957444	0.33333333333333337	0.36363636363636365	0.3846153846153846	0.3571428571428571	0.2727272727272727	0.5294117647058824	0.34693877551020413	0.3191489361702128	0.45945945945945943	0.2727272727272727	0.2549019607843137	0.34545454545454546
Yearbook of Immigration  Statistics 2007 Immigrants Table 3 Persons  Obtaining Legal Permanent Resident Status  by Region and Country of Birth Fiscal Years  1998 to 2007	0.33333333333333337	0.543859649122807	0.40625	0.5172413793103448	0.3571428571428571	0.4444444444444444	0.2702702702702703	0.33333333333333337	0.39682539682539686	0.4375	0.34426229508196726	0.4375	0.31034482758620685	0.38983050847457623	0.41538461538461535	0.4444444444444444	0.3666666666666667	0.33333333333333337	0.3870967741935484	0.36363636363636365	0.423728813559322	0.31343283582089554	0.295774647887324	0.38983050847457623	0.4545454545454546	0.375	0.4193548387096774	0.2584269662921348	0.38983050847457623	0.2727272727272727	0.34285714285714286
Yearbook of Immigration  Statistics 2007 Immigrants Table 8 Persons  Obtaining Legal Permanent Resident Status  by Gender Age Marital Status and  Occupation Fiscal Year 2007	0.375	0.49090909090909096	0.3548387096774194	0.4285714285714286	0.33333333333333337	0.42307692307692313	0.2777777777777778	0.34426229508196726	0.34426229508196726	0.3870967741935484	0.35593220338983056	0.4516129032258065	0.3214285714285714	0.33333333333333337	0.3650793650793651	0.46153846153846156	0.3793103448275862	0.3793103448275862	0.33333333333333337	0.3125	0.368421052631579	0.3538461538461538	0.33333333333333337	0.368421052631579	0.375	0.32258064516129037	0.3666666666666667	0.28735632183908044	0.4035087719298246	0.34375	0.38235294117647056
Guidelines for the Use of  Antiretroviral Agents in HIVÐ1ÐInfected  Adults and Adolescents	0.2075471698113207	0.40909090909090906	0.21568627450980393	0.28888888888888886	0.39534883720930236	0.36585365853658536	0.4098360655737705	0.28	0.31999999999999995	0.21568627450980393	0.29166666666666663	0.0980392156862745	0.33333333333333337	0.26086956521739135	0.23076923076923073	0.41463414634146345	0.276595744680851	0.276595744680851	0.22448979591836737	0.24528301886792447	0.26086956521739135	0.2222222222222222	0.27586206896551724	0.30434782608695654	0.3584905660377359	0.21568627450980393	0.22448979591836737	0.368421052631579	0.34782608695652173	0.3584905660377359	0.368421052631579
HIV Incidence	0.5135135135135135	0.5714285714285714	0.48571428571428577	0.3793103448275862	0.5555555555555556	0.6	0.6444444444444444	0.6470588235294117	0.5882352941176471	0.48571428571428577	0.625	0.48571428571428577	0.5862068965517242	0.6	0.5	0.6	0.5483870967741935	0.6129032258064516	0.4545454545454546	0.5675675675675675	0.4	0.5263157894736843	0.6190476190476191	0.6666666666666667	0.5675675675675675	0.48571428571428577	0.5757575757575757	0.7	0.6	0.6756756756756757	0.7073170731707317
