	Similar Cost Sharing Charges: State Plan Requirements 5. The authority citation for part 457 continues to read as follows: Authority:	For Federal Fiscal Year 2007, any copayment or similar charge the State imposes under a fee-for-service delivery system may not exceed the following amounts: Total cost Maximum amount $15.00 or less ...........................	E8–3211 Filed 2–21–08; 8:45 am] You may submit comments, identified by Docket No. FEMA–B–7763, to
nan	0.9333333333333333	0.9375	0.9459459459459459
Medicaid Expenditure Panel Survey	0.5588235294117647	0.5	0.6976744186046512
Circular A�4	0.6774193548387097	0.8055555555555556	0.8
Deficit Reduction Act	0.6129032258064516	0.7142857142857143	0.6842105263157895
Deficit Reduction Act of 2005	0.6060606060606061	0.6285714285714286	0.6052631578947368
Executive Order 12866	0.7894736842105263	0.6666666666666667	0.7073170731707317
Executive Order 13132	0.7837837837837838	0.6571428571428571	0.7317073170731707
Sec 1102 of the Social Security Act 42 USC 1302	0.5142857142857142	0.5405405405405406	0.5952380952380952
Tax Relief and Health Care Act	0.5	0.6111111111111112	0.75
Unfunded Mandates Reform Act of 1995	0.5294117647058824	0.5555555555555556	0.6097560975609756
