	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
Ambulatory Medical Care Utilization Estimates for 2007	0.6274509803921569	0.675	0.5428571428571429	0.5172413793103448	0.6428571428571428	0.6666666666666667	0.6341463414634146	0.4871794871794872	0.6481481481481481	0.5	0.4772727272727273	0.42105263157894735	0.5	0.5636363636363637	0.4	0.4871794871794872	0.5454545454545454	0.5510204081632653	0.40625
Oregon Provider and Payer Survey	0.6590909090909092	0.6	0.6666666666666667	0.6086956521739131	0.65	0.6774193548387097	0.75	0.5882352941176471	0.76	0.7105263157894737	0.6666666666666667	0.6388888888888888	0.6585365853658536	0.7169811320754718	0.5769230769230769	0.6666666666666667	0.7241379310344828	0.6666666666666667	0.5714285714285714
Why we cant skip ICD10 and go straight to ICD11	0.5434782608695652	0.5714285714285714	0.4516129032258065	0.5185185185185186	0.6538461538461539	0.5151515151515151	0.5277777777777778	0.5263157894736843	0.6538461538461539	0.5	0.5454545454545454	0.5	0.5681818181818181	0.6181818181818182	0.4482758620689655	0.5263157894736843	0.59375	0.5531914893617021	0.4516129032258065
Why were not ready to plan ICD11 implementation	0.5777777777777777	0.6176470588235294	0.5	0.5769230769230769	0.6086956521739131	0.6060606060606061	0.5294117647058824	0.6052631578947368	0.6862745098039216	0.5405405405405406	0.5813953488372092	0.5	0.5714285714285714	0.6481481481481481	0.3846153846153846	0.5675675675675675	0.5517241379310345	0.5869565217391304	0.5
Excess Billing and InsuranceRelated Administrative Costs	0.4772727272727273	0.5714285714285714	0.5882352941176471	0.4	0.6538461538461539	0.6	0.6052631578947368	0.4864864864864865	0.5714285714285714	0.45945945945945943	0.5454545454545454	0.5384615384615384	0.5	0.5925925925925926	0.3928571428571429	0.6	0.59375	0.5531914893617021	0.4516129032258065
CMS Electronic Data Interchange EDI Performance Statistics	0.5957446808510638	0.5151515151515151	0.4838709677419355	0.5	0.7407407407407407	0.5	0.47058823529411764	0.5135135135135135	0.5918367346938775	0.4444444444444444	0.5	0.4864864864864865	0.4878048780487805	0.6111111111111112	0.48275862068965514	0.625	0.5806451612903225	0.5434782608695652	0.3793103448275862
National Health Expenditure Data	0.6521739130434783	0.6764705882352942	0.5666666666666667	0.6538461538461539	0.5714285714285714	0.7058823529411764	0.5882352941176471	0.5833333333333333	0.7	0.5945945945945945	0.5952380952380952	0.631578947368421	0.6511627906976745	0.7090909090909091	0.5185185185185186	0.6578947368421053	0.6206896551724138	0.6304347826086957	0.5666666666666667
National Health Expenditure Projections 20092019	0.5918367346938775	0.5945945945945945	0.6111111111111112	0.6451612903225806	0.6785714285714286	0.6923076923076923	0.5526315789473684	0.43243243243243246	0.6415094339622642	0.5609756097560976	0.4651162790697675	0.5952380952380952	0.5227272727272727	0.6071428571428572	0.53125	0.55	0.53125	0.5106382978723405	0.5294117647058824
Financial Management Service	0.7173913043478262	0.5517241379310345	0.5714285714285714	0.6086956521739131	0.7727272727272727	0.6774193548387097	0.75	0.6285714285714286	0.6808510638297872	0.6388888888888888	0.6976744186046512	0.6388888888888888	0.625	0.7636363636363637	0.5769230769230769	0.7027027027027026	0.6296296296296297	0.7234042553191489	0.5714285714285714
FY10 Geographic Distribution of VA Expenditures	0.607843137254902	0.6829268292682926	0.47058823529411764	0.5806451612903225	0.6551724137931034	0.6052631578947368	0.575	0.33333333333333337	0.6296296296296297	0.39473684210526316	0.5217391304347826	0.5476190476190477	0.5434782608695652	0.5964912280701755	0.5151515151515151	0.5	0.5588235294117647	0.56	0.5142857142857142
