	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
Ambulatory Medical Care Utilization Estimates for 2007	0.845771144278607	0.8518518518518519	0.7972972972972973	0.8148148148148148	0.8333333333333334	0.890625	0.8181818181818182	0.8225806451612904	0.8699551569506726	0.813953488372093	0.8476190476190476	0.821917808219178	0.8587360594795539	0.955237242614145	0.7787610619469026	0.8535353535353535	0.8909090909090909	0.9661383285302594	0.7720588235294118
Oregon Provider and Payer Survey	0.8855721393034826	0.8	0.8108108108108109	0.7446808510638298	0.75	0.828125	0.8863636363636364	0.8467741935483871	0.9192825112107623	0.8682170542635659	0.8809523809523809	0.863013698630137	0.9182156133828996	0.9740376007162042	0.831858407079646	0.9090909090909091	0.8181818181818182	0.9769452449567724	0.8676470588235294
Why we cant skip ICD10 and go straight to ICD11	0.8706467661691543	0.9361702127659575	0.7837837837837838	0.851063829787234	0.8297872340425532	0.78125	0.8295454545454546	0.8225806451612904	0.874439461883408	0.8062015503875969	0.8666666666666667	0.821917808219178	0.8921933085501859	0.9650850492390332	0.8053097345132744	0.8333333333333334	0.7818181818181819	0.968299711815562	0.8308823529411765
Why were not ready to plan ICD11 implementation	0.8706467661691543	0.8723404255319149	0.7297297297297297	0.8085106382978723	0.8085106382978723	0.75	0.7727272727272727	0.7903225806451613	0.8878923766816144	0.7984496124031008	0.8761904761904762	0.8013698630136986	0.8847583643122676	0.9615040286481648	0.7168141592920354	0.8535353535353535	0.8181818181818182	0.9675792507204611	0.8088235294117647
Excess Billing and InsuranceRelated Administrative Costs	0.7213930348258707	0.8928571428571429	0.7027027027027027	0.7857142857142857	0.8392857142857143	0.859375	0.8181818181818182	0.782258064516129	0.852017937219731	0.813953488372093	0.8476190476190476	0.7945205479452054	0.8550185873605948	0.955237242614145	0.7964601769911505	0.8383838383838383	0.8571428571428571	0.9632564841498559	0.7941176470588235
CMS Electronic Data Interchange EDI Performance Statistics	0.8507462686567164	0.8620689655172413	0.8108108108108109	0.7931034482758621	0.8620689655172413	0.84375	0.8409090909090909	0.7903225806451613	0.8565022421524664	0.7906976744186046	0.8428571428571429	0.7945205479452054	0.8475836431226765	0.955237242614145	0.7610619469026548	0.8333333333333334	0.8448275862068966	0.962536023054755	0.7720588235294118
National Health Expenditure Data	0.8805970149253731	0.8888888888888888	0.8108108108108109	0.7872340425531915	0.8125	0.8125	0.8295454545454546	0.8306451612903226	0.9147982062780269	0.8372093023255814	0.8761904761904762	0.863013698630137	0.8996282527881041	0.9740376007162042	0.8230088495575221	0.8939393939393939	0.7818181818181819	0.978386167146974	0.8382352941176471
National Health Expenditure Projections 20092019	0.8756218905472637	0.9375	0.8243243243243243	0.875	0.8333333333333334	0.8125	0.8068181818181818	0.8145161290322581	0.9013452914798207	0.8294573643410853	0.8428571428571429	0.8424657534246576	0.8810408921933085	0.963294538943599	0.7876106194690266	0.8737373737373737	0.8545454545454545	0.9697406340057637	0.8235294117647058
Financial Management Service	0.8905472636815921	0.8888888888888888	0.7837837837837838	0.7659574468085106	0.8571428571428571	0.84375	0.8522727272727273	0.8306451612903226	0.9103139013452914	0.8527131782945736	0.9047619047619048	0.8767123287671232	0.9144981412639405	0.9767233661593554	0.8584070796460177	0.898989898989899	0.8	0.9812680115273775	0.8529411764705882
FY10 Geographic Distribution of VA Expenditures	0.8706467661691543	0.9361702127659575	0.7837837837837838	0.851063829787234	0.851063829787234	0.84375	0.8409090909090909	0.8306451612903226	0.8878923766816144	0.8449612403100775	0.8809523809523809	0.8424657534246576	0.8810408921933085	0.964189794091316	0.8053097345132744	0.8787878787878788	0.8181818181818182	0.9711815561959655	0.8455882352941176
