	Letter to Hon Nancy Pelosi	States as Policy Laboratories Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges An Analysis of Options	and Elizabeth McGylnn2010 Establishing State Health Insurance Exchanges	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation quotReinsurance attachment point estimatesquot	The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals	Independent Report on the Healthy NY Program for Calendar Year	Medicare  Medicaid Services quotAnnouncement of Calendar Year CY	Employer Health Benefits	Does major illness cause financial catastrophequot	Cost and Funding Considerations for a Statewide AllPayer Claims Database APCD quot	Katherine Baicker and The Oregon Health Study Group quotThe Oregon Health Insurance Experiment Evidence from the First Yearquot	Generosity and adjusted premiums in jobbased insurance Hawaii is up Wyoming is downquot	Patient Protection and Affordable Care Act PPACA Long Term Costs for Gvoernments Employers Families and Providersquot Staff Working Paper	Race and insurance status as risk factors for trauma mortalityquot	Care without coverage too little too late	The impact of health insurance on healthquot	of Health Care Finance and Policy quot2009 Annual Report Health Safety Netquot	AllPayer Claims Databases Robert Woods Johnson Foundation	Office of External Affairs and Beneficiary Services Unpublished quotFY	Office of the Inspector General Medicaid Managed Care Encounter Data Collection and Use	Reinsurance How States Can Make Health Coverage More Affordable for Employers and Workers Commonwealth Fund	Healthy New York Making Insurance More Affordable for LowIncome Workers The Commonwealth Fund	Massachusetts Health Care Reform—NearUniversal Coverage at What Costquot
Medicaid Managed Care Encounter Data Collection and Use	0.8	0.7789473684210526	0.7868852459016393	0.7746478873239436	0.8545454545454545	0.7586206896551724	0.7830188679245284	0.8	0.8064516129032258	0.671875	0.8363636363636363	0.8181818181818182	0.7560975609756098	0.7795275590551181	0.7471264367816092	0.781021897810219	0.803030303030303	0.7636363636363637	0.8181818181818182	0.782051282051282	0.8245614035087719	0.7714285714285715	0.367816091954023	0.7570093457943925	0.7741935483870968	0.7432432432432432
Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals 2008	0.8827586206896552	0.7655172413793103	0.8137931034482758	0.8068965517241379	0.8137931034482758	0.7586206896551724	0.7655172413793103	0.034482758620689655	0.7931034482758621	0.7862068965517242	0.8689655172413793	0.8275862068965517	0.7931034482758621	0.7793103448275862	0.7862068965517242	0.7862068965517242	0.7793103448275862	0.8275862068965517	0.8068965517241379	0.7655172413793103	0.8	0.7724137931034483	0.7517241379310344	0.7655172413793103	0.7931034482758621	0.7724137931034483
Trend Data	0.8846153846153846	0.9157894736842105	0.9016393442622951	0.9154929577464789	0.8823529411764706	0.9195402298850575	0.9150943396226415	0.9428571428571428	0.8870967741935484	0.90625	0.8333333333333334	0.86	0.9024390243902439	0.9291338582677166	0.9195402298850575	0.9416058394160584	0.8939393939393939	0.8536585365853658	0.8636363636363636	0.8974358974358975	0.8947368421052632	0.9142857142857143	0.896551724137931	0.9345794392523364	0.9354838709677419	0.9054054054054054
2009 Annual Report Health Safety Net	0.8333333333333334	0.8315789473684211	0.7377049180327869	0.7605633802816901	0.8627450980392157	0.7471264367816092	0.8207547169811321	0.8357142857142857	0.6612903225806451	0.8125	0.6666666666666666	0.8	0.8048780487804879	0.8188976377952756	0.8505747126436781	0.8540145985401459	0.7727272727272727	0.8048780487804879	0.7727272727272727	0.5384615384615384	0.8421052631578947	0.8285714285714286	0.8160919540229885	0.8317757009345794	0.8279569892473119	0.7972972972972973
Cost and Funding Considerations for a Statewide AllPayer Claims Database	0.8055555555555556	0.7789473684210526	0.7777777777777778	0.8611111111111112	0.7916666666666666	0.7586206896551724	0.7735849056603774	0.7928571428571428	0.7638888888888888	0.7777777777777778	0.8472222222222222	0.8194444444444444	0.12195121951219512	0.7952755905511811	0.7701149425287356	0.7518248175182481	0.7638888888888888	0.7222222222222222	0.8194444444444444	0.8076923076923077	0.8194444444444444	0.8888888888888888	0.7816091954022989	0.7570093457943925	0.7634408602150538	0.8243243243243243
AllPayer Claims Databases	0.8076923076923077	0.8631578947368421	0.8032786885245902	0.8028169014084507	0.803921568627451	0.8275862068965517	0.8679245283018868	0.8785714285714286	0.8548387096774194	0.828125	0.72	0.78	0.7073170731707317	0.8976377952755905	0.8620689655172413	0.8832116788321168	0.8484848484848485	0.8536585365853658	0.8409090909090909	0.8589743589743589	0.5614035087719298	0.8428571428571429	0.8505747126436781	0.8785046728971962	0.8709677419354839	0.8378378378378378
Announcement of Calendar Year 2012 Medicare Advantage Capitation Rates and Medicare Advantage and Part D Payment Policies and Final Call Letter	0.8671328671328671	0.8041958041958042	0.8111888111888111	0.7902097902097902	0.7972027972027972	0.7482517482517482	0.7202797202797203	0.8181818181818182	0.7692307692307693	0.7762237762237763	0.8951048951048951	0.8181818181818182	0.7342657342657343	0.8041958041958042	0.7482517482517482	0.7902097902097902	0.7692307692307693	0.8111888111888111	0.8321678321678322	0.7692307692307693	0.8111888111888111	0.7552447552447552	0.7132867132867133	0.7482517482517482	0.7692307692307693	0.7902097902097902
Independent Report on the Health NY Program for Calendar Year 2010	0.7878787878787878	0.8	0.7727272727272727	0.8591549295774648	0.7575757575757576	0.8045977011494253	0.7547169811320755	0.7928571428571428	0.09090909090909091	0.6818181818181818	0.7878787878787878	0.8333333333333334	0.7560975609756098	0.7322834645669292	0.8390804597701149	0.7664233576642335	0.803030303030303	0.7878787878787878	0.696969696969697	0.8205128205128205	0.8484848484848485	0.8714285714285714	0.7816091954022989	0.6822429906542056	0.7956989247311828	0.7837837837837838
Reinsurance attachment point estimates	0.8157894736842105	0.8	0.7540983606557377	0.8028169014084507	0.7450980392156863	0.5632183908045977	0.7830188679245284	0.8142857142857143	0.8064516129032258	0.765625	0.7368421052631579	0.82	0.7926829268292683	0.7952755905511811	0.7931034482758621	0.8102189781021898	0.6666666666666666	0.7804878048780488	0.8181818181818182	0.7564102564102564	0.7543859649122807	0.8142857142857143	0.7816091954022989	0.7476635514018691	0.7741935483870968	0.7972972972972973
The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	0.8301886792452831	0.8301886792452831	0.7830188679245284	0.7641509433962265	0.7547169811320755	0.7830188679245284	0.0	0.7571428571428571	0.7641509433962265	0.7547169811320755	0.8584905660377359	0.7924528301886793	0.8113207547169812	0.7795275590551181	0.7830188679245284	0.781021897810219	0.6886792452830188	0.7924528301886793	0.7075471698113207	0.7169811320754716	0.7830188679245284	0.7641509433962265	0.6981132075471698	0.794392523364486	0.7547169811320755	0.7264150943396226
