	Expected Upfront and Ongoing Compliance Costs, Nationwide, Per Facility and Per Inmate Upfront Ongoing Prisons,	Justification Analysis This Part analyzes the cost justification of the proposed standards. First, we conduct a breakeven analysis to demonstrate that the costs of PREA compliance are justified by the anticipated benefits. Given that the proposed PREA standards are expected to cost the correctional community approximately $213 million in startup costs, and that the monetary benefit of a 1% reduction in the 62/ Comments of the Institute for Policy Integrity,	(9:45am)) Department of Justice NPRM for PREA Standards Page 60 of 65 Initial Regulatory Impact Analysis (Draft Dated January 24, 2011 (9:45am)) Department of Justice NPRM for PREA Standards Page 63 of 65 the Departmentâ€™s internal assessment, based on analyses conducted by Booz Allen, of the total projected upfront and ongoing costs of the Commissionâ€™s recommended standards, as compared to the Departmentâ€™s proposals:	Initial Regulatory Impact Analysis (Draft Dated
Little Sympathy or Remedy for Inmates Who Are Raped	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.61
Prison Madness The Mental Health Crisis Behind Bars and What We Must Do About It	0.62	0.55	0.5800000000000001	0.5900000000000001
Retaking Rationality How CostBenefit Analysis can Beter Protect the Environment and our Health	0.6	0.56	0.5700000000000001	0.53
The Female Fear The Social Cost of Rape	0.65	0.49	0.62	0.62
2004 Survey of Local Jails	0.7	0.6599999999999999	0.5800000000000001	0.62
2005 National Survey of State Court Prosecutors	0.62	0.5800000000000001	0.5800000000000001	0.64
2008 Census of State and Local Law Enforcement Agencies	0.6	0.5900000000000001	0.6	0.6599999999999999
BJS Juv NSYC 200809 at 12 1516	0.77	0.74	0.6699999999999999	0.77
Bulletin HIV in Prisons	0.48	0.61	0.6599999999999999	0.6599999999999999
Comments on PREA Standards	0.5800000000000001	0.35	0.31000000000000005	0.7
Cost of Sexual Violence in Minnesota	0.5900000000000001	0.53	0.62	0.6699999999999999
Mortality in Local Jails 20002007 table 4	0.64	0.61	0.64	0.65
Prison Rape Elimination Action Cost Impact Analysis	0.5700000000000001	0.5700000000000001	0.5	0.48
Prisoners in 2008 table 3	0.6	0.64	0.6	0.72
Reentry Trends in the United States	0.5800000000000001	0.52	0.5800000000000001	0.63
Sexual Violence Reported by Correctional Authorities 2004	0.64	0.55	0.5800000000000001	0.61
Sexual Violence Reported by Juvenile Correctional Authorities 200506	0.64	0.55	0.5900000000000001	0.6599999999999999
Special Report State Prison Expenditures	0.55	0.6	0.6	0.6
Table 1 percent distribution of expenditure for the justice system by type of government fiscal year 2007	0.62	0.5700000000000001	0.6	0.6599999999999999
Victim Costs and Consequences A New Look	0.5800000000000001	0.6	0.53	0.6799999999999999
Direct Expenditures by Criminal Justice Function 19822006 in Justice Expenditure and Employment Extracts	0.62	0.61	0.63	0.6599999999999999
History of CPIU US All Items Indexes	0.6699999999999999	0.62	0.64	0.64
Jail Inmates at Midyear 2008 Ð Statistical Tables Table 4	0.6	0.6	0.62	0.64
Sexual Victimization in Juvenile Facilities Reported by Youth 200809	0.5800000000000001	0.61	0.64	0.61
Sexual Victimization in Prisons and Jails Reported by Inmates 200809	0.5800000000000001	0.56	0.5800000000000001	0.61
The Department of Justices Efforts to Prevent Staff Sexual Abuse of Federal Inmates	0.5700000000000001	0.5700000000000001	0.47	0.64
42 USC ¤ 15607a2	0.75	0.69	0.69	0.8200000000000001
42 USC ¤ 156012	0.74	0.6699999999999999	0.74	0.87
75 Fed Reg 11077	0.75	0.69	0.69	0.75
EO 12866 ¤ 3f	0.77	0.7	0.7	0.85
The Impact of Prisoner Sexual Violence Challenges of Implementing Public Law 10879 The Prison Rape Elimination Act of 2003	0.61	0.62	0.63	0.64
The Rape Tax Tangible and Intangible Costs of Sexual Violence	0.5800000000000001	0.5800000000000001	0.55	0.64
CostBenefit Analysis for Crime Prevention Opportunity Costs Routine Savings and Crime Externalities	0.6	0.55	0.62	0.64
WillingnesstoPay for Crime Control Programs	0.56	0.63	0.61	0.6799999999999999
