	46 California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	48 California HealthCare Foundation, Snapshot: The State of Health Information Technology in	The Proliferation and Consolidation of Word Processing Software:	53 Source: Office of Employment Statistics,	treated as	Hospital human-resource assistants:	58 Pharmacy technicians: $12.04	Service provider support/sales staff:	Service provider information clerks:	60 APPENDIX B: BIBLIOGRAPHY	Recommendations for Comparing Electronic Prescribing Systems: Results of An Expert Consensus Process,” Health Affairs,	The Diffusion and Value of Healthcare Information Technology, Rand Health,	National IndustrySpecific Occupational Employment and Wage Estimates.	California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	Foundation, Snapshot: The State of Health Information Technology in	Disease Control and Prevention, “Electronic Medical Record Use by OfficeBased Physicians and Their Practices: United States	Certification Commission for Healthcare Information Technology, CCHIT Ambulatory Functionality	Certification Commission for Healthcare Information Technology, CCHIT Security Criteria	Drug Abuse Warning Network,	National Estimates of Drug-Related Emergency Department Visits DAWN Series D-29, DHHS Publication No. (SMA) 07-4256,	The State and Pattern of Health Information Technology Adoption,	Foundation of Research and Education, American Health Information Management Association. “Report on the	Extrapolating Evidence of Health Information Technology Savings and Costs,	LLP, 12th Annual Government Contractor Industry Survey,	Characteristics of Office-Based Physicians and their Practices: United States,	Electronic medical record use by office-based physicians and their practices: United States,	of Chain Drug Stores, “The Chain Pharmacy Industry Profile	of Standards and Technology. Special Publication 800-63-1, Information Security: Electronic Authentication Guideline.	Electronic Prescribing Systems: Making it safer to take your medicine?” Research Highlights,	Health Information Technology: Can HIT Lower Costs and Improve Quality?”	Substance Abuse and Mental Health Services Administration.	62 The DAWN Report – Opiate-related Drug Misuse Deaths in Six States,	Report – Emergency Department Visits Involving Non-medical Use of Selected Pharmaceuticals.	of Labor Statistics,	Economic Census	Department of Health and Human Services.	Enforcement Administration, Economic Impact of the Electronic Orders Rule,	Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems: A Field Study,”	accessed 1/18/2008. www.nacds.org/wmspage.cfm?parm1=507, accessed 1/18/2008. www.surescripts.com/get-connected.aspx?ptype=physician,
The Proliferation and Consolidation of Word Processing Software 19851995	0.7687074829931972	0.7777777777777778	0.125	0.7916666666666666	0.8888888888888888	0.8194444444444444	0.8472222222222222	0.7777777777777778	0.7777777777777778	0.9444444444444444	0.7863247863247863	0.7638888888888888	0.8333333333333334	0.7708333333333334	0.8055555555555556	0.7723577235772358	0.7849462365591398	0.7790697674418605	0.8194444444444444	0.7962962962962963	0.7638888888888888	0.7692307692307693	0.8356164383561644	0.8055555555555556	0.8266666666666667	0.8202247191011236	0.8333333333333334	0.7837837837837838	0.7692307692307693	0.7638888888888888	0.7916666666666666	0.8611111111111112	0.8021978021978022	0.8611111111111112	0.9027777777777778	0.7916666666666666	0.8333333333333334	0.7373737373737373	0.8558558558558559
2006 National Occupational Employment and Wage Estimates	0.782312925170068	0.7666666666666667	0.7777777777777778	0.625	0.8571428571428571	0.75	0.8571428571428571	0.7857142857142857	0.8035714285714286	0.9107142857142857	0.7948717948717948	0.8055555555555556	0.3235294117647059	0.7777777777777778	0.8	0.7642276422764228	0.7634408602150538	0.7790697674418605	0.8571428571428571	0.7777777777777778	0.8412698412698413	0.7403846153846154	0.7808219178082192	0.8214285714285714	0.76	0.7415730337078652	0.8983050847457628	0.7927927927927928	0.8241758241758241	0.75	0.8245614035087719	0.782608695652174	0.7912087912087912	0.8035714285714286	0.8392857142857143	0.7678571428571429	0.7916666666666666	0.7575757575757576	0.8288288288288288
Economic Census 2002	0.9251700680272109	0.9111111111111111	0.873015873015873	0.8536585365853658	0.9	0.8484848484848485	0.7142857142857143	0.8	0.8571428571428571	0.9615384615384616	0.8717948717948718	0.875	0.8823529411764706	0.9236111111111112	0.8769230769230769	0.9024390243902439	0.8709677419354839	0.8604651162790697	0.8846153846153846	0.8703703703703703	0.8571428571428571	0.8846153846153846	0.8356164383561644	0.8301886792452831	0.88	0.8539325842696629	0.864406779661017	0.8918918918918919	0.8681318681318682	0.8472222222222222	0.8771929824561403	0.8985507246376812	0.8791208791208791	0.9	0.25	0.8461538461538461	0.8194444444444444	0.8686868686868687	0.8918918918918919
Employer Costs of Employee Compensation	0.8435374149659864	0.7777777777777778	0.7777777777777778	0.6341463414634146	0.8717948717948718	0.8974358974358975	0.8717948717948718	0.8205128205128205	0.8717948717948718	0.9230769230769231	0.7948717948717948	0.8055555555555556	0.7352941176470589	0.8472222222222222	0.7846153846153846	0.8373983739837398	0.7956989247311828	0.813953488372093	0.8461538461538461	0.8055555555555556	0.746031746031746	0.8076923076923077	0.7808219178082192	0.8490566037735849	0.8	0.8089887640449438	0.8305084745762712	0.8198198198198198	0.7912087912087912	0.7777777777777778	0.7368421052631579	0.8405797101449275	0.7802197802197802	0.7948717948717948	0.7692307692307693	0.8205128205128205	0.7777777777777778	0.797979797979798	0.8468468468468469
May 2006 National IndustrySpecific Occupational Employment and Wage Estimates	0.7482993197278912	0.8222222222222222	0.7532467532467533	0.6753246753246753	0.8701298701298701	0.8051948051948052	0.8441558441558441	0.8051948051948052	0.8181818181818182	0.935064935064935	0.7777777777777778	0.7922077922077922	0.11688311688311688	0.7430555555555556	0.8051948051948052	0.7560975609756098	0.7741935483870968	0.8023255813953488	0.8571428571428571	0.8240740740740741	0.8181818181818182	0.7692307692307693	0.8051948051948052	0.7922077922077922	0.8441558441558441	0.7640449438202247	0.7792207792207793	0.7747747747747747	0.8241758241758241	0.8311688311688312	0.7922077922077922	0.8181818181818182	0.7802197802197802	0.8441558441558441	0.8831168831168831	0.7922077922077922	0.8181818181818182	0.8080808080808081	0.8378378378378378
2003 Area Profiles of DrugRelated Mortalitiy 	0.8299319727891157	0.8	0.8095238095238095	0.6888888888888889	0.8222222222222222	0.7777777777777778	0.8666666666666667	0.7333333333333333	0.7333333333333333	0.8666666666666667	0.8205128205128205	0.8055555555555556	0.8382352941176471	0.8263888888888888	0.8153846153846154	0.8130081300813008	0.8064516129032258	0.813953488372093	0.8222222222222222	0.7685185185185185	0.7777777777777778	0.8269230769230769	0.8082191780821918	0.8301886792452831	0.8	0.797752808988764	0.8305084745762712	0.8378378378378378	0.8241758241758241	0.7777777777777778	0.7894736842105263	0.7536231884057971	0.7802197802197802	0.8	0.9111111111111111	0.8	0.8333333333333334	0.797979797979798	0.8288288288288288
2005 National Estimates of DrugRelated Emergency Department Visits	0.7891156462585034	0.8	0.8787878787878788	0.7272727272727273	0.8484848484848485	0.7575757575757576	0.8333333333333334	0.8484848484848485	0.803030303030303	0.9090909090909091	0.7521367521367521	0.7916666666666666	0.7352941176470589	0.7916666666666666	0.8181818181818182	0.7642276422764228	0.7741935483870968	0.7790697674418605	0.8333333333333334	0.48148148148148145	0.803030303030303	0.7788461538461539	0.7671232876712328	0.8181818181818182	0.7866666666666666	0.7415730337078652	0.7878787878787878	0.7927927927927928	0.7582417582417582	0.8472222222222222	0.803030303030303	0.7971014492753623	0.8021978021978022	0.8333333333333334	0.8484848484848485	0.7575757575757576	0.8472222222222222	0.7272727272727273	0.7927927927927928
Characteristics of OfficeBased Physicians and their Practices United States 20032004	0.7891156462585034	0.8666666666666667	0.75	0.7619047619047619	0.8809523809523809	0.8214285714285714	0.7976190476190477	0.8095238095238095	0.7976190476190477	0.9404761904761905	0.7948717948717948	0.8333333333333334	0.8333333333333334	0.7847222222222222	0.8214285714285714	0.5284552845528455	0.8387096774193549	0.8372093023255814	0.8690476190476191	0.7407407407407407	0.7976190476190477	0.8173076923076923	0.8214285714285714	0.8095238095238095	0.10714285714285714	0.42696629213483145	0.7976190476190477	0.7837837837837838	0.8461538461538461	0.8214285714285714	0.7738095238095238	0.7738095238095238	0.8351648351648352	0.8571428571428571	0.9047619047619048	0.7619047619047619	0.7976190476190477	0.6565656565656566	0.8378378378378378
Economic Impact of the Electronic Orders Rule	0.8095238095238095	0.8111111111111111	0.7619047619047619	0.7555555555555555	0.8888888888888888	0.8222222222222222	0.7333333333333333	0.8222222222222222	0.8	0.9111111111111111	0.7777777777777778	0.75	0.7647058823529411	0.8055555555555556	0.7692307692307693	0.8048780487804879	0.7849462365591398	0.7674418604651163	0.8444444444444444	0.7962962962962963	0.7777777777777778	0.7884615384615384	0.7534246575342466	0.7735849056603774	0.7866666666666666	0.7528089887640449	0.7627118644067796	0.7477477477477478	0.7582417582417582	0.7777777777777778	0.8070175438596491	0.7971014492753623	0.7912087912087912	0.8	0.7111111111111111	0.8222222222222222	0.375	0.7171717171717171	0.8378378378378378
Electronic Medical Record Use by OfficeBased Physicians and Their Practices United States 2006	0.782312925170068	0.851063829787234	0.7340425531914894	0.776595744680851	0.8936170212765957	0.8191489361702128	0.8297872340425532	0.8085106382978723	0.7978723404255319	0.9468085106382979	0.8034188034188035	0.7872340425531915	0.7553191489361702	0.7777777777777778	0.7978723404255319	0.3170731707317073	0.8829787234042553	0.8191489361702128	0.8723404255319149	0.7870370370370371	0.7978723404255319	0.7884615384615384	0.7659574468085106	0.8191489361702128	0.32978723404255317	0.13829787234042554	0.7872340425531915	0.8018018018018018	0.776595744680851	0.7978723404255319	0.7659574468085106	0.6914893617021277	0.8404255319148937	0.8617021276595744	0.8829787234042553	0.7978723404255319	0.776595744680851	0.7878787878787878	0.8198198198198198
