	46 California HealthCare Foundation “Gauging the Progress of the National Health Information Technology Initiative Perspectives from the Field”	48 California HealthCare Foundation Snapshot The State of Health Information Technology in	The Proliferation and Consolidation of Word Processing Software	53 Source Office of Employment Statistics	treated as	Hospital humanresource assistants	58 Pharmacy technicians 1204	Service provider supportsales staff	Service provider information clerks	60 APPENDIX B BIBLIOGRAPHY	Recommendations for Comparing Electronic Prescribing Systems Results of An Expert Consensus Process” Health Affairs	The Diffusion and Value of Healthcare Information Technology Rand Health	National IndustrySpecific Occupational Employment and Wage Estimates	California HealthCare Foundation “Gauging the Progress of the National Health Information Technology Initiative Perspectives from the Field”	Foundation Snapshot The State of Health Information Technology in	Disease Control and Prevention “Electronic Medical Record Use by OfficeBased Physicians and Their Practices United States	Certification Commission for Healthcare Information Technology CCHIT Ambulatory Functionality	Certification Commission for Healthcare Information Technology CCHIT Security Criteria	Drug Abuse Warning Network	National Estimates of DrugRelated Emergency Department Visits DAWN Series D29 DHHS Publication No SMA 074256	The State and Pattern of Health Information Technology Adoption	Foundation of Research and Education American Health Information Management Association “Report on the	Extrapolating Evidence of Health Information Technology Savings and Costs	LLP 12th Annual Government Contractor Industry Survey	Characteristics of OfficeBased Physicians and their Practices United States	Electronic medical record use by officebased physicians and their practices United States	of Chain Drug Stores “The Chain Pharmacy Industry Profile	of Standards and Technology Special Publication 800631 Information Security Electronic Authentication Guideline	Electronic Prescribing Systems Making it safer to take your medicine” Research Highlights	Health Information Technology Can HIT Lower Costs and Improve Quality”	Substance Abuse and Mental Health Services Administration	62 The DAWN Report – Opiaterelated Drug Misuse Deaths in Six States	Report – Emergency Department Visits Involving Nonmedical Use of Selected Pharmaceuticals	of Labor Statistics	Economic Census	Department of Health and Human Services	Enforcement Administration Economic Impact of the Electronic Orders Rule	Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems A Field Study”	accessed 1182008 wwwnacdsorgwmspagecfmparm1507 accessed 1182008 wwwsurescriptscomgetconnectedaspxptypephysician
The Proliferation and Consolidation of Word Processing Software 19851995	0.56	0.63	0.0	0.69	0.5	0.61	0.6799999999999999	0.6599999999999999	0.55	0.85	0.5900000000000001	0.6	0.63	0.56	0.65	0.63	0.62	0.6	0.62	0.63	0.5800000000000001	0.5700000000000001	0.62	0.6699999999999999	0.5900000000000001	0.63	0.65	0.5900000000000001	0.64	0.61	0.65	0.64	0.6599999999999999	0.5800000000000001	0.6	0.62	0.5900000000000001	0.6	0.74
2006 National Occupational Employment and Wage Estimates	0.54	0.56	0.6	0.52	0.5	0.61	0.6799999999999999	0.6599999999999999	0.63	0.81	0.61	0.5900000000000001	0.19999999999999996	0.54	0.63	0.61	0.63	0.63	0.74	0.5800000000000001	0.64	0.54	0.5900000000000001	0.65	0.63	0.65	0.6699999999999999	0.56	0.6599999999999999	0.61	0.6699999999999999	0.6699999999999999	0.65	0.5800000000000001	0.6699999999999999	0.54	0.5900000000000001	0.63	0.6799999999999999
Economic Census 2002	0.65	0.65	0.65	0.7	0.8	0.7	0.55	0.7	0.65	0.85	0.55	0.65	0.65	0.65	0.65	0.55	0.55	0.55	0.8	0.6	0.65	0.55	0.65	0.6	0.7	0.55	0.65	0.55	0.55	0.65	0.7	0.75	0.6	0.74	0.0	0.7	0.5	0.55	0.55
Employer Costs of Employee Compensation	0.5900000000000001	0.54	0.5700000000000001	0.52	0.7	0.6699999999999999	0.72	0.63	0.6	0.89	0.52	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.54	0.65	0.54	0.54	0.74	0.62	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.62	0.5900000000000001	0.62	0.72	0.5900000000000001	0.62	0.52	0.62	0.65	0.5900000000000001	0.69	0.6	0.7	0.62	0.5900000000000001	0.6699999999999999
May 2006 National IndustrySpecific Occupational Employment and Wage Estimates	0.56	0.62	0.64	0.49	0.5	0.6	0.65	0.6599999999999999	0.6	0.81	0.65	0.6	0.0	0.56	0.62	0.64	0.6699999999999999	0.65	0.74	0.5900000000000001	0.64	0.5900000000000001	0.62	0.63	0.63	0.63	0.6699999999999999	0.6	0.6799999999999999	0.63	0.63	0.6699999999999999	0.6699999999999999	0.5800000000000001	0.6699999999999999	0.54	0.64	0.6	0.6699999999999999
2003 Area Profiles of DrugRelated Mortalitiy 	0.54	0.5800000000000001	0.6	0.52	0.4	0.64	0.71	0.5800000000000001	0.6	0.74	0.63	0.56	0.72	0.54	0.5800000000000001	0.65	0.6	0.5800000000000001	0.6599999999999999	0.47	0.56	0.63	0.5800000000000001	0.63	0.63	0.65	0.6699999999999999	0.63	0.65	0.63	0.6699999999999999	0.63	0.5800000000000001	0.5700000000000001	0.6699999999999999	0.62	0.65	0.5800000000000001	0.6
2005 National Estimates of DrugRelated Emergency Department Visits	0.5700000000000001	0.6	0.5900000000000001	0.5900000000000001	0.4	0.61	0.61	0.63	0.69	0.81	0.61	0.63	0.5700000000000001	0.5700000000000001	0.6	0.64	0.6599999999999999	0.64	0.62	0.07999999999999996	0.62	0.61	0.5900000000000001	0.6699999999999999	0.61	0.64	0.63	0.6	0.61	0.6599999999999999	0.63	0.5700000000000001	0.54	0.53	0.6699999999999999	0.54	0.5700000000000001	0.55	0.64
Characteristics of OfficeBased Physicians and their Practices United States 20032004	0.62	0.6799999999999999	0.5800000000000001	0.61	0.4	0.5800000000000001	0.5	0.6	0.6	0.81	0.6599999999999999	0.63	0.64	0.62	0.6699999999999999	0.24	0.6599999999999999	0.65	0.6599999999999999	0.62	0.6599999999999999	0.61	0.62	0.6699999999999999	0.0	0.26	0.62	0.6599999999999999	0.65	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.64	0.5800000000000001	0.6699999999999999	0.5900000000000001	0.63	0.5	0.6799999999999999
Economic Impact of the Electronic Orders Rule	0.6	0.63	0.6	0.64	0.6	0.7	0.5800000000000001	0.63	0.6	0.81	0.47	0.63	0.63	0.6	0.63	0.52	0.63	0.63	0.6599999999999999	0.56	0.63	0.63	0.65	0.65	0.6	0.56	0.69	0.52	0.63	0.63	0.65	0.69	0.56	0.64	0.4	0.5900000000000001	0.0	0.49	0.72
Electronic Medical Record Use by OfficeBased Physicians and Their Practices United States 2006	0.64	0.6599999999999999	0.5900000000000001	0.64	0.4	0.64	0.5	0.6	0.6	0.81	0.61	0.64	0.62	0.64	0.6799999999999999	0.030000000000000027	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.65	0.6699999999999999	0.64	0.62	0.6699999999999999	0.18999999999999995	0.08999999999999997	0.65	0.63	0.6	0.64	0.6	0.5800000000000001	0.63	0.5800000000000001	0.47	0.5900000000000001	0.6599999999999999	0.62	0.69
