	46 California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	48 California HealthCare Foundation, Snapshot: The State of Health Information Technology in	The Proliferation and Consolidation of Word Processing Software:	53 Source: Office of Employment Statistics,	treated as	Hospital human-resource assistants:	58 Pharmacy technicians: $12.04	Service provider support/sales staff:	Service provider information clerks:	60 APPENDIX B: BIBLIOGRAPHY	Recommendations for Comparing Electronic Prescribing Systems: Results of An Expert Consensus Process,” Health Affairs,	The Diffusion and Value of Healthcare Information Technology, Rand Health,	National IndustrySpecific Occupational Employment and Wage Estimates.	California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	Foundation, Snapshot: The State of Health Information Technology in	Disease Control and Prevention, “Electronic Medical Record Use by OfficeBased Physicians and Their Practices: United States	Certification Commission for Healthcare Information Technology, CCHIT Ambulatory Functionality	Certification Commission for Healthcare Information Technology, CCHIT Security Criteria	Drug Abuse Warning Network,	National Estimates of Drug-Related Emergency Department Visits DAWN Series D-29, DHHS Publication No. (SMA) 07-4256,	The State and Pattern of Health Information Technology Adoption,	Foundation of Research and Education, American Health Information Management Association. “Report on the	Extrapolating Evidence of Health Information Technology Savings and Costs,	LLP, 12th Annual Government Contractor Industry Survey,	Characteristics of Office-Based Physicians and their Practices: United States,	Electronic medical record use by office-based physicians and their practices: United States,	of Chain Drug Stores, “The Chain Pharmacy Industry Profile	of Standards and Technology. Special Publication 800-63-1, Information Security: Electronic Authentication Guideline.	Electronic Prescribing Systems: Making it safer to take your medicine?” Research Highlights,	Health Information Technology: Can HIT Lower Costs and Improve Quality?”	Substance Abuse and Mental Health Services Administration.	62 The DAWN Report – Opiate-related Drug Misuse Deaths in Six States,	Report – Emergency Department Visits Involving Non-medical Use of Selected Pharmaceuticals.	of Labor Statistics,	Economic Census	Department of Health and Human Services.	Enforcement Administration, Economic Impact of the Electronic Orders Rule,	Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems: A Field Study,”	accessed 1/18/2008. www.nacds.org/wmspage.cfm?parm1=507, accessed 1/18/2008. www.surescripts.com/get-connected.aspx?ptype=physician,
The Proliferation and Consolidation of Word Processing Software 19851995	0.38983050847457623	0.2692307692307693	0.08695652173913049	0.3913043478260869	0.5625	0.41463414634146345	0.36363636363636365	0.36585365853658536	0.34883720930232553	0.9047619047619048	0.3571428571428571	0.34693877551020413	0.34693877551020413	0.368421052631579	0.30612244897959184	0.3571428571428571	0.34693877551020413	0.276595744680851	0.4418604651162791	0.3870967741935484	0.29166666666666663	0.4339622641509434	0.2941176470588235	0.36	0.28888888888888886	0.36170212765957444	0.2692307692307693	0.29824561403508776	0.37037037037037035	0.34545454545454546	0.3913043478260869	0.4181818181818182	0.4035087719298246	0.45945945945945943	0.5555555555555556	0.34782608695652173	0.4042553191489362	0.3207547169811321	0.2941176470588235
2006 National Occupational Employment and Wage Estimates	0.368421052631579	0.36	0.40909090909090906	0.2727272727272727	0.6	0.33333333333333337	0.4285714285714286	0.3846153846153846	0.36585365853658536	0.7	0.37037037037037035	0.36170212765957444	0.14893617021276595	0.38181818181818183	0.3191489361702128	0.4814814814814815	0.4042553191489362	0.37777777777777777	0.41463414634146345	0.2666666666666667	0.3913043478260869	0.37254901960784315	0.34693877551020413	0.41666666666666663	0.4418604651162791	0.28888888888888886	0.4	0.3090909090909091	0.3846153846153846	0.39622641509433965	0.40909090909090906	0.3207547169811321	0.34545454545454546	0.6	0.4117647058823529	0.36363636363636365	0.28888888888888886	0.37254901960784315	0.30612244897959184
Economic Census 2002	0.574468085106383	0.5	0.5294117647058824	0.4117647058823529	0.7	0.3793103448275862	0.4375	0.5172413793103448	0.4838709677419355	0.8	0.5	0.5135135135135135	0.45945945945945943	0.5555555555555556	0.5135135135135135	0.5909090909090908	0.45945945945945943	0.4285714285714286	0.5483870967741935	0.52	0.6111111111111112	0.5121951219512195	0.4871794871794872	0.4736842105263158	0.5151515151515151	0.4285714285714286	0.5	0.5111111111111111	0.5238095238095238	0.5348837209302326	0.47058823529411764	0.627906976744186	0.5555555555555556	0.6	0.08333333333333337	0.47058823529411764	0.4285714285714286	0.46341463414634143	0.4358974358974359
Employer Costs of Employee Compensation	0.4	0.3023255813953488	0.3513513513513513	0.18918918918918914	0.4782608695652174	0.25	0.4285714285714286	0.3125	0.23529411764705888	0.8787878787878788	0.3191489361702128	0.35	0.25	0.375	0.30000000000000004	0.4042553191489362	0.30000000000000004	0.26315789473684215	0.47058823529411764	0.4339622641509434	0.33333333333333337	0.36363636363636365	0.23809523809523814	0.41463414634146345	0.33333333333333337	0.21052631578947367	0.34883720930232553	0.375	0.37777777777777777	0.34782608695652173	0.4054054054054054	0.5217391304347826	0.375	0.4285714285714286	0.33333333333333337	0.29729729729729726	0.26315789473684215	0.31818181818181823	0.38095238095238093
May 2006 National IndustrySpecific Occupational Employment and Wage Estimates	0.32258064516129037	0.2727272727272727	0.34693877551020413	0.22448979591836737	0.6	0.36363636363636365	0.44680851063829785	0.31818181818181823	0.30434782608695654	0.6888888888888889	0.3220338983050848	0.3076923076923077	0.07692307692307687	0.33333333333333337	0.23076923076923073	0.38983050847457623	0.34615384615384615	0.28	0.4347826086956522	0.19999999999999996	0.2941176470588235	0.2857142857142857	0.2592592592592593	0.3584905660377359	0.375	0.24	0.3090909090909091	0.23333333333333328	0.29824561403508776	0.3448275862068966	0.34693877551020413	0.27586206896551724	0.2666666666666667	0.5	0.4871794871794872	0.30612244897959184	0.24	0.3214285714285714	0.2962962962962963
2003 Area Profiles of DrugRelated Mortalitiy 	0.4642857142857143	0.4285714285714286	0.39534883720930236	0.39534883720930236	0.5172413793103448	0.4736842105263158	0.46341463414634143	0.368421052631579	0.44999999999999996	0.6923076923076923	0.3584905660377359	0.30434782608695654	0.3913043478260869	0.4444444444444444	0.3913043478260869	0.39622641509433965	0.3913043478260869	0.40909090909090906	0.4	0.288135593220339	0.37777777777777777	0.36	0.45833333333333337	0.4042553191489362	0.4285714285714286	0.40909090909090906	0.34693877551020413	0.33333333333333337	0.33333333333333337	0.46153846153846156	0.39534883720930236	0.34615384615384615	0.37037037037037035	0.5294117647058824	0.6363636363636364	0.39534883720930236	0.36363636363636365	0.36	0.375
2005 National Estimates of DrugRelated Emergency Department Visits	0.3666666666666667	0.3207547169811321	0.4042553191489362	0.23404255319148937	0.5757575757575757	0.33333333333333337	0.37777777777777777	0.33333333333333337	0.31818181818181823	0.7209302325581395	0.29824561403508776	0.19999999999999996	0.19999999999999996	0.3448275862068966	0.28	0.4035087719298246	0.36	0.33333333333333337	0.40909090909090906	0.17460317460317465	0.34693877551020413	0.2962962962962963	0.3076923076923077	0.4117647058823529	0.4347826086956522	0.25	0.3207547169811321	0.31034482758620685	0.3090909090909091	0.3571428571428571	0.4042553191489362	0.3571428571428571	0.2068965517241379	0.5263157894736843	0.45945945945945943	0.276595744680851	0.25	0.33333333333333337	0.23076923076923073
Characteristics of OfficeBased Physicians and their Practices United States 20032004	0.4137931034482759	0.33333333333333337	0.28888888888888886	0.33333333333333337	0.5483870967741935	0.44999999999999996	0.3023255813953488	0.4	0.38095238095238093	0.7560975609756098	0.38181818181818183	0.41666666666666663	0.375	0.4285714285714286	0.375	0.2727272727272727	0.41666666666666663	0.34782608695652173	0.5714285714285714	0.4098360655737705	0.36170212765957444	0.5	0.36	0.34693877551020413	0.09090909090909094	0.30434782608695654	0.33333333333333337	0.3571428571428571	0.39622641509433965	0.4444444444444444	0.4222222222222223	0.4814814814814815	0.3928571428571429	0.4444444444444444	0.5428571428571429	0.37777777777777777	0.3913043478260869	0.34615384615384615	0.36
Economic Impact of the Electronic Orders Rule	0.34545454545454546	0.25	0.33333333333333337	0.19047619047619047	0.5	0.18918918918918914	0.44999999999999996	0.2432432432432432	0.23076923076923073	0.736842105263158	0.2692307692307693	0.19999999999999996	0.15555555555555556	0.3207547169811321	0.19999999999999996	0.34615384615384615	0.28888888888888886	0.2558139534883721	0.4871794871794872	0.3793103448275862	0.2727272727272727	0.18367346938775508	0.23404255319148937	0.34782608695652173	0.31707317073170727	0.16279069767441856	0.29166666666666663	0.28301886792452835	0.28	0.2941176470588235	0.2857142857142857	0.37254901960784315	0.24528301886792447	0.4545454545454546	0.375	0.19047619047619047	0.023255813953488413	0.30612244897959184	0.3191489361702128
Electronic Medical Record Use by OfficeBased Physicians and Their Practices United States 2006	0.4193548387096774	0.38181818181818183	0.30612244897959184	0.34693877551020413	0.6	0.4545454545454546	0.4042553191489362	0.40909090909090906	0.3913043478260869	0.6444444444444444	0.3220338983050848	0.34615384615384615	0.34615384615384615	0.43333333333333335	0.34615384615384615	0.15254237288135597	0.3846153846153846	0.36	0.5652173913043479	0.29230769230769227	0.33333333333333337	0.3928571428571429	0.33333333333333337	0.39622641509433965	0.20833333333333337	0.24	0.34545454545454546	0.2666666666666667	0.26315789473684215	0.4482758620689655	0.34693877551020413	0.3448275862068966	0.33333333333333337	0.44999999999999996	0.5897435897435898	0.3877551020408163	0.31999999999999995	0.3214285714285714	0.40740740740740744
Emergency Department Visits Involving Nonmedical Use of Selected Pharmaceuticals	0.25806451612903225	0.23636363636363633	0.30612244897959184	0.26530612244897955	0.6	0.31818181818181823	0.44680851063829785	0.2727272727272727	0.26086956521739135	0.7333333333333334	0.2542372881355932	0.1923076923076923	0.15384615384615385	0.23333333333333328	0.1923076923076923	0.288135593220339	0.3076923076923077	0.24	0.4347826086956522	0.2615384615384615	0.21568627450980393	0.2857142857142857	0.18518518518518523	0.28301886792452835	0.29166666666666663	0.16000000000000003	0.19999999999999996	0.23333333333333328	0.26315789473684215	0.27586206896551724	0.30612244897959184	0.3793103448275862	0.06666666666666665	0.5	0.4871794871794872	0.18367346938775508	0.24	0.25	0.33333333333333337
Health United States 2007 with chartbook on trends in the Health of Americans	0.4576271186440678	0.34615384615384615	0.30434782608695654	0.3913043478260869	0.5625	0.31707317073170727	0.40909090909090906	0.36585365853658536	0.2558139534883721	0.8095238095238095	0.3214285714285714	0.34693877551020413	0.3877551020408163	0.4385964912280702	0.30612244897959184	0.3928571428571429	0.30612244897959184	0.3191489361702128	0.39534883720930236	0.32258064516129037	0.29166666666666663	0.3584905660377359	0.33333333333333337	0.36	0.33333333333333337	0.23404255319148937	0.3846153846153846	0.33333333333333337	0.2962962962962963	0.38181818181818183	0.21739130434782605	0.4545454545454546	0.4035087719298246	0.4054054054054054	0.5555555555555556	0.26086956521739135	0.3191489361702128	0.3207547169811321	0.2941176470588235
