	Employee Benefits Security Administration Attn Participant Fee Disclosure Project Room N–5655 US Department of Labor 200 Constitution Avenue	Office of Regulations and Interpretations Employee Benefits Security Administration 202 693– 1 The authority citation for part 2550 continues to read as follows Authority 29 USC	Stat38 and Secretary of Labor’s Order No 1–2003 68 FR	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sections 2550404c–1 and 2550404c– 5 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550404a–5 to read as Exchange Commission Form N–1A with respect to an openend management investment company registered under the Investment Company Act of	3 Total annual operating expenses means annual operating expenses of the designated investment alternative eg investment management fees distribution service and administrative Exchange Commission Form N–1A with respect to an openend management investment company registered under the Investment Company Act of	4 At least annually thereafter means at least once in any 12month period Signed at Washington DC this 15th day of
Employee Welfare and Pension Benefit Plans Working Group on Fee and Related Disclosures to Participants	0.303030303030303	0.3731343283582089	0.5	0.4181818181818182	0.3731343283582089	0.40625	0.3548387096774194	0.2727272727272727
Mutual Funds Information on Trends in Fees and Their Related Disclosure	0.4098360655737705	0.3870967741935484	0.4901960784313726	0.43999999999999995	0.4193548387096774	0.423728813559322	0.33333333333333337	0.31999999999999995
November 2007 Presidents Economic Forecast for 2008	0.32258064516129037	0.4920634920634921	0.34615384615384615	0.37254901960784315	0.3015873015873016	0.3666666666666667	0.3793103448275862	0.4509803921568627
Private Pensions Changes Needed to Provide 01k Plan Participants and the Department of Labor Better Information on Fees	0.2753623188405797	0.37142857142857144	0.423728813559322	0.3793103448275862	0.2857142857142857	0.31343283582089554	0.2615384615384615	0.31034482758620685
Fees Revenue Sharing in Defined Contribution Retirement Plans 	0.3015873015873016	0.40625	0.4716981132075472	0.34615384615384615	0.28125	0.4098360655737705	0.3220338983050848	0.2692307692307693
2000 Small Employer Retirement Survey	0.3448275862068966	0.38983050847457623	0.5	0.4042553191489362	0.423728813559322	0.4285714285714286	0.4444444444444444	0.36170212765957444
2001 Small Employer Retirement Survey	0.35593220338983056	0.3666666666666667	0.4693877551020408	0.375	0.4	0.4035087719298246	0.4181818181818182	0.33333333333333337
Employee Benefit Research Institute Issue Brief 292	0.3548387096774194	0.2698412698412699	0.5	0.4509803921568627	0.4285714285714286	0.3666666666666667	0.3448275862068966	0.2941176470588235
Employment Cost Index	0.5185185185185186	0.49090909090909096	0.6363636363636364	0.627906976744186	0.6	0.46153846153846156	0.4	0.4418604651162791
Invest Wisely An Introduction to Mutual Funds	0.423728813559322	0.4666666666666667	0.5102040816326531	0.45833333333333337	0.5	0.4035087719298246	0.34545454545454546	0.33333333333333337
National Occupational Employment Survey	0.3793103448275862	0.423728813559322	0.5	0.44680851063829785	0.4576271186440678	0.4285714285714286	0.37037037037037035	0.36170212765957444
Portfolio Transactions Costs at US Equity Mutual Funds	0.3548387096774194	0.39682539682539686	0.5	0.4509803921568627	0.4285714285714286	0.4666666666666667	0.3793103448275862	0.37254901960784315
Survey of Income Program Participation	0.4137931034482759	0.423728813559322	0.5416666666666667	0.44680851063829785	0.423728813559322	0.3928571428571429	0.37037037037037035	0.3191489361702128
The Economics of Providing 401k Plans Services Fees and Expenses 2006	0.3529411764705882	0.33333333333333337	0.4482758620689655	0.368421052631579	0.33333333333333337	0.303030303030303	0.3125	0.29824561403508776
29 CFR 2550404c1	0.6799999999999999	0.6470588235294117	0.65	0.5897435897435898	0.5686274509803921	0.625	0.782608695652174	0.641025641025641
72 FR 20457	0.7446808510638299	0.7916666666666666	0.7297297297297297	0.6666666666666667	0.6666666666666667	0.7333333333333334	0.9069767441860466	0.7777777777777778
72 FR 67790	0.7446808510638299	0.75	0.6756756756756757	0.7777777777777778	0.7083333333333333	0.8222222222222222	0.9069767441860466	0.8888888888888888
Estimating the Costs of Leisure Time for Recreation Demand Models	0.3650793650793651	0.34375	0.5094339622641509	0.42307692307692313	0.40625	0.4098360655737705	0.3220338983050848	0.2692307692307693
Are Investors Rational Choices Among Index Funds	0.3870967741935484	0.3650793650793651	0.5384615384615384	0.4117647058823529	0.39682539682539686	0.30000000000000004	0.24137931034482762	0.2941176470588235
Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows	0.46031746031746035	0.34375	0.5094339622641509	0.46153846153846156	0.46875	0.3770491803278688	0.288135593220339	0.34615384615384615
Why Does the Law of One Price Fail An Experiment on Index Mutual Funds	0.33333333333333337	0.34285714285714286	0.4915254237288136	0.5172413793103448	0.4571428571428572	0.31343283582089554	0.2615384615384615	0.27586206896551724
