	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,789,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 16,126,000 hours in the first year; 13,504,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,552,000 for the first year; $493,253,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and Labor’s Order No.	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No.	2550.408g–1 also issued under sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR,	For purposes of paragraph (c)(6)(i) retirement ages, life expectancies, income levels, financial resources, replacement income ratios, inflation VerDate Nov<24>2008	Add § 2550.408g–2 to read as follows:	Section 408(g)(11)(A) of the Employee Retirement Income accordance with 29 CFR 2550.408g– 1(b)(5); and (v) Is maintained in accordance with 29 CFR 2550.408g–1(e).	this 9th day of January,
Field Assistance Bulletin 2007�1	0.9393939393939394	0.8952879581151832	0.8153846153846154	0.9369369369369369	0.8311688311688312	0.8675496688741722	0.8947368421052632	0.8716216216216216	0.875
Protecting Senior Investors Report of Examinations of Securities Firms Providing ��Free Lunch�� Sales Seminar	0.8484848484848485	0.7382198952879581	0.8256880733944955	0.8618618618618619	0.8440366972477065	0.7880794701986755	0.8807339449541285	0.8108108108108109	0.8715596330275229
Technical Explanation Of HR 4 The Pension Protection Act Of 2006 As Passed By The House On July 28 2006 And As Considered By The Senate On August 3 2006	0.8205128205128205	0.8010471204188482	0.8289473684210527	0.8018018018018018	0.8289473684210527	0.8486842105263158	0.9013157894736842	0.8289473684210527	0.9013157894736842
The Division of Investment Management Report on Mutual Fund Fees and Expenses	0.8741258741258742	0.7591623036649214	0.8441558441558441	0.8798798798798799	0.8571428571428571	0.7947019867549668	0.8311688311688312	0.7837837837837838	0.8311688311688312
Floor Statement of Senate Health Education Labor and Pensions Committee Chairman Enzi	0.8624708624708625	0.7591623036649214	0.8235294117647058	0.8708708708708709	0.8235294117647058	0.7549668874172185	0.8470588235294118	0.7972972972972973	0.8470588235294118
Advertising and Portfolio Choice	0.9347319347319347	0.8848167539267016	0.8307692307692308	0.933933933933934	0.8181818181818182	0.8675496688741722	0.8157894736842105	0.8851351351351351	0.84375
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industr	0.8717948717948718	0.7905759162303665	0.8714285714285714	0.8708708708708709	0.8311688311688312	0.7947019867549668	0.8285714285714286	0.8108108108108109	0.8285714285714286
Competition in the Mutual Fund Industry Evidence and Implications for Policy	0.8741258741258742	0.8010471204188482	0.7763157894736842	0.8828828828828829	0.8831168831168831	0.7748344370860927	0.8026315789473685	0.8040540540540541	0.8157894736842105
Fees and Expenses of Mutual Funds	0.9347319347319347	0.8691099476439791	0.8	0.924924924924925	0.8441558441558441	0.8543046357615894	0.8421052631578947	0.8918918918918919	0.7272727272727273
Financial Advice and Individual Investors� Portfolios	0.9114219114219114	0.8272251308900523	0.8307692307692308	0.9009009009009009	0.8311688311688312	0.8211920529801324	0.8113207547169812	0.8513513513513513	0.8490566037735849
Identification and Performance of Equity Mutual Funds with High Management Fees and Expense Ratios	0.8461538461538461	0.774869109947644	0.7959183673469388	0.8528528528528528	0.8367346938775511	0.7615894039735099	0.8571428571428571	0.7972972972972973	0.8775510204081632
Investor Timing and Fund Distribution Channels	0.9137529137529138	0.8481675392670157	0.7692307692307693	0.9159159159159159	0.8051948051948052	0.8344370860927153	0.8695652173913043	0.8445945945945946	0.8043478260869565
Performance and Characteristics of Actively Managed Retail Equity Mutual Funds with Diverse Expense Ratios	0.8344988344988346	0.7905759162303665	0.8018867924528302	0.8528528528528528	0.8301886792452831	0.7748344370860927	0.8773584905660378	0.8243243243243243	0.8773584905660378
Ranking Mutual Fund Families Minimum Expenses and Maximum Loads as Markers for Moral Turpitude	0.8671328671328671	0.7801047120418848	0.8191489361702128	0.8768768768768769	0.8085106382978723	0.7814569536423841	0.851063829787234	0.8040540540540541	0.8617021276595744
Search Costs and Mutual Fund Fee Dispersion	0.9230769230769231	0.8638743455497382	0.7384615384615385	0.9009009009009009	0.8051948051948052	0.8344370860927153	0.8604651162790697	0.8513513513513513	0.813953488372093
The Cost of Active Investing	0.9487179487179487	0.8900523560209425	0.8307692307692308	0.9429429429429429	0.8571428571428571	0.8741721854304636	0.8947368421052632	0.8783783783783784	0.8571428571428571
The Economics of MutualFund Brokerage Evidence from the Cross Section of Investment Channels	0.8578088578088578	0.7801047120418848	0.7717391304347826	0.8708708708708709	0.8043478260869565	0.7284768211920529	0.8586956521739131	0.7905405405405406	0.8586956521739131
