	The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20656000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 8398000 hours in the first year 5776000 hours in each subsequent year Estimated Total Annual Burden Cost 642541000 for the first year 493242000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and 1 The authority citation for part 2550 is revised to read as follows	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sec 2550404c–1 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550408g–1 to read as follows	Section 408g1 of the Employee Retirement Income Security Advice Exemption Notification— Statutory US Department of Labor Employee Benefits Security Administration Room N–1513 200 Constitution Ave	For purposes of paragraph j6i Signed at Washington DC this 15th day of August
Recent Changes in US Family Finances Evidence from the 2001 and 2004 Survey of Consumer Finances	0.43243243243243246	0.5588235294117647	0.45999999999999996	0.3571428571428571	0.45945945945945943	0.4222222222222223	0.6052631578947368	0.37777777777777777	0.4722222222222222
Investor and Industry Perspectives on Investment Advisers and BrokerDealers	0.375	0.6129032258064516	0.607843137254902	0.5348837209302326	0.6216216216216216	0.6170212765957447	0.7297297297297297	0.5434782608695652	0.5588235294117647
Quantitative Analysis of Investor Behavior 2007	0.4545454545454546	0.6451612903225806	0.6	0.5909090909090908	0.6486486486486487	0.6666666666666667	0.6470588235294117	0.5652173913043479	0.5882352941176471
The Behavioral Economics of Retirement Savings Behavior	0.27586206896551724	0.5357142857142857	0.62	0.5121951219512195	0.6	0.6304347826086957	0.7142857142857143	0.5555555555555556	0.6176470588235294
2007 Retirement Confidence Survey	0.5588235294117647	0.7096774193548387	0.64	0.5365853658536586	0.5882352941176471	0.5581395348837209	0.7428571428571429	0.5777777777777777	0.6060606060606061
50th Annual Survey of Profit Sharing and 401k Plans 	0.4571428571428572	0.6363636363636364	0.5686274509803921	0.45238095238095233	0.4411764705882353	0.5434782608695652	0.5151515151515151	0.5	0.40625
An Analysis of Investment Advice to Retirement Plan Participants	0.33333333333333337	0.5862068965517242	0.5918367346938775	0.5121951219512195	0.6	0.6	0.6764705882352942	0.5555555555555556	0.5757575757575757
Annual 401k Benchmarking Survey 20052006 Edition	0.45945945945945943	0.6666666666666667	0.5098039215686274	0.4545454545454546	0.4864864864864865	0.5416666666666667	0.5945945945945945	0.4347826086956522	0.5
Are Mutual Fund Fees Competitive What IQRelated Behavior Tells Us	0.4	0.53125	0.5294117647058824	0.5434782608695652	0.6904761904761905	0.62	0.7560975609756098	0.5510204081632653	0.5277777777777778
Asset Location for Retirement Savers in Public Policies and Private Pensions	0.3548387096774194	0.6	0.6274509803921569	0.4878048780487805	0.48484848484848486	0.5116279069767442	0.6857142857142857	0.5333333333333333	0.5882352941176471
