	Comments submitted to OSHA docket S029 Exhibit 314 by	Institute of Electrical and Electronics Engineers IEEE Standard for Fall Protection for Utility Work IEEE Standard 13072004 httpstandardsieeeorgreadingieeestdnumericalhtml accessed	Occupational Safety and Health Administration 29 CFR Part	Occupational Safety and Health Administration Fixed Ladders Used on Outdoor Advertising StructuresBillboards in the Outdoor Advertising Industry	Occupational Safety and Health Administration Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0030 Machine Shops Turned Product and Screw Nut	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing 279213 163 1712962 371 63608 2015 1236 0001 0019 Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories	0024 Lawn and Garden Equipment and Supplies Stores	0039 Sporting Goods Hobby and Musical Instrument Stores	0050 Electronic Shopping and MailOrder Houses 12662263 13335 949551 396 	0095 Deep Sea Coastal and Great Lakes Water Transportation 1019668 645 1580880 417 	Rural Bus Transportation	Employee Bus Transportation	0102 Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0263 Data Processing Hosting and Related Services	Monetary Authorities  Central Bank	0005 Securities and Commodity Contracts Intermediation and Brokerage	0000 Agencies Brokerages and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0040 Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services 73138890 164606 444327 852  37841 657652 400 0001 0011 Accounting Tax Preparation Bookkeeping and Payroll Services	Specialized Design Services 12493910 29234 427376 623  26635 138628 474 0001 0018 Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals 103678 48 2159950 508  109669 210 437 0000 0004 Specialty except Psychiatric and Substance Abuse Hospitals 140371 130 1079779 508 	0013 Residential Mental Retardation Mental Health and Substance Abuse Facilities 1155914 4046 285693 508 	Facilities for the Elderly	Care Facilities	Individual and Family Services 8057734 27310 295047 508  14981 86180 316 0001 0021 Community Food and Housing and Emergency and Other Relief Services 3126011 6774 461472 508 	Vocational Rehabilitation Services	Care Services	0006 Promoters of Performing Arts Sports and Similar Events 2931291	Boarding Houses	0091 Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau Statistics of US Businesses	1 Discussions with Outdoor Amusement Business Association OABA staff indicate that very few office and multifamily residential buildings use fixed ladders greater than 20 feet in height A5 Based on this data ERG estimated that all 28906 estimated fixed ladders on lift towers are infrequently climbed A4 Communications Towers Radio Television Cellular and Microwave Virtually all communication towers have fixed ladders The Federal Communications Commission FCC Antenna Structure Registration Database lists 93000 registered Albee	Economic Census Manufacturing As downloaded from httpfactfindercensusgovservletIQRTablebmydsnameEC0200A1NAICS20023133langen on	As downloaded from ftpftpeiadoegovpubconsumptionresidential2001hctableshousingunithouseholdpdf on August 24	United States Environmental Protection Agency	As downloaded from httpwwwepagovsafewatercwssvrhtml on August 23	Telephone conversation between Joe Shefchik and Ayesha Berlind	Telephone conversation between Wendell Kido Chief Policy and Planning Division Sacramento County Regional Sanitation District and Ayesha Berlind	Telephone conversation between
2003 Commercial Buildings Energy Consumption Survey Table B10 Number of Floors Number of Buildings and Floorspace for NonMall Commercial Buildings	0.8424657534246576	0.7944444444444444	0.8287671232876712	0.8082191780821918	0.8552631578947368	0.815068493150685	0.8493150684931506	0.8311688311688312	0.9452054794520548	0.8287671232876712	0.815068493150685	0.8356164383561644	0.8013698630136986	0.8698630136986302	0.8561643835616438	0.8082191780821918	0.8424657534246576	0.8561643835616438	0.8767123287671232	0.8493150684931506	0.821917808219178	0.8424657534246576	0.7602739726027398	0.7945205479452054	0.910958904109589	0.8356164383561644	0.8698630136986302	0.8424657534246576	0.726027397260274	0.8287671232876712	0.8356164383561644	0.8561643835616438	0.8904109589041096	0.9041095890410958	0.8356164383561644	0.8197674418604651	0.8013698630136986	0.8698630136986302	0.910958904109589	0.8275862068965517	0.8424657534246576	0.9246575342465754	0.8013698630136986	0.910958904109589	0.8287671232876712	0.910958904109589	0.8698630136986302	0.7876712328767124	0.8283018867924529	0.8561643835616438	0.7945205479452054	0.8493150684931506	0.8493150684931506	0.7671232876712328	0.8424657534246576	0.8767123287671232
Electricity Transmission Fact Sheet	0.8301886792452831	0.8555555555555555	0.7719298245614035	0.8541666666666666	0.8618421052631579	0.7659574468085106	0.6341463414634146	0.8636363636363636	0.8285714285714286	0.82	0.7818181818181819	0.7916666666666666	0.8192771084337349	0.7428571428571429	0.7428571428571429	0.7777777777777778	0.8536585365853658	0.8285714285714286	0.7714285714285715	0.8285714285714286	0.7755102040816326	0.8571428571428571	0.7205882352941176	0.7936507936507936	0.8571428571428571	0.8536585365853658	0.8	0.8717948717948718	0.7945205479452054	0.8682170542635659	0.8650793650793651	0.8285714285714286	0.8571428571428571	0.8285714285714286	0.8947368421052632	0.8837209302325582	0.8380952380952381	0.8	0.8	0.8908045977011494	0.7714285714285715	0.8571428571428571	0.8059701492537313	0.8571428571428571	0.7	0.8285714285714286	0.7714285714285715	0.8	0.9377358490566038	0.873015873015873	0.8317757009345794	0.8222222222222222	0.84375	0.8225806451612904	0.8402777777777778	0.7142857142857143
National Emission Inventory homepage	0.8301886792452831	0.8611111111111112	0.7368421052631579	0.8125	0.8289473684210527	0.8297872340425532	0.8536585365853658	0.8571428571428571	0.8611111111111112	0.8	0.8181818181818182	0.8472222222222222	0.8554216867469879	0.8055555555555556	0.8333333333333334	0.7962962962962963	0.8536585365853658	0.7777777777777778	0.75	0.8055555555555556	0.7755102040816326	0.8611111111111112	0.7058823529411765	0.8253968253968254	0.8333333333333334	0.7804878048780488	0.8055555555555556	0.7948717948717948	0.8082191780821918	0.875968992248062	0.8888888888888888	0.8888888888888888	0.8333333333333334	0.8333333333333334	0.8157894736842105	0.9011627906976745	0.8285714285714286	0.75	0.8333333333333334	0.8908045977011494	0.75	0.8611111111111112	0.835820895522388	0.8333333333333334	0.74	0.8333333333333334	0.8333333333333334	0.8266666666666667	0.939622641509434	0.8412698412698413	0.822429906542056	0.7777777777777778	0.8125	0.7741935483870968	0.8402777777777778	0.8333333333333334
1997 Economic Census Manufacturing	0.8867924528301887	0.8833333333333333	0.8596491228070176	0.875	0.881578947368421	0.8085106382978723	0.5853658536585366	0.8831168831168831	0.7941176470588235	0.8	0.7818181818181819	0.8333333333333334	0.8554216867469879	0.7941176470588235	0.7352941176470589	0.7777777777777778	0.7804878048780488	0.8285714285714286	0.7647058823529411	0.7941176470588235	0.8163265306122449	0.8529411764705882	0.7794117647058824	0.7936507936507936	0.7941176470588235	0.8536585365853658	0.9411764705882353	0.7435897435897436	0.7945205479452054	0.8837209302325582	0.873015873015873	0.8857142857142857	0.8235294117647058	0.8823529411764706	0.868421052631579	0.9069767441860465	0.8666666666666667	0.8823529411764706	0.8529411764705882	0.9022988505747126	0.8823529411764706	0.8529411764705882	0.8208955223880597	0.8529411764705882	0.72	0.8823529411764706	0.9117647058823529	0.76	0.9490566037735849	0.8095238095238095	0.8411214953271028	0.8444444444444444	0.84375	0.7741935483870968	0.8611111111111112	0.7941176470588235
2002 Economic Census Manufacturing	0.8867924528301887	0.8833333333333333	0.8596491228070176	0.875	0.881578947368421	0.7872340425531915	0.5853658536585366	0.8766233766233766	0.7941176470588235	0.76	0.7636363636363637	0.8194444444444444	0.8554216867469879	0.7941176470588235	0.7352941176470589	0.7592592592592593	0.7804878048780488	0.8285714285714286	0.7647058823529411	0.7941176470588235	0.7959183673469388	0.8529411764705882	0.75	0.7619047619047619	0.7941176470588235	0.8536585365853658	0.9411764705882353	0.7435897435897436	0.7808219178082192	0.8837209302325582	0.8809523809523809	0.8857142857142857	0.8235294117647058	0.8823529411764706	0.868421052631579	0.9069767441860465	0.8571428571428571	0.8823529411764706	0.8529411764705882	0.9022988505747126	0.8823529411764706	0.8529411764705882	0.7910447761194029	0.8529411764705882	0.72	0.8823529411764706	0.9117647058823529	0.76	0.9490566037735849	0.8095238095238095	0.8411214953271028	0.8444444444444444	0.84375	0.7741935483870968	0.8611111111111112	0.7941176470588235
Antenna Structure Registration database	0.8490566037735849	0.85	0.6666666666666666	0.8263888888888888	0.8289473684210527	0.8297872340425532	0.8292682926829268	0.8636363636363636	0.8205128205128205	0.8	0.8363636363636363	0.8611111111111112	0.7951807228915663	0.7692307692307693	0.7948717948717948	0.8148148148148148	0.8048780487804879	0.6923076923076923	0.8205128205128205	0.7692307692307693	0.7959183673469388	0.7692307692307693	0.7352941176470589	0.7936507936507936	0.8717948717948718	0.8536585365853658	0.7692307692307693	0.8205128205128205	0.7808219178082192	0.8837209302325582	0.873015873015873	0.8461538461538461	0.7692307692307693	0.7435897435897436	0.8205128205128205	0.872093023255814	0.8095238095238095	0.8461538461538461	0.7948717948717948	0.9022988505747126	0.7435897435897436	0.7948717948717948	0.8507462686567164	0.8717948717948718	0.76	0.7435897435897436	0.8717948717948718	0.76	0.9283018867924528	0.8333333333333334	0.8130841121495327	0.7777777777777778	0.78125	0.7903225806451613	0.8194444444444444	0.717948717948718
Council on Tall Buildings and Urban Habitat	0.8490566037735849	0.8555555555555555	0.7543859649122807	0.8333333333333334	0.8157894736842105	0.8085106382978723	0.8372093023255814	0.8506493506493507	0.9069767441860465	0.74	0.8363636363636363	0.8055555555555556	0.8313253012048193	0.7441860465116279	0.7674418604651163	0.7777777777777778	0.813953488372093	0.7674418604651163	0.7906976744186046	0.8372093023255814	0.7551020408163265	0.7441860465116279	0.7794117647058824	0.7619047619047619	0.7674418604651163	0.7674418604651163	0.7674418604651163	0.7906976744186046	0.7123287671232876	0.8527131782945736	0.873015873015873	0.7674418604651163	0.8372093023255814	0.8604651162790697	0.6976744186046512	0.8604651162790697	0.8	0.7906976744186046	0.8372093023255814	0.867816091954023	0.7441860465116279	0.8837209302325582	0.7910447761194029	0.813953488372093	0.82	0.8837209302325582	0.7441860465116279	0.7866666666666666	0.9320754716981132	0.8412698412698413	0.8411214953271028	0.8888888888888888	0.828125	0.8064516129032258	0.8125	0.8372093023255814
Deficient Bridges by State and Highway System	0.7924528301886793	0.8333333333333334	0.8245614035087719	0.8402777777777778	0.8421052631578947	0.8297872340425532	0.8222222222222222	0.8506493506493507	0.8666666666666667	0.76	0.8	0.8472222222222222	0.8192771084337349	0.8444444444444444	0.8222222222222222	0.8518518518518519	0.8666666666666667	0.7111111111111111	0.8	0.8444444444444444	0.7346938775510204	0.8	0.75	0.7142857142857143	0.8444444444444444	0.7333333333333333	0.6666666666666666	0.7777777777777778	0.7945205479452054	0.8604651162790697	0.8333333333333334	0.7111111111111111	0.8	0.8222222222222222	0.7555555555555555	0.872093023255814	0.780952380952381	0.7333333333333333	0.8666666666666667	0.8735632183908046	0.7777777777777778	0.8444444444444444	0.746268656716418	0.8444444444444444	0.88	0.8	0.7555555555555555	0.7733333333333333	0.9339622641509434	0.8333333333333334	0.8317757009345794	0.8888888888888888	0.859375	0.7580645161290323	0.8194444444444444	0.7777777777777778
Inspections within Industry	0.8301886792452831	0.8777777777777778	0.7894736842105263	0.8472222222222222	0.8881578947368421	0.7872340425531915	0.7560975609756098	0.8766233766233766	0.8518518518518519	0.78	0.7636363636363637	0.8194444444444444	0.8795180722891566	0.8888888888888888	0.9259259259259259	0.8333333333333334	0.7560975609756098	0.6285714285714286	0.8148148148148148	0.8333333333333334	0.7755102040816326	0.8529411764705882	0.7794117647058824	0.8095238095238095	0.7777777777777778	0.8048780487804879	0.7878787878787878	0.7692307692307693	0.8082191780821918	0.9069767441860465	0.8968253968253969	0.8285714285714286	0.9259259259259259	0.8888888888888888	0.7894736842105263	0.9069767441860465	0.8571428571428571	0.7407407407407407	0.8148148148148148	0.9137931034482759	0.7647058823529411	0.8518518518518519	0.8656716417910447	0.8148148148148148	0.78	0.8518518518518519	0.8064516129032258	0.84	0.9566037735849057	0.873015873015873	0.822429906542056	0.7777777777777778	0.796875	0.7580645161290323	0.8680555555555556	0.8333333333333334
Residential Energy Consumption Surveys 2001 Housing Characteristics Tables Table HC11a Housing Unit Characteristics by Climate Zone Million US Households 2001	0.8544303797468354	0.8277777777777777	0.8291139240506329	0.7974683544303798	0.8291139240506329	0.8607594936708861	0.8670886075949367	0.8354430379746836	0.9430379746835443	0.8417721518987342	0.8227848101265823	0.8164556962025317	0.8037974683544303	0.8860759493670886	0.8734177215189873	0.8291139240506329	0.8417721518987342	0.8544303797468354	0.8924050632911392	0.8734177215189873	0.8164556962025317	0.8417721518987342	0.7911392405063291	0.810126582278481	0.930379746835443	0.8544303797468354	0.8670886075949367	0.8481012658227848	0.8227848101265823	0.810126582278481	0.7784810126582279	0.8670886075949367	0.879746835443038	0.8987341772151899	0.8481012658227848	0.8488372093023255	0.759493670886076	0.8924050632911392	0.9113924050632911	0.8103448275862069	0.8544303797468354	0.930379746835443	0.8037974683544303	0.9177215189873418	0.8354430379746836	0.9050632911392406	0.879746835443038	0.7658227848101266	0.8339622641509434	0.8481012658227848	0.7658227848101266	0.8417721518987342	0.8164556962025317	0.7911392405063291	0.7784810126582279	0.8607594936708861
