	Comments submitted to OSHA docket S029 Exhibit 314 by	Institute of Electrical and Electronics Engineers IEEE Standard for Fall Protection for Utility Work IEEE Standard 13072004 httpstandardsieeeorgreadingieeestdnumericalhtml accessed	Occupational Safety and Health Administration 29 CFR Part	Occupational Safety and Health Administration Fixed Ladders Used on Outdoor Advertising StructuresBillboards in the Outdoor Advertising Industry	Occupational Safety and Health Administration Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0030 Machine Shops Turned Product and Screw Nut	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing 279213 163 1712962 371 63608 2015 1236 0001 0019 Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories	0024 Lawn and Garden Equipment and Supplies Stores	0039 Sporting Goods Hobby and Musical Instrument Stores	0050 Electronic Shopping and MailOrder Houses 12662263 13335 949551 396 	0095 Deep Sea Coastal and Great Lakes Water Transportation 1019668 645 1580880 417 	Rural Bus Transportation	Employee Bus Transportation	0102 Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0263 Data Processing Hosting and Related Services	Monetary Authorities  Central Bank	0005 Securities and Commodity Contracts Intermediation and Brokerage	0000 Agencies Brokerages and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0040 Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services 73138890 164606 444327 852  37841 657652 400 0001 0011 Accounting Tax Preparation Bookkeeping and Payroll Services	Specialized Design Services 12493910 29234 427376 623  26635 138628 474 0001 0018 Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals 103678 48 2159950 508  109669 210 437 0000 0004 Specialty except Psychiatric and Substance Abuse Hospitals 140371 130 1079779 508 	0013 Residential Mental Retardation Mental Health and Substance Abuse Facilities 1155914 4046 285693 508 	Facilities for the Elderly	Care Facilities	Individual and Family Services 8057734 27310 295047 508  14981 86180 316 0001 0021 Community Food and Housing and Emergency and Other Relief Services 3126011 6774 461472 508 	Vocational Rehabilitation Services	Care Services	0006 Promoters of Performing Arts Sports and Similar Events 2931291	Boarding Houses	0091 Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau Statistics of US Businesses	1 Discussions with Outdoor Amusement Business Association OABA staff indicate that very few office and multifamily residential buildings use fixed ladders greater than 20 feet in height A5 Based on this data ERG estimated that all 28906 estimated fixed ladders on lift towers are infrequently climbed A4 Communications Towers Radio Television Cellular and Microwave Virtually all communication towers have fixed ladders The Federal Communications Commission FCC Antenna Structure Registration Database lists 93000 registered Albee	Economic Census Manufacturing As downloaded from httpfactfindercensusgovservletIQRTablebmydsnameEC0200A1NAICS20023133langen on	As downloaded from ftpftpeiadoegovpubconsumptionresidential2001hctableshousingunithouseholdpdf on August 24	United States Environmental Protection Agency	As downloaded from httpwwwepagovsafewatercwssvrhtml on August 23	Telephone conversation between Joe Shefchik and Ayesha Berlind	Telephone conversation between Wendell Kido Chief Policy and Planning Division Sacramento County Regional Sanitation District and Ayesha Berlind	Telephone conversation between
2003 Commercial Buildings Energy Consumption Survey Table B10 Number of Floors Number of Buildings and Floorspace for NonMall Commercial Buildings	0.33333333333333337	0.23076923076923073	0.30000000000000004	0.2698412698412699	0.29230769230769227	0.2962962962962963	0.37254901960784315	0.2647058823529411	0.6923076923076923	0.34545454545454546	0.24137931034482762	0.2786885245901639	0.43333333333333335	0.4347826086956522	0.30612244897959184	0.3584905660377359	0.34693877551020413	0.45833333333333337	0.33333333333333337	0.37254901960784315	0.34545454545454546	0.4	0.2962962962962963	0.38181818181818183	0.5714285714285714	0.3846153846153846	0.4782608695652174	0.3846153846153846	0.288135593220339	0.28358208955223885	0.2615384615384615	0.34615384615384615	0.41666666666666663	0.4782608695652174	0.33333333333333337	0.34375	0.32258064516129037	0.375	0.4883720930232558	0.24637681159420288	0.4285714285714286	0.5238095238095238	0.24137931034482762	0.4666666666666667	0.33333333333333337	0.5111111111111111	0.41666666666666663	0.24528301886792447	0.22077922077922074	0.11764705882352944	0.24137931034482762	0.3207547169811321	0.2962962962962963	0.29824561403508776	0.25	0.3877551020408163
Electricity Transmission Fact Sheet	0.4347826086956522	0.33333333333333337	0.30434782608695654	0.34693877551020413	0.37254901960784315	0.35	0.3513513513513513	0.4444444444444444	0.52	0.36585365853658536	0.36363636363636365	0.4042553191489362	0.4782608695652174	0.375	0.19999999999999996	0.4358974358974359	0.3142857142857143	0.4117647058823529	0.2941176470588235	0.29729729729729726	0.41463414634146345	0.33333333333333337	0.35	0.41463414634146345	0.5	0.368421052631579	0.375	0.42105263157894735	0.33333333333333337	0.4716981132075472	0.4509803921568627	0.26315789473684215	0.23529411764705888	0.3125	0.3513513513513513	0.43999999999999995	0.41666666666666663	0.17647058823529416	0.31034482758620685	0.38181818181818183	0.2571428571428571	0.4285714285714286	0.40909090909090906	0.4838709677419355	0.35	0.3548387096774194	0.3529411764705882	0.28205128205128205	0.4285714285714286	0.37037037037037035	0.40909090909090906	0.23076923076923073	0.4	0.3023255813953488	0.36	0.2571428571428571
National Emission Inventory homepage	0.5319148936170213	0.34615384615384615	0.4042553191489362	0.31999999999999995	0.3846153846153846	0.41463414634146345	0.3157894736842105	0.4545454545454546	0.6153846153846154	0.38095238095238093	0.33333333333333337	0.41666666666666663	0.5319148936170213	0.3939393939393939	0.2222222222222222	0.4	0.38888888888888884	0.4285714285714286	0.3142857142857143	0.3157894736842105	0.4285714285714286	0.3513513513513513	0.36585365853658536	0.33333333333333337	0.5862068965517242	0.3846153846153846	0.3939393939393939	0.28205128205128205	0.26086956521739135	0.4814814814814815	0.42307692307692313	0.28205128205128205	0.3142857142857143	0.3939393939393939	0.368421052631579	0.4901960784313726	0.5510204081632653	0.3142857142857143	0.4666666666666667	0.3928571428571429	0.33333333333333337	0.5172413793103448	0.33333333333333337	0.4375	0.36585365853658536	0.4375	0.37142857142857144	0.35	0.5	0.3090909090909091	0.33333333333333337	0.25	0.31707317073170727	0.36363636363636365	0.37254901960784315	0.2777777777777778
1997 Economic Census Manufacturing	0.41666666666666663	0.3584905660377359	0.375	0.4509803921568627	0.39622641509433965	0.4285714285714286	0.28205128205128205	0.2857142857142857	0.5555555555555556	0.4418604651162791	0.34782608695652173	0.34693877551020413	0.45833333333333337	0.47058823529411764	0.3513513513513513	0.41463414634146345	0.3513513513513513	0.33333333333333337	0.38888888888888884	0.33333333333333337	0.4883720930232558	0.368421052631579	0.33333333333333337	0.4418604651162791	0.6	0.35	0.47058823529411764	0.4	0.3191489361702128	0.4545454545454546	0.3584905660377359	0.4	0.38888888888888884	0.47058823529411764	0.33333333333333337	0.46153846153846156	0.43999999999999995	0.38888888888888884	0.4193548387096774	0.33333333333333337	0.45945945945945943	0.4666666666666667	0.34782608695652173	0.3939393939393939	0.2857142857142857	0.4545454545454546	0.38888888888888884	0.31707317073170727	0.41538461538461535	0.3571428571428571	0.34782608695652173	0.36585365853658536	0.38095238095238093	0.5111111111111111	0.42307692307692313	0.45945945945945943
2002 Economic Census Manufacturing	0.4042553191489362	0.34615384615384615	0.36170212765957444	0.43999999999999995	0.3846153846153846	0.36585365853658536	0.26315789473684215	0.3090909090909091	0.5384615384615384	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.5319148936170213	0.4545454545454546	0.33333333333333337	0.35	0.33333333333333337	0.3142857142857143	0.37142857142857144	0.3157894736842105	0.38095238095238093	0.3513513513513513	0.2682926829268293	0.38095238095238093	0.5862068965517242	0.33333333333333337	0.4545454545454546	0.3846153846153846	0.26086956521739135	0.4814814814814815	0.3846153846153846	0.3846153846153846	0.37142857142857144	0.4545454545454546	0.3157894736842105	0.4901960784313726	0.4285714285714286	0.37142857142857144	0.4	0.3571428571428571	0.4444444444444444	0.4482758620689655	0.33333333333333337	0.375	0.31707317073170727	0.4375	0.37142857142857144	0.30000000000000004	0.40625	0.3090909090909091	0.28888888888888886	0.35	0.31707317073170727	0.5	0.4117647058823529	0.4444444444444444
Antenna Structure Registration database	0.4222222222222223	0.43999999999999995	0.33333333333333337	0.33333333333333337	0.31999999999999995	0.33333333333333337	0.4444444444444444	0.4339622641509434	0.41666666666666663	0.4	0.3023255813953488	0.3913043478260869	0.5111111111111111	0.3548387096774194	0.4117647058823529	0.368421052631579	0.23529411764705888	0.2727272727272727	0.2727272727272727	0.2222222222222222	0.30000000000000004	0.37142857142857144	0.28205128205128205	0.25	0.4814814814814815	0.2432432432432432	0.29032258064516125	0.29729729729729726	0.36363636363636365	0.42307692307692313	0.4	0.29729729729729726	0.3939393939393939	0.4193548387096774	0.2222222222222222	0.3877551020408163	0.3191489361702128	0.3939393939393939	0.4285714285714286	0.4444444444444444	0.23529411764705888	0.40740740740740744	0.39534883720930236	0.2666666666666667	0.33333333333333337	0.4	0.2727272727272727	0.3157894736842105	0.4516129032258065	0.3584905660377359	0.3023255813953488	0.26315789473684215	0.33333333333333337	0.33333333333333337	0.30612244897959184	0.3529411764705882
Council on Tall Buildings and Urban Habitat	0.4893617021276596	0.46153846153846156	0.4042553191489362	0.31999999999999995	0.3846153846153846	0.41463414634146345	0.4736842105263158	0.4545454545454546	0.6153846153846154	0.47619047619047616	0.33333333333333337	0.41666666666666663	0.4893617021276596	0.2727272727272727	0.33333333333333337	0.4	0.38888888888888884	0.37142857142857144	0.19999999999999996	0.368421052631579	0.38095238095238093	0.3513513513513513	0.31707317073170727	0.33333333333333337	0.4482758620689655	0.33333333333333337	0.4545454545454546	0.4358974358974359	0.3913043478260869	0.4444444444444444	0.46153846153846156	0.4358974358974359	0.37142857142857144	0.3939393939393939	0.26315789473684215	0.4509803921568627	0.4285714285714286	0.4285714285714286	0.4	0.4642857142857143	0.38888888888888884	0.5172413793103448	0.5111111111111111	0.25	0.41463414634146345	0.5	0.4285714285714286	0.25	0.46875	0.4181818181818182	0.37777777777777777	0.35	0.41463414634146345	0.36363636363636365	0.33333333333333337	0.33333333333333337
Deficient Bridges by State and Highway System	0.4285714285714286	0.40740740740740744	0.34693877551020413	0.2692307692307693	0.2962962962962963	0.39534883720930236	0.4	0.4385964912280702	0.6428571428571428	0.4545454545454546	0.3191489361702128	0.43999999999999995	0.5510204081632653	0.5428571428571429	0.42105263157894735	0.47619047619047616	0.42105263157894735	0.45945945945945943	0.3513513513513513	0.30000000000000004	0.36363636363636365	0.4358974358974359	0.3023255813953488	0.40909090909090906	0.6774193548387097	0.36585365853658536	0.5428571428571429	0.5121951219512195	0.41666666666666663	0.5	0.4444444444444444	0.2682926829268293	0.3513513513513513	0.37142857142857144	0.35	0.4339622641509434	0.4509803921568627	0.3513513513513513	0.5	0.4137931034482759	0.368421052631579	0.4838709677419355	0.44680851063829785	0.3529411764705882	0.4883720930232558	0.3529411764705882	0.29729729729729726	0.2857142857142857	0.3939393939393939	0.368421052631579	0.3191489361702128	0.33333333333333337	0.34883720930232553	0.26086956521739135	0.24528301886792447	0.368421052631579
Inspections within Industry	0.4545454545454546	0.3877551020408163	0.36363636363636365	0.36170212765957444	0.3877551020408163	0.26315789473684215	0.4285714285714286	0.5	0.4782608695652174	0.3846153846153846	0.33333333333333337	0.4222222222222223	0.5454545454545454	0.4	0.33333333333333337	0.3513513513513513	0.33333333333333337	0.25	0.375	0.3142857142857143	0.4871794871794872	0.3529411764705882	0.3157894736842105	0.33333333333333337	0.5384615384615384	0.4444444444444444	0.4666666666666667	0.4444444444444444	0.3023255813953488	0.4901960784313726	0.4693877551020408	0.33333333333333337	0.4375	0.4666666666666667	0.3142857142857143	0.41666666666666663	0.4782608695652174	0.3125	0.4814814814814815	0.4716981132075472	0.3939393939393939	0.5384615384615384	0.5238095238095238	0.3793103448275862	0.368421052631579	0.4482758620689655	0.4375	0.29729729729729726	0.540983606557377	0.3846153846153846	0.33333333333333337	0.4054054054054054	0.3157894736842105	0.31707317073170727	0.375	0.2727272727272727
Residential Energy Consumption Surveys 2001 Housing Characteristics Tables Table HC11a Housing Unit Characteristics by Climate Zone Million US Households 2001	0.30000000000000004	0.2615384615384615	0.2666666666666667	0.2698412698412699	0.2615384615384615	0.33333333333333337	0.37254901960784315	0.2647058823529411	0.6923076923076923	0.34545454545454546	0.24137931034482762	0.24590163934426235	0.43333333333333335	0.4347826086956522	0.34693877551020413	0.3207547169811321	0.3877551020408163	0.45833333333333337	0.375	0.33333333333333337	0.3090909090909091	0.4	0.33333333333333337	0.34545454545454546	0.6190476190476191	0.42307692307692313	0.4347826086956522	0.34615384615384615	0.22033898305084743	0.34328358208955223	0.2615384615384615	0.3076923076923077	0.33333333333333337	0.3913043478260869	0.2941176470588235	0.3125	0.29032258064516125	0.41666666666666663	0.5348837209302326	0.24637681159420288	0.34693877551020413	0.5238095238095238	0.31034482758620685	0.4666666666666667	0.2962962962962963	0.4666666666666667	0.41666666666666663	0.28301886792452835	0.2727272727272727	0.1470588235294118	0.24137931034482762	0.28301886792452835	0.33333333333333337	0.33333333333333337	0.25	0.34693877551020413
