	Proposed §§ 70.208(f)(4), 70.208(g)(4), 70.209(g)(4), 71.207(k)(4), 71.207(n)(2), 90.209(e)(4) and 90.209(f)(4) X. REFERENCES U.S. Environmental Protection Agency (EPA,	Estimating the Value of Safety with Labor Market Data: Are the Results Trustworthy?”, Applied Economics	A Reference Lottery Metric for Valuing Health”,	Valuing Life: A Plea for Disaggregation”,	of Economic Analysis (BEA,	Department of Energy (DOE,	Quantitative Risk Assessment	The Value of a Statistical Life: A Critical Review of market Estimates Throughout the World”,	Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor.	Performance of a New Personal Respirable Dust Monitor for Mine Use.
MSHA Standardized Informaiton System	0.6428571428571428	0.5675675675675675	0.5666666666666667	0.6206896551724138	0.5652173913043479	0.5833333333333333	0.625	0.6486486486486487	0.5483870967741935	0.6
National Income and Product Accounts Table Table 119 Implicit Price Deflators for Gross Domestic Product	0.5454545454545454	0.5	0.6486486486486487	0.53125	0.6206896551724138	0.6333333333333333	0.6666666666666667	0.6097560975609756	0.4242424242424242	0.3666666666666667
Annual Coal Report 2009	0.6153846153846154	0.6842105263157895	0.6206896551724138	0.6296296296296297	0.75	0.6521739130434783	0.6363636363636364	0.6944444444444444	0.6	0.6071428571428572
Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor	0.5116279069767442	0.3783783783783784	0.48484848484848486	0.4838709677419355	0.6206896551724138	0.5357142857142857	0.6666666666666667	0.5384615384615384	0.0	0.31034482758620685
Performance of a New Personal Respirable Dust Monitor for Mine Use	0.5813953488372092	0.45945945945945943	0.5757575757575757	0.5333333333333333	0.6296296296296297	0.5925925925925926	0.6296296296296297	0.6153846153846154	0.31034482758620685	0.0
Quantitative Risk Assessment in Support of Proposed Respirable Coal Mine Dust Rule	0.5116279069767442	0.42105263157894735	0.6111111111111112	0.53125	0.6666666666666667	0.6333333333333333	0.46153846153846156	0.5	0.32258064516129037	0.3666666666666667
National Primary Drinking Water Regulations Stage 2 Disinfectants and Disinfection Byproducts Rule National Primary and Secondary Drinking Water Regulations Approval of Analytical Methods for Chemical Contaminants	0.40909090909090906	0.3902439024390244	0.5263157894736843	0.5675675675675675	0.6060606060606061	0.6176470588235294	0.6060606060606061	0.42500000000000004	0.34285714285714286	0.4285714285714286
A Reference Lottery Metric for Valuing Health	0.6590909090909092	0.4285714285714286	0.125	0.4444444444444444	0.6	0.6153846153846154	0.6538461538461539	0.5142857142857142	0.43333333333333335	0.5333333333333333
The Value of a Statistical Life A Critical Review of market Estimates Throughout the World	0.5333333333333333	0.32432432432432434	0.5142857142857142	0.5588235294117647	0.6451612903225806	0.696969696969697	0.6	0.09677419354838712	0.5	0.5833333333333333
Valuing Life A Plea for Disaggregation	0.6666666666666667	0.5142857142857142	0.4444444444444444	0.1428571428571429	0.6086956521739131	0.5652173913043479	0.6086956521739131	0.5588235294117647	0.4285714285714286	0.4814814814814815
Estimating the Value of Safety with Labor Market Data Are the Results Trustworthy	0.5957446808510638	0.17647058823529416	0.4242424242424242	0.46875	0.6	0.5666666666666667	0.6	0.36111111111111116	0.4117647058823529	0.4545454545454546
