	Proposed §§ 70.208(f)(4), 70.208(g)(4), 70.209(g)(4), 71.207(k)(4), 71.207(n)(2), 90.209(e)(4) and 90.209(f)(4) X. REFERENCES U.S. Environmental Protection Agency (EPA,	Estimating the Value of Safety with Labor Market Data: Are the Results Trustworthy?”, Applied Economics	A Reference Lottery Metric for Valuing Health”,	Valuing Life: A Plea for Disaggregation”,	of Economic Analysis (BEA,	Department of Energy (DOE,	Quantitative Risk Assessment	The Value of a Statistical Life: A Critical Review of market Estimates Throughout the World”,	Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor.	Performance of a New Personal Respirable Dust Monitor for Mine Use.
MSHA Standardized Informaiton System	0.888	0.8627450980392157	0.7916666666666666	0.8780487804878049	0.8055555555555556	0.8611111111111112	0.8333333333333334	0.8279569892473119	0.8172043010752689	0.8333333333333334
National Income and Product Accounts Table Table 119 Implicit Price Deflators for Gross Domestic Product	0.856	0.7788461538461539	0.8076923076923077	0.8076923076923077	0.8557692307692307	0.8846153846153846	0.8461538461538461	0.7980769230769231	0.7788461538461539	0.75
Annual Coal Report 2009	0.92	0.8725490196078431	0.8333333333333334	0.8292682926829268	0.9583333333333334	0.9166666666666666	0.8928571428571429	0.8494623655913979	0.8387096774193549	0.803030303030303
Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor	0.872	0.8235294117647058	0.7526881720430108	0.7849462365591398	0.8387096774193549	0.8494623655913979	0.8387096774193549	0.8602150537634409	0.0	0.5913978494623656
Performance of a New Personal Respirable Dust Monitor for Mine Use	0.832	0.7745098039215687	0.803030303030303	0.803030303030303	0.8333333333333334	0.8181818181818182	0.8333333333333334	0.7526881720430108	0.5913978494623656	0.0
Quantitative Risk Assessment in Support of Proposed Respirable Coal Mine Dust Rule	0.872	0.7843137254901961	0.7804878048780488	0.8048780487804879	0.8536585365853658	0.8414634146341463	0.6585365853658537	0.8279569892473119	0.7419354838709677	0.7317073170731707
National Primary Drinking Water Regulations Stage 2 Disinfectants and Disinfection Byproducts Rule National Primary and Secondary Drinking Water Regulations Approval of Analytical Methods for Chemical Contaminants	0.8403755868544601	0.7511737089201878	0.863849765258216	0.8591549295774648	0.9154929577464789	0.92018779342723	0.9014084507042254	0.7746478873239436	0.7605633802816901	0.8075117370892019
A Reference Lottery Metric for Valuing Health	0.896	0.8137254901960784	0.0625	0.8	0.8	0.8	0.8444444444444444	0.7956989247311828	0.7526881720430108	0.7878787878787878
The Value of a Statistical Life A Critical Review of market Estimates Throughout the World	0.848	0.7647058823529411	0.8	0.7333333333333333	0.8555555555555555	0.8444444444444444	0.8111111111111111	0.03225806451612903	0.8279569892473119	0.7444444444444445
Valuing Life A Plea for Disaggregation	0.872	0.803921568627451	0.7291666666666666	0.07317073170731707	0.8421052631578947	0.8421052631578947	0.7894736842105263	0.7311827956989247	0.7849462365591398	0.803030303030303
Estimating the Value of Safety with Labor Market Data Are the Results Trustworthy	0.872	0.20588235294117646	0.7901234567901234	0.7777777777777778	0.8888888888888888	0.8641975308641975	0.8271604938271605	0.7419354838709677	0.7634408602150538	0.8148148148148148
