	Proposed §§ 70.208(f)(4), 70.208(g)(4), 70.209(g)(4), 71.207(k)(4), 71.207(n)(2), 90.209(e)(4) and 90.209(f)(4) X. REFERENCES U.S. Environmental Protection Agency (EPA,	Estimating the Value of Safety with Labor Market Data: Are the Results Trustworthy?”, Applied Economics	A Reference Lottery Metric for Valuing Health”,	Valuing Life: A Plea for Disaggregation”,	of Economic Analysis (BEA,	Department of Energy (DOE,	Quantitative Risk Assessment	The Value of a Statistical Life: A Critical Review of market Estimates Throughout the World”,	Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor.	Performance of a New Personal Respirable Dust Monitor for Mine Use.
MSHA Standardized Informaiton System	0.4736842105263158	0.39622641509433965	0.39534883720930236	0.44999999999999996	0.3939393939393939	0.4117647058823529	0.4545454545454546	0.48	0.37777777777777777	0.4285714285714286
National Income and Product Accounts Table Table 119 Implicit Price Deflators for Gross Domestic Product	0.375	0.33333333333333337	0.48	0.36170212765957444	0.44999999999999996	0.46341463414634143	0.5	0.4385964912280702	0.2692307692307693	0.22448979591836737
Annual Coal Report 2009	0.4444444444444444	0.52	0.44999999999999996	0.45945945945945943	0.6	0.4838709677419355	0.4666666666666667	0.5319148936170213	0.4285714285714286	0.4358974358974359
Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor	0.34375	0.23333333333333328	0.31999999999999995	0.3191489361702128	0.44999999999999996	0.36585365853658536	0.5	0.368421052631579	0.0	0.18367346938775508
Performance of a New Personal Respirable Dust Monitor for Mine Use	0.4098360655737705	0.29824561403508776	0.4042553191489362	0.36363636363636365	0.45945945945945943	0.42105263157894735	0.45945945945945943	0.4444444444444444	0.18367346938775508	0.0
Quantitative Risk Assessment in Support of Proposed Respirable Coal Mine Dust Rule	0.34375	0.2666666666666667	0.43999999999999995	0.36170212765957444	0.5	0.46341463414634143	0.30000000000000004	0.33333333333333337	0.1923076923076923	0.22448979591836737
National Primary Drinking Water Regulations Stage 2 Disinfectants and Disinfection Byproducts Rule National Primary and Secondary Drinking Water Regulations Approval of Analytical Methods for Chemical Contaminants	0.2571428571428571	0.24242424242424243	0.3571428571428571	0.39622641509433965	0.4347826086956522	0.44680851063829785	0.4347826086956522	0.2698412698412699	0.2068965517241379	0.2727272727272727
A Reference Lottery Metric for Valuing Health	0.4915254237288136	0.2727272727272727	0.06666666666666665	0.2857142857142857	0.4285714285714286	0.4444444444444444	0.48571428571428577	0.34615384615384615	0.276595744680851	0.36363636363636365
The Value of a Statistical Life A Critical Review of market Estimates Throughout the World	0.36363636363636365	0.19354838709677424	0.34615384615384615	0.3877551020408163	0.47619047619047616	0.5348837209302326	0.4285714285714286	0.05084745762711862	0.33333333333333337	0.4117647058823529
Valuing Life A Plea for Disaggregation	0.5	0.34615384615384615	0.2857142857142857	0.07692307692307687	0.4375	0.3939393939393939	0.4375	0.3877551020408163	0.2727272727272727	0.31707317073170727
Estimating the Value of Safety with Labor Market Data Are the Results Trustworthy	0.4242424242424242	0.09677419354838712	0.2692307692307693	0.30612244897959184	0.4285714285714286	0.39534883720930236	0.4285714285714286	0.22033898305084743	0.2592592592592593	0.2941176470588235
