	Division of Regulations Legislation and Interpretation US Department of Labor Wage and Hour Division 200 Constitution Avenue NW Room S– 81197 Federal Register 	Costs with Overtime Work in US	Does the Statutory Overtime Premium Discourage Long Workweeks’’ Industrial and Labor Relations Review 563 530– 81221	Census Bureau Center for Economic Studies Business Dynamics Statistics Firm Age by Firm Size Available at httpwwwcescensusgov indexphpbdsbdsdatabaselist Accessed	National Population Projections Table 2 Projections of the Population by Selected Age Groups and Sex for the United States	Occupational Outlook Handbook 2010–11 Edition Home Health Aides and Personal and Home Care Aides on the Internet at httpwwwbls	81244 Federal Register 	The authority citation for part 552 continues to read as follows Authority 29 USC 213a15 b21 88 stat 62 Sec 29b of the Fair Labor Standards Act Amendments of
New Options and Risks in Home Care for Elderly	0.5909090909090908	0.5357142857142857	0.6304347826086957	0.5	0.5945945945945945	0.4722222222222222	0.6551724137931034	0.575
ReThinking Fiscal Multipliers	0.6818181818181819	0.6785714285714286	0.6590909090909092	0.5714285714285714	0.5454545454545454	0.6216216216216216	0.5416666666666667	0.6052631578947368
Labor Demand	0.717948717948718	0.7391304347826086	0.725	0.6875	0.75	0.7352941176470589	0.7727272727272727	0.7142857142857143
2008 National Population Projections	0.6190476190476191	0.7241379310344828	0.627906976744186	0.6486486486486487	0.4516129032258065	0.5428571428571429	0.6	0.6052631578947368
BLS Occupational Employment Statistics	0.6818181818181819	0.6296296296296297	0.627906976744186	0.48484848484848486	0.5882352941176471	0.5833333333333333	0.75	0.5675675675675675
Business Dynamics Statistics Firm Age by Firm Size	0.627906976744186	0.6896551724137931	0.6363636363636364	0.3548387096774194	0.5588235294117647	0.6666666666666667	0.6666666666666667	0.5789473684210527
National Employment MatrixSearch by Occupation	0.6739130434782609	0.6206896551724138	0.6222222222222222	0.4411764705882353	0.4545454545454546	0.5405405405405406	0.7741935483870968	0.5641025641025641
Standard Occupational Classification	0.6341463414634146	0.6	0.6744186046511628	0.5	0.5161290322580645	0.5588235294117647	0.6799999999999999	0.5428571428571429
US Census Bureau Health Care and Social Assistance Estimated YeartoYear Change in Revenue for Employer Firms by Source	0.4444444444444444	0.6	0.5800000000000001	0.22857142857142854	0.42105263157894735	0.5	0.6571428571428571	0.41463414634146345
2011 Statistical Abstract	0.675	0.7692307692307692	0.6829268292682926	0.6764705882352942	0.6129032258064516	0.6060606060606061	0.5714285714285714	0.6285714285714286
Characteristics of Supplemental Nutrition Assistance Program Households Fiscal Year 2009	0.41860465116279066	0.6571428571428571	0.5918367346938775	0.42105263157894735	0.38888888888888884	0.4358974358974359	0.6363636363636364	0.42500000000000004
Overtime and extended work shifts Recent findings on illnesses injuries and health behaviors	0.6086956521739131	0.5172413793103448	0.4883720930232558	0.4	0.4571428571428572	0.5	0.6333333333333333	0.5609756097560976
The Changing Demographic Profile of the United States	0.5581395348837209	0.5357142857142857	0.6	0.4117647058823529	0.375	0.5526315789473684	0.6551724137931034	0.45945945945945943
The Medicare Payment Advisory Commission MedPAC	0.6888888888888889	0.5384615384615384	0.6363636363636364	0.5	0.5151515151515151	0.5555555555555556	0.7142857142857143	0.5405405405405406
2011 Annual Report of the Boards of Trustees of the Federal Hospital Insurance and Federal Supplementary Medical Insurance Trust Funds	0.4666666666666667	0.7027027027027026	0.5416666666666667	0.4358974358974359	0.4473684210526315	0.44999999999999996	0.6060606060606061	0.4
Background Report on the US Home Care and Personal Assistance Workforce and Industry Forthcoming	0.4444444444444444	0.5588235294117647	0.5208333333333333	0.368421052631579	0.42105263157894735	0.46341463414634143	0.6571428571428571	0.45238095238095233
Californias DirectCare Workforce	0.6585365853658536	0.5217391304347826	0.6666666666666667	0.5757575757575757	0.6363636363636364	0.6285714285714286	0.6666666666666667	0.6486486486486487
Fair Pay for Home Care Workers	0.6904761904761905	0.5833333333333333	0.7272727272727273	0.6571428571428571	0.7142857142857143	0.6666666666666667	0.72	0.6842105263157895
Family caregiving in the US Findings from a national study	0.5476190476190477	0.5185185185185186	0.5581395348837209	0.34375	0.40625	0.6153846153846154	0.5925925925925926	0.4444444444444444
Home Health Study Report Literature Review	0.5952380952380952	0.5925925925925926	0.5714285714285714	0.5	0.6	0.5945945945945945	0.6666666666666667	0.5405405405405406
Meals on Wheels of Contra Costa County	0.6904761904761905	0.5833333333333333	0.6976744186046512	0.5757575757575757	0.59375	0.6666666666666667	0.72	0.6111111111111112
Medicare and Home Health Care	0.6904761904761905	0.5833333333333333	0.6976744186046512	0.5757575757575757	0.6363636363636364	0.5454545454545454	0.6666666666666667	0.6111111111111112
The PHI Matching Services Project	0.6888888888888889	0.5925925925925926	0.6363636363636364	0.6216216216216216	0.5151515151515151	0.631578947368421	0.7142857142857143	0.6829268292682926
Who Pays for Home Care Services	0.6744186046511628	0.5	0.6511627906976745	0.5588235294117647	0.6176470588235294	0.6486486486486487	0.7857142857142857	0.631578947368421
15 Million Oregon Private Pay Homecare Registry for Sale	0.6	0.6	0.5116279069767442	0.5526315789473684	0.5675675675675675	0.6	0.6206896551724138	0.5853658536585367
2009 BLS Occupational Employment Survey employment and Wages for SOC codes 399021 and 311011	0.4444444444444444	0.6	0.4565217391304348	0.41025641025641024	0.5365853658536586	0.5	0.6571428571428571	0.41463414634146345
BLS National Compensation Survey	0.5609756097560976	0.5384615384615384	0.6363636363636364	0.4545454545454546	0.5588235294117647	0.631578947368421	0.7142857142857143	0.5405405405405406
Brief of Amici Curiae City of New York	0.7111111111111111	0.6296296296296297	0.7173913043478262	0.5294117647058824	0.6285714285714286	0.6216216216216216	0.7931034482758621	0.6052631578947368
Consumer Direction and Family Caregiving Results from a National Survey	0.46341463414634143	0.6	0.5454545454545454	0.33333333333333337	0.48571428571428577	0.6341463414634146	0.5714285714285714	0.5128205128205128
Experienced Home Care Registry About Us	0.5348837209302326	0.6451612903225806	0.6382978723404256	0.38235294117647056	0.4411764705882353	0.4864864864864865	0.6666666666666667	0.5128205128205128
FY 2011 Budget	0.7560975609756098	0.8888888888888888	0.7906976744186046	0.7714285714285715	0.7941176470588236	0.7777777777777778	0.6	0.7894736842105263
Golden Care Co Inc Billing Policy	0.7272727272727273	0.75	0.6744186046511628	0.5882352941176471	0.5625	0.6388888888888888	0.6799999999999999	0.6923076923076923
Home care aides voices from the field Job experiences of personal support specialists	0.5813953488372092	0.6206896551724138	0.6222222222222222	0.3939393939393939	0.4545454545454546	0.5	0.6896551724137931	0.5263157894736843
Home Care Services for Seniors in Tolland and Hartford Counties in Connecticut	0.5609756097560976	0.5384615384615384	0.6363636363636364	0.4545454545454546	0.5151515151515151	0.5555555555555556	0.6666666666666667	0.5
Interview of Michael Elsas President and Adria Powell Executive Vice President of Cooperative Health Care Associates by Calvin Franz and Lauren Jankovic of ERG	0.5576923076923077	0.6829268292682926	0.5660377358490566	0.36585365853658536	0.4883720930232558	0.4545454545454546	0.7317073170731707	0.5106382978723405
Minimum Wage	0.775	0.7272727272727273	0.7804878048780488	0.7575757575757576	0.78125	0.8	0.7619047619047619	0.8108108108108107
The Personal Assistance Services and DirectSupport Workforce A Literature Review	0.5333333333333333	0.5483870967741935	0.4772727272727273	0.43243243243243246	0.4444444444444444	0.525	0.696969696969697	0.475
The State of the States in Family Caregiver Support A 50State Study	0.4883720930232558	0.5806451612903225	0.5652173913043479	0.32352941176470584	0.4285714285714286	0.55	0.6451612903225806	0.3783783783783784
