	NO PARSCIT CITATIONS
Report to the Congress on Risk Retention	0.925
Mortgage and Asset Securitizations Issuance	0.9069767441860465
Understanding the Securitization of Subprime Mortgage Credit	0.95
Theory of the Firm Managerial Behavior Agency Costs and Ownership Structure	0.92
Banks and Loan Sales Marketing Nonmarketable Assets	0.9215686274509803
The Subprime Problem Causes and Lessons	0.8974358974358975
The Economics of Structured Finance	0.9428571428571428
Tranching and Rating	1.0
Origination and Issuance of Agency and NonAgency Mortgage Loans	0.9365079365079365
Did Securitization Lead to Lax Screening Evidence from Subprime Loans	0.9420289855072463
The Credit Ratings Game	0.9565217391304348
White Paper on Rating Competition and Structured Finance	0.8928571428571429
Rating Shopping and Asset Complexity A Theory of Ratings Inflation	0.9090909090909091
Role of Ratings in Structured Finance What went wrong and what can be done to address the shortcomings	0.9607843137254902
The Consequences of Mortgage Credit Expansion Evidence from the US Mortgage Default Crisis	0.9555555555555556
Irrational Exuberance	0.9523809523809523
Credit Cycles	0.9
Agency Costs Net Worth and Business Fluctuations	0.9375
Liquidity Shortages and Banking Crises	0.9473684210526315
Financial Intermediation and Delegated Monitoring	0.9591836734693877
Information Asymmetry and Financing Arrangements Evidence from Syndicated Loans	0.9493670886075949
Has the CDS market lowered the cost of corporate debt	0.9433962264150944
The Prudential Regulation of Banks	0.9117647058823529
The Fundamental Principles of Financial Regulation	0.94
