	Department of Homeland Security Office of Immigration Statistics	Hourly Compensation Rates of ICE Immigration Enforcement Officers Variable Description This is the “fully burdened” average wage rate of a typical ICE Immigration Enforcement Officer It includes gross hourly wage as well as benefits The benefits were estimated Date 04172008 F19 h Cost119 In examining each of the five alternatives listed DHS developed a cost estimate for each These cost estimates are more fully explained in relation to the Executive Order 12866 and Regulatory Flexibility Analysis infra Alternatives C and E are expected to add additional significant labor costs relative to the other three alternatives and thus would have these additional costs recurring beyond the first year Alternative A Carrier biometric collection at checkin Counters 949000000 Alternative B DHS collection at checkin counters 357000000 Alternative C DHS collection at TSA checkpoint 304000000 Alternative D Carrier collection at aircraft gate 449000000 Alternative E Government collection at aircraft gate
Business Travel Speeding Flight CheckIn At SelfService Kiosks	0.4375	0.5094339622641509
MidTex Elect Coop Inc v FERC	0.6451612903225806	0.6603773584905661
Annual Report on the Integrated Entry and Exit Data System 	0.3214285714285714	0.5384615384615384
Business Capacity Baseline Report	0.46153846153846156	0.6730769230769231
Percentage of Exit Records Matched to Entry Records	0.5172413793103448	0.6666666666666667
The 911 Commission Report Final Report of the National Commission on Terrorist Attacks upon the United States	0.5	0.5185185185185186
Cost from the Local Fiscal Effects of Illegal Immigration A Report of a Workshop	0.5	0.5740740740740741
Evaluating the True Cost to Airlines of One Minute of Airborne or Ground Delay	0.46875	0.5283018867924528
Judged Terror Risk and Proximity to the World Trade Center	0.53125	0.6181818181818182
Perceived Risk Psychological Factors and Social Implications	0.3793103448275862	0.5660377358490566
Perception of Risk	0.5769230769230769	0.7547169811320755
Terrorism and probability neglect	0.36	0.6538461538461539
