	Department of Homeland Security, Office of Immigration Statistics,	Hourly Compensation Rates of ICE Immigration Enforcement Officers Variable Description: This is the “fully burdened” average wage rate of a typical ICE Immigration Enforcement Officer. It includes gross hourly wage as well as benefits. The benefits were estimated Date: 04-17-2008 F-19 h. Cost.119 In examining each of the five alternatives listed, DHS developed a cost estimate for each. These cost estimates are more fully explained in relation to the Executive Order 12866 and Regulatory Flexibility Analysis, infra. Alternatives C and E are expected to add additional significant labor costs relative to the other three alternatives, and thus would have these additional costs recurring beyond the first year: Alternative A: Carrier biometric collection at check-in Counters: $949,000,000 Alternative B: DHS collection at check-in counters: $357,000,000 Alternative C: DHS collection at TSA checkpoint: $304,000,000 Alternative D: Carrier collection at aircraft gate: $449,000,000 Alternative E: Government collection at aircraft gate:
Business Travel Speeding Flight CheckIn At SelfService Kiosks	0.69	0.63
MidTex Elect Coop Inc v FERC	0.6799999999999999	0.61
Annual Report on the Integrated Entry and Exit Data System 	0.63	0.56
Business Capacity Baseline Report	0.64	0.61
Percentage of Exit Records Matched to Entry Records	0.61	0.5700000000000001
The 911 Commission Report Final Report of the National Commission on Terrorist Attacks upon the United States	0.6	0.56
Hearing of the Senate Homeland Security and Governmental Affairs Committee	0.47	0.5700000000000001
Cost from the Local Fiscal Effects of Illegal Immigration A Report of a Workshop	0.54	0.53
Evaluating the True Cost to Airlines of One Minute of Airborne or Ground Delay	0.63	0.5800000000000001
Judged Terror Risk and Proximity to the World Trade Center	0.64	0.56
Perceived Risk Psychological Factors and Social Implications	0.6	0.6
Perception of Risk	0.56	0.39
Terrorism and probability neglect	0.61	0.61
