	Available at: http://www.lrc.rpi.edu/ Inputs	Manufacturing and Construction Division, ‘‘New Privately Owned Housing Unit Starts’’	Available at: http://www.census.gov/ Solid State Lighting Multi-Year Program Plan.51 Lastly, using markup based on currently-available LED lamps, DOE was market until after	Department of Energy, Office of Energy Efficiency and Renewable Energy, ‘‘Energy Conservation Program for Commercial and Industrial Equipment: High-Intensity Discharge Lamps Analysis of Potential Energy Savings’’	Scenarios In the
2007 RS Means Electrical Cost Data 	0.6551724137931034	0.5833333333333333	0.6153846153846154	0.6190476190476191	0.5
Aggregate State Tax Rates 2008	0.7407407407407407	0.7894736842105263	0.775	0.7674418604651163	0.6666666666666667
Commercial Building Energy Consumption Survey Microlevel data	0.5	0.4571428571428572	0.41666666666666663	0.475	0.56
Commerical Building Energy Consumption Survey	0.4814814814814815	0.48571428571428577	0.4444444444444444	0.46153846153846156	0.5416666666666667
Implicit Price Deflators for Gross Domestic Product	0.48	0.5714285714285714	0.5277777777777778	0.5384615384615384	0.5454545454545454
Manufacturing Energy Consumption Survey	0.5714285714285714	0.47058823529411764	0.4285714285714286	0.4871794871794872	0.5217391304347826
New Privately Owned Housing Unit Starts	0.5357142857142857	0.29032258064516125	0.4864864864864865	0.5	0.6
Population Change April 1 2000 to July 1 2000	0.5714285714285714	0.631578947368421	0.5526315789473684	0.5952380952380952	0.64
Recycling Costs	0.6666666666666667	0.625	0.6944444444444444	0.6578947368421053	0.5555555555555556
Residential Energy Consumption Survey	0.5185185185185186	0.5142857142857142	0.4722222222222222	0.4473684210526315	0.5833333333333333
Selected Interest Rates  State and Local Bonds	0.5416666666666667	0.6571428571428571	0.6486486486486487	0.6153846153846154	0.38888888888888884
Survey of Consumer Finances	0.6153846153846154	0.5454545454545454	0.5833333333333333	0.5897435897435898	0.5
The Data Page Historical Returns on Stocks Bonds and Bills  United States 2006	0.6060606060606061	0.5128205128205128	0.5476190476190477	0.5555555555555556	0.5714285714285714
Value Line Investment Survey	0.5	0.6285714285714286	0.5833333333333333	0.5897435897435898	0.5
Annual Energy Outlook 2007 with Projections to 2030	0.5483870967741935	0.575	0.46153846153846156	0.5454545454545454	0.6071428571428572
Energy Conservation Program for Commercial and Industrial Equipment HighIntensity Discharge Lamp Analysis of Potential Energy Savings	0.46875	0.4358974358974359	0.3157894736842105	0.21052631578947367	0.5666666666666667
MultiYear Program Plan FY09 to FY14 SolidState Lighting Research and Development 	0.5588235294117647	0.5476190476190477	0.3589743589743589	0.48888888888888893	0.6129032258064516
US Lighting Market Characterization Volume 1 National Lighting Inventory and Energy Consumption Estimate	0.5294117647058824	0.4878048780487805	0.375	0.4666666666666667	0.5806451612903225
Ex parte communication with Edward Yandek of General Electric Company	0.5172413793103448	0.5897435897435898	0.43243243243243246	0.5238095238095238	0.6296296296296297
Public Meeting Transcript No 21 at pg 7172	0.5357142857142857	0.5675675675675675	0.5263157894736843	0.6363636363636364	0.6
California Statewide Residential Lighting and Appliance Efficiency Saturation Survey	0.3928571428571429	0.45945945945945943	0.33333333333333337	0.3157894736842105	0.5555555555555556
Codes and Standards Enhancement CASE Initiative for PY2008 Title 20 Standards Development	0.5	0.5714285714285714	0.42500000000000004	0.4418604651162791	0.5517241379310345
