	Available at: http://www.lrc.rpi.edu/ Inputs	Manufacturing and Construction Division, ‘‘New Privately Owned Housing Unit Starts’’	Available at: http://www.census.gov/ Solid State Lighting Multi-Year Program Plan.51 Lastly, using markup based on currently-available LED lamps, DOE was market until after	Department of Energy, Office of Energy Efficiency and Renewable Energy, ‘‘Energy Conservation Program for Commercial and Industrial Equipment: High-Intensity Discharge Lamps Analysis of Potential Energy Savings’’	Scenarios In the
2007 RS Means Electrical Cost Data 	0.9166666666666666	0.8131868131868132	0.86875	0.8981481481481481	0.7714285714285715
Aggregate State Tax Rates 2008	0.8055555555555556	0.8571428571428571	0.88125	0.9074074074074074	0.8333333333333334
Commercial Building Energy Consumption Survey Microlevel data	0.8360655737704918	0.8021978021978022	0.79375	0.8148148148148148	0.8688524590163934
Commerical Building Energy Consumption Survey	0.8666666666666667	0.8021978021978022	0.84375	0.8564814814814815	0.8222222222222222
Implicit Price Deflators for Gross Domestic Product	0.8235294117647058	0.8241758241758241	0.84375	0.8518518518518519	0.8431372549019608
Manufacturing Energy Consumption Survey	0.8974358974358975	0.7142857142857143	0.85	0.8657407407407407	0.7948717948717948
New Privately Owned Housing Unit Starts	0.8461538461538461	0.5714285714285714	0.85	0.875	0.7948717948717948
Population Change April 1 2000 to July 1 2000	0.8444444444444444	0.8241758241758241	0.8625	0.8935185185185185	0.8444444444444444
Recycling Costs	0.8333333333333334	0.8901098901098901	0.93125	0.9351851851851852	0.8125
Residential Energy Consumption Survey	0.8918918918918919	0.8131868131868132	0.85	0.8703703703703703	0.7567567567567568
Selected Interest Rates  State and Local Bonds	0.8478260869565217	0.7692307692307693	0.8375	0.8564814814814815	0.8043478260869565
Survey of Consumer Finances	0.8333333333333334	0.8241758241758241	0.89375	0.9027777777777778	0.7407407407407407
The Data Page Historical Returns on Stocks Bonds and Bills  United States 2006	0.8461538461538461	0.7362637362637363	0.8	0.8194444444444444	0.8589743589743589
Value Line Investment Survey	0.8333333333333334	0.8351648351648352	0.875	0.9074074074074074	0.7857142857142857
Annual Energy Outlook 2007 with Projections to 2030	0.7843137254901961	0.8021978021978022	0.85	0.8703703703703703	0.8431372549019608
Energy Conservation Program for Commercial and Industrial Equipment HighIntensity Discharge Lamp Analysis of Potential Energy Savings	0.8571428571428571	0.7894736842105263	0.825	0.38425925925925924	0.9097744360902256
MultiYear Program Plan FY09 to FY14 SolidState Lighting Research and Development 	0.8271604938271605	0.8241758241758241	0.75625	0.8194444444444444	0.8888888888888888
US Lighting Market Characterization Volume 1 National Lighting Inventory and Energy Consumption Estimate	0.8269230769230769	0.7692307692307693	0.76875	0.7916666666666666	0.875
Ex parte communication with Edward Yandek of General Electric Company	0.8260869565217391	0.8131868131868132	0.80625	0.8148148148148148	0.8695652173913043
Public Meeting Transcript No 21 at pg 7172	0.8809523809523809	0.8241758241758241	0.84375	0.8796296296296297	0.7857142857142857
California Statewide Residential Lighting and Appliance Efficiency Saturation Survey	0.8214285714285714	0.8351648351648352	0.76875	0.8148148148148148	0.8809523809523809
Codes and Standards Enhancement CASE Initiative for PY2008 Title 20 Standards Development	0.8426966292134831	0.8791208791208791	0.8	0.8148148148148148	0.8764044943820225
Full Spectrum QA	0.8333333333333334	0.9230769230769231	0.93125	0.9537037037037037	1.0
Measure Life Report Residential and CommercialIndustrial Lighting and HVAC Measures	0.8313253012048193	0.8241758241758241	0.8	0.7453703703703703	0.8795180722891566
National MercuryLamp Recycling Rate and Availability of Lamp Recycling Services in the US	0.8202247191011236	0.8791208791208791	0.7875	0.7870370370370371	0.8539325842696629
RevisedUpdated EULs Based on Retention and Persistence Studies Results	0.7857142857142857	0.7912087912087912	0.80625	0.8287037037037037	0.8714285714285714
The Rare Gets More Rare The Rare Gases Market Update	0.8461538461538461	0.8021978021978022	0.79375	0.8518518518518519	0.8461538461538461
Protected Coating For Energy Efficient Lamp	0.8837209302325582	0.7802197802197802	0.8375	0.8518518518518519	0.7906976744186046
Circular No A94 Appendix C 	0.8333333333333334	0.8461538461538461	0.9	0.9212962962962963	0.7777777777777778
Energy Efficiency and Renewable Office of Building Research and Standards	0.821917808219178	0.8131868131868132	0.825	0.7407407407407407	0.8493150684931506
Fluorescent and Incandescent Lamps Energy Conservation Standard Advance Notice of Proposed Rulemaking	0.8613861386138614	0.8118811881188119	0.78125	0.7268518518518519	0.8811881188118812
LifeCycle Costing Manual for the Federal Energy Management Program 	0.835820895522388	0.7802197802197802	0.8	0.8055555555555556	0.8656716417910447
Rulemaking Framework Document for General Service Fluorescent Lamps Incandescent Reflector Lamps and General Service Incandescent Lamps	0.8592592592592593	0.8148148148148148	0.8125	0.7546296296296297	0.8962962962962963
Stocks Bonds Bills and Inflation Valuation Edition 2001 Yearbook	0.875	0.8021978021978022	0.825	0.8333333333333334	0.828125
The IESNA Lighting Handbook Reference and Application 9th Edition	0.8461538461538461	0.8241758241758241	0.8125	0.8333333333333334	0.8461538461538461
73 FR 13620 13629	0.9166666666666666	0.967032967032967	0.975	0.9814814814814815	1.0
Energy Efficiency Standards for Consumer Products Fluorescent Lamps Ballast Final Rule	0.872093023255814	0.8681318681318682	0.75625	0.7407407407407407	0.8604651162790697
Energy Independence and Security Act of 2007	0.9090909090909091	0.8021978021978022	0.8625	0.8564814814814815	0.8409090909090909
for Fluorescent Lamps  InstantStart and ColdCathode Types  Dimensional and Electrical Characterstics 	0.8514851485148515	0.8316831683168316	0.7875	0.7916666666666666	0.8712871287128713
for Fluorescent Lamps  RapidStart Types  Dimensional and Electrical Characteristics	0.8313253012048193	0.8571428571428571	0.79375	0.8148148148148148	0.8433734939759037
An Evaluation of Residential CFL HoursofUse Methodologies and Estimates Recommendations for Evaluators and Program Managers	0.8536585365853658	0.8048780487804879	0.76875	0.7731481481481481	0.9105691056910569
nan	0.9444444444444444	0.967032967032967	0.98125	0.9861111111111112	0.8125
