	Available at: http://www.lrc.rpi.edu/ Inputs	Manufacturing and Construction Division, ‘‘New Privately Owned Housing Unit Starts’’	Available at: http://www.census.gov/ Solid State Lighting Multi-Year Program Plan.51 Lastly, using markup based on currently-available LED lamps, DOE was market until after	Department of Energy, Office of Energy Efficiency and Renewable Energy, ‘‘Energy Conservation Program for Commercial and Industrial Equipment: High-Intensity Discharge Lamps Analysis of Potential Energy Savings’’	Scenarios In the
2007 RS Means Electrical Cost Data 	0.4871794871794872	0.4117647058823529	0.4444444444444444	0.4482758620689655	0.33333333333333337
Aggregate State Tax Rates 2008	0.5882352941176471	0.6521739130434783	0.6326530612244898	0.6226415094339622	0.5
Commercial Building Energy Consumption Survey Microlevel data	0.33333333333333337	0.2962962962962963	0.26315789473684215	0.3114754098360656	0.38888888888888884
Commerical Building Energy Consumption Survey	0.31707317073170727	0.3207547169811321	0.2857142857142857	0.30000000000000004	0.37142857142857144
Implicit Price Deflators for Gross Domestic Product	0.3157894736842105	0.4	0.3584905660377359	0.368421052631579	0.375
Manufacturing Energy Consumption Survey	0.4	0.3076923076923077	0.2727272727272727	0.3220338983050848	0.3529411764705882
New Privately Owned Housing Unit Starts	0.36585365853658536	0.16981132075471694	0.3214285714285714	0.33333333333333337	0.4285714285714286
Population Change April 1 2000 to July 1 2000	0.4	0.46153846153846156	0.38181818181818183	0.423728813559322	0.47058823529411764
Recycling Costs	0.5	0.4545454545454546	0.5319148936170213	0.4901960784313726	0.3846153846153846
Residential Energy Consumption Survey	0.35	0.34615384615384615	0.3090909090909091	0.288135593220339	0.4117647058823529
Selected Interest Rates  State and Local Bonds	0.37142857142857144	0.4893617021276596	0.48	0.4444444444444444	0.24137931034482762
Survey of Consumer Finances	0.4444444444444444	0.375	0.4117647058823529	0.4181818181818182	0.33333333333333337
The Data Page Historical Returns on Stocks Bonds and Bills  United States 2006	0.4347826086956522	0.3448275862068966	0.3770491803278688	0.3846153846153846	0.4
Value Line Investment Survey	0.33333333333333337	0.45833333333333337	0.4117647058823529	0.4181818181818182	0.33333333333333337
Annual Energy Outlook 2007 with Projections to 2030	0.37777777777777777	0.4035087719298246	0.30000000000000004	0.375	0.4358974358974359
Energy Conservation Program for Commercial and Industrial Equipment HighIntensity Discharge Lamp Analysis of Potential Energy Savings	0.30612244897959184	0.2786885245901639	0.1875	0.11764705882352944	0.39534883720930236
MultiYear Program Plan FY09 to FY14 SolidState Lighting Research and Development 	0.3877551020408163	0.3770491803278688	0.21875	0.32352941176470584	0.4418604651162791
US Lighting Market Characterization Volume 1 National Lighting Inventory and Energy Consumption Estimate	0.36	0.32258064516129037	0.23076923076923073	0.30434782608695654	0.40909090909090906
Ex parte communication with Edward Yandek of General Electric Company	0.34883720930232553	0.4181818181818182	0.27586206896551724	0.3548387096774194	0.45945945945945943
Public Meeting Transcript No 21 at pg 7172	0.36585365853658536	0.39622641509433965	0.3571428571428571	0.4666666666666667	0.4285714285714286
California Statewide Residential Lighting and Appliance Efficiency Saturation Survey	0.24444444444444446	0.29824561403508776	0.19999999999999996	0.1875	0.3846153846153846
Codes and Standards Enhancement CASE Initiative for PY2008 Title 20 Standards Development	0.33333333333333337	0.4	0.2698412698412699	0.28358208955223885	0.38095238095238093
Full Spectrum QA	0.4375	0.6363636363636364	0.5319148936170213	0.5686274509803921	0.5384615384615384
Measure Life Report Residential and CommercialIndustrial Lighting and HVAC Measures	0.28888888888888886	0.368421052631579	0.30000000000000004	0.25	0.3846153846153846
National MercuryLamp Recycling Rate and Availability of Lamp Recycling Services in the US	0.276595744680851	0.288135593220339	0.19354838709677424	0.24242424242424243	0.41463414634146345
RevisedUpdated EULs Based on Retention and Persistence Studies Results	0.31707317073170727	0.3584905660377359	0.3214285714285714	0.33333333333333337	0.37142857142857144
The Rare Gets More Rare The Rare Gases Market Update	0.48571428571428577	0.574468085106383	0.52	0.5925925925925926	0.4482758620689655
Protected Coating For Energy Efficient Lamp	0.4871794871794872	0.4117647058823529	0.33333333333333337	0.3448275862068966	0.4545454545454546
Circular No A94 Appendix C 	0.3513513513513513	0.4693877551020408	0.5	0.5	0.4838709677419355
Energy Efficiency and Renewable Office of Building Research and Standards	0.3023255813953488	0.3090909090909091	0.24137931034482762	0.25806451612903225	0.3513513513513513
Fluorescent and Incandescent Lamps Energy Conservation Standard Advance Notice of Proposed Rulemaking	0.34693877551020413	0.3114754098360656	0.21875	0.20588235294117652	0.4418604651162791
LifeCycle Costing Manual for the Federal Energy Management Program 	0.39534883720930236	0.3090909090909091	0.24137931034482762	0.29032258064516125	0.4054054054054054
Rulemaking Framework Document for General Service Fluorescent Lamps Incandescent Reflector Lamps and General Service Incandescent Lamps	0.30434782608695654	0.3448275862068966	0.24590163934426235	0.2615384615384615	0.4
Stocks Bonds Bills and Inflation Valuation Edition 2001 Yearbook	0.36363636363636365	0.4642857142857143	0.3220338983050848	0.4285714285714286	0.368421052631579
The IESNA Lighting Handbook Reference and Application 9th Edition	0.34782608695652173	0.4482758620689655	0.3114754098360656	0.29230769230769227	0.4
73 FR 13620 13629	0.9310344827586207	0.9512195121951219	0.9090909090909091	0.9166666666666666	0.9130434782608696
Energy Efficiency Standards for Consumer Products Fluorescent Lamps Ballast Final Rule	0.4222222222222223	0.33333333333333337	0.2666666666666667	0.25	0.4358974358974359
Energy Independence and Security Act of 2007	0.36585365853658536	0.4339622641509434	0.3571428571428571	0.3666666666666667	0.37142857142857144
for Fluorescent Lamps  InstantStart and ColdCathode Types  Dimensional and Electrical Characterstics 	0.33333333333333337	0.368421052631579	0.2666666666666667	0.25	0.33333333333333337
for Fluorescent Lamps  RapidStart Types  Dimensional and Electrical Characteristics	0.37777777777777777	0.368421052631579	0.2666666666666667	0.25	0.3846153846153846
An Evaluation of Residential CFL HoursofUse Methodologies and Estimates Recommendations for Evaluators and Program Managers	0.36170212765957444	0.288135593220339	0.25806451612903225	0.24242424242424243	0.46341463414634143
nan	0.8095238095238095	0.8787878787878788	0.8888888888888888	0.9	0.7333333333333334
