	Department of Energy	Department of Energy Office of General Counsel GC–72 1000 Independence Avenue	Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities Office of Management and Budget Office of Information and Regulatory Affairs	Applying Cost Analyses to Drive Policy that Protects Children’’	36 Ted Gayer and Robert Hahn Designing Environmental Policy Lessons from the Regulation of Mercury Emissions Regulatory Analysis 05–01 AEIBrookings Joint Center For Regulatory Studies Small Business Administration for review	Reasons for the Proposed Rule Part A–1 of Title III of EPCA addresses the energy efficiency of certain types of commercial and industrial equipment	Section 136c 42 USC 6313c4A Hence DOE is proposing in today’s notice energy conservation standards for commercial icecream freezers selfcontained commercial refrigerators commercial freezers and commercial refrigeratorfreezers without doors and remote condensing commercial refrigerators commercial freezers and commercial refrigeratorfreezers 2 Objectives of and Legal Basis for the Proposed Rule methodology used in DOE’s manufacturer impact analysis and its analysis of smallbusiness impacts	Description and Estimate of Compliance Requirements Potential impacts on manufacturers Finding of No Significant Impact FONSI before publishing the final rule on commercial refrigeration equipment pursuant to the National Environmental Policy Act of	Review Under Executive Order 12988 With respect to the review of existing regulations and the promulgation of new regulations section 3a of Executive Order 12988	Review Under Executive Order 12630 DOE has determined under Executive Order 12630 Governmental Actions and Interference with Constitutionally Protected Property Rights	Under the Treasury and General Government Appropriations Act	Review Under Executive Order 13211 Executive Order 13211 Actions Concerning Regulations That Significantly Affect Energy Supply Distribution or Use	Submit electronic comments in WordPerfect Microsoft Word PDF or ASCII file format and avoid the use of special characters or any form of encryption Comments in electronic format should be identified by the docket number EE–2006–STD–0126 andor RIN 1904–AB59 and whenever Issued in	means 1 For equipment without doors and ASHRAE Standard 72–2005 test procedure Calculate compressor energy consumption CEC for each compartment using Table 1 in ANSI ARI Standard 1200–2006 using the evaporator temperature for that compartment The calculated daily energy consumption CDEC for the entire case shall be the sum of the CEC for each compartment fan energy consumption FEC lighting energy consumption LEC anticondensate energy consumption AEC defrost energy consumption DEC and condensate evaporator pan energy consumption PEC as measured in ANSIARI Standard 1200–2006 ii For remote condensing commercial hybrid refrigerators hybrid freezers hybrid refrigeratorfreezers	iii For selfcontained commercial hybrid refrigerators hybrid freezers hybrid refrigeratorfreezers and nonhybrid refrigeratorfreezers measure the total daily energy consumption TDEC for the entire case according to the ANSIASHRAE Standard 72–2005 test procedure	3 For remotecondensing and selfcontained wedge cases measure the CDEC or TDEC according to the ANSI
Case No 051244 2008 WL 2698180	0.8518518518518519	0.7804878048780488	0.8372093023255813	0.8285714285714285	0.7884615384615384	0.8292682926829268	0.78	0.8372093023255813	0.736842105263158	0.7727272727272727	0.8529411764705882	0.813953488372093	0.6875	0.74	0.782608695652174	0.8157894736842105
No 051097 2008 WL 341338	0.9230769230769231	0.8536585365853658	0.9318181818181819	0.9444444444444444	0.8679245283018868	0.9285714285714286	0.8627450980392157	0.9318181818181819	0.7837837837837838	0.8666666666666667	0.9411764705882353	0.8837209302325582	0.8	0.8235294117647058	0.8478260869565217	0.8947368421052632
2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities	0.6764705882352942	0.5454545454545454	0.2222222222222222	0.5897435897435898	0.4285714285714286	0.4878048780487805	0.4375	0.4390243902439024	0.4878048780487805	0.4545454545454546	0.5277777777777778	0.375	0.4285714285714286	0.4285714285714286	0.40909090909090906	0.4473684210526315
Annual Energy Outlook 2007	0.5454545454545454	0.5	0.6216216216216216	0.6451612903225806	0.6938775510204082	0.6388888888888888	0.6808510638297872	0.6216216216216216	0.6388888888888888	0.5897435897435898	0.6206896551724138	0.5945945945945945	0.6938775510204082	0.6666666666666667	0.6097560975609756	0.6470588235294117
SolidState Lighting Research and Development MultiYear Program Plan FY09FY14	0.6666666666666667	0.5348837209302326	0.46341463414634143	0.5	0.48	0.5121951219512195	0.4897959183673469	0.42500000000000004	0.475	0.4772727272727273	0.5142857142857142	0.5116279069767442	0.44897959183673475	0.48	0.5319148936170213	0.5128205128205128
2005 RS Means Electrical Cost Data	0.64	0.5675675675675675	0.5675675675675675	0.5806451612903225	0.5957446808510638	0.6216216216216216	0.6382978723404256	0.5675675675675675	0.6216216216216216	0.575	0.6451612903225806	0.5405405405405406	0.5652173913043479	0.5957446808510638	0.525	0.5454545454545454
EIA Form 826 Annual 1991 through 2006	0.6538461538461539	0.5789473684210527	0.6153846153846154	0.7142857142857143	0.6326530612244898	0.5945945945945945	0.6734693877551021	0.6153846153846154	0.5555555555555556	0.55	0.65625	0.6585365853658536	0.6041666666666667	0.6041666666666667	0.6046511627906976	0.5588235294117647
Estimated Emissions for US Electric Power Industry by State 19902006	0.6451612903225806	0.475	0.475	0.631578947368421	0.4897959183673469	0.4871794871794872	0.46808510638297873	0.475	0.4473684210526315	0.375	0.5294117647058824	0.44999999999999996	0.42553191489361697	0.45833333333333337	0.5111111111111111	0.4864864864864865
Means Costworks 2006 Facility Maintenance  Repair Cost Data	0.6296296296296297	0.5641025641025641	0.5641025641025641	0.53125	0.5625	0.6153846153846154	0.6041666666666667	0.5641025641025641	0.6153846153846154	0.5	0.59375	0.5384615384615384	0.5	0.5625	0.5581395348837209	0.5833333333333333
Mechanical Cost Data 28th Annual Edition	0.6923076923076923	0.5277777777777778	0.5277777777777778	0.48275862068965514	0.625	0.5428571428571429	0.6086956521739131	0.5277777777777778	0.5428571428571429	0.5384615384615384	0.5	0.5	0.5957446808510638	0.625	0.5609756097560976	0.4516129032258065
