	Department of Energy	Department of Energy Office of General Counsel GC–72 1000 Independence Avenue	Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities Office of Management and Budget Office of Information and Regulatory Affairs	Applying Cost Analyses to Drive Policy that Protects Children’’	36 Ted Gayer and Robert Hahn Designing Environmental Policy Lessons from the Regulation of Mercury Emissions Regulatory Analysis 05–01 AEIBrookings Joint Center For Regulatory Studies Small Business Administration for review	Reasons for the Proposed Rule Part A–1 of Title III of EPCA addresses the energy efficiency of certain types of commercial and industrial equipment	Section 136c 42 USC 6313c4A Hence DOE is proposing in today’s notice energy conservation standards for commercial icecream freezers selfcontained commercial refrigerators commercial freezers and commercial refrigeratorfreezers without doors and remote condensing commercial refrigerators commercial freezers and commercial refrigeratorfreezers 2 Objectives of and Legal Basis for the Proposed Rule methodology used in DOE’s manufacturer impact analysis and its analysis of smallbusiness impacts	Description and Estimate of Compliance Requirements Potential impacts on manufacturers Finding of No Significant Impact FONSI before publishing the final rule on commercial refrigeration equipment pursuant to the National Environmental Policy Act of	Review Under Executive Order 12988 With respect to the review of existing regulations and the promulgation of new regulations section 3a of Executive Order 12988	Review Under Executive Order 12630 DOE has determined under Executive Order 12630 Governmental Actions and Interference with Constitutionally Protected Property Rights	Under the Treasury and General Government Appropriations Act	Review Under Executive Order 13211 Executive Order 13211 Actions Concerning Regulations That Significantly Affect Energy Supply Distribution or Use	Submit electronic comments in WordPerfect Microsoft Word PDF or ASCII file format and avoid the use of special characters or any form of encryption Comments in electronic format should be identified by the docket number EE–2006–STD–0126 andor RIN 1904–AB59 and whenever Issued in	means 1 For equipment without doors and ASHRAE Standard 72–2005 test procedure Calculate compressor energy consumption CEC for each compartment using Table 1 in ANSI ARI Standard 1200–2006 using the evaporator temperature for that compartment The calculated daily energy consumption CDEC for the entire case shall be the sum of the CEC for each compartment fan energy consumption FEC lighting energy consumption LEC anticondensate energy consumption AEC defrost energy consumption DEC and condensate evaporator pan energy consumption PEC as measured in ANSIARI Standard 1200–2006 ii For remote condensing commercial hybrid refrigerators hybrid freezers hybrid refrigeratorfreezers	iii For selfcontained commercial hybrid refrigerators hybrid freezers hybrid refrigeratorfreezers and nonhybrid refrigeratorfreezers measure the total daily energy consumption TDEC for the entire case according to the ANSIASHRAE Standard 72–2005 test procedure	3 For remotecondensing and selfcontained wedge cases measure the CDEC or TDEC according to the ANSI
Case No 051244 2008 WL 2698180	0.9	0.8734177215189873	0.945273631840796	0.8507462686567164	0.9469026548672567	0.9328859060402684	0.9759036144578314	0.9558232931726908	0.9316770186335404	0.9401197604790419	0.9	0.9387755102040817	0.9477351916376306	0.9737609329446064	0.950381679389313	0.9191919191919192
No 051097 2008 WL 341338	0.9166666666666666	0.8987341772151899	0.9701492537313433	0.9253731343283582	0.9646017699115044	0.959731543624161	0.9839357429718876	0.9759036144578314	0.937888198757764	0.9520958083832335	0.9333333333333333	0.9523809523809523	0.9686411149825784	0.9810495626822158	0.9694656488549618	0.9494949494949495
2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities	0.8914728682170543	0.7364341085271318	0.4079601990049751	0.7906976744186046	0.7389380530973452	0.7248322147651006	0.8192771084337349	0.7630522088353414	0.7142857142857143	0.7245508982035929	0.7674418604651163	0.7414965986394558	0.7839721254355401	0.8556851311953353	0.7709923664122137	0.7441860465116279
Annual Energy Outlook 2007	0.8846153846153846	0.7974683544303798	0.9203980099502488	0.835820895522388	0.9203539823008849	0.8926174496644296	0.9618473895582329	0.927710843373494	0.9006211180124224	0.9041916167664671	0.8166666666666667	0.8775510204081632	0.9337979094076655	0.9664723032069971	0.9236641221374046	0.8686868686868687
SolidState Lighting Research and Development MultiYear Program Plan FY09FY14	0.8552631578947368	0.8860759493670886	0.8059701492537313	0.8157894736842105	0.8362831858407079	0.8187919463087249	0.8975903614457831	0.8353413654618473	0.7888198757763976	0.8023952095808383	0.7763157894736842	0.8299319727891157	0.8536585365853658	0.9139941690962099	0.8435114503816794	0.7575757575757576
2005 RS Means Electrical Cost Data	0.8823529411764706	0.8481012658227848	0.8955223880597015	0.8059701492537313	0.8982300884955752	0.8791946308724832	0.9477911646586346	0.9036144578313253	0.8881987577639752	0.874251497005988	0.7833333333333333	0.8775510204081632	0.9163763066202091	0.9533527696793003	0.9198473282442748	0.8181818181818182
EIA Form 826 Annual 1991 through 2006	0.8648648648648649	0.8481012658227848	0.9154228855721394	0.835820895522388	0.911504424778761	0.8993288590604027	0.9578313253012049	0.9196787148594378	0.8944099378881988	0.8862275449101796	0.8166666666666667	0.8843537414965986	0.9233449477351916	0.9577259475218659	0.9083969465648855	0.8282828282828283
Estimated Emissions for US Electric Power Industry by State 19902006	0.8529411764705882	0.8354430379746836	0.8407960199004975	0.8823529411764706	0.8230088495575221	0.8322147651006712	0.9096385542168675	0.8353413654618473	0.8198757763975155	0.8143712574850299	0.7941176470588235	0.8027210884353742	0.8501742160278746	0.922740524781341	0.851145038167939	0.797979797979798
Means Costworks 2006 Facility Maintenance  Repair Cost Data	0.864406779661017	0.8227848101265823	0.8159203980099502	0.7910447761194029	0.8451327433628318	0.785234899328859	0.9116465863453815	0.8433734939759037	0.8136645962732919	0.8203592814371258	0.85	0.8163265306122449	0.8780487804878049	0.9271137026239067	0.8740458015267175	0.797979797979798
Mechanical Cost Data 28th Annual Edition	0.825	0.810126582278481	0.8606965174129353	0.7910447761194029	0.8716814159292036	0.8523489932885906	0.9337349397590361	0.8795180722891566	0.8509316770186336	0.8502994011976048	0.8	0.8367346938775511	0.9024390243902439	0.9489795918367347	0.8969465648854962	0.8080808080808081
