	Department of Energy,	Department of Energy, Office of General Counsel, GC–72, 1000 Independence Avenue,	Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities. Office of Management and Budget Office of Information and Regulatory Affairs,	Applying Cost Analyses to Drive Policy that Protects Children’’	36 Ted Gayer and Robert Hahn, Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions, Regulatory Analysis 05–01. AEI-Brookings Joint Center For Regulatory Studies, Small Business Administration for review.	Reasons for the Proposed Rule Part A–1 of Title III of EPCA addresses the energy efficiency of certain types of commercial and industrial equipment.	Section 136(c); 42 U.S.C. 6313(c)(4)(A)) Hence, DOE is proposing in today’s notice, energy conservation standards for commercial ice-cream freezers; self-contained commercial refrigerators, commercial freezers, and commercial refrigerator-freezers without doors; and remote condensing commercial refrigerators, commercial freezers, and commercial refrigeratorfreezers. 2. Objectives of, and Legal Basis for, the Proposed Rule methodology used in DOE’s manufacturer impact analysis and its analysis of small-business impacts.	Description and Estimate of Compliance Requirements Potential impacts on manufacturers, Finding of No Significant Impact (FONSI) before publishing the final rule on commercial refrigeration equipment, pursuant to the National Environmental Policy Act of	Review Under Executive Order 12988 With respect to the review of existing regulations and the promulgation of new regulations, section 3(a) of Executive Order 12988,	Review Under Executive Order 12630 DOE has determined, under Executive Order 12630, Governmental Actions and Interference with Constitutionally Protected Property Rights,	Under the Treasury and General Government Appropriations Act,	Review Under Executive Order 13211 Executive Order 13211, Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,	Submit electronic comments in WordPerfect, Microsoft Word, PDF, or ASCII file format and avoid the use of special characters or any form of encryption. Comments in electronic format should be identified by the docket number EE–2006–STD–0126 and/or RIN 1904–AB59, and whenever Issued in	means: (1) For equipment without doors and ASHRAE Standard 72–2005 test procedure. Calculate compressor energy consumption (CEC) for each compartment using Table 1 in ANSI/ ARI Standard 1200–2006 using the evaporator temperature for that compartment. The calculated daily energy consumption (CDEC) for the entire case shall be the sum of the CEC for each compartment, fan energy consumption (FEC), lighting energy consumption (LEC), anti-condensate energy consumption (AEC), defrost energy consumption (DEC), and condensate evaporator pan energy consumption (PEC) (as measured in ANSI/ARI Standard 1200–2006). (ii) For remote condensing commercial hybrid refrigerators, hybrid freezers, hybrid refrigerator-freezers,	(iii) For self-contained commercial hybrid refrigerators, hybrid freezers, hybrid refrigerator-freezers, and nonhybrid refrigerator-freezers, measure the total daily energy consumption (TDEC) for the entire case according to the ANSI/ASHRAE Standard 72–2005 test procedure.	(3) For remote-condensing and selfcontained wedge cases, measure the CDEC or TDEC according to the ANSI/
Case No 051244 2008 WL 2698180	0.7419354838709677	0.64	0.72	0.7073170731707317	0.6507936507936508	0.7083333333333333	0.639344262295082	0.72	0.5833333333333333	0.6296296296296297	0.7435897435897436	0.6862745098039216	0.5238095238095238	0.5873015873015873	0.6428571428571428	0.6888888888888889
No 051097 2008 WL 341338	0.8571428571428572	0.7446808510638299	0.8723404255319149	0.8947368421052632	0.7666666666666666	0.8666666666666667	0.7586206896551724	0.8723404255319149	0.6444444444444444	0.7647058823529411	0.8888888888888888	0.7916666666666666	0.6666666666666667	0.7	0.7358490566037736	0.8095238095238095
2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities	0.5111111111111111	0.375	0.125	0.4181818181818182	0.2727272727272727	0.32258064516129037	0.28	0.28125	0.32258064516129037	0.2941176470588235	0.3584905660377359	0.23076923076923073	0.2727272727272727	0.2727272727272727	0.2571428571428571	0.288135593220339
Annual Energy Outlook 2007	0.375	0.33333333333333337	0.4509803921568627	0.47619047619047616	0.53125	0.4693877551020408	0.5161290322580645	0.4509803921568627	0.4693877551020408	0.4181818181818182	0.44999999999999996	0.42307692307692313	0.53125	0.5	0.4385964912280702	0.4782608695652174
SolidState Lighting Research and Development MultiYear Program Plan FY09FY14	0.5	0.3650793650793651	0.3015873015873016	0.33333333333333337	0.3157894736842105	0.34426229508196726	0.32432432432432434	0.2698412698412699	0.3114754098360656	0.31343283582089554	0.34615384615384615	0.34375	0.2894736842105263	0.3157894736842105	0.3623188405797102	0.3448275862068966
2005 RS Means Electrical Cost Data	0.47058823529411764	0.39622641509433965	0.39622641509433965	0.40909090909090906	0.4242424242424242	0.4509803921568627	0.46875	0.39622641509433965	0.4509803921568627	0.4035087719298246	0.47619047619047616	0.37037037037037035	0.3939393939393939	0.4242424242424242	0.35593220338983056	0.375
EIA Form 826 Annual 1991 through 2006	0.48571428571428577	0.40740740740740744	0.4444444444444444	0.5555555555555556	0.4626865671641791	0.42307692307692313	0.5076923076923077	0.4444444444444444	0.3846153846153846	0.3793103448275862	0.4883720930232558	0.49090909090909096	0.4328358208955224	0.4328358208955224	0.43333333333333335	0.3877551020408163
Estimated Emissions for US Electric Power Industry by State 19902006	0.47619047619047616	0.3114754098360656	0.3114754098360656	0.46153846153846156	0.32432432432432434	0.3220338983050848	0.3055555555555556	0.3114754098360656	0.288135593220339	0.23076923076923073	0.36	0.29032258064516125	0.2702702702702703	0.29729729729729726	0.34328358208955223	0.3214285714285714
Means Costworks 2006 Facility Maintenance  Repair Cost Data	0.45945945945945943	0.3928571428571429	0.3928571428571429	0.36170212765957444	0.3913043478260869	0.4444444444444444	0.4328358208955224	0.3928571428571429	0.4444444444444444	0.33333333333333337	0.4222222222222223	0.368421052631579	0.33333333333333337	0.3913043478260869	0.3870967741935484	0.4117647058823529
Mechanical Cost Data 28th Annual Edition	0.5294117647058824	0.3584905660377359	0.3584905660377359	0.31818181818181823	0.4545454545454546	0.37254901960784315	0.4375	0.3584905660377359	0.37254901960784315	0.368421052631579	0.33333333333333337	0.33333333333333337	0.4242424242424242	0.4545454545454546	0.38983050847457623	0.29166666666666663
70 FR 28606	0.9090909090909091	0.8048780487804879	0.8536585365853658	0.9375	0.8148148148148149	0.8974358974358975	0.8461538461538461	0.8536585365853658	0.7948717948717949	0.7777777777777778	0.9333333333333333	0.8571428571428572	0.7777777777777778	0.7407407407407407	0.7446808510638299	0.8888888888888888
