	NO PARSCIT CITATIONS
Harkin Boswell want Maytag sale blocked	0.9655172413793104
Justice to Extend MaytagWhirlpool Merger Review	0.9393939393939394
The ShareofMarket Picture	0.8181818181818181
Kytlteknisk Tidskript	0.9090909090909091
Microeconomics 5th ed	0.9565217391304348
Appliances Database—Refrigeration	0.8846153846153846
Clean Air Markets – Data and Maps	0.875
Current Construction Reports C25 – New OneFamily Houses Sold	0.8064516129032258
Federal Reserve Statistical Release Selected Interest Rates Historical Data Instrument CDs secondary market Maturity 6month Frequency Annual Description Average rate on 6month negotiable certificates of deposit secondary market quoted on an investment basis	0.8378378378378378
Federal Reserve Statistical Release Selected Interest Rates Historical Data Instrument Corporate bondsMoody’s Seasoned AAA Frequency Annual Description Moody’s yield on seasoned corporate bonds—all industries AAA	0.8235294117647058
Federal Reserve Statistical Release Selected Interest Rates Historical Data Instrument State and local bonds Maturity 20year Frequency Monthly  Description Bond buyer go 20bond municipal bond index 	0.8947368421052632
Historical Income Tables – Households Table H6	0.8928571428571429
NIST Standard Reference Database 23 NIST Thermodynamic Properties of Refrigerants and Refrigerant Mixtures Database Version 30	0.8
Reference Fluid Thermodynamic and Transport Properties	0.8571428571428572
Table 119 Implicit Price Deflators for Gross Domestic Product	0.8620689655172413
 Form EIA861	0.8333333333333334
An Updated Annual Energy Outlook 2009 Reference Case Reflecting Provisions of the American Recovery and Reinvestment Act and Recent Changes in the Economic Outlook	0.8285714285714285
Appliance Efficiency Regulations	0.88
Application of a Hard Sphere Equation of State to Refrigerants and Refrigerant Mixtures	0.8709677419354839
Canada Gazette Part II Statutory Instruments 2006	0.8076923076923077
Canada’s Energy Efficiency Regulations Residential Wine Chillers or Wine Coolers Final Bulletin	0.9032258064516129
Clean Air Interstate Rule	0.736842105263158
Cold II The revision of energy labeling and minimum energy efficiency standards for domestic refrigeration appliances Final Report	0.8387096774193549
Commercial Building Energy Consumption Survey	0.896551724137931
Commercial Building Energy Consumption Survey 2003 Public Use Data Files	0.8888888888888888
Consumer Products Efficiency Standards Engineering Analysis	0.8148148148148149
Consumer Products Efficiency Standards Engineering Analysis Document	0.8214285714285714
Department of Justice Antitrust Division Statement on the Closing of its Investigation of Whirlpool’s Acquisition of Maytag	0.8529411764705882
ENERGY STAR Criteria for Refrigerators Overview of ENERGY STAR Criteria Setting Process and History of Refrigerator Criteria	0.6896551724137931
ERA 12E EPA Refrigerator Analysis Program User’s Manual Report to the Environmental Protection Agency Atmospheric Pollution Prevention Division	0.8857142857142857
Federal Reserve Statistical Release Selected Interest Rates Historical Data Instrument Corporate bondsMoodys Seasoned AAA Frequency Annual Description Moodys yield on seasoned corporate bonds  all industries AAA	0.8125
Final ENERGY STAR Program Requirements and Criteria for Residential Refrigerators and Freezers	0.7333333333333334
Implementation Report Energy Conservation Standards Activities Submitted Pursuant to Section 141 of the Energy Policy Act of 2005	0.8055555555555556
ImSET Impact of Sector Energy Technologies	0.8518518518518519
Market Analysis of Potential Changes to the ENERGY STAR Criteria for Refrigerators	0.7142857142857143
NOM015ENER2002 Energy Efficiency of Household Refrigerators and Freezers Limits Test Methods and Labeling	0.868421052631579
Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities	0.8484848484848485
Residential Energy Tax Credits	0.8260869565217391
Resources for Appliance Manufacturers and Retailers Appliance Sales Data 1998–2006	0.8787878787878788
Revision of the ENERGY STAR Criteria for Residential Refrigerators and Freezers	0.7586206896551724
Six Common Air Pollutants	0.7619047619047619
State of the art survey of hermetic compressor technology applicable to domestic refrigeratorfreezers	0.935483870967742
Survey of Consumer Finances 1989 1992 1995 1998 2001 2004 2007	0.90625
Allowance Prices 19952004 SO2 Allowance Price Index	0.7857142857142857
Energy Efficiency Domestic refrigerators and freezers	0.962962962962963
ENERGY STAR Refrigerators  Freezers Key Product Criteria	0.7241379310344828
GasFilled Panels – How effectively do GFPs insulate	0.9310344827586207
2008 Lodging Survey Lodging Services Facilities and Trends	0.9
Aggregated RefrigeratorFreezer Incremental Cost Data for DOE RefrigeratorFreezer Energy Efficiency Standards Rulemaking	0.7741935483870968
Aging of Polyurethane Foam Insulation in Simulated Refrigerator Panels – FourYear Results with ThirdGeneration Blowing Agents	0.78125
AHAM Fact Books 1987 1988 1993 1995	0.9230769230769231
An Investigation of Household Refrigerator Cabinet Thermal Loads	0.7931034482758621
Developments in domestic refrigeration and consumer attitudes	0.9642857142857143
State sales tax rates along with combined average city and county rates	0.9333333333333333
Statistical Review	0.8421052631578947
The NPD GroupNPD Houseworld – POS Refrigerators Freezers January – December 2007	0.825
