	NO PARSCIT CITATIONS
Harkin Boswell want Maytag sale blocked	0.9333333333333333
Justice to Extend MaytagWhirlpool Merger Review	0.8857142857142857
The ShareofMarket Picture	0.6923076923076923
Kytlteknisk Tidskript	0.8333333333333334
Microeconomics 5th ed	0.9166666666666666
Appliances Database—Refrigeration	0.7931034482758621
Clean Air Markets – Data and Maps	0.7777777777777778
Current Construction Reports C25 – New OneFamily Houses Sold	0.6756756756756757
Federal Reserve Statistical Release Selected Interest Rates Historical Data Instrument CDs secondary market Maturity 6month Frequency Annual Description Average rate on 6month negotiable certificates of deposit secondary market quoted on an investment basis	0.7209302325581395
Federal Reserve Statistical Release Selected Interest Rates Historical Data Instrument Corporate bondsMoody’s Seasoned AAA Frequency Annual Description Moody’s yield on seasoned corporate bonds—all industries AAA	0.7
Federal Reserve Statistical Release Selected Interest Rates Historical Data Instrument State and local bonds Maturity 20year Frequency Monthly  Description Bond buyer go 20bond municipal bond index 	0.8095238095238095
Historical Income Tables – Households Table H6	0.8064516129032258
NIST Standard Reference Database 23 NIST Thermodynamic Properties of Refrigerants and Refrigerant Mixtures Database Version 30	0.6666666666666667
Reference Fluid Thermodynamic and Transport Properties	0.75
Table 119 Implicit Price Deflators for Gross Domestic Product	0.7575757575757576
 Form EIA861	0.7142857142857143
An Updated Annual Energy Outlook 2009 Reference Case Reflecting Provisions of the American Recovery and Reinvestment Act and Recent Changes in the Economic Outlook	0.7073170731707317
Appliance Efficiency Regulations	0.7857142857142857
Application of a Hard Sphere Equation of State to Refrigerants and Refrigerant Mixtures	0.7714285714285715
Canada Gazette Part II Statutory Instruments 2006	0.6774193548387097
Canada’s Energy Efficiency Regulations Residential Wine Chillers or Wine Coolers Final Bulletin	0.8235294117647058
Clean Air Interstate Rule	0.5833333333333333
Cold II The revision of energy labeling and minimum energy efficiency standards for domestic refrigeration appliances Final Report	0.7222222222222222
Commercial Building Energy Consumption Survey	0.8125
Commercial Building Energy Consumption Survey 2003 Public Use Data Files	0.8
Consumer Products Efficiency Standards Engineering Analysis	0.6875
