	Department of Energy, Building Technologies Program, Mailstop EE–2J, 1000 Independence Avenue,	Delivery/Courier: Ms. Brenda Edwards,	Department of Energy, Energy Efficiency and Renewable Energy,	Department of Energy,	Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions,’’ Regulatory Analysis 05–01, 57795	Statewide Residential Retrofit Single-Family Energy Efficiency Rebate Evaluation (prepared for the California Public Utilities Commission, Pacific Gas And Electric Company, San Diego Gas and Electric Company,	Consumer Product Market Progress Evaluation Report 3 (prepared for Northwest Energy Efficiency Alliance,	was not able to identify consumer 57796 Federal Register /	Forecasting Group. Analysis of Tax Credits for Efficient Equipment	New Product Development: The Pipeline for Future ENERGY STAR Growth,’’	Submitted to Northeast Utilities—Connecticut Light and Power and the United Illuminating Company by	modeled this policy by applying a 4-percent increase in the replacement 57799 Federal Register /	of UMRA authorizes an agency to respond to the content requirements of UMRA in any other statement or analysis that accompanies the supplemental notice. 2 U.S.C. 1532(c). The content requirements of section 202(b) of UMRA relevant to a private sector mandate substantially overlap the economic analysis requirements that apply under section 325(o) of EPCA and Executive Order 12866. The Supplementary Information section of this supplemental notice and the ‘‘Regulatory Impact Analysis’’ Act,	Review Under Executive Order 12630 DOE determined, under Executive Order 12630, ‘‘Governmental Actions and Interference with Constitutionally Protected Property Rights,’’	DOE received no comments concerning Executive Order 12630 in K. Review Under Executive Order 13211 Executive Order 13211, ‘‘Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,’’ 66 FR	Cathy Zoi, Assistant Secretary, Energy Efficiency and Renewable Energy. 1. The authority citation for part 431 continues to read as follows: Authority:
Energy Efficiency Standards for  Consumer Products Residential Central Air  Conditioners and Heat Pumps	0.46153846153846156	0.5333333333333333	0.3571428571428571	0.5	0.4871794871794872	0.2727272727272727	0.28125	0.4375	0.30000000000000004	0.4864864864864865	0.4285714285714286	0.46875	0.4893617021276596	0.4651162790697675	0.48888888888888893	0.33333333333333337
2006 RFC  AWWA Water and Wastewater Rate Survey	0.6666666666666667	0.5714285714285714	0.6875	0.75	0.6904761904761905	0.5277777777777778	0.5833333333333333	0.5625	0.6176470588235294	0.6666666666666667	0.6578947368421053	0.6764705882352942	0.6326530612244898	0.5909090909090908	0.5454545454545454	0.5833333333333333
Analysis of Tax Credits for  Efficient Equipment	0.4736842105263158	0.5	0.4285714285714286	0.52	0.575	0.4285714285714286	0.3939393939393939	0.5	0.11538461538461542	0.5405405405405406	0.5277777777777778	0.53125	0.5	0.5116279069767442	0.5	0.3939393939393939
Assessment of HighPerformance FamilySized  Commercial Clothes Washers	0.5365853658536586	0.625	0.5161290322580645	0.6071428571428572	0.5609756097560976	0.37142857142857144	0.4285714285714286	0.48484848484848486	0.40625	0.5641025641025641	0.4722222222222222	0.46875	0.5510204081632653	0.5652173913043479	0.5531914893617021	0.4722222222222222
California�s Secret  Energy Surplus The Potential for Energy Efficiency	0.4736842105263158	0.5517241379310345	0.48275862068965514	0.52	0.5384615384615384	0.38235294117647056	0.3939393939393939	0.5454545454545454	0.3666666666666667	0.5405405405405406	0.4411764705882353	0.53125	0.5319148936170213	0.5454545454545454	0.5333333333333333	0.34375
Commercial  FamilySized Washers An Initiative Description of  the Consortium for Energy Efficiency	0.4	0.5	0.4375	0.5172413793103448	0.5	0.2571428571428571	0.36111111111111116	0.5	0.33333333333333337	0.46153846153846156	0.4473684210526315	0.48571428571428577	0.4693877551020408	0.4444444444444444	0.4347826086956522	0.4054054054054054
Consumer Product Market Progress  Evaluation Report 3	0.4871794871794872	0.4642857142857143	0.4482758620689655	0.5925925925925926	0.5128205128205128	0.4	0.19999999999999996	0.5151515151515151	0.4375	0.5526315789473684	0.5	0.5	0.5106382978723405	0.4883720930232558	0.5434782608695652	0.4571428571428572
Customer Decision Study Analysis of  Residential Customer Equipment Purchase  Decisions	0.4358974358974359	0.5	0.3793103448275862	0.5185185185185186	0.46153846153846156	0.24242424242424243	0.303030303030303	0.5	0.32258064516129037	0.41666666666666663	0.4444444444444444	0.48484848484848486	0.46808510638297873	0.4418604651162791	0.4666666666666667	0.3529411764705882
Impact Process  and Market Study of the Connecticut Appliance  Retirement Program Overall Report Final	0.41463414634146345	0.5588235294117647	0.5	0.625	0.47619047619047616	0.2777777777777778	0.23529411764705888	0.4722222222222222	0.4	0.475	0.42105263157894735	0.4571428571428572	0.41666666666666663	0.4222222222222223	0.44680851063829785	0.42105263157894735
New Product  Development The Pipeline for Future ENERGY  STAR Growth	0.5	0.6176470588235294	0.46875	0.6451612903225806	0.5581395348837209	0.2857142857142857	0.38888888888888884	0.5675675675675675	0.4571428571428572	0.09677419354838712	0.55	0.5945945945945945	0.5769230769230769	0.5	0.4893617021276596	0.4736842105263158
Statewide  Residential Retrofit SingleFamily Energy Efficiency  Rebate Evaluation	0.525	0.4642857142857143	0.2692307692307693	0.5384615384615384	0.5128205128205128	0.25	0.36363636363636365	0.25	0.3870967741935484	0.4722222222222222	0.4571428571428572	0.4	0.5416666666666667	0.5227272727272727	0.4418604651162791	0.36363636363636365
Energy efficiency and consumption�the rebound  effect�a survey	0.45945945945945943	0.5357142857142857	0.34615384615384615	0.4347826086956522	0.5263157894736843	0.36363636363636365	0.375	0.43333333333333335	0.4	0.5675675675675675	0.47058823529411764	0.4137931034482759	0.5531914893617021	0.5348837209302326	0.5227272727272727	0.4242424242424242
