	Department of Energy, Building Technologies Program, Mailstop EE–2J, 1000 Independence Avenue,	Delivery/Courier: Ms. Brenda Edwards,	Department of Energy, Energy Efficiency and Renewable Energy,	Department of Energy,	Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions,’’ Regulatory Analysis 05–01, 57795	Statewide Residential Retrofit Single-Family Energy Efficiency Rebate Evaluation (prepared for the California Public Utilities Commission, Pacific Gas And Electric Company, San Diego Gas and Electric Company,	Consumer Product Market Progress Evaluation Report 3 (prepared for Northwest Energy Efficiency Alliance,	was not able to identify consumer 57796 Federal Register /	Forecasting Group. Analysis of Tax Credits for Efficient Equipment	New Product Development: The Pipeline for Future ENERGY STAR Growth,’’	Submitted to Northeast Utilities—Connecticut Light and Power and the United Illuminating Company by	modeled this policy by applying a 4-percent increase in the replacement 57799 Federal Register /	of UMRA authorizes an agency to respond to the content requirements of UMRA in any other statement or analysis that accompanies the supplemental notice. 2 U.S.C. 1532(c). The content requirements of section 202(b) of UMRA relevant to a private sector mandate substantially overlap the economic analysis requirements that apply under section 325(o) of EPCA and Executive Order 12866. The Supplementary Information section of this supplemental notice and the ‘‘Regulatory Impact Analysis’’ Act,	Review Under Executive Order 12630 DOE determined, under Executive Order 12630, ‘‘Governmental Actions and Interference with Constitutionally Protected Property Rights,’’	DOE received no comments concerning Executive Order 12630 in K. Review Under Executive Order 13211 Executive Order 13211, ‘‘Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,’’ 66 FR	Cathy Zoi, Assistant Secretary, Energy Efficiency and Renewable Energy. 1. The authority citation for part 431 continues to read as follows: Authority:
Energy Efficiency Standards for  Consumer Products Residential Central Air  Conditioners and Heat Pumps	0.7961165048543689	0.8155339805825242	0.7864077669902912	0.883495145631068	0.8151260504201681	0.7044334975369458	0.8543689320388349	0.7475728155339806	0.7766990291262136	0.8349514563106796	0.8737864077669902	0.8155339805825242	0.8562628336755647	0.76	0.793859649122807	0.7517241379310344
2006 RFC  AWWA Water and Wastewater Rate Survey	0.8586956521739131	0.8297872340425532	0.8135593220338984	0.851063829787234	0.8571428571428571	0.8768472906403941	0.803921568627451	0.8421052631578947	0.8	0.8333333333333334	0.801980198019802	0.8085106382978723	0.9322381930184805	0.8628571428571429	0.8859649122807017	0.8344827586206897
Analysis of Tax Credits for  Efficient Equipment	0.7934782608695652	0.8125	0.7457627118644068	0.8333333333333334	0.8235294117647058	0.8472906403940886	0.7647058823529411	0.7894736842105263	0.2923076923076923	0.7916666666666666	0.8118811881188119	0.776595744680851	0.917864476386037	0.8685714285714285	0.881578947368421	0.8206896551724138
Assessment of HighPerformance FamilySized  Commercial Clothes Washers	0.7934782608695652	0.8115942028985508	0.7391304347826086	0.8405797101449275	0.8067226890756303	0.8029556650246306	0.8235294117647058	0.782608695652174	0.855072463768116	0.9027777777777778	0.801980198019802	0.7978723404255319	0.893223819301848	0.8285714285714286	0.8464912280701754	0.7931034482758621
California�s Secret  Energy Surplus The Potential for Energy Efficiency	0.782608695652174	0.8028169014084507	0.7323943661971831	0.7887323943661971	0.7983193277310925	0.7931034482758621	0.6568627450980392	0.7887323943661971	0.7323943661971831	0.875	0.7920792079207921	0.776595744680851	0.891170431211499	0.8057142857142857	0.8245614035087719	0.7172413793103448
Commercial  FamilySized Washers An Initiative Description of  the Consortium for Energy Efficiency	0.8775510204081632	0.8469387755102041	0.7755102040816326	0.826530612244898	0.7983193277310925	0.7586206896551724	0.6862745098039216	0.7857142857142857	0.7244897959183674	0.826530612244898	0.8514851485148515	0.8061224489795918	0.8583162217659137	0.7771428571428571	0.793859649122807	0.7586206896551724
Consumer Product Market Progress  Evaluation Report 3	0.782608695652174	0.7547169811320755	0.864406779661017	0.7924528301886793	0.8067226890756303	0.8522167487684729	0.5	0.8596491228070176	0.7846153846153846	0.7916666666666666	0.801980198019802	0.7872340425531915	0.9117043121149897	0.8285714285714286	0.8596491228070176	0.8275862068965517
Customer Decision Study Analysis of  Residential Customer Equipment Purchase  Decisions	0.8260869565217391	0.8275862068965517	0.7931034482758621	0.8620689655172413	0.7815126050420168	0.7931034482758621	0.7843137254901961	0.7126436781609196	0.6206896551724138	0.8390804597701149	0.7920792079207921	0.723404255319149	0.86652977412731	0.8	0.8157894736842105	0.7655172413793103
Impact Process  and Market Study of the Connecticut Appliance  Retirement Program Overall Report Final	0.8333333333333334	0.8431372549019608	0.7843137254901961	0.8627450980392157	0.8151260504201681	0.7783251231527094	0.8137254901960784	0.7352941176470589	0.7745098039215687	0.7745098039215687	0.7941176470588235	0.7647058823529411	0.8542094455852156	0.7828571428571428	0.8114035087719298	0.7724137931034483
New Product  Development The Pipeline for Future ENERGY  STAR Growth	0.8043478260869565	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.7983193277310925	0.8275862068965517	0.7058823529411765	0.8088235294117647	0.8529411764705882	0.1111111111111111	0.801980198019802	0.7978723404255319	0.8993839835728953	0.8114285714285714	0.8552631578947368	0.7862068965517242
