	Department of Energy Building Technologies Program Mailstop EE–2J 1000 Independence Avenue	DeliveryCourier Ms Brenda Edwards	Department of Energy Energy Efficiency and Renewable Energy	Department of Energy	Designing Environmental Policy Lessons from the Regulation of Mercury Emissions’’ Regulatory Analysis 05–01 57795	Statewide Residential Retrofit SingleFamily Energy Efficiency Rebate Evaluation prepared for the California Public Utilities Commission Pacific Gas And Electric Company San Diego Gas and Electric Company	Consumer Product Market Progress Evaluation Report 3 prepared for Northwest Energy Efficiency Alliance	was not able to identify consumer 57796 Federal Register 	Forecasting Group Analysis of Tax Credits for Efficient Equipment	New Product Development The Pipeline for Future ENERGY STAR Growth’’	Submitted to Northeast Utilities—Connecticut Light and Power and the United Illuminating Company by	modeled this policy by applying a 4percent increase in the replacement 57799 Federal Register 	of UMRA authorizes an agency to respond to the content requirements of UMRA in any other statement or analysis that accompanies the supplemental notice 2 USC 1532c The content requirements of section 202b of UMRA relevant to a private sector mandate substantially overlap the economic analysis requirements that apply under section 325o of EPCA and Executive Order 12866 The Supplementary Information section of this supplemental notice and the ‘‘Regulatory Impact Analysis’’ Act	Review Under Executive Order 12630 DOE determined under Executive Order 12630 ‘‘Governmental Actions and Interference with Constitutionally Protected Property Rights’’	DOE received no comments concerning Executive Order 12630 in K Review Under Executive Order 13211 Executive Order 13211 ‘‘Actions Concerning Regulations That Significantly Affect Energy Supply Distribution or Use’’ 66 FR	Cathy Zoi Assistant Secretary Energy Efficiency and Renewable Energy 1 The authority citation for part 431 continues to read as follows Authority
Energy Efficiency Standards for  Consumer Products Residential Central Air  Conditioners and Heat Pumps	0.30000000000000004	0.36363636363636365	0.21739130434782605	0.33333333333333337	0.3220338983050848	0.1578947368421053	0.1636363636363637	0.28	0.17647058823529416	0.3214285714285714	0.2727272727272727	0.30612244897959184	0.323943661971831	0.303030303030303	0.32352941176470584	0.19999999999999996
2006 RFC  AWWA Water and Wastewater Rate Survey	0.5	0.4	0.5238095238095238	0.6	0.5272727272727273	0.3584905660377359	0.4117647058823529	0.3913043478260869	0.44680851063829785	0.5	0.4901960784313726	0.5111111111111111	0.4626865671641791	0.4193548387096774	0.375	0.4117647058823529
Analysis of Tax Credits for  Efficient Equipment	0.31034482758620685	0.33333333333333337	0.2727272727272727	0.3513513513513513	0.4035087719298246	0.2727272727272727	0.24528301886792447	0.33333333333333337	0.061224489795918324	0.37037037037037035	0.3584905660377359	0.36170212765957444	0.33333333333333337	0.34375	0.33333333333333337	0.24528301886792447
Assessment of HighPerformance FamilySized  Commercial Clothes Washers	0.3666666666666667	0.4545454545454546	0.34782608695652173	0.4358974358974359	0.38983050847457623	0.22807017543859653	0.2727272727272727	0.31999999999999995	0.2549019607843137	0.3928571428571429	0.3090909090909091	0.30612244897959184	0.3802816901408451	0.3939393939393939	0.38235294117647056	0.3090909090909091
California�s Secret  Energy Surplus The Potential for Energy Efficiency	0.31034482758620685	0.38095238095238093	0.31818181818181823	0.3513513513513513	0.368421052631579	0.23636363636363633	0.24528301886792447	0.375	0.22448979591836737	0.37037037037037035	0.28301886792452835	0.36170212765957444	0.3623188405797102	0.375	0.36363636363636365	0.2075471698113207
Commercial  FamilySized Washers An Initiative Description of  the Consortium for Energy Efficiency	0.25	0.33333333333333337	0.28	0.34883720930232553	0.33333333333333337	0.14754098360655743	0.22033898305084743	0.33333333333333337	0.19999999999999996	0.30000000000000004	0.288135593220339	0.3207547169811321	0.30666666666666664	0.2857142857142857	0.2777777777777778	0.2542372881355932
Consumer Product Market Progress  Evaluation Report 3	0.3220338983050848	0.3023255813953488	0.28888888888888886	0.42105263157894735	0.3448275862068966	0.25	0.11111111111111116	0.34693877551020413	0.28	0.38181818181818183	0.33333333333333337	0.33333333333333337	0.34285714285714286	0.32307692307692304	0.3731343283582089	0.2962962962962963
Customer Decision Study Analysis of  Residential Customer Equipment Purchase  Decisions	0.2786885245901639	0.33333333333333337	0.23404255319148937	0.35	0.30000000000000004	0.13793103448275867	0.1785714285714286	0.33333333333333337	0.1923076923076923	0.26315789473684215	0.2857142857142857	0.31999999999999995	0.3055555555555556	0.28358208955223885	0.30434782608695654	0.2142857142857143
Impact Process  and Market Study of the Connecticut Appliance  Retirement Program Overall Report Final	0.2615384615384615	0.3877551020408163	0.33333333333333337	0.4545454545454546	0.3125	0.16129032258064513	0.1333333333333333	0.3090909090909091	0.25	0.3114754098360656	0.2666666666666667	0.2962962962962963	0.26315789473684215	0.2676056338028169	0.28767123287671237	0.2666666666666667
New Product  Development The Pipeline for Future ENERGY  STAR Growth	0.33333333333333337	0.44680851063829785	0.30612244897959184	0.47619047619047616	0.3870967741935484	0.16666666666666663	0.24137931034482762	0.39622641509433965	0.2962962962962963	0.05084745762711862	0.3793103448275862	0.42307692307692313	0.4054054054054054	0.33333333333333337	0.323943661971831	0.31034482758620685
Statewide  Residential Retrofit SingleFamily Energy Efficiency  Rebate Evaluation	0.35593220338983056	0.3023255813953488	0.15555555555555556	0.368421052631579	0.3448275862068966	0.1428571428571429	0.2222222222222222	0.1428571428571429	0.24	0.3090909090909091	0.2962962962962963	0.25	0.37142857142857144	0.3538461538461538	0.28358208955223885	0.2222222222222222
Energy efficiency and consumption�the rebound  effect�a survey	0.29824561403508776	0.36585365853658536	0.2093023255813954	0.2777777777777778	0.3571428571428571	0.2222222222222222	0.23076923076923073	0.276595744680851	0.25	0.39622641509433965	0.3076923076923077	0.26086956521739135	0.38235294117647056	0.3650793650793651	0.3538461538461538	0.2692307692307693
