	Clash in Alabama Over Tennessee Coal Ash‚Äù The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of ‚ÄúAttachment A Guidance for Implementing the Federalism 1 Test‚Äù to EPA‚Äôs Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Coal Ash Disposal Varies From Company to Company	0.5666666666666667	0.46153846153846156	0.46153846153846156	0.5476190476190477	0.6734693877551021	0.5357142857142857	0.6363636363636364	0.52	0.5384615384615384	0.625	0.5	0.6190476190476191
Shocking Electricity Prices Follow Deregulation	0.6470588235294117	0.34615384615384615	0.34615384615384615	0.47619047619047616	0.6122448979591837	0.5806451612903225	0.5681818181818181	0.5185185185185186	0.4814814814814815	0.53125	0.4444444444444444	0.5476190476190477
Coal Plant OM Retrofit FlyashHandling System Pays Dividends	0.6111111111111112	0.4838709677419355	0.4838709677419355	0.4545454545454546	0.56	0.5882352941176471	0.6041666666666667	0.48275862068965514	0.4482758620689655	0.5428571428571429	0.4666666666666667	0.5227272727272727
Arsenic in Drinking Water 2001 Update	0.7428571428571429	0.5357142857142857	0.5357142857142857	0.6808510638297872	0.6799999999999999	0.5	0.6444444444444444	0.5384615384615384	0.5	0.6363636363636364	0.6206896551724138	0.627906976744186
Definitions of “inactive” and “abandoned” coal waste impoundments	0.6363636363636364	0.4444444444444444	0.4444444444444444	0.5681818181818181	0.6326530612244898	0.4642857142857143	0.6222222222222222	0.5	0.5185185185185186	0.5161290322580645	0.42307692307692313	0.6046511627906976
2007 Economic Census	0.7333333333333334	0.7037037037037037	0.7037037037037037	0.7272727272727273	0.6956521739130435	0.6153846153846154	0.75	0.6086956521739131	0.625	0.6071428571428572	0.64	0.641025641025641
EIA767	0.9642857142857143	1.0	1.0	0.9069767441860466	0.9148936170212766	0.9615384615384616	0.9302325581395349	1.0	1.0	0.9285714285714286	1.0	0.926829268292683
EIA860 	0.9310344827586207	0.962962962962963	0.962962962962963	0.9111111111111111	0.8723404255319149	0.9259259259259259	0.9090909090909091	0.9130434782608696	0.9166666666666666	0.9333333333333333	0.9615384615384616	0.9047619047619048
EIA923	0.9655172413793104	1.0	1.0	0.9090909090909091	0.8695652173913043	0.9230769230769231	0.8809523809523809	1.0	1.0	0.9310344827586207	1.0	0.9024390243902439
Electric Power Monthly 	0.7	0.4347826086956522	0.5	0.6744186046511628	0.7021276595744681	0.6785714285714286	0.6976744186046512	0.5	0.5833333333333333	0.6666666666666667	0.6	0.65
EngineeringNews Record Construction Cost Index	0.696969696969697	0.5714285714285714	0.5714285714285714	0.5476190476190477	0.6170212765957447	0.5357142857142857	0.6363636363636364	0.6296296296296297	0.5925925925925926	0.625	0.6071428571428572	0.6190476190476191
RCRA	0.92	1.0	1.0	0.9285714285714286	0.9347826086956522	0.9583333333333334	0.9767441860465116	1.0	1.0	1.0	1.0	0.9230769230769231
RCRA Biennial Hazardous Waste Reports	0.6666666666666667	0.5862068965517242	0.5862068965517242	0.6521739130434783	0.653061224489796	0.4444444444444444	0.6739130434782609	0.5925925925925926	0.6071428571428572	0.6363636363636364	0.5714285714285714	0.5952380952380952
RCRA National Analysis Biennial Hazardous Waste Report	0.6470588235294117	0.5666666666666667	0.5666666666666667	0.6086956521739131	0.64	0.48275862068965514	0.6304347826086957	0.6206896551724138	0.6333333333333333	0.6571428571428571	0.5517241379310345	0.5813953488372092
US Geological Survey 2006 “Quarternary Fault and Fold Database for the United States”	0.7142857142857143	0.5428571428571429	0.5	0.56	0.5925925925925926	0.5555555555555556	0.5510204081632653	0.5454545454545454	0.46875	0.4285714285714286	0.48484848484848486	0.5625
“Steam Electric Power Generating Point Source Category 20072008 Detailed Study Report	0.7380952380952381	0.48484848484848486	0.48484848484848486	0.4893617021276596	0.4693877551020408	0.5428571428571429	0.6	0.5757575757575757	0.5454545454545454	0.5405405405405406	0.5151515151515151	0.41860465116279066
2008 3rd quarter estimate of 2008 US GDP	0.7894736842105263	0.65625	0.65625	0.6666666666666667	0.64	0.625	0.6595744680851063	0.5714285714285714	0.5862068965517242	0.6176470588235294	0.6	0.6136363636363636
