	Clash in Alabama Over Tennessee Coal Ash‚Äù The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of ‚ÄúAttachment A Guidance for Implementing the Federalism 1 Test‚Äù to EPA‚Äôs Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Coal Ash Disposal Varies From Company to Company	0.8064516129032258	0.7727272727272727	0.782608695652174	0.9157667386609071	0.9411764705882353	0.7840909090909091	0.881578947368421	0.8679245283018868	0.8333333333333334	0.8135593220338984	0.7934782608695652	0.8714859437751004
Shocking Electricity Prices Follow Deregulation	0.7903225806451613	0.803030303030303	0.8115942028985508	0.9157667386609071	0.9411764705882353	0.7954545454545454	0.881578947368421	0.7735849056603774	0.75	0.847457627118644	0.7934782608695652	0.8755020080321285
Coal Plant OM Retrofit FlyashHandling System Pays Dividends	0.8064516129032258	0.7575757575757576	0.7971014492753623	0.9071274298056156	0.9294117647058824	0.7613636363636364	0.8552631578947368	0.8305084745762712	0.85	0.864406779661017	0.7717391304347826	0.8674698795180723
Arsenic in Drinking Water 2001 Update	0.8225806451612904	0.8333333333333334	0.8260869565217391	0.9395248380129589	0.9529411764705882	0.8181818181818182	0.8947368421052632	0.7547169811320755	0.7666666666666667	0.8305084745762712	0.8369565217391305	0.8995983935742972
Definitions of “inactive” and “abandoned” coal waste impoundments	0.8153846153846154	0.7575757575757576	0.7681159420289855	0.896328293736501	0.9161764705882353	0.7272727272727273	0.8289473684210527	0.7538461538461538	0.8	0.8	0.7717391304347826	0.8273092369477911
2007 Economic Census	0.8870967741935484	0.8484848484848485	0.855072463768116	0.9676025917926566	0.9735294117647059	0.8636363636363636	0.9385964912280702	0.8301886792452831	0.85	0.864406779661017	0.8695652173913043	0.927710843373494
EIA767	0.9838709677419355	1.0	1.0	0.9935205183585313	0.9955882352941177	0.9886363636363636	0.9912280701754386	1.0	1.0	0.9661016949152542	1.0	0.9919678714859438
EIA860 	0.967741935483871	0.9848484848484849	0.9855072463768116	0.9935205183585313	0.9926470588235294	0.9772727272727273	0.9868421052631579	0.9622641509433962	0.9666666666666667	0.9830508474576272	0.9891304347826086	0.9879518072289156
EIA923	0.9838709677419355	1.0	1.0	0.9956803455723542	0.9926470588235294	0.9886363636363636	0.9912280701754386	1.0	1.0	0.9830508474576272	1.0	0.9919678714859438
Electric Power Monthly 	0.8548387096774194	0.8333333333333334	0.855072463768116	0.9546436285097192	0.9676470588235294	0.8295454545454546	0.9210526315789473	0.7547169811320755	0.8	0.8305084745762712	0.8478260869565217	0.927710843373494
