	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Coal Ash Disposal Varies From Company to Company	0.39534883720930236	0.30000000000000004	0.30000000000000004	0.3770491803278688	0.5076923076923077	0.36585365853658536	0.4666666666666667	0.3513513513513513	0.368421052631579	0.4545454545454546	0.33333333333333337	0.4482758620689655
Shocking Electricity Prices Follow Deregulation	0.4782608695652174	0.2093023255813954	0.2093023255813954	0.3125	0.4411764705882353	0.40909090909090906	0.39682539682539686	0.35	0.31707317073170727	0.36170212765957444	0.2857142857142857	0.3770491803278688
Coal Plant OM Retrofit FlyashHandling System Pays Dividends	0.43999999999999995	0.3191489361702128	0.3191489361702128	0.2941176470588235	0.38888888888888884	0.41666666666666663	0.4328358208955224	0.31818181818181823	0.28888888888888886	0.37254901960784315	0.30434782608695654	0.3538461538461538
Arsenic in Drinking Water 2001 Update	0.5909090909090908	0.36585365853658536	0.36585365853658536	0.5161290322580645	0.5151515151515151	0.33333333333333337	0.47540983606557374	0.368421052631579	0.33333333333333337	0.4666666666666667	0.44999999999999996	0.4576271186440678
Definitions of “inactive” and “abandoned” coal waste impoundments	0.4666666666666667	0.2857142857142857	0.2857142857142857	0.39682539682539686	0.4626865671641791	0.3023255813953488	0.4516129032258065	0.33333333333333337	0.35	0.34782608695652173	0.2682926829268293	0.43333333333333335
2007 Economic Census	0.5789473684210527	0.5428571428571429	0.5428571428571429	0.5714285714285714	0.5333333333333333	0.4444444444444444	0.6	0.4375	0.4545454545454546	0.4358974358974359	0.47058823529411764	0.4716981132075472
EIA767	0.9310344827586207	1.0	1.0	0.8297872340425532	0.8431372549019608	0.9259259259259259	0.8695652173913043	1.0	1.0	0.8666666666666667	1.0	0.8636363636363636
EIA860 	0.8709677419354839	0.9285714285714286	0.9285714285714286	0.8367346938775511	0.7735849056603774	0.8620689655172413	0.8333333333333334	0.84	0.8461538461538461	0.875	0.9259259259259259	0.8260869565217391
EIA923	0.9333333333333333	1.0	1.0	0.8333333333333334	0.7692307692307692	0.8571428571428572	0.7872340425531915	1.0	1.0	0.8709677419354839	1.0	0.8222222222222222
Electric Power Monthly 	0.5384615384615384	0.2777777777777778	0.33333333333333337	0.5087719298245614	0.540983606557377	0.5135135135135135	0.5357142857142857	0.33333333333333337	0.4117647058823529	0.5	0.4285714285714286	0.4814814814814815
EngineeringNews Record Construction Cost Index	0.5348837209302326	0.4	0.4	0.3770491803278688	0.4461538461538461	0.36585365853658536	0.4666666666666667	0.45945945945945943	0.42105263157894735	0.4545454545454546	0.4358974358974359	0.4482758620689655
RCRA	0.8518518518518519	1.0	1.0	0.8666666666666667	0.8775510204081632	0.92	0.9545454545454546	1.0	1.0	1.0	1.0	0.8571428571428572
RCRA Biennial Hazardous Waste Reports	0.5	0.41463414634146345	0.41463414634146345	0.4838709677419355	0.48484848484848486	0.2857142857142857	0.5081967213114754	0.42105263157894735	0.4358974358974359	0.4666666666666667	0.4	0.423728813559322
RCRA National Analysis Biennial Hazardous Waste Report	0.4782608695652174	0.39534883720930236	0.39534883720930236	0.4375	0.47058823529411764	0.31818181818181823	0.46031746031746035	0.44999999999999996	0.46341463414634143	0.4893617021276596	0.38095238095238093	0.4098360655737705
US Geological Survey 2006 “Quarternary Fault and Fold Database for the United States”	0.5555555555555556	0.37254901960784315	0.33333333333333337	0.38888888888888884	0.42105263157894735	0.3846153846153846	0.3802816901408451	0.375	0.30612244897959184	0.2727272727272727	0.31999999999999995	0.3913043478260869
“Steam Electric Power Generating Point Source Category 20072008 Detailed Study Report	0.5849056603773585	0.31999999999999995	0.31999999999999995	0.323943661971831	0.30666666666666664	0.37254901960784315	0.4285714285714286	0.4042553191489362	0.375	0.37037037037037035	0.34693877551020413	0.2647058823529411
2008 3rd quarter estimate of 2008 US GDP	0.6521739130434783	0.4883720930232558	0.4883720930232558	0.5	0.47058823529411764	0.4545454545454546	0.4920634920634921	0.4	0.41463414634146345	0.44680851063829785	0.4285714285714286	0.4426229508196722
2020 Corrective Action Universe	0.4871794871794872	0.5	0.5	0.5789473684210527	0.540983606557377	0.3513513513513513	0.5714285714285714	0.33333333333333337	0.3529411764705882	0.44999999999999996	0.4285714285714286	0.5185185185185186
Analysis of NonUtility Coal Combustion Waste Generation and Management Based on the 2001 CIBO Voluntary Survey	0.4137931034482759	0.4181818181818182	0.38181818181818183	0.3157894736842105	0.32499999999999996	0.3928571428571429	0.33333333333333337	0.3846153846153846	0.3207547169811321	0.35593220338983056	0.37037037037037035	0.31506849315068497
Annual Energy Outlook 2010 Early Release	0.5	0.41463414634146345	0.41463414634146345	0.4516129032258065	0.4242424242424242	0.38095238095238093	0.4426229508196722	0.42105263157894735	0.3846153846153846	0.4666666666666667	0.4	0.35593220338983056
Approaches to Assessing the Benefits Costs and Impacts of the RCRA Subtitle C Program	0.43999999999999995	0.23404255319148937	0.23404255319148937	0.2647058823529411	0.3055555555555556	0.29166666666666663	0.34328358208955223	0.31818181818181823	0.28888888888888886	0.2941176470588235	0.26086956521739135	0.2615384615384615
azardous Waste Progress Under the Corrective Action Program is Limited But New Initiatives May Accelerate Cleanups	0.4181818181818182	0.2692307692307693	0.3076923076923077	0.31506849315068497	0.3246753246753247	0.28301886792452835	0.33333333333333337	0.34693877551020413	0.36	0.3571428571428571	0.2941176470588235	0.34285714285714286
Characterization of Coal Combustion Residues from Electric Utilities – Leaching and Characterization Data	0.48	0.3191489361702128	0.3191489361702128	0.3529411764705882	0.36111111111111116	0.33333333333333337	0.4029850746268657	0.36363636363636365	0.33333333333333337	0.2941176470588235	0.30434782608695654	0.32307692307692304
Characterization of Coal Combustion Residues from Electric Utilities Using Wet Scrubbers for Multipollutant Control	0.4901960784313726	0.29166666666666663	0.25	0.33333333333333337	0.34246575342465757	0.30612244897959184	0.38235294117647056	0.37777777777777777	0.30434782608695654	0.3076923076923077	0.276595744680851	0.2727272727272727
Characterization of MercuryEnriched Coal Combustion Residues from Electric Utilities Using Enhanced Sorbents for Mercury Control	0.48	0.276595744680851	0.23404255319148937	0.32352941176470584	0.33333333333333337	0.33333333333333337	0.3731343283582089	0.36363636363636365	0.28888888888888886	0.2941176470588235	0.26086956521739135	0.2615384615384615
Coal Combustion Residuals 	0.4358974358974359	0.33333333333333337	0.33333333333333337	0.4736842105263158	0.5081967213114754	0.3513513513513513	0.5357142857142857	0.33333333333333337	0.3529411764705882	0.35	0.37142857142857144	0.4444444444444444
