	Analysis of Piping Replacement Thresholds Appendix D Methodology for Calculating Compliance Costs Appendix E Access Model Structure and Specifications Appendix F Analysis of Statistical Relationship between State Regulatory Programs and Confirmed Release Data Appendix G Expert Consultation Selection and Data Collection Methodology Appendix H Expert Consultation Responses Appendix I Methodology for Calculating Avoided Cleanup Costs Appendix J Estimation of Future UST System and Release Universes for the Alternative 62 United States Department of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Sources Cited quot2005 US Motor Fuel Station Count 168987quot	Association of State and Territorial Solid Waste Management Officials State Fund Survey Results	Committee on Vehicle Emission Inspection and Maintenance Programs Evaluating Vehicle Emissions Inspection and Maintenance Programs	Analyzing Gasoline Demand Elasticities A Survey” Energy Economics	Petroleum Hydrocarbon Vapor Intrusion Investigations Current General Practice” Leaking Underground Storage Tanks	memoranda and analyses submitted under Contract EPW05018 “US Environmental Protection Agency Underground Storage TanksLeaking Underground Storage Tanks Analytical and Technical Support” Eckert Andrew and	Methodology Statement ESRI Data—Business Locations and Business Summary” httpwwwesricomlibrarywhitepaperspdfsinfousabusinessdatabasepdf ICF quotEconomic Impact Analysis of Additional Mechanisms for Local Government Entities to Demonstrate Financial Responsibility for Underground Storage Tanksquot	Executive Order 12866 “Regulatory Planning and Review”	The Economics of Price Zones and Territorial Restrictions in Gasoline Marketing” Federal Trade Commission	The Measurement of Environmental and Resource Values Theory and Methods Resources for the Future	Determinants of Storelevel Price Elasticity”	Approaches to Assessing the Benefits Costs	Detailed Assessment of UST Universe by Tank Purpose and Designquot Work Assignment 125 Task 6	Methodology for Secondary Containment for Pipingquot Work Assignment 119 Task 5	Methodology to Estimate Avoided Costs Associated with a Typical UST Leakquot	Preliminary Assessment and Scoping of Data Related to Potential Revisions to the UST Regulations” Work Assignment 125 Tasks	Entities Screening Analysis of UST Universe by Industry Sector” Work Assignment 325 Task 4	The Economics of Gasoline Retailing Petroleum Distribution and Retailing Issues in the USquot	MarketFacts	National Association of Convenience Stores	of Convenience Stores “Consumer Fuels Report” February 2008 as cited in “Testimony of Bill Douglass Douglass Distributing Company	of Convenience Stores “How do retailers get – and sell – gasoline”	of Convenience Stores “Who sells gasoline in the United States”	Department of Environmental Services quotUnderground Storage Tank Programquot	Benzene toxicity and risk assessment 19721992 implications for future regulation” Environ Health Perspect	A Preliminary Meta Analysis of Contingent Values for Ground Water Revisited” In The Economic Value of Water Quality	MarketFacts 2008quot National Petroleum News Rhode Island Department of Environmental Management Underground Storage Tank Environmental Results Program Final Report Tables IIV Risk Management Association Statement Studies Sector 447	Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations”	Distributing Company on behalf of the National Association of Convenience Stores before the House Judiciary Committee AntiTrust Task Force Hearing to Examine the Consumer Effects of Rising Gas Prices	of Labor Statistics quotEmployer Costs for Employee Compensationquot	Bureau of Labor Statistics quotOccupational Employment and Wagesquot	of Transportation Statistics “Sales Price of Transportation Fuel to EndUsers in National Transportation Statistics	Economic Census Retail Trade Industry Series Gasoline Stations	Industry Statistics Sampler NAICS 447 Geographic Distribution Gasoline Stations	of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Environmental Protection Agency “ERP States Produce Results”	Environmental Protection Agency Office of Underground Storage Tanks “Evaluation of Releases from New and Upgraded Underground Storage Tank Systems peer review draft”	Environmental Protection Agency Office of Underground Storage Tanks “Petroleum Releases at Underground Storage Tank Facilities in Florida”	Environmental Protection Agency Office of Underground Storage Tanks	Environmental Protection Agency quotRegulatory Impact Analysis of Technical Standards for Underground Storage Tanksquot	Environmental Protection Agency quotStatus of State Fund Programsquot accessed on September 9 2010 httpwwwepagovouststatesfndstatushtm US Environmental Protection Agency “Summary of the updated Regulatory Impact Analysis RIA for the Reconsideration of the 2008 Ozone National Ambient Air Quality Standard NAAQSquot US Environmental Protection Agency quotUnderground Storage Tanks Technical and Financial Requirements and State Program Approval Proceduresquot Supporting Statement for EPA Information Collection Request Number 136008	Revenue Service SOI TaxStats Table 7 Corporation Returns with Net Income for 2007 Accessible online at httpwwwirsgovtaxstatsarticle0id17069300html	US Office of Management and Budget Circular No A76	Office of Management and Budget Circular No A94 Revised	of Environmental Quality quotUnderground Storage Tank Programquot	of Environmental Conservation	Underground Storage Tank FieldBased Research Project Report Submitted to the California State Water Resources Control Board under contract to the
A Preliminary Meta Analysis of Contingent Values for Ground Water Revisited	0.33333333333333337	0.46153846153846156	0.17647058823529416	0.22448979591836737	0.2941176470588235	0.31034482758620685	0.375	0.34328358208955223	0.40740740740740744	0.2962962962962963	0.22448979591836737	0.36170212765957444	0.38095238095238093	0.29824561403508776	0.25	0.3584905660377359	0.30000000000000004	0.35593220338983056	0.3207547169811321	0.6470588235294117	0.33333333333333337	0.35593220338983056	0.3877551020408163	0.34693877551020413	0.33333333333333337	0.38983050847457623	0.15254237288135597	0.36363636363636365	0.31999999999999995	0.2786885245901639	0.36170212765957444	0.33333333333333337	0.43999999999999995	0.276595744680851	0.3207547169811321	0.29824561403508776	0.2549019607843137	0.3220338983050848	0.29824561403508776	0.2549019607843137	0.2727272727272727	0.4246575342465754	0.3870967741935484	0.31999999999999995	0.21568627450980393	0.30612244897959184	0.30000000000000004	0.3090909090909091
Evaluating Vehicle Emissions Inspection and Maintenance Programs	0.34328358208955223	0.43999999999999995	0.30612244897959184	0.021276595744680882	0.30612244897959184	0.2857142857142857	0.3548387096774194	0.3538461538461538	0.3846153846153846	0.3076923076923077	0.19148936170212771	0.33333333333333337	0.35	0.38181818181818183	0.2962962962962963	0.2941176470588235	0.3448275862068966	0.368421052631579	0.2549019607843137	0.5625	0.4	0.4035087719298246	0.4042553191489362	0.36170212765957444	0.22448979591836737	0.29824561403508776	0.22807017543859653	0.28125	0.375	0.3220338983050848	0.33333333333333337	0.30612244897959184	0.33333333333333337	0.28888888888888886	0.2941176470588235	0.34545454545454546	0.26530612244897955	0.33333333333333337	0.34545454545454546	0.26530612244897955	0.2075471698113207	0.4084507042253521	0.3666666666666667	0.375	0.30612244897959184	0.3191489361702128	0.3157894736842105	0.3207547169811321
The Measurement of Environmental and Resource Values Theory and Methods	0.34328358208955223	0.43999999999999995	0.18367346938775508	0.19148936170212771	0.30612244897959184	0.3571428571428571	0.3870967741935484	0.32307692307692304	0.3846153846153846	0.2692307692307693	0.021276595744680882	0.28888888888888886	0.4	0.38181818181818183	0.2962962962962963	0.2941176470588235	0.31034482758620685	0.33333333333333337	0.2549019607843137	0.5625	0.35	0.33333333333333337	0.4042553191489362	0.36170212765957444	0.26530612244897955	0.33333333333333337	0.19298245614035092	0.3125	0.33333333333333337	0.288135593220339	0.28888888888888886	0.30612244897959184	0.33333333333333337	0.19999999999999996	0.37254901960784315	0.2727272727272727	0.26530612244897955	0.29824561403508776	0.2727272727272727	0.22448979591836737	0.2075471698113207	0.4084507042253521	0.3666666666666667	0.375	0.26530612244897955	0.276595744680851	0.26315789473684215	0.3207547169811321
BLS IndustrySpecific Occupational Employment and Wages	0.3913043478260869	0.46153846153846156	0.21568627450980393	0.26530612244897955	0.2941176470588235	0.31034482758620685	0.34375	0.31343283582089554	0.40740740740740744	0.40740740740740744	0.30612244897959184	0.3191489361702128	0.33333333333333337	0.33333333333333337	0.2857142857142857	0.3207547169811321	0.33333333333333337	0.288135593220339	0.28301886792452835	0.6470588235294117	0.38095238095238093	0.3220338983050848	0.3877551020408163	0.34693877551020413	0.2549019607843137	0.3220338983050848	0.3220338983050848	0.3939393939393939	0.36	0.34426229508196726	0.19148936170212771	0.05882352941176472	0.31999999999999995	0.23404255319148937	0.28301886792452835	0.368421052631579	0.2941176470588235	0.288135593220339	0.29824561403508776	0.21568627450980393	0.23636363636363633	0.3972602739726028	0.3548387096774194	0.28	0.2941176470588235	0.30612244897959184	0.35	0.2727272727272727
Prime Supplier Sales Volumes	0.5517241379310345	0.5121951219512195	0.44999999999999996	0.3157894736842105	0.44999999999999996	0.4042553191489362	0.5094339622641509	0.5714285714285714	0.5813953488372092	0.5348837209302326	0.42105263157894735	0.38888888888888884	0.4838709677419355	0.4347826086956522	0.4222222222222223	0.47619047619047616	0.4693877551020408	0.5416666666666667	0.4285714285714286	0.6521739130434783	0.4193548387096774	0.5	0.5263157894736843	0.5263157894736843	0.35	0.5	0.5	0.49090909090909096	0.4358974358974359	0.48	0.33333333333333337	0.4	0.3846153846153846	0.38888888888888884	0.4285714285714286	0.4782608695652174	0.4	0.45833333333333337	0.4782608695652174	0.4	0.40909090909090906	0.5806451612903225	0.5294117647058824	0.4871794871794872	0.5	0.42105263157894735	0.3793103448275862	0.40909090909090906
Approaches to Assessing the Benefits Costs and Impacts of the RCRA Subtitle C Program	0.2857142857142857	0.4339622641509434	0.2692307692307693	0.19999999999999996	0.34615384615384615	0.288135593220339	0.32307692307692304	0.2647058823529411	0.4545454545454546	0.3090909090909091	0.31999999999999995	0.375	0.2093023255813954	0.31034482758620685	0.22807017543859653	0.33333333333333337	0.2786885245901639	0.33333333333333337	0.18518518518518523	0.6571428571428571	0.3023255813953488	0.2666666666666667	0.36	0.31999999999999995	0.2692307692307693	0.33333333333333337	0.2666666666666667	0.28358208955223885	0.33333333333333337	0.22580645161290325	0.25	0.23076923076923073	0.33333333333333337	0.25	0.18518518518518523	0.24137931034482762	0.2692307692307693	0.30000000000000004	0.31034482758620685	0.2692307692307693	0.1785714285714286	0.32432432432432434	0.23809523809523814	0.2549019607843137	0.23076923076923073	0.36	0.36585365853658536	0.1428571428571429
Detailed Assessment of UST Universe by Tank Use and Industry Sector	0.30434782608695654	0.42307692307692313	0.21568627450980393	0.34693877551020413	0.2549019607843137	0.24137931034482762	0.3125	0.25373134328358204	0.4814814814814815	0.40740740740740744	0.26530612244897955	0.276595744680851	0.4285714285714286	0.19298245614035092	0.2857142857142857	0.28301886792452835	0.23333333333333328	0.18644067796610164	0.2075471698113207	0.5882352941176471	0.2857142857142857	0.288135593220339	0.3877551020408163	0.34693877551020413	0.17647058823529416	0.38983050847457623	0.3220338983050848	0.2727272727272727	0.24	0.24590163934426235	0.276595744680851	0.2941176470588235	0.31999999999999995	0.23404255319148937	0.24528301886792447	0.22807017543859653	0.2941176470588235	0.2542372881355932	0.22807017543859653	0.13725490196078427	0.1636363636363637	0.34246575342465757	0.32258064516129037	0.31999999999999995	0.33333333333333337	0.22448979591836737	0.35	0.2727272727272727
Draft Industry and Facility Profiles	0.39682539682539686	0.3913043478260869	0.28888888888888886	0.3023255813953488	0.33333333333333337	0.3846153846153846	0.48275862068965514	0.4098360655737705	0.41666666666666663	0.375	0.2558139534883721	0.2682926829268293	0.38888888888888884	0.37254901960784315	0.36	0.4893617021276596	0.37037037037037035	0.39622641509433965	0.276595744680851	0.5	0.33333333333333337	0.3584905660377359	0.39534883720930236	0.39534883720930236	0.28888888888888886	0.39622641509433965	0.3584905660377359	0.4	0.40909090909090906	0.34545454545454546	0.31707317073170727	0.33333333333333337	0.2727272727272727	0.2682926829268293	0.3191489361702128	0.33333333333333337	0.33333333333333337	0.39622641509433965	0.33333333333333337	0.28888888888888886	0.30612244897959184	0.4626865671641791	0.4642857142857143	0.40909090909090906	0.37777777777777777	0.34883720930232553	0.3529411764705882	0.34693877551020413
Economic Impact Analysis of Additional Mechanisms for Local Government Entities to Demonstrate Financial Responsibility for Underground Storage Tanks	0.17948717948717952	0.4426229508196722	0.19999999999999996	0.27586206896551724	0.2666666666666667	0.22388059701492535	0.26027397260273977	0.10526315789473684	0.46031746031746035	0.2698412698412699	0.2068965517241379	0.3571428571428571	0.4117647058823529	0.24242424242424243	0.2615384615384615	0.19354838709677424	0.21739130434782605	0.23529411764705888	0.16129032258064513	0.5813953488372092	0.4117647058823529	0.2647058823529411	0.4482758620689655	0.3793103448275862	0.19999999999999996	0.3529411764705882	0.23529411764705888	0.17333333333333334	0.2542372881355932	0.1428571428571429	0.2857142857142857	0.2666666666666667	0.3220338983050848	0.25	0.22580645161290325	0.24242424242424243	0.30000000000000004	0.23529411764705888	0.21212121212121215	0.19999999999999996	0.125	0.2682926829268293	0.295774647887324	0.35593220338983056	0.33333333333333337	0.27586206896551724	0.4285714285714286	0.21875
Employer Costs for Employee Compensation	0.4666666666666667	0.4883720930232558	0.38095238095238093	0.30000000000000004	0.38095238095238093	0.4285714285714286	0.4545454545454546	0.4482758620689655	0.5111111111111111	0.37777777777777777	0.30000000000000004	0.26315789473684215	0.2727272727272727	0.41666666666666663	0.36170212765957444	0.40909090909090906	0.4509803921568627	0.43999999999999995	0.40909090909090906	0.6	0.2727272727272727	0.4	0.4	0.4	0.33333333333333337	0.4	0.4	0.5087719298245614	0.41463414634146345	0.3846153846153846	0.1578947368421053	0.2857142857142857	0.36585365853658536	0.26315789473684215	0.36363636363636365	0.45833333333333337	0.38095238095238093	0.4	0.41666666666666663	0.33333333333333337	0.34782608695652173	0.5	0.4716981132075472	0.41463414634146345	0.38095238095238093	0.35	0.09677419354838712	0.3913043478260869
