	Distribution of Employment within Food Manufacturing NAICS 311	Bureau generated by RTI International using American FactFinder ‚ÄúSector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States	Animal Slaughtering and Processing made up the largest share of both employment 33 and the value of shipments 27	Census Bureau generated by RTI International using American FactFinder ‚ÄúSector 31 Manufacturing Geographic Area Series Industry Statistics for the States Metropolitan and Micropolitan Statistical Areas Counties and Places	Department of Energy Energy Information Administration	Census Bureau generated by RTI International using American FactFinder ‚ÄúSector 31 Annual Survey of Manufactures General Statistics Statistics for Industry Groups and Industries	Bureau generated by RTI International using American FactFinder ‚ÄúSector 00 All Sectors Core Business Statistics Series Comparative Statistics for the United States and the States	Bureau generated by Kapur Energy and Environment using American FactFinder ‚ÄúSector 00 EC0700A1 All Sectors Geographic Area Series EconomyWide Key Statistics	Bureau generated by Kapur Energy and Environment using American FactFinder ‚ÄúSector 31 EC0731I1 Manufacturing Industry Series Detailed Statistics by Industry for the United States 2007‚Äù Accessed on	Firm Size Data from the Statistics of US Businesses US Detail Employment Sizes	Paper  Forest Products	Assessing the Employment Impacts of Environmental and Natural Resource Policy‚Äù Environmental and Resource Economics	Environmental regulation and labor demand Evidence from the south coast air basin	Do environmental regulations cost jobs An industrylevel analysis of the UK	Transforming The Dow Chemical Company	Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	Jobs versus the Environment An IndustryLevel Perspective‚Äù	What Determines the Value of Life	Estimating the Public Health Benefits of Proposed Air Pollution Regulations	Chemicals‚Äù Standard and Poor‚Äôs Industry Surveys	Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution‚Äù	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US‚Äù Environ Sci Technol	Applying General Equilibrium New York	of Economic Analysis BEA	Producer Price Index Series IDPCU321‚Äî321‚Äî PCUOMFG‚ÄîOMFG‚Äîhttpwwwblsgovppihomehtmgt Data accessed on	Producer Price Index Series IDPCU322‚Äì322‚Äì  PCUOMFG‚ÄìOMFG‚Äì	of Labor Statistics BLS	Producer Price Index‚Äù Series ID PCU3313‚Äì 3313‚Äì  PCUOMFG‚ÄìOMFG‚Äì	Economic Census Sector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States	Economic Census Sector 22 Utilities Geographic Area Series Summary Statistics	Census of Governments Volume 4 Number 3 Finances of County Governments	Census of Governments Volume 4 Number 4 Finances of Municipal and Township Governments	Exclusions from the Economic Census‚Äù	NAICS Definition‚Äù sssdnaicsnaicsrchcode324search200220NAICS20Searchgt	Department of Energy Energy Information Administration 2010d ‚ÄúElectric Power Annual 2008 Table 81 Table 83 Table 84 Table 85	Occupational Safety and Health Administration OSHA	As obtained on	Producer Price Indexes Id PCU311‚Äî311‚ÄîFood Manufacturing  PCUOMFG‚ÄìOMFG‚ÄìTotal Manufacturinggt	Environmental Protection Agency Office of Air Quality Planning and Standards	Guidelines for Preparing Economic Analyses	Environmental Protection Agency	Regulatory Impact Analysis	Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry Office of Air Quality Planning and Standards Research Triangle Park	Environmental Protection Agency US	Integrated Science Assessment for Particulate Matter Final Report EPA600R08139F National Center for Environmental Assessment‚ÄîRTP Division December Available at TO Jim Eddinger US Environmental Protection Agency OAQPSSPPD FROM Susan McClutchey Amanda Singleton and Graham Gibson	Methodology for Estimating Control Costs for the Major Source Industrial Commercial and Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants	New Unit Analysis for Industrial Commercial and Institutional Boilers and Process Heaters at Major Sources	Delivered Fuel Prices to Industrial and Commercial Clients	Department of Energy EIA Annual Energy Outlook 2009 Table 2 Energy Consumption by Sector	MACT Floor Analysis for the Industrial Commercial Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	New Unit Analysis Industrial Commercial and Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	Methodology for Estimating Control Costs for Industrial Commercial Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	Methodology for Estimating Control Costs for Industrial Commercial Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants ‚Äì Major Source	Development of Baseline Emission Factors for Boilers and Process Heaters at Commercial Industrial and Institutional Facilities	Methodology for Developing Model Units for Industrial Commercial and Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	Department of Energy Energy Information Administration Annual Energy Outlook	Institute SectorBased Based Pollution Prevention Toxic Reductions through Energy Efficiency and Conservation Among Industrial Boilers
2007 DB Million Dollar Directory	0.8387096774193549	0.9	0.8839285714285714	0.9192825112107623	0.8333333333333334	0.898876404494382	0.9	0.8924050632911392	0.915	0.8461538461538461	0.84375	0.8632478632478633	0.8024691358024691	0.8378378378378378	0.8108108108108109	0.8170731707317073	0.7966101694915254	0.8787878787878788	0.8133333333333334	0.8431372549019608	0.8229166666666666	0.875968992248062	0.8108108108108109	0.84375	0.8952380952380953	0.90625	0.875	0.9154929577464789	0.875968992248062	0.8181818181818182	0.8142857142857143	0.8488372093023255	0.8947368421052632	0.8309859154929577	0.8888888888888888	0.84	0.8125	0.8888888888888888	0.8421052631578947	0.8571428571428571	0.9375	0.90625	0.8944723618090452	0.9117647058823529	0.9139784946236559	0.8978494623655914	0.8301886792452831	0.8275862068965517	0.8409090909090909	0.8611111111111112	0.855072463768116	0.8757763975155279	0.8901098901098901	0.8571428571428571	0.8650306748466258	0.8421052631578947	0.8646616541353384
Applying General Equilibrium	0.8387096774193549	0.9055555555555556	0.8571428571428571	0.9192825112107623	0.7592592592592593	0.9044943820224719	0.9055555555555556	0.8924050632911392	0.905	0.8717948717948718	0.8571428571428571	0.8461538461538461	0.8518518518518519	0.8648648648648649	0.8108108108108109	0.8292682926829268	0.847457627118644	0.8484848484848485	0.84	0.8431372549019608	0.84375	0.8837209302325582	0.24324324324324326	0.8571428571428571	0.9142857142857143	0.90625	0.8928571428571429	0.9154929577464789	0.8992248062015504	0.8441558441558441	0.8285714285714286	0.8488372093023255	0.7894736842105263	0.8873239436619719	0.8888888888888888	0.74	0.8571428571428571	0.8888888888888888	0.8552631578947368	0.8095238095238095	0.8709677419354839	0.8928571428571429	0.914572864321608	0.8823529411764706	0.9283154121863799	0.8924731182795699	0.839622641509434	0.8103448275862069	0.8181818181818182	0.8680555555555556	0.8623188405797102	0.8819875776397516	0.8956043956043956	0.8650793650793651	0.8773006134969326	0.8157894736842105	0.8872180451127819
Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.7466666666666667	0.8111111111111111	0.7232142857142857	0.8071748878923767	0.76	0.8089887640449438	0.8111111111111111	0.8037974683544303	0.835	0.8076923076923077	0.8133333333333334	0.717948717948718	0.8024691358024691	0.8933333333333333	0.8266666666666667	0.7804878048780488	0.8	0.7866666666666666	0.0	0.8133333333333334	0.7604166666666666	0.7674418604651163	0.8	0.8666666666666667	0.8761904761904762	0.8666666666666667	0.8666666666666667	0.8933333333333333	0.7829457364341085	0.8051948051948052	0.84	0.8023255813953488	0.8133333333333334	0.9066666666666666	0.8253968253968254	0.7466666666666667	0.8666666666666667	0.8383838383838383	0.7894736842105263	0.7733333333333333	0.7733333333333333	0.8266666666666667	0.8140703517587939	0.7733333333333333	0.8243727598566308	0.7634408602150538	0.7735849056603774	0.7466666666666667	0.7613636363636364	0.7291666666666666	0.7463768115942029	0.7204968944099379	0.7417582417582418	0.753968253968254	0.7607361963190185	0.8421052631578947	0.7368421052631579
The Welfare Economics of Public Policy	0.8225806451612904	0.8777777777777778	0.8482142857142857	0.8923766816143498	0.7962962962962963	0.8707865168539326	0.8777777777777778	0.8544303797468354	0.875	0.7692307692307693	0.7894736842105263	0.8034188034188035	0.7901234567901234	0.7837837837837838	0.7894736842105263	0.8048780487804879	0.7796610169491526	0.7894736842105263	0.7466666666666667	0.7843137254901961	0.78125	0.8449612403100775	0.9210526315789473	0.6578947368421053	0.8666666666666667	0.859375	0.8157894736842105	0.8450704225352113	0.8527131782945736	0.8051948051948052	0.8	0.8023255813953488	0.868421052631579	0.8591549295774648	0.8492063492063492	0.86	0.868421052631579	0.8585858585858586	0.7631578947368421	0.7857142857142857	0.8421052631578947	0.8157894736842105	0.8844221105527639	0.868421052631579	0.9068100358422939	0.8709677419354839	0.8490566037735849	0.7586206896551724	0.8295454545454546	0.8333333333333334	0.8478260869565217	0.8571428571428571	0.8681318681318682	0.8253968253968254	0.8466257668711656	0.7894736842105263	0.8345864661654135
Ward’s Business Directory of US Private and Public Companies	0.8709677419354839	0.8	0.75	0.8116591928251121	0.8	0.7865168539325843	0.8	0.8037974683544303	0.825	0.7307692307692307	0.7833333333333333	0.7777777777777778	0.8148148148148148	0.8108108108108109	0.7	0.8048780487804879	0.8666666666666667	0.7833333333333333	0.7466666666666667	0.8166666666666667	0.78125	0.7751937984496124	0.8333333333333334	0.85	0.8476190476190476	0.875	0.85	0.8732394366197183	0.7751937984496124	0.7662337662337663	0.7714285714285715	0.7209302325581395	0.7666666666666667	0.8873239436619719	0.8095238095238095	0.8333333333333334	0.85	0.8383838383838383	0.7763157894736842	0.7166666666666667	0.8166666666666667	0.8	0.8291457286432161	0.8333333333333334	0.8637992831541219	0.8172043010752689	0.7830188679245284	0.7666666666666667	0.7840909090909091	0.8125	0.8043478260869565	0.8136645962732919	0.8186813186813187	0.746031746031746	0.8220858895705522	0.7894736842105263	0.7669172932330827
“US Domestic Exports”  “US Imports for Consumption”	0.8548387096774194	0.8444444444444444	0.7857142857142857	0.8654708520179372	0.7037037037037037	0.8707865168539326	0.8444444444444444	0.8544303797468354	0.87	0.782051282051282	0.7843137254901961	0.7948717948717948	0.7777777777777778	0.8243243243243243	0.803921568627451	0.8292682926829268	0.7796610169491526	0.803921568627451	0.7733333333333333	0.8823529411764706	0.78125	0.8372093023255814	0.8823529411764706	0.8627450980392157	0.8666666666666667	0.859375	0.8431372549019608	0.8591549295774648	0.813953488372093	0.8051948051948052	0.8	0.8023255813953488	0.7843137254901961	0.8732394366197183	0.8571428571428571	0.8627450980392157	0.8627450980392157	0.8484848484848485	0.8157894736842105	0.8627450980392157	0.8235294117647058	0.7843137254901961	0.864321608040201	0.8235294117647058	0.8924731182795699	0.8440860215053764	0.8113207547169812	0.8275862068965517	0.7386363636363636	0.8194444444444444	0.8188405797101449	0.8322981366459627	0.8461538461538461	0.8015873015873016	0.8343558282208589	0.7763157894736842	0.8195488721804511
“US Domestic Exports”  “US Imports for Consumption” 	0.8548387096774194	0.8388888888888889	0.7857142857142857	0.8609865470852018	0.7222222222222222	0.8651685393258427	0.8388888888888889	0.8544303797468354	0.87	0.782051282051282	0.7884615384615384	0.7948717948717948	0.7777777777777778	0.8243243243243243	0.8076923076923077	0.8170731707317073	0.7796610169491526	0.8076923076923077	0.7866666666666666	0.8846153846153846	0.78125	0.8294573643410853	0.8846153846153846	0.8653846153846154	0.8666666666666667	0.859375	0.8461538461538461	0.8591549295774648	0.8062015503875969	0.8051948051948052	0.8	0.8023255813953488	0.7884615384615384	0.8873239436619719	0.8492063492063492	0.8461538461538461	0.8653846153846154	0.8484848484848485	0.8157894736842105	0.8653846153846154	0.8076923076923077	0.7884615384615384	0.8592964824120602	0.8269230769230769	0.8888888888888888	0.8440860215053764	0.8113207547169812	0.8275862068965517	0.7272727272727273	0.8194444444444444	0.8188405797101449	0.8322981366459627	0.8461538461538461	0.7936507936507936	0.8343558282208589	0.7631578947368421	0.8120300751879699
“US Total Exports”  “US Imports for Consumption” 	0.8548387096774194	0.8444444444444444	0.8125	0.8654708520179372	0.7592592592592593	0.8651685393258427	0.8444444444444444	0.8544303797468354	0.88	0.782051282051282	0.7551020408163265	0.811965811965812	0.7777777777777778	0.8243243243243243	0.7755102040816326	0.8048780487804879	0.7966101694915254	0.8367346938775511	0.7733333333333333	0.8823529411764706	0.78125	0.8449612403100775	0.8775510204081632	0.8571428571428571	0.8761904761904762	0.875	0.8367346938775511	0.8732394366197183	0.813953488372093	0.8181818181818182	0.8	0.8023255813953488	0.8163265306122449	0.9154929577464789	0.8650793650793651	0.82	0.8571428571428571	0.8585858585858586	0.8157894736842105	0.8979591836734694	0.8367346938775511	0.7755102040816326	0.864321608040201	0.8571428571428571	0.8924731182795699	0.8494623655913979	0.8113207547169812	0.8103448275862069	0.7386363636363636	0.8263888888888888	0.8188405797101449	0.8322981366459627	0.8516483516483516	0.8015873015873016	0.8404907975460123	0.7894736842105263	0.8195488721804511
1997 Census NAICS Definitions	0.8709677419354839	0.9	0.875	0.9147982062780269	0.7777777777777778	0.9044943820224719	0.9	0.8987341772151899	0.91	0.8205128205128205	0.8620689655172413	0.8717948717948718	0.8641975308641975	0.8513513513513513	0.8378378378378378	0.8536585365853658	0.7966101694915254	0.8484848484848485	0.8133333333333334	0.8823529411764706	0.8541666666666666	0.8682170542635659	0.8648648648648649	0.896551724137931	0.8952380952380953	0.890625	0.896551724137931	0.9014084507042254	0.8449612403100775	0.8051948051948052	0.8	0.813953488372093	0.8421052631578947	0.8873239436619719	0.8968253968253969	0.78	0.7931034482758621	0.8787878787878788	0.8289473684210527	0.8333333333333334	0.8709677419354839	0.8620689655172413	0.914572864321608	0.8823529411764706	0.9283154121863799	0.9032258064516129	0.8584905660377359	0.7931034482758621	0.8636363636363636	0.8819444444444444	0.8768115942028986	0.8881987577639752	0.9010989010989011	0.873015873015873	0.8895705521472392	0.8289473684210527	0.8796992481203008
1997 Economic Census Sector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States 1997 NAICS Basis”	0.8092105263157895	0.4222222222222222	0.7302631578947368	0.6905829596412556	0.8289473684210527	0.7696629213483146	0.42777777777777776	0.8354430379746836	0.73	0.7368421052631579	0.9013157894736842	0.7828947368421053	0.743421052631579	0.7894736842105263	0.875	0.7894736842105263	0.8289473684210527	0.868421052631579	0.8092105263157895	0.8421052631578947	0.7763157894736842	0.7697368421052632	0.881578947368421	0.881578947368421	0.8486842105263158	0.8618421052631579	0.881578947368421	0.8486842105263158	0.1513157894736842	0.6578947368421053	0.7763157894736842	0.756578947368421	0.8552631578947368	0.8355263157894737	0.8092105263157895	0.8355263157894737	0.9210526315789473	0.8618421052631579	0.756578947368421	0.8421052631578947	0.8618421052631579	0.881578947368421	0.7487437185929648	0.8486842105263158	0.7813620071684588	0.7473118279569892	0.7368421052631579	0.8092105263157895	0.8355263157894737	0.756578947368421	0.7697368421052632	0.782608695652174	0.7637362637362637	0.7302631578947368	0.7975460122699386	0.8157894736842105	0.8026315789473685
