	LowLevel Lead Exposure Intelligence and Academic Achievement A LongTerm FollowUp Study	The Relationship between Air Lead and Blood Lead in Children A Critical Review	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter The New England	Strategic Plan for Elimination of Childhood Lead Poisoning	Preventing Lead Poisoning in Young Children	IQ and Blood Lead from 2 to 7 Years of Age Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2yearolds Environmental Health Perspectives 113	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry	Lead Exposure and the Motor Development Status of Urban Sixyearold Children in the Cincinnati Prospective Study	Low Level Lead Exposure in the Prenatal and Early Preschool Periods Intelligence Prior to School Entry	How Much Does IQ Raise Earnings Implications for Regulatory Impact Analyses	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels	Reduction in Fine Particulate Air Pollution and Mortality	LowLevel Environmental Lead Exposure and Childrenâ€™s Intellectual Function An International Pooled Analysis	The LongTerm Effects of Exposure to Low Doses of Lead in Children	Environmental Lead and Childrenâ€™s Intelligence A Systematic Review of the Epidemiological Evidence	Lung Cancer Cardiopulmonary Mortality and LongTerm Exposure to Fine Particulate Air Pollution	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children Neurotoxicology and Teratology	Blood lead levels and death from all causes cardiovascular disease and cancer results from the NHANES III Mortality Study Environ Health Perspect doi101289ehp9123	Lowlevel Lead Exposure and Childrenâ€™s IQ A MetaAnalysis and Search for a Threshold	Societal Benefits of Reducing Lead Exposure	The Relationship between Gasoline Lead and Blood Lead in the United States	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 1113 years the Port Pirie Cohort Study	Environmental Protection Agency	Available at httpwwwepagovttnnaaqsstandardspbspbprfrhtml US Environmental Protection Agency	Environmental Protection Agency 2006a Air Quality Criteria for Lead	Environmental Protection Agency 2006b Economic Analysis for the Renovation Repair and Painting Program Proposed Rule Office of Pollution Prevention and Toxics	Environmental Protection Agency 2006c Final Regulatory Impact Analysis	Environmental Protection Agency 2007c Review of the National Ambient Air Quality Standards for Lead Policy Assessment	Environmental Protection Agency 2007d Letter from Rogene Henderson Chair of the Clean Air Scientific Advisory Committee CASAC to	Environmental Protection Agency 2008a Final Ozone NAAQS Regulatory Impact Analysis Office of Air and Radiation Research Triangle Park	Environmental Protection Agency 2008b Proposed National Ambient Air Quality Standards for Lead Office of Air and Radiation	Environmental Protection Agency 2008c Economic Analysis for the TSCA Lead Renovation Repair and Painting Program Final Rule for Target Housing and ChildOccupied Facilities Economic and Policy Analysis Branch Economics Exposure and Technology Division Office of Pollution Prevention and Toxics	The Yugoslavia Prospective Lead Industry Study Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	Population by Single Year of Age CD	World Health Organization
A Tainted Mining Town Dies as Residents Are Paid to Leave	0.7906976744186046	0.7307692307692307	0.7706422018348624	0.8103448275862069	0.7719298245614035	0.8218390804597702	0.8165680473372781	0.7657657657657657	0.7450980392156863	0.76	0.7142857142857143	0.8245614035087719	0.7685185185185185	0.8	0.75	0.7419354838709677	0.6914893617021277	0.7956204379562044	0.8024691358024691	0.7738095238095238	0.7017543859649122	0.7297297297297297	0.7567567567567568	0.8070175438596491	0.7912087912087912	0.746268656716418	0.810126582278481	0.8	0.7521367521367521	0.7890625	0.7894736842105263	0.7786885245901639	0.863013698630137	0.7868852459016393	0.7894736842105263	0.8421052631578947
How Much Does IQ Raise Earnings Implications for Regulatory Impact Analyses	0.8255813953488372	0.8333333333333334	0.7614678899082569	0.76	0.7866666666666666	0.8045977011494253	0.8165680473372781	0.8108108108108109	0.7745098039215687	0.0	0.76	0.7066666666666667	0.6851851851851852	0.8133333333333334	0.8	0.8172043010752689	0.7553191489361702	0.7956204379562044	0.7839506172839507	0.7976190476190477	0.76	0.8	0.7657657657657657	0.8266666666666667	0.8461538461538461	0.8533333333333334	0.7974683544303798	0.5733333333333334	0.7692307692307693	0.8046875	0.7293233082706767	0.7622950819672131	0.8458904109589042	0.7540983606557377	0.7866666666666666	0.8266666666666667
Lead Kills Mining Town	0.8255813953488372	0.8461538461538461	0.8623853211009175	0.8103448275862069	0.7209302325581395	0.9022988505747126	0.9053254437869822	0.8648648648648649	0.8333333333333334	0.84	0.8428571428571429	0.8245614035087719	0.8518518518518519	0.8615384615384616	0.85	0.8494623655913979	0.8617021276595744	0.8832116788321168	0.9012345679012346	0.8095238095238095	0.7674418604651163	0.8513513513513513	0.8738738738738738	0.8387096774193549	0.8791208791208791	0.8656716417910447	0.9050632911392406	0.8571428571428571	0.8974358974358975	0.90625	0.8872180451127819	0.8852459016393442	0.9383561643835616	0.8934426229508197	0.8285714285714286	0.72
AQS database	0.9302325581395349	0.9102564102564102	0.9357798165137615	0.9137931034482759	0.9069767441860465	0.9482758620689655	0.9526627218934911	0.9279279279279279	0.9215686274509803	0.8933333333333333	0.9142857142857143	0.9122807017543859	0.9351851851851852	0.9384615384615385	0.93	0.9139784946236559	0.9361702127659575	0.948905109489051	0.9506172839506173	0.9047619047619048	0.8837209302325582	0.9054054054054054	0.9279279279279279	0.9032258064516129	0.9120879120879121	0.9104477611940298	0.9493670886075949	0.9	0.9230769230769231	0.9375	0.924812030075188	0.9180327868852459	0.9657534246575342	0.9262295081967213	0.8571428571428571	0.8
Population by Single Year of Age CD	0.8255813953488372	0.7435897435897436	0.8256880733944955	0.7413793103448276	0.7674418604651163	0.8793103448275862	0.8757396449704142	0.8198198198198198	0.8235294117647058	0.7866666666666666	0.8	0.7368421052631579	0.8240740740740741	0.8153846153846154	0.83	0.7956989247311828	0.8191489361702128	0.8467153284671532	0.8827160493827161	0.7857142857142857	0.7906976744186046	0.7432432432432432	0.8018018018018018	0.7714285714285715	0.8131868131868132	0.7761194029850746	0.8544303797468354	0.7428571428571429	0.8205128205128205	0.8203125	0.8120300751879699	0.8114754098360656	0.910958904109589	0.8278688524590164	0.0	0.8285714285714286
Total Suspended Particle NAAQS Review Database	0.813953488372093	0.782051282051282	0.7981651376146789	0.8620689655172413	0.8695652173913043	0.8563218390804598	0.8461538461538461	0.8288288288288288	0.8137254901960784	0.7733333333333333	0.8285714285714286	0.7192982456140351	0.8148148148148148	0.8307692307692308	0.76	0.8172043010752689	0.8085106382978723	0.8321167883211679	0.8333333333333334	0.8095238095238095	0.782608695652174	0.7567567567567568	0.8378378378378378	0.8260869565217391	0.8241758241758241	0.7910447761194029	0.8417721518987342	0.7714285714285715	0.8034188034188035	0.8203125	0.7744360902255639	0.7950819672131147	0.9006849315068494	0.8114754098360656	0.8043478260869565	0.8043478260869565
Air Quality Criteria for Lead	0.8604651162790697	0.8076923076923077	0.8165137614678899	0.7586206896551724	0.7906976744186046	0.8908045977011494	0.893491124260355	0.8378378378378378	0.8529411764705882	0.8	0.8142857142857143	0.7543859649122807	0.8333333333333334	0.8	0.83	0.8064516129032258	0.8085106382978723	0.8759124087591241	0.8827160493827161	0.8095238095238095	0.7674418604651163	0.7972972972972973	0.8378378378378378	0.7741935483870968	0.8571428571428571	0.5671641791044776	0.8734177215189873	0.8	0.811965811965812	0.859375	0.8571428571428571	0.819672131147541	0.9212328767123288	0.8360655737704918	0.7714285714285715	0.7586206896551724
Annual Energy Outlook 2007	0.872093023255814	0.8717948717948718	0.8715596330275229	0.8448275862068966	0.813953488372093	0.9137931034482759	0.9053254437869822	0.9009009009009009	0.8627450980392157	0.8533333333333334	0.8571428571428571	0.8245614035087719	0.8611111111111112	0.8461538461538461	0.86	0.8602150537634409	0.8723404255319149	0.8978102189781022	0.9135802469135802	0.8809523809523809	0.813953488372093	0.8648648648648649	0.8738738738738738	0.8387096774193549	0.8461538461538461	0.8059701492537313	0.8924050632911392	0.8285714285714286	0.8803418803418803	0.8828125	0.8796992481203008	0.8852459016393442	0.934931506849315	0.8934426229508197	0.8	0.8846153846153846
Cost per Ton for NSPS for Stationary CI ICE	0.813953488372093	0.782051282051282	0.8073394495412844	0.7758620689655172	0.9302325581395349	0.8620689655172413	0.8402366863905325	0.8108108108108109	0.803921568627451	0.7733333333333333	0.8142857142857143	0.7543859649122807	0.8055555555555556	0.8	0.83	0.7849462365591398	0.7978723404255319	0.8394160583941606	0.8395061728395061	0.7857142857142857	0.8837209302325582	0.7972972972972973	0.8198198198198198	0.7674418604651163	0.8241758241758241	0.7611940298507462	0.8481012658227848	0.8	0.8205128205128205	0.8125	0.8120300751879699	0.819672131147541	0.8972602739726028	0.819672131147541	0.7441860465116279	0.7906976744186046
Emission Reducation Associated with NSPS for Stationary CI ICE	0.8255813953488372	0.7948717948717948	0.7889908256880734	0.8870967741935484	0.8225806451612904	0.8275862068965517	0.8165680473372781	0.8018018018018018	0.7941176470588235	0.8133333333333334	0.8142857142857143	0.7580645161290323	0.7777777777777778	0.8461538461538461	0.8	0.7956989247311828	0.8085106382978723	0.8102189781021898	0.7962962962962963	0.8333333333333334	0.8064516129032258	0.7702702702702703	0.8108108108108109	0.7741935483870968	0.8241758241758241	0.7761194029850746	0.7848101265822784	0.7428571428571429	0.7606837606837606	0.7578125	0.7669172932330827	0.7622950819672131	0.8595890410958904	0.7950819672131147	0.7580645161290323	0.8064516129032258
