	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
A Tainted Mining Town Dies as Residents Are Paid to Leave	0.34693877551020413	0.2558139534883721	0.4117647058823529	0.36585365853658536	0.28205128205128205	0.4285714285714286	0.2962962962962963	0.3877551020408163	0.33333333333333337	0.36170212765957444	0.44680851063829785	0.3157894736842105	0.4	0.33333333333333337	0.36	0.30434782608695654	0.3913043478260869	0.37254901960784315	0.4814814814814815	0.3846153846153846	0.38095238095238093	0.36585365853658536	0.46153846153846156	0.3513513513513513	0.36170212765957444	0.3913043478260869	0.37254901960784315	0.3913043478260869	0.34615384615384615	0.34693877551020413	0.4285714285714286	0.3846153846153846	0.368421052631579	0.3877551020408163	0.41463414634146345	0.4444444444444444
How Much Does IQ Raise Earnings Implications for Regulatory Impact Analyses	0.25	0.36	0.31034482758620685	0.33333333333333337	0.4347826086956522	0.23809523809523814	0.21311475409836067	0.2857142857142857	0.2692307692307693	0.0	0.40740740740740744	0.33333333333333337	0.29824561403508776	0.23076923076923073	0.22807017543859653	0.28301886792452835	0.28301886792452835	0.27586206896551724	0.2786885245901639	0.2542372881355932	0.30612244897959184	0.45833333333333337	0.3220338983050848	0.31818181818181823	0.2592592592592593	0.3207547169811321	0.27586206896551724	0.24528301886792447	0.2542372881355932	0.2857142857142857	0.2698412698412699	0.288135593220339	0.28125	0.3214285714285714	0.33333333333333337	0.4418604651162791
Lead Kills Mining Town	0.40909090909090906	0.368421052631579	0.4347826086956522	0.38888888888888884	0.3529411764705882	0.5686274509803921	0.4285714285714286	0.5	0.4	0.47619047619047616	0.5714285714285714	0.4545454545454546	0.5111111111111111	0.35	0.4666666666666667	0.36585365853658536	0.46341463414634143	0.4782608695652174	0.5918367346938775	0.44680851063829785	0.4054054054054054	0.33333333333333337	0.5319148936170213	0.5	0.47619047619047616	0.5121951219512195	0.5217391304347826	0.5609756097560976	0.4893617021276596	0.5	0.5686274509803921	0.5319148936170213	0.5384615384615384	0.4545454545454546	0.5555555555555556	0.4193548387096774
AQS database	0.5897435897435898	0.5151515151515151	0.6585365853658536	0.5483870967741935	0.5862068965517242	0.6521739130434783	0.6363636363636364	0.5897435897435898	0.6	0.6216216216216216	0.6216216216216216	0.5714285714285714	0.65	0.6571428571428571	0.6	0.6111111111111112	0.6666666666666667	0.7073170731707317	0.6363636363636364	0.5714285714285714	0.5625	0.4838709677419355	0.6666666666666667	0.6296296296296297	0.5135135135135135	0.6111111111111112	0.6097560975609756	0.6666666666666667	0.5238095238095238	0.5897435897435898	0.6086956521739131	0.5238095238095238	0.6595744680851063	0.5897435897435898	0.5483870967741935	0.6153846153846154
Population by Single Year of Age CD	0.4	0.40909090909090906	0.42307692307692313	0.33333333333333337	0.30000000000000004	0.368421052631579	0.3090909090909091	0.28	0.34782608695652173	0.33333333333333337	0.41666666666666663	0.33333333333333337	0.4117647058823529	0.34782608695652173	0.37254901960784315	0.3191489361702128	0.4042553191489362	0.3076923076923077	0.4181818181818182	0.39622641509433965	0.34883720930232553	0.47619047619047616	0.3584905660377359	0.3157894736842105	0.29166666666666663	0.3191489361702128	0.34615384615384615	0.36170212765957444	0.3584905660377359	0.36	0.4035087719298246	0.3207547169811321	0.3448275862068966	0.24	0.0	0.45945945945945943
Total Suspended Particle NAAQS Review Database	0.2962962962962963	0.20833333333333337	0.3214285714285714	0.3913043478260869	0.36363636363636365	0.3770491803278688	0.288135593220339	0.2962962962962963	0.28	0.3076923076923077	0.34615384615384615	0.3023255813953488	0.34545454545454546	0.31999999999999995	0.34545454545454546	0.33333333333333337	0.37254901960784315	0.3214285714285714	0.35593220338983056	0.29824561403508776	0.3191489361702128	0.30434782608695654	0.4035087719298246	0.38095238095238093	0.2692307692307693	0.37254901960784315	0.2857142857142857	0.33333333333333337	0.22807017543859653	0.37037037037037035	0.2786885245901639	0.22807017543859653	0.32258064516129037	0.2962962962962963	0.30434782608695654	0.5121951219512195
Air Quality Criteria for Lead	0.4222222222222223	0.3846153846153846	0.4893617021276596	0.3513513513513513	0.3142857142857143	0.3846153846153846	0.4	0.37777777777777777	0.41463414634146345	0.39534883720930236	0.4418604651162791	0.2941176470588235	0.3913043478260869	0.36585365853658536	0.3913043478260869	0.33333333333333337	0.38095238095238093	0.4042553191489362	0.48	0.33333333333333337	0.368421052631579	0.5135135135135135	0.41666666666666663	0.3939393939393939	0.4418604651162791	0.23809523809523814	0.44680851063829785	0.47619047619047616	0.375	0.37777777777777777	0.46153846153846156	0.375	0.4339622641509434	0.37777777777777777	0.29729729729729726	0.4375
Annual Energy Outlook 2007	0.44680851063829785	0.5609756097560976	0.5102040816326531	0.4871794871794872	0.45945945945945943	0.40740740740740744	0.5	0.5319148936170213	0.4418604651162791	0.4222222222222223	0.6	0.38888888888888884	0.5	0.4883720930232558	0.5	0.40909090909090906	0.5	0.5102040816326531	0.46153846153846156	0.52	0.44999999999999996	0.641025641025641	0.52	0.3142857142857143	0.4666666666666667	0.31818181818181823	0.34693877551020413	0.31818181818181823	0.36	0.36170212765957444	0.37037037037037035	0.36	0.4181818181818182	0.4893617021276596	0.3846153846153846	0.4117647058823529
Cost per Ton for NSPS for Stationary CI ICE	0.375	0.4285714285714286	0.4	0.30000000000000004	0.42105263157894735	0.4181818181818182	0.3207547169811321	0.33333333333333337	0.31818181818181823	0.3913043478260869	0.4347826086956522	0.45945945945945943	0.3877551020408163	0.36363636363636365	0.34693877551020413	0.33333333333333337	0.4222222222222223	0.28	0.3584905660377359	0.33333333333333337	0.36585365853658536	0.44999999999999996	0.33333333333333337	0.38888888888888884	0.34782608695652173	0.4222222222222223	0.4	0.37777777777777777	0.4117647058823529	0.375	0.34545454545454546	0.37254901960784315	0.3928571428571429	0.25	0.30000000000000004	0.5428571428571429
Emission Reducation Associated with NSPS for Stationary CI ICE	0.2592592592592593	0.33333333333333337	0.3214285714285714	0.21739130434782605	0.36363636363636365	0.2786885245901639	0.22033898305084743	0.2592592592592593	0.24	0.23076923076923073	0.2692307692307693	0.3023255813953488	0.23636363636363633	0.28	0.19999999999999996	0.2941176470588235	0.2941176470588235	0.25	0.2542372881355932	0.26315789473684215	0.3191489361702128	0.4347826086956522	0.26315789473684215	0.33333333333333337	0.23076923076923073	0.2941176470588235	0.2857142857142857	0.2941176470588235	0.19298245614035092	0.2222222222222222	0.24590163934426235	0.26315789473684215	0.29032258064516125	0.2592592592592593	0.34782608695652173	0.5121951219512195
