	Industry-wide Uses of Chlorine by Industry................................................................. 2-7 2-2. Use of Caustic Soda by Industry................................................................................... 2-7 2-3. Use of Caustic Potash by Industry ................................................................................ 2-8 2-4. Income (or Loss) as Net a Percentage of Sales, Basic Chemicals, Resins, and Synthetics (NAICS 3251 and 3252): 2000–2005 ....................................................... 2-14 3-1. Capital Cost Factor ($/ton Cl2 produced) vs. Capacity ................................................ 3-5 4-1. Price Trends: Alkalis and Chlorine Manufacturing:	Oxychem Completes Taft,	Chlorine: Ensuring Rail Transportation Safety.”	Potassium Carbonate Handbook.” http://www.armandproducts.com/pdfs/k2so3P1_12.pdf. Accessed	ASHTA Chemicals Inc. 2009a. About ASHTA. http://www.ashtachemicals.com/aboutfs.htm.	Inc. 2009b. Potassium Hydroxide,	Investment under Uncertainty.	Energy Information Administration.	Potassium Hydroxide.” http://www.ercoworldwide.com/ products_potassiumhydroxide.asp. Accessed	Distributional Effects of Environmental and Energy Policy: An Introduction.	Potassium Carbonate Faces Pressures from the Video Glass.” Chemical Market Reporter,	Site Fact Sheet Ashtabula Complex.” http://www.millenniumchem.com/NR/rdonlyres/6AE8BF59-D7CD-4768-951F37AE6F1C7321/0/SiteFactSheetAshtabula.pdf. Accessed	Occidental Chemical Corporation. 2008a. “OxyChem Caustic Potash Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Pages/chem_products_basic_alkali.aspx #alk_koh. Accessed	Occidental Chemical Corporation. 2008b. “OxyChem Caustic Soda Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Documents/caustic_soda/caustic.pdf.	Form 10-K405. Filed	Form 10-K. Filed	BB&T Capital Markets Presentation Manufacturing and Materials Conference.” http://www.olin.com/. Accessed	Bill Would End Mercury Use at Chlorine Plants.” http://chronicle.augusta.com/stories/031308/met_190792.shtml. Accessed	Accessed	Chlorine Product Bulletin.” http://corporateportal.ppg.com/NA/Chemicals/CAD/ProductInformation/Bull /English/EN. Accessed	PPG Reaches Agreement with State of Maryland.” PPG News Release. http://corporateportal.ppg.com/PPG/Newsroom/News/20090811.htm.	The Effects of Environmental Regulation on Technology Diffusion: The Case of	Special Focus on Chlorine.”	The Innovation Group (TIG).	of Labor Statistics.	of Labor Statistics. 2009b. LAU Local Area Unemployment Statistics Series Id:	4-13 U.S. Bureau of Labor Statistics.	Quarterly Financial Report for Manufacturing, Mining, and Trade Corporations, 1st Quarter reports. http://www.census.gov/prod/www/abs/qfrmm.html. Accessed	Economic Census.	http://factfinder.census.gov/servlet/DatasetMainPageServlet?_program=ECN&_tabId=E CN1&_submenuId=datasets_4&_lang=en&_ts=24636668839. Accessed	Bureau; generated by RTI International; using American FactFinder; “Sector 31: Manufacturing: Industry Series: Industry Statistics by Employment Size:	Department of Transportation.	Environmental Protection Agency (EPA).	Federal Trade Commission (FTC).	Soda Ash. http://minerals.usgs.gov/minerals/pubs/ commodity/soda_ash/mcs-2009-sodaa.pdf. Accessed August 4,	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Environmental Protection Agency—Science Advisory Board (U.S.	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Environmental Protection Agency. RE: Docket No. EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants:	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act.	EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants: Mercury Emissions from Mercury Cell Chlor-Alkali Plants—Memo: “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell Chlor-Alkali Technology to Membrane Cell Technology,” from	B-4 Table B-3. Power Company Emission Factors: Fuel=Coal (Short tons per kWh)	Available on the internet at http://www.epa.gov/CAIR/pdfs/finaltech01.pdf U.S. Environmental Protection Agency	Available on the internet at http://www.epa.gov/cleanenergy/documents/egridzips/eGRID2007TechnicalSupportDoc ument.pdf U.S. Environmental Protection Agency
ASHTA to Build ChlorineKOH Plant in Arkansas	0.4285714285714286	0.44999999999999996	0.36170212765957444	0.34615384615384615	0.34693877551020413	0.4222222222222223	0.4871794871794872	0.44999999999999996	0.36170212765957444	0.4042553191489362	0.3846153846153846	0.48484848484848486	0.31034482758620685	0.3448275862068966	0.5675675675675675	0.5428571428571429	0.2692307692307693	0.423728813559322	0.7142857142857143	0.34615384615384615	0.4736842105263158	0.3913043478260869	0.38095238095238093	0.42105263157894735	0.5428571428571429	0.45833333333333337	0.47619047619047616	0.40740740740740744	0.5294117647058824	0.423728813559322	0.4385964912280702	0.45945945945945943	0.44999999999999996	0.3513513513513513	0.4	0.4117647058823529	0.38983050847457623	0.375	0.38181818181818183	0.4	0.33333333333333337	0.4	0.3076923076923077	0.40740740740740744	0.423728813559322
Bill Would End Mercury Use at Chlorine Plants	0.42028985507246375	0.4358974358974359	0.34782608695652173	0.4117647058823529	0.45833333333333337	0.36363636363636365	0.3157894736842105	0.3846153846153846	0.34782608695652173	0.30434782608695654	0.33333333333333337	0.4461538461538461	0.368421052631579	0.4035087719298246	0.6111111111111112	0.5882352941176471	0.2941176470588235	0.24137931034482762	0.7037037037037037	0.2941176470588235	0.4285714285714286	0.28888888888888886	0.36585365853658536	0.45945945945945943	0.5294117647058824	0.4042553191489362	0.41463414634146345	0.3584905660377359	0.3939393939393939	0.3793103448275862	0.3928571428571429	0.5	0.33333333333333337	0.38888888888888884	0.3877551020408163	0.28	0.31034482758620685	0.276595744680851	0.37037037037037035	0.4576271186440678	0.23404255319148937	0.42028985507246375	0.2549019607843137	0.3207547169811321	0.3793103448275862
Chemical Engineering Plant Cost Index	0.4626865671641791	0.3513513513513513	0.36363636363636365	0.3877551020408163	0.3913043478260869	0.2857142857142857	0.33333333333333337	0.2432432432432432	0.31818181818181823	0.2272727272727273	0.34693877551020413	0.46031746031746035	0.34545454545454546	0.4181818181818182	0.5294117647058824	0.5	0.30612244897959184	0.3571428571428571	0.6799999999999999	0.22448979591836737	0.40740740740740744	0.2558139534883721	0.3846153846153846	0.4285714285714286	0.5	0.37777777777777777	0.5384615384615384	0.37254901960784315	0.3548387096774194	0.3214285714285714	0.40740740740740744	0.4117647058823529	0.2432432432432432	0.2941176470588235	0.36170212765957444	0.25	0.2857142857142857	0.28888888888888886	0.3846153846153846	0.4385964912280702	0.19999999999999996	0.4328358208955224	0.34693877551020413	0.2549019607843137	0.3571428571428571
Chlorine Gas from South Carolina Train Crash Kills Nine	0.4626865671641791	0.3513513513513513	0.2727272727272727	0.4285714285714286	0.30434782608695654	0.47619047619047616	0.4444444444444444	0.4054054054054054	0.4545454545454546	0.40909090909090906	0.34693877551020413	0.46031746031746035	0.49090909090909096	0.4181818181818182	0.5294117647058824	0.5	0.34693877551020413	0.5	0.84	0.34693877551020413	0.40740740740740744	0.2558139534883721	0.33333333333333337	0.3142857142857143	0.4375	0.4222222222222223	0.4358974358974359	0.37254901960784315	0.4193548387096774	0.3928571428571429	0.4444444444444444	0.2941176470588235	0.45945945945945943	0.2941176470588235	0.36170212765957444	0.45833333333333337	0.3928571428571429	0.4666666666666667	0.3846153846153846	0.4736842105263158	0.33333333333333337	0.4626865671641791	0.34693877551020413	0.4117647058823529	0.3928571428571429
MarketsNews Release	0.5932203389830508	0.5862068965517242	0.5555555555555556	0.6097560975609756	0.631578947368421	0.6470588235294117	0.5714285714285714	0.5862068965517242	0.5555555555555556	0.6111111111111112	0.5121951219512195	0.6363636363636364	0.6170212765957447	0.6170212765957447	0.6923076923076923	0.6666666666666667	0.5121951219512195	0.6666666666666667	0.7647058823529411	0.6097560975609756	0.5217391304347826	0.5428571428571429	0.6129032258064516	0.6296296296296297	0.5833333333333333	0.6216216216216216	0.6129032258064516	0.5348837209302326	0.7391304347826086	0.625	0.6086956521739131	0.5384615384615384	0.5862068965517242	0.5384615384615384	0.641025641025641	0.6	0.6666666666666667	0.6216216216216216	0.5	0.5918367346938775	0.6216216216216216	0.5932203389830508	0.5609756097560976	0.5813953488372092	0.625
Port Edwards selss School Forest Land to ERCO Worldwide Nekoosa Considers Similar Deal	0.3783783783783784	0.4545454545454546	0.4117647058823529	0.3928571428571429	0.4339622641509434	0.4693877551020408	0.4883720930232558	0.4545454545454546	0.4117647058823529	0.37254901960784315	0.3214285714285714	0.37142857142857144	0.3870967741935484	0.3548387096774194	0.5609756097560976	0.5384615384615384	0.3571428571428571	0.4285714285714286	0.75	0.3214285714285714	0.3770491803278688	0.31999999999999995	0.3913043478260869	0.5714285714285714	0.4871794871794872	0.42307692307692313	0.5217391304347826	0.3793103448275862	0.4736842105263158	0.3650793650793651	0.4426229508196722	0.46341463414634143	0.40909090909090906	0.36585365853658536	0.4444444444444444	0.34545454545454546	0.39682539682539686	0.3846153846153846	0.288135593220339	0.34375	0.34615384615384615	0.3783783783783784	0.25	0.31034482758620685	0.3650793650793651
Portrait of a Polluter	0.6206896551724138	0.5	0.4285714285714286	0.5	0.5135135135135135	0.4545454545454546	0.4814814814814815	0.4285714285714286	0.4285714285714286	0.37142857142857144	0.44999999999999996	0.6296296296296297	0.5652173913043479	0.5652173913043479	0.52	0.4782608695652174	0.44999999999999996	0.574468085106383	0.875	0.44999999999999996	0.5555555555555556	0.4117647058823529	0.4666666666666667	0.3846153846153846	0.3913043478260869	0.5	0.4	0.5238095238095238	0.5454545454545454	0.5319148936170213	0.5555555555555556	0.36	0.3571428571428571	0.43999999999999995	0.4736842105263158	0.4871794871794872	0.5319148936170213	0.5	0.5348837209302326	0.5416666666666667	0.38888888888888884	0.6206896551724138	0.5	0.5238095238095238	0.5319148936170213
Project Summary Waste Minimization and Audit Report Case Studies of Minimization of Mercury Bearing Wastes at a Mercury Cell Chloralkali Plant	0.2987012987012987	0.4042553191489362	0.2962962962962963	0.3220338983050848	0.3571428571428571	0.42307692307692313	0.4347826086956522	0.36170212765957444	0.33333333333333337	0.2962962962962963	0.2542372881355932	0.36986301369863017	0.29230769230769227	0.32307692307692304	0.6363636363636364	0.6190476190476191	0.18644067796610164	0.2727272727272727	0.7142857142857143	0.2542372881355932	0.28125	0.28301886792452835	0.3877551020408163	0.5111111111111111	0.5238095238095238	0.34545454545454546	0.4693877551020408	0.24590163934426235	0.5121951219512195	0.303030303030303	0.25	0.4545454545454546	0.36170212765957444	0.4545454545454546	0.26315789473684215	0.27586206896551724	0.2727272727272727	0.3090909090909091	0.25806451612903225	0.31343283582089554	0.23636363636363633	0.2987012987012987	0.2542372881355932	0.24590163934426235	0.2727272727272727
Report Cites PPG Savings on Mercury Process Could Boost Efficiency Phase Out Toxic Discharge at Marshall Plant	0.33333333333333337	0.33333333333333337	0.23636363636363633	0.43333333333333335	0.4035087719298246	0.4339622641509434	0.44680851063829785	0.41666666666666663	0.38181818181818183	0.2727272727272727	0.30000000000000004	0.3513513513513513	0.33333333333333337	0.303030303030303	0.6888888888888889	0.6744186046511628	0.2666666666666667	0.34328358208955223	0.7777777777777778	0.2666666666666667	0.32307692307692304	0.18518518518518523	0.4	0.3913043478260869	0.5348837209302326	0.4285714285714286	0.48	0.25806451612903225	0.5238095238095238	0.28358208955223885	0.29230769230769227	0.4222222222222223	0.375	0.4666666666666667	0.31034482758620685	0.288135593220339	0.22388059701492535	0.3214285714285714	0.3015873015873016	0.32352941176470584	0.2857142857142857	0.3076923076923077	0.30000000000000004	0.25806451612903225	0.22388059701492535
Special Focus on Chlorine	0.4920634920634921	0.3939393939393939	0.30000000000000004	0.4222222222222223	0.33333333333333337	0.4736842105263158	0.4375	0.5151515151515151	0.4	0.44999999999999996	0.33333333333333337	0.4576271186440678	0.4509803921568627	0.4117647058823529	0.5333333333333333	0.5	0.37777777777777777	0.46153846153846156	0.7142857142857143	0.37777777777777777	0.48	0.33333333333333337	0.08571428571428574	0.3548387096774194	0.4285714285714286	0.41463414634146345	0.4285714285714286	0.36170212765957444	0.33333333333333337	0.42307692307692313	0.43999999999999995	0.4	0.4545454545454546	0.2666666666666667	0.34883720930232553	0.36363636363636365	0.3846153846153846	0.46341463414634143	0.45833333333333337	0.5471698113207547	0.36585365853658536	0.5238095238095238	0.28888888888888886	0.4042553191489362	0.46153846153846156
