	Simplified Flow Sheet of Clinker and Cement Manufacture........................................ 2-2 2-2. Labor Costs per Metric Ton of Cement	Current Employment Statistics (National): Customizable Data Tables” Available at As obtained on	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Cement Association.	Cement Association. 2008b. “Market Research: Producer Price Indices—Competitive Building Materials.” Available at	Cement Association (PCA).	Department of Commerce, Bureau of the Census.	DC: Government Printing Office. Available at As obtained on	the Census.	Optimal Tariffs and Market Power: The Evidence.” American Economic Review 98(5):2032-2065.	Estimating Particulate MatterMortality Dose-Response Curves and Threshold Levels: An Analysis of Daily TimeSeries for the 20 Largest	A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the U.S.	D&B Million Dollar Directory.	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Multimarket Contact and Pricing: Evidence from the U.S.	Historical Statistics for Mineral and Material Commodities in the United States: Cement End Use Statistics.” U.S. Geological Survey Data Series 140, Version 1.2. Available at	Historical Statistics for Mineral and Material Commodities in the United States: Cement Supply and	Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality. Special Report to the Health Effects Institute.	Reduction in Fine Particulate Air Pollution and Mortality.”	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Price and Seller Concentration in Cement: Effective Oligopoly or	Circular A-4: Regulatory Analysis.	Invited Commentary: Particulate Matter-Mortality Exposure-Response Relations and Thresholds.”	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	U.S. and Canadian Portland Cement Industry: Plant Information Summary.	U.S. and Canadian Labor-Energy Input Survey	Flash Report: Capacity Expansion Update.” Available at < http://www.cement.org/econ/pdf/NONMEMBERCapacity Expansion.pdf>. As obtained on	Association (PCA). 2008a. “Cement and Concrete Basics: History & Manufacture of Portland Cement.” Available at concretebasics_history.asp>.	Association (PCA).	Cement Plant Operating Cost Study.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci.	Air Pollution and Cause-Specific Mortality in Milan, Italy, 1980–1989.” Arch Environ Health	The Cost of Environmental Regulation in a Concentrated Industry.” Available at	The Concentration-Response Relation between PM(2.5) and Daily Deaths.” Environ Health Perspectives	The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival.” Environmental Health Perspectives	Using Meta-Smoothing to Estimate Dose-Response Trends Across Multiple Studies, with Application to Air Pollution and Daily Death.”	Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix,	of the Census.	of the Census; generated by RTI International; using American FactFinder; “Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Department of Commerce, Bureau of Economic Analysis.	Department of Energy, Energy Information Administration.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey. 2008b. Minerals Commodity Summaries, Cement	Statistics (BLS). 2007b. “State and Area Employment, Hours and Earnings	Regulatory Impact Analysis of Cement Kiln Dust Rulemaking. Appendix C,	Environmental Protection Agency (EPA).	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency Science Advisory	Advisory on Plans for Health Effects Analysis for EPA’s Second Prospective Analysis— Benefits and Costs of the Clean Air Act,	International Trade Commission (USITC). 2006. Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review). Publication 3856. Available at	Trade Commission.	Cement Manufacture and the Environment Part I: Chemistry and	Microeconomic Analysis. 3rd Ed.
The ConcentrationResponse Relation between PM25 and Daily Deaths	0.375	0.5	0.5384615384615384	0.6296296296296297	0.5	0.5925925925925926	0.5517241379310345	0.5	0.7307692307692308	0.475	0.37142857142857144	0.4375	0.5	0.5	0.5588235294117647	0.5581395348837209	0.4516129032258065	0.4571428571428572	0.5161290322580645	0.48484848484848486	0.53125	0.5172413793103448	0.4117647058823529	0.5277777777777778	0.5483870967741935	0.6060606060606061	0.5	0.4736842105263158	0.6153846153846154	0.5454545454545454	0.5	0.5609756097560976	0.5	0.19354838709677424	0.4864864864864865	0.4	0.31034482758620685	0.7037037037037037	0.5	0.5161290322580645	0.5806451612903225	0.5882352941176471	0.4444444444444444	0.5897435897435898	0.5	0.6	0.6	0.5483870967741935	0.5277777777777778	0.5111111111111111	0.5769230769230769	0.4838709677419355	0.5517241379310345
The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival	0.3939393939393939	0.38235294117647056	0.38888888888888884	0.5925925925925926	0.5121951219512195	0.5555555555555556	0.5172413793103448	0.31034482758620685	0.7407407407407407	0.4878048780487805	0.2941176470588235	0.40625	0.6206896551724138	0.375	0.33333333333333337	0.42500000000000004	0.46875	0.38235294117647056	0.5757575757575757	0.30000000000000004	0.4	0.5333333333333333	0.4722222222222222	0.5	0.4666666666666667	0.53125	0.475	0.4871794871794872	0.6296296296296297	0.5151515151515151	0.34285714285714286	0.5	0.33333333333333337	0.45945945945945943	0.16129032258064513	0.32352941176470584	0.4375	0.6666666666666667	0.4358974358974359	0.43333333333333335	0.4482758620689655	0.4193548387096774	0.41666666666666663	0.4864864864864865	0.47058823529411764	0.40740740740740744	0.27586206896551724	0.2962962962962963	0.4571428571428572	0.48888888888888893	0.5925925925925926	0.4	0.5172413793103448
Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix Arizona	0.4411764705882353	0.4285714285714286	0.4736842105263158	0.5925925925925926	0.5813953488372092	0.5555555555555556	0.5172413793103448	0.46875	0.7407407407407407	0.5238095238095238	0.34285714285714286	0.30000000000000004	0.5185185185185186	0.4242424242424242	0.48484848484848486	0.5348837209302326	0.4193548387096774	0.33333333333333337	0.4838709677419355	0.4545454545454546	0.4516129032258065	0.5333333333333333	0.38235294117647056	0.36363636363636365	0.5161290322580645	0.6176470588235294	0.4358974358974359	0.4871794871794872	0.5769230769230769	0.5588235294117647	0.34285714285714286	0.46153846153846156	0.4722222222222222	0.41666666666666663	0.45945945945945943	0.41666666666666663	0.07692307692307687	0.6666666666666667	0.475	0.3793103448275862	0.4482758620689655	0.5588235294117647	0.5	0.6	0.4242424242424242	0.5172413793103448	0.48484848484848486	0.4666666666666667	0.4117647058823529	0.6122448979591837	0.5925925925925926	0.4	0.4642857142857143
Cement Plant Operating Cost Study	0.4838709677419355	0.46875	0.47058823529411764	0.5454545454545454	0.5526315789473684	0.5	0.52	0.40740740740740744	0.6666666666666667	0.6341463414634146	0.4242424242424242	0.5	0.5833333333333333	0.4666666666666667	0.4285714285714286	0.575	0.34615384615384615	0.4193548387096774	0.5357142857142857	0.4482758620689655	0.25	0.41666666666666663	0.46875	0.4	0.26086956521739135	0.42307692307692313	0.5526315789473684	0.5277777777777778	0.5909090909090908	0.13043478260869568	0.4242424242424242	0.5405405405405406	0.5151515151515151	0.5833333333333333	0.5	0.4545454545454546	0.48275862068965514	0.6363636363636364	0.5135135135135135	0.42307692307692313	0.43999999999999995	0.4642857142857143	0.4545454545454546	0.48484848484848486	0.4137931034482759	0.45833333333333337	0.3076923076923077	0.33333333333333337	0.5	0.5581395348837209	0.47619047619047616	0.4444444444444444	0.52
Microeconomic Analysis 3rd Ed	0.5806451612903225	0.5161290322580645	0.6	0.4736842105263158	0.631578947368421	0.5	0.64	0.5185185185185186	0.8095238095238095	0.5675675675675675	0.5151515151515151	0.4444444444444444	0.44999999999999996	0.5172413793103448	0.5357142857142857	0.5789473684210527	0.46153846153846156	0.4666666666666667	0.48	0.5	0.5	0.4782608695652174	0.5161290322580645	0.4482758620689655	0.52	0.6428571428571428	0.5555555555555556	0.5714285714285714	0.6	0.5714285714285714	0.5151515151515151	0.5833333333333333	0.5161290322580645	0.5882352941176471	0.5882352941176471	0.5	0.4814814814814815	0.7727272727272727	0.5555555555555556	0.41666666666666663	0.4347826086956522	0.6206896551724138	0.5882352941176471	0.53125	0.5172413793103448	0.38095238095238093	0.42307692307692313	0.31818181818181823	0.5483870967741935	0.6590909090909092	0.4736842105263158	0.43999999999999995	0.0
USITC Interactive Tariff and Trade DataWeb	0.5625	0.5454545454545454	0.5	0.6521739130434783	0.6829268292682926	0.6666666666666667	0.6153846153846154	0.5	0.7727272727272727	0.7209302325581395	0.5833333333333333	0.5333333333333333	0.625	0.6764705882352942	0.5172413793103448	0.6	0.5517241379310345	0.5882352941176471	0.7096774193548387	0.6666666666666667	0.5357142857142857	0.6785714285714286	0.6285714285714286	0.7297297297297297	0.5	0.46153846153846156	0.65	0.6666666666666667	0.6956521739130435	0.6875	0.5428571428571429	0.641025641025641	0.5454545454545454	0.6111111111111112	0.5714285714285714	0.6486486486486487	0.5666666666666667	0.7391304347826086	0.5789473684210527	0.6206896551724138	0.5925925925925926	0.5	0.48484848484848486	0.7105263157894737	0.59375	0.6666666666666667	0.6129032258064516	0.6071428571428572	0.6176470588235294	0.6136363636363636	0.5909090909090908	0.5357142857142857	0.7142857142857143
nan	0.9259259259259259	0.9310344827586207	0.9375	0.8333333333333334	0.9428571428571428	0.8461538461538461	0.8823529411764706	0.9130434782608696	0.8888888888888888	0.9444444444444444	0.9375	0.92	0.8571428571428572	0.9230769230769231	0.9166666666666666	0.9459459459459459	0.9130434782608696	0.9310344827586207	0.9047619047619048	0.92	0.9090909090909091	0.8888888888888888	0.9310344827586207	0.9285714285714286	0.9	0.9047619047619048	0.9428571428571428	0.9393939393939394	0.8181818181818181	0.9130434782608696	0.9375	0.9411764705882353	0.9310344827586207	0.935483870967742	0.935483870967742	0.935483870967742	0.9166666666666666	0.9090909090909091	0.9428571428571428	0.9047619047619048	0.8947368421052632	0.9130434782608696	0.935483870967742	0.9333333333333333	0.9230769230769231	0.8823529411764706	0.9166666666666666	0.9	0.9285714285714286	0.9523809523809523	0.8333333333333334	0.9090909090909091	0.8823529411764706
 Electric Power Annual 2005	0.59375	0.6176470588235294	0.6486486486486487	0.5714285714285714	0.6052631578947368	0.5238095238095238	0.6538461538461539	0.5862068965517242	0.7619047619047619	0.5405405405405406	0.5294117647058824	0.6129032258064516	0.5454545454545454	0.5333333333333333	0.5517241379310345	0.625	0.6333333333333333	0.5757575757575757	0.5	0.5172413793103448	0.5714285714285714	0.5	0.6176470588235294	0.5625	0.5925925925925926	0.6551724137931034	0.675	0.5833333333333333	0.55	0.6333333333333333	0.6111111111111112	0.5945945945945945	0.6176470588235294	0.5588235294117647	0.5588235294117647	0.5588235294117647	0.6	0.7272727272727273	0.7073170731707317	0.5	0.6296296296296297	0.6333333333333333	0.6388888888888888	0.5454545454545454	0.625	0.40909090909090906	0.5	0.48	0.6060606060606061	0.6046511627906976	0.6956521739130435	0.5714285714285714	0.5416666666666667
 Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.47058823529411764	0.5	0.5384615384615384	0.5769230769230769	0.42105263157894735	0.5384615384615384	0.4444444444444444	0.4	0.7307692307692308	0.5121951219512195	0.37142857142857144	0.3870967741935484	0.6071428571428572	0.24137931034482762	0.4193548387096774	0.4878048780487805	0.4	0.3125	0.5161290322580645	0.0	0.43333333333333335	0.4642857142857143	0.4571428571428572	0.4411764705882353	0.5	0.5625	0.42105263157894735	0.38888888888888884	0.6153846153846154	0.5	0.37142857142857144	0.4871794871794872	0.36363636363636365	0.4864864864864865	0.303030303030303	0.4	0.46875	0.6538461538461539	0.46153846153846156	0.3571428571428571	0.4285714285714286	0.5	0.4864864864864865	0.38235294117647056	0.40625	0.4444444444444444	0.3666666666666667	0.3928571428571429	0.3939393939393939	0.5434782608695652	0.6296296296296297	0.43333333333333335	0.5
2000 Minerals Yearbook Cement	0.4482758620689655	0.6176470588235294	0.6486486486486487	0.5	0.5277777777777778	0.5238095238095238	0.6	0.5357142857142857	0.7	0.6153846153846154	0.5714285714285714	0.5666666666666667	0.5454545454545454	0.625	0.5517241379310345	0.5897435897435898	0.5357142857142857	0.6176470588235294	0.6551724137931034	0.6129032258064516	0.6206896551724138	0.56	0.6176470588235294	0.6060606060606061	0.5384615384615384	0.6551724137931034	0.641025641025641	0.5428571428571429	0.6190476190476191	0.5862068965517242	0.6111111111111112	0.6666666666666667	0.6176470588235294	0.6	0.6756756756756757	0.6756756756756757	0.6	0.6666666666666667	0.641025641025641	0.5555555555555556	0.6296296296296297	0.6774193548387097	0.5151515151515151	0.5882352941176471	0.5806451612903225	0.6	0.6451612903225806	0.5925925925925926	0.6857142857142857	0.6363636363636364	0.5	0.5714285714285714	0.5416666666666667
