	Simplified Flow Sheet of Clinker and Cement Manufacture........................................ 2-2 2-2. Labor Costs per Metric Ton of Cement	Current Employment Statistics (National): Customizable Data Tables” Available at As obtained on	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Cement Association.	Cement Association. 2008b. “Market Research: Producer Price Indices—Competitive Building Materials.” Available at	Cement Association (PCA).	Department of Commerce, Bureau of the Census.	DC: Government Printing Office. Available at As obtained on	the Census.	Optimal Tariffs and Market Power: The Evidence.” American Economic Review 98(5):2032-2065.	Estimating Particulate MatterMortality Dose-Response Curves and Threshold Levels: An Analysis of Daily TimeSeries for the 20 Largest	A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the U.S.	D&B Million Dollar Directory.	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Multimarket Contact and Pricing: Evidence from the U.S.	Historical Statistics for Mineral and Material Commodities in the United States: Cement End Use Statistics.” U.S. Geological Survey Data Series 140, Version 1.2. Available at	Historical Statistics for Mineral and Material Commodities in the United States: Cement Supply and	Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality. Special Report to the Health Effects Institute.	Reduction in Fine Particulate Air Pollution and Mortality.”	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Price and Seller Concentration in Cement: Effective Oligopoly or	Circular A-4: Regulatory Analysis.	Invited Commentary: Particulate Matter-Mortality Exposure-Response Relations and Thresholds.”	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	U.S. and Canadian Portland Cement Industry: Plant Information Summary.	U.S. and Canadian Labor-Energy Input Survey	Flash Report: Capacity Expansion Update.” Available at < http://www.cement.org/econ/pdf/NONMEMBERCapacity Expansion.pdf>. As obtained on	Association (PCA). 2008a. “Cement and Concrete Basics: History & Manufacture of Portland Cement.” Available at concretebasics_history.asp>.	Association (PCA). 2008b. “Market Research: Producer Price Indices— Competitive Building Materials.” Available at	Association (PCA).	Cement Plant Operating Cost Study.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci.	Air Pollution and Cause-Specific Mortality in Milan, Italy, 1980–1989.” Arch Environ Health	The Cost of Environmental Regulation in a Concentrated Industry.” Available at	The Concentration-Response Relation between PM(2.5) and Daily Deaths.” Environ Health Perspectives	The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival.” Environmental Health Perspectives	Using Meta-Smoothing to Estimate Dose-Response Trends Across Multiple Studies, with Application to Air Pollution and Daily Death.”	Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix,	of the Census.	of the Census; generated by RTI International; using American FactFinder; “Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Department of Commerce, Bureau of Economic Analysis.	Department of Energy, Energy Information Administration.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey. 2008b. Minerals Commodity Summaries, Cement	Statistics (BLS). 2007b. “State and Area Employment, Hours and Earnings	Regulatory Impact Analysis of Cement Kiln Dust Rulemaking. Appendix C,	Environmental Protection Agency (EPA).	Environmental Protection Agency.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency Science Advisory	Advisory on Plans for Health Effects Analysis for EPA’s Second Prospective Analysis— Benefits and Costs of the Clean Air Act,	International Trade Commission (USITC). 2006. Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review). Publication 3856. Available at	Trade Commission.	Cement Manufacture and the Environment Part I: Chemistry and	Microeconomic Analysis. 3rd Ed.
The ConcentrationResponse Relation between PM25 and Daily Deaths	0.7959183673469388	0.7446808510638298	0.7927927927927928	0.828125	0.782608695652174	0.796875	0.765625	0.78125	0.875	0.8235294117647058	0.7307692307692307	0.7407407407407407	0.8125	0.788235294117647	0.84375	0.8165680473372781	0.7628865979381443	0.8	0.8125	0.7866666666666666	0.78125	0.765625	0.7252747252747253	0.75	0.803030303030303	0.8125	0.782258064516129	0.7878787878787878	0.7964601769911505	0.84375	0.78125	0.7711864406779662	0.7912087912087912	0.6455696202531646	0.3263157894736842	0.6842105263157895	0.6796875	0.7439024390243902	0.890625	0.7921348314606742	0.75	0.796875	0.78125	0.7640449438202247	0.8529411764705882	0.8529411764705882	0.734375	0.75	0.75	0.75	0.7890625	0.7901234567901234	0.859375	0.796875	0.8125
The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival	0.8367346938775511	0.8333333333333334	0.8108108108108109	0.8229166666666666	0.7913043478260869	0.8020833333333334	0.78125	0.7604166666666666	0.9166666666666666	0.7708333333333334	0.7846153846153846	0.7395833333333334	0.8541666666666666	0.75	0.7708333333333334	0.7455621301775148	0.8247422680412371	0.7529411764705882	0.7395833333333334	0.78125	0.75	0.84375	0.8020833333333334	0.8333333333333334	0.7604166666666666	0.7916666666666666	0.8225806451612904	0.7878787878787878	0.8141592920353983	0.8645833333333334	0.8229166666666666	0.7033898305084746	0.84375	0.75	0.78125	0.2781954887218045	0.734375	0.6458333333333334	0.8854166666666666	0.7752808988764045	0.7604166666666666	0.7395833333333334	0.71875	0.8020833333333334	0.7708333333333334	0.78125	0.8020833333333334	0.8125	0.7708333333333334	0.7604166666666666	0.7890625	0.7777777777777778	0.8854166666666666	0.7395833333333334	0.84375
Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix Arizona	0.7857142857142857	0.8191489361702128	0.7657657657657657	0.8555555555555555	0.7652173913043478	0.8333333333333334	0.7555555555555555	0.7222222222222222	0.9222222222222223	0.8555555555555555	0.7307692307692307	0.7888888888888889	0.8333333333333334	0.8222222222222222	0.7777777777777778	0.7751479289940828	0.7938144329896907	0.7647058823529411	0.7777777777777778	0.7444444444444445	0.7666666666666667	0.8444444444444444	0.8131868131868132	0.6979166666666666	0.7666666666666667	0.8333333333333334	0.8225806451612904	0.75	0.7787610619469026	0.8777777777777778	0.8111111111111111	0.6186440677966102	0.8021978021978022	0.7444444444444445	0.7789473684210526	0.706766917293233	0.796875	0.08888888888888889	0.8888888888888888	0.7808988764044944	0.7555555555555555	0.7111111111111111	0.7777777777777778	0.8333333333333334	0.8111111111111111	0.7555555555555555	0.8	0.8111111111111111	0.7777777777777778	0.7555555555555555	0.7265625	0.7839506172839507	0.8666666666666667	0.7333333333333333	0.8333333333333334
Cement Plant Operating Cost Study	0.8163265306122449	0.776595744680851	0.8288288288288288	0.6666666666666666	0.8260869565217391	0.6363636363636364	0.7674418604651163	0.6842105263157895	0.8181818181818182	0.8470588235294118	0.8538461538461538	0.8024691358024691	0.8181818181818182	0.7647058823529411	0.75	0.8816568047337278	0.8041237113402062	0.8705882352941177	0.7666666666666667	0.7733333333333333	0.7301587301587301	0.8787878787878788	0.7802197802197802	0.8020833333333334	0.7575757575757576	0.725	0.8467741935483871	0.8484848484848485	0.8584070796460177	0.8484848484848485	0.08333333333333333	0.8305084745762712	0.8461538461538461	0.7848101265822784	0.8210526315789474	0.849624060150376	0.84375	0.7926829268292683	0.8181818181818182	0.8651685393258427	0.74	0.6851851851851852	0.7021276595744681	0.7865168539325843	0.8235294117647058	0.7647058823529411	0.8285714285714286	0.8181818181818182	0.7368421052631579	0.7708333333333334	0.8515625	0.8703703703703703	0.8484848484848485	0.711864406779661	0.8787878787878788
Microeconomic Analysis 3rd Ed	0.8571428571428571	0.8085106382978723	0.8558558558558559	0.8275862068965517	0.8521739130434782	0.8275862068965517	0.7906976744186046	0.7719298245614035	0.8620689655172413	0.8470588235294118	0.8461538461538461	0.7654320987654321	0.896551724137931	0.8588235294117647	0.7692307692307693	0.893491124260355	0.845360824742268	0.888235294117647	0.8	0.8266666666666667	0.7936507936507936	0.8064516129032258	0.8241758241758241	0.8541666666666666	0.8484848484848485	0.85	0.8790322580645161	0.8712121212121212	0.8495575221238938	0.8275862068965517	0.8888888888888888	0.864406779661017	0.8351648351648352	0.8354430379746836	0.8315789473684211	0.8721804511278195	0.8671875	0.8292682926829268	0.8620689655172413	0.8820224719101124	0.76	0.8148148148148148	0.8085106382978723	0.8314606741573034	0.8235294117647058	0.7794117647058824	0.8	0.8387096774193549	0.75	0.7916666666666666	0.8359375	0.9012345679012346	0.8275862068965517	0.7966101694915254	0.0
USITC Interactive Tariff and Trade DataWeb	0.826530612244898	0.7978723404255319	0.8108108108108109	0.8333333333333334	0.8347826086956521	0.8571428571428571	0.8837209302325582	0.7543859649122807	0.9047619047619048	0.8117647058823529	0.8153846153846154	0.7777777777777778	0.8333333333333334	0.8235294117647058	0.8076923076923077	0.8520710059171598	0.8041237113402062	0.8411764705882353	0.75	0.8	0.8095238095238095	0.8571428571428571	0.7802197802197802	0.7916666666666666	0.7727272727272727	0.7857142857142857	0.8387096774193549	0.8257575757575758	0.831858407079646	0.8571428571428571	0.8333333333333334	0.8220338983050848	0.8571428571428571	0.7721518987341772	0.7894736842105263	0.8120300751879699	0.8203125	0.7439024390243902	0.8809523809523809	0.848314606741573	0.84	0.8148148148148148	0.8085106382978723	0.8089887640449438	0.8088235294117647	0.8235294117647058	0.8571428571428571	0.8571428571428571	0.7763157894736842	0.8333333333333334	0.828125	0.845679012345679	0.8571428571428571	0.7796610169491526	0.8571428571428571
nan	0.9693877551020408	0.9680851063829787	0.972972972972973	0.8333333333333334	0.9739130434782609	0.8636363636363636	0.9302325581395349	0.9473684210526315	0.9	0.9647058823529412	0.9769230769230769	0.9629629629629629	0.9259259259259259	0.9647058823529412	0.9423076923076923	0.9822485207100592	0.9690721649484536	0.9823529411764705	0.95	0.96	0.9523809523809523	0.9354838709677419	0.967032967032967	0.96875	0.9545454545454546	0.925	0.9758064516129032	0.9772727272727273	0.9734513274336283	0.8666666666666667	0.9166666666666666	0.9745762711864406	0.967032967032967	0.9620253164556962	0.968421052631579	0.9774436090225563	0.9765625	0.9634146341463414	0.9230769230769231	0.9831460674157303	0.94	0.9444444444444444	0.9574468085106383	0.9662921348314607	0.9558823529411765	0.9558823529411765	0.9142857142857143	0.9032258064516129	0.9605263157894737	0.9375	0.9765625	0.9814814814814815	0.875	0.9491525423728814	0.9310344827586207
 Electric Power Annual 2005	0.8571428571428571	0.8404255319148937	0.8828828828828829	0.8518518518518519	0.8608695652173913	0.8148148148148148	0.7906976744186046	0.8070175438596491	0.8148148148148148	0.788235294117647	0.8538461538461538	0.8271604938271605	0.8888888888888888	0.8588235294117647	0.8076923076923077	0.9112426035502958	0.865979381443299	0.9	0.8	0.8266666666666667	0.8253968253968254	0.8387096774193549	0.8461538461538461	0.8645833333333334	0.8181818181818182	0.775	0.8951612903225806	0.8863636363636364	0.8672566371681416	0.8148148148148148	0.8333333333333334	0.8728813559322034	0.8351648351648352	0.810126582278481	0.8421052631578947	0.8646616541353384	0.875	0.8292682926829268	0.8148148148148148	0.9044943820224719	0.82	0.8333333333333334	0.7872340425531915	0.8539325842696629	0.8529411764705882	0.8382352941176471	0.8	0.8387096774193549	0.8289473684210527	0.8125	0.859375	0.9074074074074074	0.8888888888888888	0.847457627118644	0.8275862068965517
 Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.7653061224489796	0.8191489361702128	0.8018018018018018	0.8289473684210527	0.782608695652174	0.8421052631578947	0.7894736842105263	0.7894736842105263	0.881578947368421	0.8235294117647058	0.7230769230769231	0.8518518518518519	0.8289473684210527	0.788235294117647	0.7763157894736842	0.7810650887573964	0.7731958762886598	0.7352941176470589	0.7105263157894737	0.013157894736842105	0.7894736842105263	0.8026315789473685	0.7692307692307693	0.7604166666666666	0.7763157894736842	0.8157894736842105	0.8145161290322581	0.7424242424242424	0.7699115044247787	0.881578947368421	0.7763157894736842	0.7627118644067796	0.7912087912087912	0.8481012658227848	0.7684210526315789	0.7593984962406015	0.6953125	0.7926829268292683	0.868421052631579	0.8033707865168539	0.75	0.7631578947368421	0.7894736842105263	0.797752808988764	0.7763157894736842	0.8289473684210527	0.7763157894736842	0.7763157894736842	0.8026315789473685	0.7763157894736842	0.765625	0.7777777777777778	0.881578947368421	0.8026315789473685	0.8289473684210527
2000 Minerals Yearbook Cement	0.7959183673469388	0.8723404255319149	0.8738738738738738	0.8275862068965517	0.8608695652173913	0.8275862068965517	0.7906976744186046	0.8245614035087719	0.8620689655172413	0.8470588235294118	0.8692307692307693	0.8395061728395061	0.8620689655172413	0.8470588235294118	0.8461538461538461	0.8816568047337278	0.7938144329896907	0.9	0.8166666666666667	0.8133333333333334	0.7936507936507936	0.9032258064516129	0.8571428571428571	0.8541666666666666	0.8181818181818182	0.85	0.8870967741935484	0.8484848484848485	0.8584070796460177	0.8620689655172413	0.8611111111111112	0.864406779661017	0.8681318681318682	0.810126582278481	0.8526315789473684	0.8796992481203008	0.875	0.8170731707317073	0.8275862068965517	0.898876404494382	0.84	0.7962962962962963	0.8297872340425532	0.7640449438202247	0.8088235294117647	0.8382352941176471	0.8285714285714286	0.8064516129032258	0.8552631578947368	0.8333333333333334	0.8671875	0.8827160493827161	0.8275862068965517	0.7796610169491526	0.896551724137931
