	Simplified Flow Sheet of Clinker and Cement Manufacture........................................ 2-2 2-2. Labor Costs per Metric Ton of Cement	Current Employment Statistics (National): Customizable Data Tables” Available at As obtained on	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Cement Association.	Cement Association. 2008b. “Market Research: Producer Price Indices—Competitive Building Materials.” Available at	Cement Association (PCA).	Department of Commerce, Bureau of the Census.	DC: Government Printing Office. Available at As obtained on	the Census.	Optimal Tariffs and Market Power: The Evidence.” American Economic Review 98(5):2032-2065.	Estimating Particulate MatterMortality Dose-Response Curves and Threshold Levels: An Analysis of Daily TimeSeries for the 20 Largest	A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the U.S.	D&B Million Dollar Directory.	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Multimarket Contact and Pricing: Evidence from the U.S.	Historical Statistics for Mineral and Material Commodities in the United States: Cement End Use Statistics.” U.S. Geological Survey Data Series 140, Version 1.2. Available at	Historical Statistics for Mineral and Material Commodities in the United States: Cement Supply and	Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality. Special Report to the Health Effects Institute.	Reduction in Fine Particulate Air Pollution and Mortality.”	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Price and Seller Concentration in Cement: Effective Oligopoly or	Circular A-4: Regulatory Analysis.	Invited Commentary: Particulate Matter-Mortality Exposure-Response Relations and Thresholds.”	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	U.S. and Canadian Portland Cement Industry: Plant Information Summary.	U.S. and Canadian Labor-Energy Input Survey	Flash Report: Capacity Expansion Update.” Available at < http://www.cement.org/econ/pdf/NONMEMBERCapacity Expansion.pdf>. As obtained on	Association (PCA). 2008a. “Cement and Concrete Basics: History & Manufacture of Portland Cement.” Available at concretebasics_history.asp>.	Association (PCA).	Cement Plant Operating Cost Study.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci.	Air Pollution and Cause-Specific Mortality in Milan, Italy, 1980–1989.” Arch Environ Health	The Cost of Environmental Regulation in a Concentrated Industry.” Available at	The Concentration-Response Relation between PM(2.5) and Daily Deaths.” Environ Health Perspectives	The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival.” Environmental Health Perspectives	Using Meta-Smoothing to Estimate Dose-Response Trends Across Multiple Studies, with Application to Air Pollution and Daily Death.”	Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix,	of the Census.	of the Census; generated by RTI International; using American FactFinder; “Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Department of Commerce, Bureau of Economic Analysis.	Department of Energy, Energy Information Administration.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey. 2008b. Minerals Commodity Summaries, Cement	Statistics (BLS). 2007b. “State and Area Employment, Hours and Earnings	Regulatory Impact Analysis of Cement Kiln Dust Rulemaking. Appendix C,	Environmental Protection Agency (EPA).	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency Science Advisory	Advisory on Plans for Health Effects Analysis for EPA’s Second Prospective Analysis— Benefits and Costs of the Clean Air Act,	International Trade Commission (USITC). 2006. Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review). Publication 3856. Available at	Trade Commission.	Cement Manufacture and the Environment Part I: Chemistry and	Microeconomic Analysis. 3rd Ed.
The ConcentrationResponse Relation between PM25 and Daily Deaths	0.23076923076923073	0.33333333333333337	0.368421052631579	0.45945945945945943	0.33333333333333337	0.42105263157894735	0.38095238095238093	0.33333333333333337	0.5757575757575757	0.3114754098360656	0.22807017543859653	0.28	0.33333333333333337	0.33333333333333337	0.3877551020408163	0.3870967741935484	0.29166666666666663	0.2962962962962963	0.34782608695652173	0.31999999999999995	0.36170212765957444	0.34883720930232553	0.2592592592592593	0.3584905660377359	0.37777777777777777	0.4347826086956522	0.33333333333333337	0.31034482758620685	0.4444444444444444	0.375	0.33333333333333337	0.38983050847457623	0.33333333333333337	0.1071428571428571	0.3214285714285714	0.25	0.18367346938775508	0.5428571428571429	0.33333333333333337	0.34782608695652173	0.40909090909090906	0.41666666666666663	0.2857142857142857	0.4181818181818182	0.33333333333333337	0.4285714285714286	0.4285714285714286	0.37777777777777777	0.3584905660377359	0.34328358208955223	0.4054054054054054	0.3191489361702128	0.38095238095238093
The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival	0.24528301886792447	0.23636363636363633	0.24137931034482762	0.42105263157894735	0.34426229508196726	0.3846153846153846	0.34883720930232553	0.18367346938775508	0.5882352941176471	0.32258064516129037	0.1724137931034483	0.2549019607843137	0.44999999999999996	0.23076923076923073	0.19999999999999996	0.2698412698412699	0.30612244897959184	0.23636363636363633	0.4042553191489362	0.17647058823529416	0.25	0.36363636363636365	0.3090909090909091	0.33333333333333337	0.30434782608695654	0.36170212765957444	0.3114754098360656	0.3220338983050848	0.45945945945945943	0.34693877551020413	0.2068965517241379	0.33333333333333337	0.19999999999999996	0.29824561403508776	0.08771929824561409	0.19298245614035092	0.28	0.5	0.2786885245901639	0.276595744680851	0.28888888888888886	0.26530612244897955	0.26315789473684215	0.3214285714285714	0.3076923076923077	0.2558139534883721	0.16000000000000003	0.17391304347826086	0.2962962962962963	0.32352941176470584	0.42105263157894735	0.25	0.34883720930232553
Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix Arizona	0.28301886792452835	0.2727272727272727	0.31034482758620685	0.42105263157894735	0.4098360655737705	0.3846153846153846	0.34883720930232553	0.30612244897959184	0.5882352941176471	0.3548387096774194	0.2068965517241379	0.17647058823529416	0.35	0.2692307692307693	0.31999999999999995	0.3650793650793651	0.26530612244897955	0.19999999999999996	0.3191489361702128	0.2941176470588235	0.29166666666666663	0.36363636363636365	0.23636363636363633	0.2222222222222222	0.34782608695652173	0.44680851063829785	0.2786885245901639	0.3220338983050848	0.4054054054054054	0.3877551020408163	0.2068965517241379	0.30000000000000004	0.3090909090909091	0.26315789473684215	0.29824561403508776	0.26315789473684215	0.040000000000000036	0.5	0.3114754098360656	0.23404255319148937	0.28888888888888886	0.3877551020408163	0.33333333333333337	0.4285714285714286	0.2692307692307693	0.34883720930232553	0.31999999999999995	0.30434782608695654	0.2592592592592593	0.4411764705882353	0.42105263157894735	0.25	0.3023255813953488
Cement Plant Operating Cost Study	0.3191489361702128	0.30612244897959184	0.3076923076923077	0.375	0.38181818181818183	0.33333333333333337	0.3513513513513513	0.2558139534883721	0.5	0.4642857142857143	0.2692307692307693	0.33333333333333337	0.4117647058823529	0.30434782608695654	0.2727272727272727	0.4035087719298246	0.2093023255813954	0.26530612244897955	0.36585365853658536	0.28888888888888886	0.1428571428571429	0.26315789473684215	0.30612244897959184	0.25	0.15000000000000002	0.2682926829268293	0.38181818181818183	0.3584905660377359	0.4193548387096774	0.06976744186046513	0.2692307692307693	0.37037037037037035	0.34693877551020413	0.4117647058823529	0.33333333333333337	0.2941176470588235	0.31818181818181823	0.4666666666666667	0.34545454545454546	0.2682926829268293	0.28205128205128205	0.3023255813953488	0.2941176470588235	0.31999999999999995	0.26086956521739135	0.29729729729729726	0.18181818181818177	0.19999999999999996	0.33333333333333337	0.3870967741935484	0.3125	0.2857142857142857	0.3513513513513513
Microeconomic Analysis 3rd Ed	0.40909090909090906	0.34782608695652173	0.4285714285714286	0.31034482758620685	0.46153846153846156	0.33333333333333337	0.47058823529411764	0.35	0.6799999999999999	0.39622641509433965	0.34693877551020413	0.2857142857142857	0.29032258064516125	0.34883720930232553	0.36585365853658536	0.40740740740740744	0.30000000000000004	0.30434782608695654	0.3157894736842105	0.33333333333333337	0.33333333333333337	0.3142857142857143	0.34782608695652173	0.28888888888888886	0.3513513513513513	0.4736842105263158	0.3846153846153846	0.4	0.4285714285714286	0.4	0.34693877551020413	0.4117647058823529	0.34782608695652173	0.41666666666666663	0.41666666666666663	0.33333333333333337	0.31707317073170727	0.6296296296296297	0.3846153846153846	0.26315789473684215	0.2777777777777778	0.44999999999999996	0.41666666666666663	0.36170212765957444	0.34883720930232553	0.23529411764705888	0.2682926829268293	0.18918918918918914	0.37777777777777777	0.4915254237288136	0.31034482758620685	0.28205128205128205	0.0
USITC Interactive Tariff and Trade DataWeb	0.3913043478260869	0.375	0.33333333333333337	0.4838709677419355	0.5185185185185186	0.5	0.4444444444444444	0.33333333333333337	0.6296296296296297	0.5636363636363637	0.4117647058823529	0.36363636363636365	0.4545454545454546	0.5111111111111111	0.34883720930232553	0.4285714285714286	0.38095238095238093	0.41666666666666663	0.55	0.5	0.36585365853658536	0.5135135135135135	0.45833333333333337	0.574468085106383	0.33333333333333337	0.30000000000000004	0.4814814814814815	0.5	0.5333333333333333	0.5238095238095238	0.37254901960784315	0.4716981132075472	0.375	0.43999999999999995	0.4	0.48	0.39534883720930236	0.5862068965517242	0.40740740740740744	0.44999999999999996	0.42105263157894735	0.33333333333333337	0.31999999999999995	0.5510204081632653	0.4222222222222223	0.5	0.4418604651162791	0.4358974358974359	0.44680851063829785	0.4426229508196722	0.4193548387096774	0.36585365853658536	0.5555555555555556
nan	0.8620689655172413	0.8709677419354839	0.8823529411764706	0.7142857142857143	0.8918918918918919	0.7333333333333334	0.7894736842105263	0.84	0.8	0.8947368421052632	0.8823529411764706	0.8518518518518519	0.75	0.8571428571428572	0.8461538461538461	0.8974358974358975	0.84	0.8709677419354839	0.8260869565217391	0.8518518518518519	0.8333333333333334	0.8	0.8709677419354839	0.8666666666666667	0.8181818181818181	0.8260869565217391	0.8918918918918919	0.8857142857142857	0.6923076923076923	0.84	0.8823529411764706	0.8888888888888888	0.8709677419354839	0.8787878787878788	0.8787878787878788	0.8787878787878788	0.8461538461538461	0.8333333333333334	0.8918918918918919	0.8260869565217391	0.8095238095238095	0.84	0.8787878787878788	0.875	0.8571428571428572	0.7894736842105263	0.8461538461538461	0.8181818181818181	0.8666666666666667	0.9090909090909091	0.7142857142857143	0.8333333333333334	0.7894736842105263
 Electric Power Annual 2005	0.4222222222222223	0.44680851063829785	0.48	0.4	0.4339622641509434	0.3548387096774194	0.48571428571428577	0.41463414634146345	0.6153846153846154	0.37037037037037035	0.36	0.4418604651162791	0.375	0.36363636363636365	0.38095238095238093	0.4545454545454546	0.46341463414634143	0.4042553191489362	0.33333333333333337	0.34883720930232553	0.4	0.33333333333333337	0.44680851063829785	0.3913043478260869	0.42105263157894735	0.4871794871794872	0.5094339622641509	0.4117647058823529	0.3793103448275862	0.46341463414634143	0.43999999999999995	0.42307692307692313	0.44680851063829785	0.3877551020408163	0.3877551020408163	0.3877551020408163	0.4285714285714286	0.5714285714285714	0.5471698113207547	0.33333333333333337	0.45945945945945943	0.46341463414634143	0.4693877551020408	0.375	0.4545454545454546	0.2571428571428571	0.33333333333333337	0.3157894736842105	0.4347826086956522	0.43333333333333335	0.5333333333333333	0.4	0.37142857142857144
 Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.3076923076923077	0.33333333333333337	0.368421052631579	0.4054054054054054	0.2666666666666667	0.368421052631579	0.2857142857142857	0.25	0.5757575757575757	0.34426229508196726	0.22807017543859653	0.24	0.4358974358974359	0.13725490196078427	0.26530612244897955	0.32258064516129037	0.25	0.18518518518518523	0.34782608695652173	0.0	0.276595744680851	0.3023255813953488	0.2962962962962963	0.28301886792452835	0.33333333333333337	0.3913043478260869	0.2666666666666667	0.24137931034482762	0.4444444444444444	0.33333333333333337	0.22807017543859653	0.3220338983050848	0.2222222222222222	0.3214285714285714	0.1785714285714286	0.25	0.30612244897959184	0.48571428571428577	0.30000000000000004	0.21739130434782605	0.2727272727272727	0.33333333333333337	0.3214285714285714	0.23636363636363633	0.2549019607843137	0.2857142857142857	0.22448979591836737	0.24444444444444446	0.24528301886792447	0.3731343283582089	0.45945945945945943	0.276595744680851	0.33333333333333337
2000 Minerals Yearbook Cement	0.28888888888888886	0.44680851063829785	0.48	0.33333333333333337	0.3584905660377359	0.3548387096774194	0.4285714285714286	0.36585365853658536	0.5384615384615384	0.4444444444444444	0.4	0.39534883720930236	0.375	0.4545454545454546	0.38095238095238093	0.4181818181818182	0.36585365853658536	0.44680851063829785	0.4871794871794872	0.4418604651162791	0.44999999999999996	0.38888888888888884	0.44680851063829785	0.4347826086956522	0.368421052631579	0.4871794871794872	0.4716981132075472	0.37254901960784315	0.4482758620689655	0.41463414634146345	0.43999999999999995	0.5	0.44680851063829785	0.4285714285714286	0.5102040816326531	0.5102040816326531	0.4285714285714286	0.5	0.4716981132075472	0.3846153846153846	0.45945945945945943	0.5121951219512195	0.34693877551020413	0.41666666666666663	0.40909090909090906	0.4285714285714286	0.47619047619047616	0.42105263157894735	0.5217391304347826	0.4666666666666667	0.33333333333333337	0.4	0.37142857142857144
